[00:00:00] 欢迎大家来到呃这个学期的第一次hacking day
[00:00:03] 我说过我们每个呃月就呃每以每四次课
[00:24:57] 逼着你去心算每一个加法
[00:24:59] 而是你你是用这样的方式
[00:25:02] 把它呵呃一步一步展开来
[00:25:04] 然后这样你的注意力你就可以注意到这两
[00:25:06] 我现在要加这两个了
[00:25:07] 我现在要加这两个
[00:25:08] 我注意力看到这个我就不会错
[00:25:09] 我就可以把其他的不用不用看到
[00:25:12] 这就是你们现在看到的
[00:25:14] 有thinking的model
[00:25:15] 能够思思考的模型
[00:25:17] 它我我觉得觉得看
[00:25:20] 比如说像看deep seek这样的模型
[00:25:21] 它呃thinking的过程还是很有趣的
[00:25:24] 你们有没有看过
[00:25:25] 如果问他一个比较难的问题
[00:25:26] 一个比较open的问题
[00:25:28] 或者是期末考试题
[00:25:29] 或者呃反正就比较难的问题
[00:25:31] 是你看到他思考的过程
[00:25:32] 它真的很像
[00:25:33] 真的很像人
[00:25:35] 反正他有一些直觉是哎我能不能试一试这个
[00:25:37] 然后试了以后
[00:25:39] 因为这个所以这个所以这个所以这个
[00:25:40] 所以我错了
[00:25:41] 所以我要再再从头来
[00:25:43] 只要这个self attention训练的呃足够好
[00:25:46] 就就就可以
[00:25:48] 所以在在GPT4的时代
[00:25:50] 如果你你加一句话叫think step by step
[00:25:53] 他的表现就可以在在复杂任务上的表现
[00:25:56] 就可以提升一大截
[00:25:57] 我们在那个时候还经常会这样用
[00:25:59] 不过现在啊现在不需要了
[00:26:01] 然后以及呃这是尧舜禹的paper
[00:26:03] 应该是我看下
[00:26:04] 嗯OK这这这两个也是早期的非常有名的工作
[00:26:08] 因为这个react是尧舜禹的工作
[00:26:10] 然后还有一个two former
[00:26:11] 他教他教大语言模型
[00:26:13] 就你就你这样想
[00:26:15] 你看到一个123+456
[00:26:17] 你可以像我刚才那样展开来算
[00:26:19] 但如果你看到一个123×456
[00:26:22] 你还会展开来算吗
[00:26:23] 你不会了
[00:26:24] 你有一个本能的反应是
[00:26:26] 你应该去拿一个计算器
[00:26:29] 把123+456敲进去
[00:26:32] 然后按等于
[00:26:33] 然后不管他那个数字是多少
[00:26:34] 反正多少
[00:26:35] 你就把这个多少抄抄抄回来
[00:26:37] 你会相信这个数字总是对的
[00:26:38] 所以呃大圆模型就学会了
[00:26:42] 只要给他训练数据就行
[00:26:44] 你你可以让大圆模型自己输出一个特殊的token
[00:26:47] 比如说这个叫什么Python
[00:26:51] Python
[00:26:52] 然后什么123×456好
[00:26:59] 类似的一个东西
[00:27:00] 它输出完了以后
[00:27:02] 你会就把结果在拼到后面就跟我说
[00:27:07] 我我按了一个计算器算出来
[00:27:09] 123×456是一样的
[00:27:10] 所以这就是我到到今天为止的
[00:27:13] 大圆模型
[00:27:14] 大圆模型有了眼睛可以看图了
[00:27:17] 有了耳朵可以听声音
[00:27:18] 在当然都是在语
[00:27:20] 在整个语言这个世界模型上面做的
[00:27:22] 然后有了计算器可以
[00:27:25] 可以算东西了
[00:27:27] 他就是一个活生生的人
[00:27:29] 他能够推理
[00:27:30] 所以他能够犯错
[00:27:31] 他会犯错误
[00:27:32] 他能够纠正自己的错误
[00:27:34] 他能尝试新的可能性
[00:27:36] 然后最终把呃把事情做对
[00:27:39] 我我们挺喜欢的一个以前
[00:27:43] 我以前上操作系统课的时候也会讲讲这工具
[00:27:46] 甚至甚至我还带过一个同学
[00:27:50] 大四的时候带过一个同学做毕业设计
[00:27:54] 就是去加强呃这个工具
[00:27:56] 这个工具可以在你犯了错误以后
[00:27:59] 因为人就是很容易犯错误
[00:28:00] 因为我们人也是这样的模型
[00:28:02] 我们经常产生一定的啊幻觉
[00:28:05] 或者有一些小小错误
[00:28:07] 然后在产生幻觉以后
[00:28:09] 你看我我这里比如说我这里就就打错了
[00:28:11] 打字打错了
[00:28:12] 然后就可以用一个呃命令
[00:28:14] 直接它可以根据我过去的命令的历史
[00:28:17] 然后来呃给出一些啊修复
[00:28:21] 比如说这个地方需要一个权限
[00:28:23] 它就啊帮你把权限呃给弄好了
[00:28:26] 当然这个是大语言模型之前的呃技术
[00:28:31] 在大圆模型出现之后
[00:28:33] 这些技术就全部都被都被杀死了
[00:28:35] 你嗯现在现在我们只要在cloud code里面
[00:28:38] 跟AI说我要做什么
[00:28:40] 然后他会自己去写命令
[00:28:42] 他也会犯错
[00:28:43] 然后他也一样的
[00:28:43] 和这个修复流程是一样的
[00:28:45] 他会试着执行一个命令
[00:28:46] 然后看一下结果
[00:28:47] 结果是这个
[00:28:48] 所以我要呃我要这样这样修复
[00:28:50] 所以我们就有
[00:28:53] 实际上我们有有的就到今天为止
[00:28:55] 我们有的是一个一个非常全能的
[00:28:58] 智力极高的这样的一个东西
[00:29:01] 一个概率分布其实是一个其实是个概率分布
[00:29:06] 他可以predict next token
[00:29:08] 他可以预测过
[00:29:09] 根据过去所有的你你写的任务
[00:29:11] 他已经做的事情
[00:29:12] 下一步他应该应该做什么
[00:29:14] 就就这个
[00:29:15] 那我们怎么样把这样的模型的能力
[00:29:18] 发挥到极致呢
[00:29:20] 对吧一个你想想
[00:29:22] 如果如果这个时候
[00:29:24] 突然你转生到了一个什么奇怪的世界
[00:29:27] 然后突然你的导师变成了你的这个宠物
[00:29:33] 然后你你跟他说什么instruction
[00:29:35] 他都会都会follow
[00:29:37] 然后你应该怎么样最好的用好你
[00:29:39] 你的导师呢
[00:29:41] 应该给他一个workspace
[00:29:43] 应该因为因为他是他是一个活生生的人
[00:29:46] 他能尝试他会犯错
[00:29:49] 但随着他不断的尝试尝试尝试尝试
[00:29:52] 它就可以推进这个这个进度
[00:29:54] 所以你需要给他一个大的一个working memory
[00:29:59] 那在计算机世界里面
[00:30:01] 什么东西可以充当你的working memory呢
[00:30:03] 一个目录
[00:30:06] 一个workspace
[00:30:07] 一个目录
[00:30:07] 你你的memory里面有read me
[00:30:10] 然后你你要组织
[00:30:11] 你要做一件很大很大的事情的时候
[00:30:13] 你会有一些dogs
[00:30:15] 你要做不同的事情
[00:30:16] 不同的模块的时候
[00:30:18] 你可以写不同的dogs
[00:30:20] 然后你还可以有源代码啊
[00:30:22] 还可以有tests
[00:30:25] 所以计算机世界就软件工程师这么多年来的
[00:30:30] Best practice
[00:30:31] 其实正好给AI搭了一个呃完美的舞台
[00:30:36] 甚至我就觉得git就是给这个AI量身定制的
[00:30:40] 为什么呢
[00:30:41] git代表了一个你们知道git是什么
[00:30:44] 我曾经在没我经常在保研的时候问那个问
[00:30:48] 曾经啊曾经问来面试的candidate说
[00:30:51] 问他们什么是git
[00:30:53] 然后他们有很多人给我的回答是
[00:30:55] git是用来从互联网上下载工具
[00:30:57] 下载代码的那个软件
[00:30:59] 然后然后我一时间不知道说什么好
[00:31:01] 嗯哼呃git是一个分布式的版本控制软件
[00:31:06] 但这也不重要
[00:31:06] 重要的是git管理的是目录的快照
[00:31:09] 就git
[00:31:10] 它有一个呃非常呃有点像persistent
[00:31:14] data structure的形成
[00:31:15] 是你你可以在这个当前的工作区上做任何修改
[00:31:20] 随便你改成什么样
[00:31:22] 你你你改成什么样以后你也可以提交
[00:31:25] 但是无论如何
[00:31:26] 你无论把这个工作区变成什么样了
[00:31:27] 你都永远有一天可以退回到一个过去的快照上
[00:31:32] 你永远可以推到过去块
[00:31:34] 然后把把那些你不要的东西扔掉
[00:31:36] 或者把甚至把你你要的某个东西cherry pick过来
[00:31:39] 然后其继续把其他东西都扔掉
[00:31:41] 继续在另外一个世界线上呃工作
[00:31:45] 所以git其实给了一个这个世界的平行宇宙
[00:31:48] 平行世界
[00:31:50] 给了好多的呃平行世界
[00:31:53] 所以我我有时候觉得你们有没有玩过这个游戏
[00:31:56] 啊啊这个叫叫死亡循环
[00:31:59] 就是你
[00:32:00] 你你有一种就还是那个那个叫你的导导师
[00:32:03] 转生在异世界了
[00:32:05] 然后转生在异世界以后
[00:32:06] 每一次启动的时候都死亡
[00:32:08] 循环都是啪就就就清零了
[00:32:10] 就因为大圆模型在启动的时候
[00:32:13] 它只是只有参数
[00:32:14] 就他训练好的那个样子
[00:32:16] 以及他有可能有个system prompt的那一句话写写在
[00:32:20] 然后你要你你再你再跟他跟他对话
[00:32:22] 也就是说他是没有记忆的
[00:32:23] 他是没有shorter memory的
[00:32:25] 然后你但你你你的整个整个项目里东西又太多
[00:32:28] 是没有办法把整个项目都直接
[00:32:30] 全部都都都塞给他
[00:32:32] 对
[00:32:33] 包括你过去尝试历史可能就更长了
[00:32:34] 还有输出的日志等等
[00:32:37] 所以就有点像是一个呃大圆模型
[00:32:40] 就像是一个在死亡循环中
[00:32:42] 每一天这游戏是这样的
[00:32:43] 每一天你你你都从呃都都从同一个地方醒来
[00:32:48] 然后你丢掉了所有的记忆
[00:32:50] 然后丢掉所有记忆以后
[00:32:51] 你要再去探索探索这个世界
[00:32:53] 然后再去
[00:32:54] 反正就可能会被打死
[00:32:55] 然后打死以后
[00:32:56] 你第二天又会重新重来重来重来
[00:32:59] 大模型在这个工作区上也有点像
[00:33:02] 他每次每次醒来的时候都是空的
[00:33:03] 转生到异世界重新开始
[00:33:05] 然后他又看到一个看起来是全新的一个repo
[00:33:08] 虽然可能之前已经在这个rap上改过很多次了
[00:33:11] 呃然后他他就根据这任务再改再改再改
[00:33:15] 再改再改再改
[00:33:17] 那你们觉得大模型应该怎么样完成
[00:33:22] 我们现实世界里的任务呢
[00:33:24] 他收到一个任务
[00:33:24] 很自然地提出规划
[00:33:27] 对
[00:33:28] 我我为了完成
[00:33:28] 比如说我我我今天的例子是实现一个操作系统
[00:33:31] 他收到这个任务以后
[00:33:33] 他就去想
[00:33:35] 我是为了实现操作系统
[00:33:36] 我就先要实现ABCDE
[00:33:37] 这个时候他可以用这种逻辑推理
[00:33:39] 我可以推理
[00:33:40] 先我先给一个比较粗的plan
[00:33:43] 然后再把每一个plan再稍微细一细
[00:33:46] 好弄好以后把这个plan可以把我的plan
[00:33:50] 写到这个文件系统里
[00:33:52] plan点MD
[00:33:53] 然后我的plan我就可以写成是一个markdown的这种
[00:33:55] 有
[00:33:56] 我第一件事要干什么
[00:33:58] 第二件事要干什么
[00:33:58] 第三件事要干什么
[00:33:59] 然后我干完了以后
[00:34:00] 我可以在这标记一个
[00:34:01] 这样我就算是进入了我的死亡循环
[00:34:05] 我我每次都我清零了
[00:34:06] 我下一次打开这个项目的时候
[00:34:08] 我还看到噢
[00:34:08] 我知道我上一次这个这个我做完了
[00:34:10] 我下次下面应该做
[00:34:11] 下面应该做做这个了
[00:34:13] Ok u
[00:34:14] 这是一个这是一个广泛的在git项目里面
[00:34:18] 就如果你们看开源社区的项目的话
[00:34:20] 你们会看到
[00:34:21] 人类也是这样规划的
[00:34:23] 如果一个开源团队想要做一个项目的话
[00:34:26] 他会规划一些近期或者远期的mic stone
[00:34:29] 我要加一个什么样的功能
[00:34:30] 加一个什么样的功能
[00:34:31] 加一个什么样的功能
[00:34:33] 然后一个一个去
[00:34:34] 一个一去玩
[00:34:35] 我完成它
[00:34:36] 然后在在编程完成任务的过程当中
[00:34:40] 那我们作为有一定经验的程序员
[00:34:43] 我们肯定是要写代码
[00:34:45] 写代码写测试用例
[00:34:46] 然后运行用各种各样的工具
[00:34:49] 比如说代码检查器
[00:34:49] 用link这样的工具来
[00:34:52] 检查我的代码里面有没有低级错误
[00:34:54] 用测试
[00:34:55] 用单元测试来看有没有一些
[00:34:56] 实现的不符合预期的地方
[00:34:59] 如果出错了
[00:35:00] 我甚至还会用加一个print f来调试这样的
[00:35:04] 这样的呃事情
[00:35:05] 那所有的事情也都是像它和理论上说
[00:35:09] 和这个计算器都是等价的是吧
[00:35:11] 都是可以做
[00:35:12] 所以你就看到我们在上课的时候
[00:35:14] 那个coding agent他做的
[00:35:16] 各种各样的事情
[00:35:17] 你就非常容易理解了
[00:35:18] 非常容易理解了
[00:35:20] 这也意味着你看我已经我都已经讲到
[00:35:23] 讲到现在是讲到这个时候了
[00:35:24] 小龙虾的爆火简直就是必然的
[00:35:27] 为什么呢
[00:35:29] 当我们说我们用一个目录或者工作区
[00:35:31] 来管理memory的时候
[00:35:34] 整个memory的时候
[00:35:36] 下一句话就是这可不是程序员专属的工作方式
[00:35:42] 任何一个人
[00:35:44] 你们作为一个
[00:35:44] 比如说作为一个学生
[00:35:46] 你们在学大学数学的时候
[00:35:54] 你把每一个lecture相关的一个一个的lecture
[00:35:57] 或者知识点放过来
[00:35:58] 然后你解决习题的情况
[00:36:01] 你今天做的哪一个作业
[00:36:03] 你也可以在这里勾
[00:36:05] 然后如果你你这个作业做错了
[00:36:07] 你是不是可以有一个错题本
[00:36:10] 你你可以有一个知识点的
[00:36:12] 比如说今天这个这个什么题做错了
[00:36:14] 你可以把它记下来诶
[00:36:15] 然后你你你只要打开一个cloud code
[00:36:18] 你就可以问
[00:36:18] 就就可以问他
[00:36:20] 我我下一步应该做什么
[00:36:22] 或者你能不能帮我复习一下我之前薄弱的地方
[00:36:24] 或者呃期末考试了
[00:36:26] 你能不能给我一套呃模拟题
[00:36:28] 能不能去网上搜罗一下
[00:36:30] 能不能去QQ群里发个消息
[00:36:33] 搜罗一下往年的题目
[00:36:35] 如果如果找到了
[00:36:36] 就把它放到这个目录里
[00:36:38] 你没有
[00:36:39] 就虽然这是程序员
[00:36:44] 但是没有道理
[00:36:45] 你不用不把
[00:36:46] 不用它来管理你日常的任何任何事情
[00:36:50] 实际上我早就做了
[00:36:51] 我在在好久以前
[00:36:53] 我就把我所有的个人文档呃都放到一个database
[00:36:57] 用用这个report的方式来来组织
[00:36:59] 然后我就可以打开cloud code来来问他
[00:37:02] 比如说我我今天帮我填个表吧
[00:37:04] 而你在这个上面接一个前前端
[00:37:09] 接一个
[00:37:09] 比如说这个什么telegram的前端
[00:37:13] telegram是指官方支持这个bot的接口的
[00:37:16] 然后你就可以你就可以在手机上跟他对话
[00:37:18] 诶
[00:37:18] 能不能能不能这个发一个数学题给我室友
[00:37:24] 然后他就会从这个库里面调出
[00:37:26] 你学习数学的经历
[00:37:27] 然后把那个数学题发给你的室友说
[00:37:29] 哎今天我来challenge
[00:37:30] 你这个这个数学题
[00:37:31] 你也完全可以在机器上面定义一个crown job
[00:37:34] 你们知道chrome吗
[00:37:36] 定时的任务UNIX里面有一个
[00:37:40] 这就叫crown tab的东西
[00:37:42] 它是一张表
[00:37:43] 你可以定
[00:37:44] 比如说每天备份或者每小时给你发出声音
[00:37:48] 你只要定一个crown job
[00:37:49] 然后比如说每每天早上七点的时候
[00:37:51] 自动爬取当天的天气预报
[00:37:54] 那我也可以把它放到这个这个memory
[00:37:57] 就是一个repo
[00:37:58] 所以你可以看到今天
[00:38:00] 今天你你你们看到的火爆的东西
[00:38:03] 在历史都是存在一定的历史必然性的
[00:38:06] 呃不需要特别的
[00:38:09] 惊讶好
[00:38:10] 然后呢我今天呃还有一点呃关于大模型
[00:38:15] 就这个是大模型
[00:38:16] 我我我自己的一些理解
[00:38:18] 包括今天现在比较热门的呃技术
[00:38:21] 还有一个理解是
[00:38:22] 这个我可能要呃算是给大家灌点鸡汤
[00:38:25] 就是这件事情是怎么来的
[00:38:27] 大家应该听说过很有名的
[00:38:30] 这个叫the bitter lesson
[00:38:32] 叫苦涩的教训
[00:38:33] 是RICHARDSUTTON
[00:38:35] RICHARDSUTTON是谁
[00:38:36] 是那个因为强化学习
[00:38:39] 得了图灵奖的RICHARDSUTTON
[00:38:43] 然后他的这个我就强烈建议大家全文阅读
[00:38:46] 你们可以直接把把他
[00:38:49] 直接开一个读东西也不麻烦
[00:38:54] 读东西你可以让他翻译
[00:38:56] 然后我我还可以让他在呃
[00:39:00] 你看他要还要还要新品一下诶
[00:39:03] 他开始哎我觉得真的写的很好
[00:39:07] 所以还要老师来干什么呢
[00:39:09] 我们就我觉得以后每次以后你们要要上上
[00:39:13] 上课了
[00:39:14] 你们就先先拉一个
[00:39:17] 先拉一个repository git拉下来
[00:39:19] 然后里面有那么一两百个链接
[00:39:22] 然后是老师认为对你对你学习这门课很重要的
[00:39:25] 然后你就就跟AI说好
[00:39:27] 给我做一个学习的计划
[00:39:29] 然后AID
[00:39:30] 然后就会把它分成15周的内容
[00:39:34] 然后第一周给你什么东西给你做个PPT
[00:39:36] 给你给你做做个音频
[00:39:38] 我也可以随便
[00:39:38] 比如说我我可以让他做个总结
[00:39:42] 我嫌它太长了对
[00:39:43] 但是这里有对唉
[00:39:45] 写写的讲得真好
[00:39:47] 他说从苦涩教训中学到的是通用方法的
[00:39:52] 巨大力量
[00:39:53] 然后这个我怎么理解呢
[00:39:55] 我有一个我也有一些自己的理解
[00:39:57] 我就不不再让大模型在浪费token了
[00:40:00] 呃这叫量变引起质变
[00:40:03] 量变引起质变
[00:40:04] 我今天在讲好几个故事
[00:40:05] 第一个我喜欢的故事是在1980年代的时候
[00:40:09] 这个图稍微有点小
[00:40:11] 但呃你们你们不需要看清楚
[00:40:13] 可以
[00:40:15] 也就你从图上能读到的是
[00:40:17] 它左边是一个对数坐标
[00:40:18] 就是什么十的零次方
[00:40:19] 一次方
[00:40:19] 二次方
[00:40:20] 它是一个对数坐标
[00:40:21] 然后然后横轴是时间
[00:40:23] 也就是说呃在1980年的时候
[00:40:27] 人们就发现了网页的增长
[00:40:29] 就世界互联网上所有内容的增长速度
[00:40:33] 是慢于存储系统的容量的增长速度的
[00:40:38] 也就是说那个存储工业在飞速的发展
[00:40:41] 磁盘越来越大
[00:40:42] 越来越便宜
[00:40:43] 而磁盘的这个技术的进步的速度
[00:40:46] 远远快于人类产生互联网上数据的数量
[00:40:51] 这意味着什么呢
[00:40:52] 它的直接推论就是在不久的将来的一天
[00:40:56] 我们就可以有一个计算机或者一组计算机
[00:40:59] 一个小的分布式系统
[00:41:01] 它可以存储下世界上所有的网页
[00:41:04] 一个计算机可以存储下世界上所有的网页
[00:41:07] 那他的下一个直接的推论就是
[00:41:10] 因为我们有一些好的算法
[00:41:12] 比如说你们可能听说过的什么后缀排序
[00:41:14] 这种算法可以在常数时间
[00:41:18] sorry不是常数线性时间里面实现检索
[00:41:21] 实现一个非常你可以有一个非常大的长的文本
[00:41:24] 非常非常长的文本
[00:41:25] 然后你有一个叫带匹配的文本
[00:41:28] 你是存在一个算法去直接问这个文本
[00:41:31] 在这个极长的里面有没有你
[00:41:35] 你可能会学过这样的算法
[00:41:36] 然后你会知道
[00:41:37] 做索引做检索这件事情是可以的
[00:41:40] 所以这意味着google是必然的
[00:41:42] 就搜索引擎
[00:41:44] 它呃所谓的量变引引起质变
[00:41:49] 你看起来是存储技术1.1.1点的在在发展
[00:41:54] 实际上它一旦到达某一个临界点
[00:41:57] 就可能有超乎想象的呃效果
[00:42:00] 因为因为或你你你也可以看到
[00:42:02] 在你们可能你们长大的时候
[00:42:04] 从小到大的时候
[00:42:05] 在AI来之前
[00:42:06] 互联网检索就是你们几乎唯一的入口
[00:42:09] 信息的唯一入口
[00:42:10] 你们想要看什么东西
[00:42:11] 就一定打开百度
[00:42:13] 然后搜一搜呃对虽然如果你们来上commerr science
[00:42:17] 以前有来上commerr science的
[00:42:19] 我们的第一句
[00:42:21] 上第一门课的第一句话就是先把百度给禁用了
[00:42:24] 不要用百度
[00:42:25] 呃但今天今天这个事情也也变了
[00:42:28] 然后再讲一个我我经历过的
[00:42:30] 就是我我有亲身
[00:42:33] 也不能说是亲身经历
[00:42:34] 就在那个时代时候上了报纸头条
[00:42:37] 新闻的也是一个
[00:42:39] 类似于刚才那种量变引起质变的
[00:42:43] 你们知道象棋
[00:42:46] 包括那个刚才我说的那个编程程序
[00:42:48] 竞赛里面有一个评分系统
[00:42:50] 就什么2000多分
[00:42:51] 3000多分
[00:42:52] 然后然后他会相应的不同的分值
[00:42:55] 会给你不同的段位
[00:42:56] 比如说什么大师级
[00:42:57] 国际大师级
[00:42:59] 就你你你刚刚进入这个排名系统的时候
[00:43:02] 你会得到一个比较相对比较低的分值
[00:43:05] 然后当你不断的赢过别人以后
[00:43:07] 你的分值就会不断的上涨
[00:43:09] 但你输了以后你也会掉分
[00:43:11] 然后当你你和一个比你段位高很多的人比赛
[00:43:14] 并且击败他的时候
[00:43:15] 你就可以涨一下涨涨很大的分
[00:43:17] 然后基本上是这这这背后有一个呃数学模型
[00:43:21] 有一个数学模型
[00:43:23] 大概是什么呢
[00:43:24] 你们你们学过一点概率吗
[00:43:25] 在学概论吗
[00:43:26] 知道正态分布吗
[00:43:28] 正态分布有两个参数
[00:43:30] 两个参数缪和西格玛
[00:43:32] 然后他就把一个人在
[00:43:34] 比如说在象棋或者在编程领域的
[00:43:37] 加上我这也是一个simplified model
[00:43:39] 把人人在象棋领域的能力
[00:43:43] 能力值建模成一个mu和一个西格玛
[00:43:46] mu是代代表他的战斗力
[00:43:49] 然后西格玛代表它的稳定性
[00:43:50] 然后两个人比赛他的数学建模是什么呢
[00:43:54] 是我从这个正态分布里面取一个数字
[00:43:57] 取一个分布里面概率分布里取一个值出来
[00:43:59] 然后另外一个人比如说他的分布
[00:44:02] 他的缪在这
[00:44:03] 他的西格玛在这
[00:44:05] 那么我他打赢我的概率就是极高的
[00:44:08] 打赢我的概率是极高的
[00:44:10] 然后实际上整个rating system
[00:44:14] 它的分配就是为每一个人确定缪和西格玛
[00:44:17] 如果赢了我赢了我的
[00:44:19] 我赢了你
[00:44:20] 我的缪就会往往那边去
[00:44:22] 你的缪就会往左边去
[00:44:24] 然后最后经过了足够多的比赛以后
[00:44:26] 所有人就呃基本上收正确的
[00:44:29] 收敛到他他在整个世界上的排位好
[00:44:33] 这个在象棋
[00:44:34] 围棋
[00:44:36] 呃甚至你们打王者荣耀的那个系统
[00:44:38] 也是用同样的方式来呃来来计算的
[00:44:42] 然后在1980年代的时候
[00:44:44] 这里面有很多人
[00:44:45] 包括呃你们我们操作系统领域很有名
[00:44:48] 那个得图灵奖的ken thompson
[00:44:49] 发明了UNIX操作系统的图灵奖
[00:44:51] 他也参与到这个计算机
[00:44:54] 用计算机来下象棋的呃竞赛当中
[00:44:57] 然后来他们发现了一个非常有趣的规律
[00:45:02] 每当你搜索
[00:45:04] 因为那个时候象棋还是一个暴力搜索的
[00:45:06] 几乎是一个暴力搜索
[00:45:07] 加上一个叫阿尔法贝塔减脂的技术来呃来实现
[00:45:11] 但主要还是靠暴力搜索
[00:45:13] 然后它靠暴力搜索
[00:45:16] 每搜索深度每增加一层
[00:45:19] 他就可以看到稳定的这个积分
[00:45:22] 就可以从一个大概能够上
[00:45:25] 可能几十还是呃多少分
[00:45:29] 这它几乎啊就是你多收一层
[00:45:31] 加一层再加一层
[00:45:33] 这个分数就是稳定的提升的
[00:45:35] 也就是说当时他们看到了一点所谓人类的智能
[00:45:39] 人类的智能不过是算力
[00:45:42] 人类的智能的本质是算力
[00:45:44] 就对这些顶尖的已经是进入职业
[00:45:47] 慢慢他们一开始打不过
[00:45:48] 到开始可以和一些职业的选手打一打
[00:45:52] 然后在他们发现
[00:45:54] 如果理论上说按照这样的规律下去
[00:45:57] 有一天地球上应该没有人类能够打得过计算机
[00:46:03] 那这个时候他们应他们选择去干什么呢
[00:46:05] 你们猜一猜
[00:46:06] 如果要尽可能快地让机器打败最强的人类
[00:46:11] 他们应该干什么
[00:46:13] 是最有收益的
[00:46:14] 造加速器
[00:46:17] 因为算法从算法的角度
[00:46:19] 我每搜索一层都要指数级的时间
[00:46:23] 那我为了能够快速的呃增加我搜索的深度
[00:46:28] 最好的办法就是造加速器
[00:46:30] 所以呃我我我那个时候我读研
[00:46:32] 读书的时候看过
[00:46:33] 当时呃许峰雄讲他们怎么击败这个
[00:46:37] 加里卡斯特帕洛夫的回忆录的时候
[00:46:40] 就讲到他们其实做的是一个下棋的电路
[00:46:44] 然后因为因为你你你为了下一步棋
[00:46:47] 他是个8×8的呃棋盘
[00:46:50] 然后在这个棋盘上
[00:46:51] 你为了判断你下下这步棋是不是合法
[00:46:54] 能不能下
[00:46:55] 你基本上就是要做一个8×8那么多的运算
[00:46:58] 而在一个现代的就是在一个顺序的CPU上
[00:47:02] 这个过程是很慢的
[00:47:04] 有很多的分支
[00:47:06] 有很多的跳转
[00:47:07] 它要还有很多的计算
[00:47:08] 这个过程是很慢的
[00:47:09] 但如果你用电路来实现
[00:47:11] 那你几乎就是几个周期就可以
[00:47:14] 判断出同一个状态下到下一个状态
[00:47:17] 所以他们最后的解决方法就是用了
[00:47:20] 首先用了超级计算机
[00:47:22] 在超级计算机的基础上还用了加速器
[00:47:25] 是不是和今天的你看到的大模型的时代
[00:47:28] 如出一辙
[00:47:29] 然后他们就打败了人类
[00:47:32] 打败了当时是一应该是1997年
[00:47:34] 那个是报纸头头版
[00:47:36] 报道的事情
[00:47:37] 那个时候可能我还在上小学
[00:47:39] 那是我第一次
[00:47:39] 可能可能是我第一次正式的听说人工智能
[00:47:42] 可能是第一次听说人工智能这样的名呃名字
[00:47:45] 然后再到你们经历过的事件
[00:47:48] 阿尔法go的skin law
[00:47:50] 其实阿尔法go
[00:47:51] 其实是借借用了当年在deep blue上
[00:47:56] 大家已经发现的规律
[00:47:59] 就是人人所谓人类的
[00:48:01] 人类的智能不过是算力而已
[00:48:03] 然后你看这件事情
[00:48:04] 在大语言模型上又再次证明了一次
[00:48:06] 我们现在大圆模型已经可以
[00:48:08] 横扫这个各种各样的程序设计竞赛
[00:48:11] 数学竞赛只是在2016年的时候
[00:48:14] 大家发现我们可以用像理解看阅读图片一样
[00:48:18] 他用的是阅读图片的那种卷积神经网络
[00:48:21] 用阅读图片一样的方式去理解棋局
[00:48:24] 然后它背后的搜索算法也从
[00:48:27] 那种阿尔法贝塔的简直变成了蒙特卡洛trade search
[00:48:29] 这个就比较呃比较基础的
[00:48:31] 然后我2016年的时候
[00:48:32] 我在我在美国熬夜
[00:48:34] 那时候美国时间是是是凌晨
[00:48:36] 然后看看直播
[00:48:38] 虽然他们下的棋我也我也看不明白
[00:48:40] 他们对高端的棋局我也看不明白
[00:48:42] 但是我确实当时我想到的就是
[00:48:45] 我过去知道的那个故事是人类
[00:48:48] 所谓人类的智能就不过是呃不过是是算力
[00:48:51] 然后再到今天
[00:48:53] 两个最著名的
[00:48:55] 就是大开启了大语言模型时代的
[00:48:59] 两篇两篇论文
[00:49:00] 一个是KAPLAN的那个skin law
[00:49:02] 一个是那个google的呃chinchilla paper
[00:49:06] 这个这个图是从第二篇paper里面啊拿来的
[00:49:10] 也是类似的
[00:49:11] 就是所谓人类的智能不过是算力
[00:49:15] 如果你你呃右右边底下图是这样的
[00:49:18] 每一条曲线代表一个颜色
[00:49:21] 一个颜色就是固定一个算力
[00:49:23] 从比如说6×10的18次方到十的19次方
[00:49:26] 3×10的19次方
[00:49:27] 随着算力的增加
[00:49:29] 你投入的算力越来越多
[00:49:31] 你就需要越来越多的数据去喂饱它
[00:49:34] 越来越大的模型
[00:49:36] 越来越多的数据
[00:49:38] 然后你会看到一条很明显的从从这里是往下
[00:49:43] 它的纵轴是叫training loss
[00:49:46] 就相当于是它的智能
[00:49:47] 你可以理解成他做能够预测这个语料
[00:49:50] 就预测next token的那个概率分布训练的有多好
[00:49:53] 随着随着你的算力的增加
[00:49:57] 你就可以用更多的数据给它更多的参数
[00:50:02] 然后可以得到更好
[00:50:05] 不断得到更好的模型
[00:50:06] 所以呃甚至啊就是open AI
[00:50:09] 当时在做这个愿意训练一个175B脸的
[00:50:13] GPT3的呃模型的时候
[00:50:15] 没有人知道它它能不能成功
[00:50:19] 没有人知道他能不能成功
[00:50:21] 他们只是因为他们做了一些这种小规模的实验
[00:50:24] 然后他们就是相信这个实验可以外推
[00:50:26] 我们的数据
[00:50:27] 还没有还没有用
[00:50:28] 还没有用
[00:50:29] 还没有把这个模型喂饱
[00:50:31] 所以我们在有那么多数据的时候
