[00:00:00] 好今天我们来讲和生成式软件工程里面非常关系特别大的一个
[00:27:30] 但你是说不出来的那种AI味儿
[00:27:32] 啧哦我我我不知道
[00:27:36] 就是在AI之前
[00:27:37] 好像也有人是这样写主页
[00:27:40] 但是不理解
[00:27:42] 但是你们看一下我我的主页
[00:27:44] 你们可能啊可能看到了我的主页
[00:27:48] 这就有点不一样了
[00:27:52] 这是一个真正的终端
[00:27:54] 所以我是可以比如说呃有有有管道的
[00:27:59] 然后如果你们放大了看放大了看这个字它是不完美的
[00:28:06] 就它不是一个特别工整的字
[00:28:08] 我做了一个非常小的这个后处理
[00:28:11] 就我所有的这个exterminate js渲染完之后做了一个后处理
[00:28:15] 他就有一种像是真的打字机打出来的那种不完美的效果
[00:28:20] 所以所以这个
[00:28:24] 就看起来这个价位就没有那么重了
[00:28:27] 因为他确实不像是AI的风格
[00:28:30] 虽然我一个字一行代码也没有
[00:28:33] 我我一行代码也也没有没有写
[00:28:36] 哎呀这个
[00:28:40] 关不掉
[00:28:42] 他捕获了我的键盘
[00:28:43] 这可能是一个呃小bug嗯那就就这个原则
[00:28:50] 你你的指令给的越清楚
[00:28:53] agent就能完成的越好
[00:28:56] 如果你能给他具体的风格
[00:28:58] 我需要一个什么样的呃终端
[00:29:00] 它的背景是什么
[00:29:01] 前景是什么
[00:29:02] 它的呃渲染完了以后
[00:29:03] 它的处理处理是什么
[00:29:05] 然后样式和排版是什么
[00:29:07] 基本上呃你就可以实现这个去去掉LV
[00:29:11] 所以实际上要说的还是这些设计是掌控在大家自己手里的
[00:29:17] 你们需要读很多前端的书
[00:29:20] 甚至要读很多设计的书
[00:29:22] 然后再读一些去看一些好的网页
[00:29:25] 你每次看到一个谁的网页比较好的时候
[00:29:29] 你就会把它记下来
[00:29:30] 哎这个网页设计的非常好
[00:29:31] 它好是为什么呢
[00:29:32] 是因为这两个按钮之间他用了一个不常规的间距
[00:29:36] 或者用了一个不常规的样式
[00:29:37] 你很喜欢你在呃就我觉得在很多很多时间里面
[00:29:41] 人生因为你们有时间嘛
[00:29:43] 你们就去漫无目的的探索
[00:29:44] 但是在探索的过程中有惊喜
[00:29:47] 就就就非常好
[00:29:49] 而我觉得现在就呃我比较担心的是我们的孩子这一代人
[00:29:53] 就是你你们还是见过这一生中还是见过很多NNAI
[00:29:57] 然后做的非常非常好的东西的
[00:29:59] 但是我我就记得我我去上个学期结束的时候
[00:30:04] 最后一次接孩子的时候进到学校里面
[00:30:06] 然后那个学校里面有一个这个大概是是欢欢送毕业生
[00:30:12] 你们每年都会有
[00:30:13] 然后欢送毕业生的时候
[00:30:14] 那个图片就是满满的AIL
[00:30:16] 然后我发现不仅在这个地方看到有AI味的图片
[00:30:19] 你在这个计算机学院的楼下
[00:30:20] 那个欢送毕业生的也是那种同样的AI味
[00:30:23] 然后这里又有一种那个你们那个短视频
[00:30:26] 女主全全部永远是一张脸的那个那个感觉感觉
[00:30:31] 然后当当所有人被这个AI生成的东西同化的时候
[00:30:37] 就有一点点危险
[00:30:38] 但是啊至少我们的数字世界里面还是保存了足够多
[00:30:43] 纯AI时代的东西有足够的多样性
[00:30:46] 大家呃大家去去可以多留意一点
[00:30:49] 你们看到每一个比如说设计的网页
[00:30:52] 设计的简历或者是任何东西的时候
[00:30:55] 都想诶他到底是呃怎么想的
[00:30:58] 他
[00:30:58] 他的且空间到底是怎么被约束住
[00:31:02] 防止AI向内一个
[00:31:04] 做一个现代风格个人主页去啊去去去发散对
[00:31:09] 所以基本上这就是啊生成式软件工程
[00:31:11] 你们要呃主要要学习的东西
[00:31:16] 明确你的意图
[00:31:17] 你因为只有你跟AI玩过了
[00:31:20] 给我生成一个现代风格的主页
[00:31:22] 你们在公众号上都各种说看到说
[00:31:25] Kimi K3的前端能力又增强了
[00:31:27] 达到了世界第一
[00:31:28] 然后呃OPENA好像又要发新的模型了
[00:31:32] 呃这当然我觉得也可能是非常可怕的事情
[00:31:35] 嗯但无论如何
[00:31:37] 模型都是一个模型
[00:31:39] 它的品位基本上是固定的
[00:31:42] 尤其是在你不控制它的时候
[00:31:44] 它会朝一个固定的方向去呃去发散
[00:31:47] 这也是为什么我们会鼓励大家要跟不同的人聊天
[00:31:51] 为什么学校里面有有不同的人老师来上不同的课程
[00:31:55] 多样性其实是其其实是好的
[00:31:57] 你见识过了以后
[00:31:58] 你就可以越来越明确的知道你想要的到底是什么
[00:32:03] 然后把它精确地说出来
[00:32:04] 这其实是需要你对软件工程的
[00:32:07] 拦截工程的
[00:32:08] 支持的
[00:32:09] 反而现在最不重要的是
[00:32:11] 如果你已经到达了这一步
[00:32:13] 比如说你理解了技术选型
[00:32:15] 明确的知道了技术选型的好坏的之间的区别
[00:32:19] 那你真的是可以和AI去讨论这个
[00:32:22] 比如说我现在有两种选择
[00:32:24] 谁好谁坏
[00:32:25] 你可以你可以像这个费曼学习法那样去引导AI
[00:32:29] 我我我现在要要做一个
[00:32:32] 比如说你要做一个教务系统
[00:32:33] 你承承担了教务系统的订单
[00:32:36] 那你后台是应该用Python还是应该用java
[00:32:39] 还是应该用type script
[00:32:41] 你如果你知道这几个语言之间
[00:32:44] 他可能潜在
[00:32:46] 比如说未来你要上云的时候
[00:32:47] 会会不会遇到什么呃问题
[00:32:50] 哪一种可能会更方便等等
[00:32:51] 你就可以跟AI去去去讨论
[00:32:53] 你当老师
[00:32:54] 你说我现在要做这件事
[00:32:55] 我要我要这个请你请你挑战我
[00:32:58] 这样能不能说服说服底下的一个学生O好
[00:33:03] 这是啊上下上下文工程啊的东西好
[00:33:09] 那么讲了应该怎么样去写写prompt
[00:33:15] 我们还是要稍微再讲一讲模型是怎么遵循指令的
[00:33:19] 就是听指令这件事到底是怎么完成的
[00:33:23] 这样我们就可以更好的呃去让模型听我们的指令
[00:33:29] 我们讲过模型是一个概率分布
[00:33:31] 它根据你当前的上下文去
[00:33:33] Predict next token
[00:33:34] 其实这里有一个非常有insight的
[00:33:38] 每一次模型输出一个token
[00:33:41] 它其实都是一个非常有限的计算
[00:33:43] 看起来比说模型现在有一个这个呃3tb的模型
[00:33:50] 3T的模型1.5
[00:33:51] tb的模型一个
[00:33:53] 当然这个数字本身确实是非常的大
[00:33:55] 额
[00:33:56] 是足够大的模型
[00:33:57] 但是模型为了输出一个token
[00:34:00] 它也就是把其中激活的那一部分走一遍
[00:34:05] 所以它是一个固定大小的计算
[00:34:08] 然后你们也你们可能在刚上这个计算机系的时候
[00:34:14] 你会听说这样的一个一
[00:34:17] 听说这样一个东西叫图灵机
[00:34:19] 叫terry machine
[00:34:20] 然后然后可能会听说过说说图灵机的计算能力是非常大的
[00:34:26] 大到和我们整个宇宙都是等价的
[00:34:28] 你你们你们可能听过这句话
[00:34:30] 但是不完全要知道这个church tcs它它背后代表的是什么
[00:34:35] 然后哦你们也知道有限状态机
[00:34:38] 这个这个你们都知道
[00:34:39] 在数字电路课里面做过的有限状态机
[00:34:42] 有限状态机就是你有一个比如说计数器
[00:34:44] 从000110
[00:34:46] 一一
[00:34:47] 然后再回到001个有限的状态
[00:34:49] 然后有限你的这个有限的状态的
[00:34:51] 状态机和图灵机之间唯一的区别是什么
[00:34:56] 是图灵机
[00:34:57] 有一个无限长的纸袋
[00:34:58] 他有一个记忆可以把墙上有一个草稿纸
[00:35:01] 可以把它把它记下来
[00:35:03] 然后也有一个很有趣的
[00:35:05] 我很喜欢的一个呃说法是这样的
[00:35:09] 你的脑子是一个有限状态机
[00:35:12] 我们脑子里的神经元是有限的
[00:35:15] 我们每一次思考都是都是有限的
[00:35:18] 那呃有点像模型
[00:35:21] 模型他能力很强
[00:35:21] 但是他他在predict next token的时候
[00:35:26] 它的计算量也是有限的
[00:35:28] 也就是那一次推理所激活的
[00:35:31] 所有的参数可能也就几百个B列好
[00:35:35] 那是什么使你
[00:35:37] 这是一个应该是MANUEL伯纳姆给给研究生的建议
[00:35:41] 里面说你你是一个final state
[00:35:46] Automa
[00:35:47] 你是个有限状态
[00:35:48] 你是你人是一个有限状态机
[00:35:49] 但是当你有paper和pencil的时候
[00:35:52] 你就是一个turing machine
[00:35:55] 你就得到了计算能力的一个大跨越式的呃增长
[00:36:01] 这件事情是对的
[00:36:02] 这件事情是对的
[00:36:04] 当然这是为了启发你们要把想法记下来
[00:36:07] 你们一边思考
[00:36:08] 一边要要记录
[00:36:09] 然后可以随时回看自己的思考
[00:36:11] 随着时间越来越长
[00:36:12] 你记的东西越来越多
[00:36:14] 你的知识就会就会积累
[00:36:16] 然后你发现今天的这个模型
[00:36:18] 这个chain of thought就是就是往后
[00:36:21] 吐思维链的模型就是做了这件事
[00:36:24] 他直接把这个模型的上下文当做了paper and pencil
[00:36:31] 当成了纸和笔
[00:36:33] 当然这个纸和笔呃是有缺陷的
[00:36:36] 就是这个纸和笔它只能往后写
[00:36:38] Append only
[00:36:38] 不停的往后写
[00:36:39] 它不能不能擦
[00:36:41] 对
[00:36:41] 他靠依靠模型的注意力
[00:36:43] 把这个写错的东西就就忽略掉
[00:36:45] 但是他是pony的
[00:36:46] 这也许有一天就能就就能改掉
[00:36:48] 但是无论如何
[00:36:50] 模型学会了利用它的这个上下文
[00:36:54] 如果遇到一个比如遇到一个很简单的
[00:36:58] 答案1+1等于几
[00:36:59] 他马上next token
[00:37:00] 就会告诉你是二
[00:37:00] 这个没问题
[00:37:01] 但如果遇到一个很难的问题
[00:37:04] 他会像人一样诶这个问题有点难
[00:37:07] 我要先想一想
[00:37:08] 那么为了解决这个问题
[00:37:10] 我可以先试一试什么
[00:37:11] 他他理解自己可能解决不了这个问题
[00:37:15] 他理解自己可能要把这个思考的过程写下来
[00:37:18] 直到这个解可能是对的
[00:37:21] 可能是错的
[00:37:21] 完全写出来了
[00:37:22] 他在
[00:37:24] 一旦那个解答写出来了
[00:37:28] 他就可以再去试一试
[00:37:29] 这个解答是对还是不对
[00:37:32] 他可以判定
[00:37:33] 然后再往再往后
[00:37:35] 这是这是这个现在chain of thought模型
[00:37:37] 呃做做的做的事
[00:37:39] 他用token的数量
[00:37:41] 他可以直接回答
[00:37:42] 但他直接回答就有就是错误的风险
[00:37:44] 刚开始最早有ChatGPT的时候
[00:37:46] 他没有思维链的时候
[00:37:48] 他就是这样的
[00:37:49] 他他被调成了一个人类的舔狗
[00:37:51] 调整人类舔狗就意味着人类不管说什么
[00:37:54] 他就一定要说一个东西
[00:37:55] 它才有可能满足
[00:37:58] 如果如果我说说就当时差ChatGPT在训练的时候
[00:38:03] 如果人类问问他一个问题
[00:38:04] 他不回答或者
[00:38:06] 他就不回答
[00:38:07] 那人类一定是给低分的
[00:38:09] 而如果他随便给一个回答
[00:38:11] 他就有概率是对的
[00:38:12] 那错了
[00:38:14] 如果他答错了
[00:38:14] 那当然也是低分
[00:38:15] 但是他答对了
[00:38:16] 他就是高分
[00:38:17] 所以他他无论如何这个幻觉就是这么来的嘛
[00:38:19] 他无论如何一定要给你一个111个东西
[00:38:22] 但是现在这个呃带CHAPSP模型
[00:38:25] 它有强化学习以后
[00:38:26] 他就会知道
[00:38:27] 他必须要给一个对
[00:38:28] 因为它他答错的惩罚很大
[00:38:30] 好他就他就学会了
[00:38:32] 就就学会了这个
[00:38:34] 所以AI就真的会像像人一样一步一步逼近目标的这个test time skilling
[00:38:38] 就在我们每一次拍的这个session
[00:38:40] 上课的时候的
[00:38:41] session里面
[00:38:42] 看到的一样
[00:38:43] 我举几个例子
[00:38:45] 这几个例子其实不在
[00:38:47] 模型训练的这个数据当中
[00:38:51] 其实
[00:38:51] 这个这还这还挺好玩的
[00:38:53] 我们来看一下
[00:38:54] 我换一个目录
[00:38:58] 我要用中文写一个押韵的藏头诗头
[00:39:01] 反正随便
[00:39:02] 一个nonsense
[00:39:04] 头是一个nonsense
[00:39:07] 然后我还要求他讲一个动物相关的故事
[00:39:10] 我还要求这个二零269月1日八个字
[00:39:13] 分别按顺序出现在八句里
[00:39:15] 这个就你看这是个nonsense
[00:39:17] 然后对人来说
[00:39:19] 你你比如说高三哪一年期末考试就出一个出一个这个
[00:39:25] 你马上第一眼就骂这个老师
[00:39:27] 这老师是怎么怎么想的
[00:39:29] 但模型不会
[00:39:31] 模型会照单全收
[00:39:32] 你看他有一个呃思思维链
[00:39:35] 它会开始试
[00:39:38] 你看他一样
[00:39:39] 他会先想韵脚
[00:39:41] 因为他不确定他
[00:39:42] 因为他知道他自己一把头写出来这个东西一定是错的
[00:39:46] 但是他可以先写一个出来
[00:39:48] 他写一个出来以后
[00:39:49] 它它就能够用它它的模型的
[00:39:51] next token prediction是足够判定这个东西写得对还是不对的
[00:39:56] 如果不对
[00:39:57] 他再想办法再改
[00:39:58] 他如果试了很久不行
[00:40:00] 他会再推从头推
[00:40:01] 我换一个韵脚
[00:40:03] 所以他就开始对你看他在不断的验证好
[00:40:13] 脊椎二路穿林雾学幻六珠共识
[00:40:18] 属院中酒鸡蒸米素珍如月下老牛布
[00:40:24] 相当不错对吧
[00:40:25] 虽然嗯虽然你就觉得品味上肯定是呃肯定可能不不完美
[00:40:31] 但是呃你看到了
[00:40:33] 就你从你用这样的任务其实很好玩
[00:40:36] 可以看到它遵循指令的过程
[00:40:39] 就是这是一种我们把他的大脑好像是拿出来做核磁共振的
[00:40:44] 这个就你你能找到他的思维的偏好
[00:40:46] 然后这个是ChatGPT给我的
[00:40:48] 就就你们在课件上面看到的带新的都是AI lab
[00:40:53] 都是AI补充的东西
[00:40:54] 虽然我还是用了一些一些prompt的视图
[00:40:57] 试图让它我记我又加了一点problem
[00:41:00] 所以这个AI味好像稍微会轻呃呃轻一点
[00:41:03] 但anyway嗯这是这是AAIAI生成的
[00:41:07] 你看他换了一个韵脚
[00:41:09] 呃而且他没有把二零269月1日就完全啊完全压到同同一列
[00:41:15] 但它同样它的这个执行指令也是
[00:41:18] 也是非常好的
[00:41:19] 那么很有意思的是
[00:41:22] 一般来说它强化训练的时候
[00:41:25] 这样的东西是比较比较少
[00:41:28] 相对来说它可能会有
[00:41:29] 但是呃会比较少
[00:41:30] 这个一定是不在他的训练的
[00:41:34] 去训练数据里
[00:41:35] 他不可能在训练数据里面猜
[00:41:37] 猜出这个这个东西吧
[00:41:39] 嗯结果就是他在训练的时候用的绝大部分应该是代码
[00:41:44] 数学题
[00:41:45] 这样有明确反反馈的东西
[00:41:47] 他把人类直接给杀死了
[00:41:49] 这个这也是一个
[00:41:54] 当然也也很好
[00:41:56] 也很好玩
[00:41:57] 你你你如果期末考试的时候
[00:41:58] 就高考的时候
[00:41:59] 你你碰上这个题
[00:42:01] 然后你马上就想骂这个这个这个出题人
[00:42:03] 你脑子是怎么想的
[00:42:05] 你要写一个18字的一句话
[00:42:09] 全部要求相同的偏旁或者部首
[00:42:12] 而且我们也知道模型对于空间结构感知是非常差的
[00:42:18] 模型需要视觉模型呃才行
[00:42:21] 但是就是就是这样的一个文本模型
[00:42:25] 它依然可以强行通过思维链的方式
[00:42:28] 你看他现在没举字
[00:42:31] 他先选一个
[00:42:32] 他觉得三点水最最好
[00:42:36] 然后写写这个
[00:42:44] 江湖游泳渡河
[00:42:46] 波涛汹涌
[00:42:47] 泪流满溢
[00:42:48] 洗涤污泥
[00:42:50] 洗涤你污
[00:42:51] 写的还可以
[00:42:53] 写的还可以
[00:42:55] 那这个也也很好
[00:42:56] 洪涝淹没江江港渔府
[00:42:59] 这个呵还挺有故事感的
[00:43:01] 由有和有无漂浮
[00:43:03] 这个是是是继续写的
[00:43:05] 但是我觉得人类就这个任务上
[00:43:08] 人类还是有有更强的天赋的
[00:43:12] 我我我不太记得了
[00:43:13] 那个人类的就就人类的群体智慧给的是什么
[00:43:17] 什么玩玻璃球涂润滑油什么
[00:43:20] 你就我就不再不能再讲下去了
[00:43:22] 他这个这个对
[00:43:24] 这个anyway
[00:43:25] 这个这个这个这个当我当我什么也没有
[00:43:28] 没有没有说这个就就是人类在做这件事情上
[00:43:32] 还是a lot better
[00:43:34] 当然当然你你就
[00:43:39] 也许你可以通过这个让让AI更多的收束spec的方式
[00:43:44] 但是这已经是一个非常困难的spec了
[00:43:48] AI可以可以做到
[00:43:51] 以及这可能是世界级的
[00:43:54] 你们你们已经知道这个什么施氏食狮史和这个GGGGG的
[00:44:00] 就他所有的都用
[00:44:02] 都用同一个音
[00:44:04] 然后我竟然发现呃这GP5.6依然能能能做到
[00:44:09] 虽然它的故事性确实也跟这个比如说千古流传的呃还是有一定的差距
[00:44:16] 但这个差距我觉得依然是可以缩小
[00:44:18] 就是他能写出来一个
[00:44:20] 就意味着我可以引导他写出来1万个
[00:44:23] 然后在那1万个里面我可以再微改一下
[00:44:26] 它可能就可以达到一个接近这种千古流传的呃东西
[00:44:31] 所以chair toshot他在数学和编程上面训练
[00:44:34] 但是他得到了一个非常意外的呵呃意外的效果
[00:44:40] 所以你们看到写prompt最重要的就是那个VERIFILE
[00:44:45] 今天模型的那个能力已经非常强了
[00:44:48] 如果你们能够给明确模型一个非常明确的VERIFIER
[00:44:52] 对
[00:44:52] 就像就像我我前面三个都是非常明确
[00:44:55] 信号非常明确的WIFI
[00:44:57] 他他看到字才知道这个字是什么偏旁
[00:44:59] 什么那什么部首
[00:45:00] 再加上一个足够强的模型
[00:45:03] 那么不管它是编程任务
[00:45:05] 教学任务
[00:45:07] 你的当然教学任务最难的
[00:45:08] 其实它很难玩法
[00:45:09] 就是我们我们经常讨论的时候
[00:45:11] 比如说说我我的呃这个数字切片就翻车了
[00:45:16] 我做了第一个切片
[00:45:16] 然后第二个切片我一直都都没有办法把它做好
[00:45:19] 就是因为无论我我怎么调
[00:45:22] 我都很难写一个
[00:45:23] 就说我这东西要好
[00:45:25] 然后这个好又是多方面的
[00:45:28] 首先AI味要淡一点
[00:45:30] 那这个可能本身我我那个呃test to speech的模型我就做不到
[00:45:34] 但这可能还不是本质的
[00:45:36] 还有一个就是我在上课的时候
[00:45:37] 你看我有这个情绪的波动和起伏
[00:45:40] 我有些东西讲事实的时候
[00:45:42] 我一开始讲
[00:45:43] 这模型的上下文是怎么怎么构成的
[00:45:46] 这些这些这些好
[00:45:47] 那你们你们听的都是废话介绍这些事情我已经知道了
[00:45:50] 诶
[00:45:51] 我就会给你们一个小的surprise
[00:45:53] 我我就去派里面让他自己把这个上下文看一下
[00:45:56] 然后呢你们这就我说出来这句话的时候
[00:45:59] 可能对你们来说是意料之外
[00:46:03] 情理之中的
[00:46:04] 那这就是一个老师在组织这个课堂的时候要做的要做的事情
[00:46:08] 某种程度上我是在在表演
[00:46:10] 那我我当然我知道这个principle
[00:46:12] 是我需要需要给需要需要把这个课堂内容组织成一个有
[00:46:16] 有起有落的一个啊硫但是这不是一个可以玩法的东西
[00:46:24] 到底什么样的程度我需要和你们共情
[00:46:28] 我是从学生过来的
[00:46:29] 所以这就是我我觉得我现在和AI还不一样的地方
[00:46:32] 我每一个人都是从学生过来的
[00:46:34] 我自带了人的属性
[00:46:35] 我自带了人对这个世界的体验
[00:46:39] 然后这个时候我因为我我对世界的体验更好
[00:46:41] 所以我我我更懂你们
[00:46:43] 也许可以
[00:46:45] 有一个更更符合大家的上课的节奏
[00:46:48] 但是这个东西没有给verifier
[00:46:51] 不像数学和编程那样有一个呃verifier
[00:46:54] 所以现在目前来说
[00:46:56] 我们还是更更容易用AI去实现
[00:46:59] 这个有明确啊verifier的啊部分了
[00:47:02] 但在有WIFI的事情上
[00:47:03] 你可以完全可以认为这个AI已经超越了大部分人的
[00:47:07] 就是做这件事情的啊极限了
[00:47:10] 所以我们更多的是要和AI去协作来
[00:47:15] 做好我们啊手手头的任务
[00:47:18] 或者说把模型当成是我们能力的一个呃非常重要的
[00:47:25] 放大器
[00:47:26] 放大器实际上这个思维链
[00:47:28] 它带来的这种指令遵循的能力
[00:47:33] 还可以再往深里面再再想一想
[00:47:36] 其实是这样的
[00:47:37] 他每输出任何一个token
[00:47:40] 像现代模型叫叫self attention
[00:47:42] 它叫注意力机制
[00:47:43] 这个机制跟我们人还是很像的
[00:47:46] 它它有一个一层一层一层叠起来的
[00:47:48] transformer的一层一层的注意力
[00:47:50] 然后每当他输出一个token的时候
[00:47:54] 或者说他要输出这个token的时候
[00:47:55] 他都会跟他都会看到过去的某一些token
[00:48:01] 相当于他为了输出这个token的时候
[00:48:03] 过去某些token会显得特别引起人的注意
[00:48:07] 然后有些token就可能不那么注意
[00:48:10] 我举个例子
[00:48:11] 比如说我在前面这个system prom或者agent agents
[00:48:14] 点MD里面有一个用中文回答
[00:48:17] 这个用中文回答
[00:48:18] 然后我现在在这个地方user的这个prompt里面写的是
[00:48:23] 你帮我实现一个极品飞车
[00:48:25] 然后这个时候他在写代码
[00:48:27] 那在写代码的时候
[00:48:28] 这个注意力就会倾向于集中到我的这个已经写过的代码
[00:48:33] 然后这个需求这些这些部分
[00:48:35] 而相对来说这个用呃这个总结用中文回答这句话
[00:48:39] 他的注意力就会就会减下来
[00:48:41] 当然这是模型训练的magic
[00:48:43] 它最终能够通过注意到正确的词
[00:48:45] 也相当于是整个上下文是一个非常呃高维的一个很糟糕的表示
[00:48:51] 但是里面有一个低维的结构
[00:48:52] 然后注意力机制能够把它给啊把它给捞出来
[00:48:55] 然后这就意味着我们的每一个chain of thought的token
[00:49:01] 他都会注意到一些过去的某一个部分的东西
[00:49:06] 然后随着它的输出
[00:49:08] 比如说我的代码写完了
[00:49:10] 比如代码写完了以后
[00:49:12] 他要总结一下
[00:49:13] 他会喘一口气
[00:49:13] 跟人其实是一样的
[00:49:15] 人也是当你集中在做某一件事情的时候
[00:49:17] 比如说你一个数学题
[00:49:18] 你就算化简这个算式的时候
[00:49:20] 你所有的注意力都是在这个算式上的
[00:49:23] 然后你把那个算式化简了
[00:49:24] 然后算式化简完了以后
[00:49:25] 你吸一口气
[00:49:26] 让我来调整一下的时候
[00:49:28] 你的注意力就变了
[00:49:30] 当你那段代码写完了以后
[00:49:32] 你的注意力就可以集中到
[00:49:34] 用户还要我用中文
[00:49:36] 用户还要我做一件别的事情
[00:49:38] 就你看他输出到不同阶段的时候
[00:49:40] 他的注意力会变化
[00:49:42] 这也是模型训练带来的结果
[00:49:44] 这就是一个magic一个非常大的模型
[00:49:47] 竟然可以收敛到
[00:49:48] 就这是预期的
[00:49:49] 就是收敛的时候
[00:49:50] 我希望我希望能够在正确的时候注意到正确的东西
[00:49:53] 然后你思维链一直在向前走
[00:49:56] 它就会不断的在不同的时刻注意到不同的部分
[00:49:59] Eventually
[00:50:00] 他就能把这个上下文里面所有你要的指令
[00:50:03] 一定程度上都呃都满足
[00:50:07] 也就是说你你会犯一个错误
[00:50:08] 你你的token
[00:50:09] 你现在当前专注于做这件事的时候
[00:50:12] 你可能向向后输出了一些不满足要求的东西
[00:50:15] 但当你停下来喘气的时候
[00:50:17] 他就能看到你输出当前当前输出的那些不满不满足要求的东西
[00:50:22] 和过去的某一个要求
[00:50:24] 他的注意力可以看到
[00:50:25] 同时看到这个
[00:50:26] 然后他说哦我错了
[00:50:27] 我错了
[00:50:28] 我要再纠正一下
[00:50:29] 于是你看到比如说你真的让AI再去写那个什么藏头诗的时候
[00:50:34] 看他会不断的纠错纠错纠错纠错纠错
[00:50:36] 哪怕到是skill到100万上下文的时候
[00:50:40] 他依然能够保持一定程度的啊注意力
[00:50:45] 当然当然这也意味着呃你的指令越多
[00:50:49] 给模型的压力也也越大
[00:50:52] 上下文是一种
[00:50:53] 会会抢夺注意力的资源
[00:50:56] 这也是为什么我们呃就刚开始的时候
[00:50:59] 因为像chat bt
[00:51:02] 3.54
[00:51:03] 它遵循指定的能力实在是太差了
[00:51:06] 所以你们你们会看到网上有好多的这个叫prompt engineering的guide
[00:51:11] 然后他会说什么
[00:51:12] 你是一个专家
[00:51:13] 然后你是一个什么样的专家
[00:51:14] 你是一个什么什么什么
[00:51:15] 就这些写了很长的提示词
[00:51:17] 然后他某种程度上是在hack这个模型的self attention
[00:51:22] 使得就是说当模型的attention注意到
[00:51:25] 你是一个什么专家的时候
[00:51:26] 他就会假装那个专家来
[00:51:28] 专家专家专家来说话
[00:51:29] 那但是从GPT5的时代开始
[00:51:32] 就明明确了这个chef s大家训出来了
[00:51:35] 就知道怎么样收敛到这个好的CHAUSALT以后
[00:51:39] 你就不需要那样的奇怪的提示词了
[00:51:43] 你只需要把你明确的WIFI写在你的这个上下文里
[00:51:48] 且在上下文里
[00:51:50] 模型就被训练成他一定能看到它
[00:51:52] 能看到它
[00:51:52] 模型就会训练成一个非常强的这个呃执念
[00:51:56] 去把你的VERIFIL看一下
[00:51:58] 解决确认
[00:52:00] 因为因为他是受惩罚的
[00:52:01] 在训练的时候
[00:52:02] 这个呃你你相当于拿鞭子抽他嘛
[00:52:06] 如果有任何指令不遵循
[00:52:08] 因为你有一个WIFI
[00:52:09] 所以我就知道你的模型没有遵循完
[00:52:11] 我就会用鞭子抽你
[00:52:12] 然后你抽抽你就会
[00:52:14] 你你你们高考过来的都知道
[00:52:16] 你就会变成一个真正的做题家
[00:52:18] 他会不无限的你和你的上下文里面的各种各样的指令
[00:52:23] 然后这也带来一些非常有趣的呃后果
[00:52:27] 比如说我我们我们在写前端的时候非常正常
[00:52:31] 说哎我们要一个白色的背景
[00:52:33] 不要半透明的效果
[00:52:35] 这就是说前面前面是我们要的是白色
[00:52:37] 主要是一个白色背景
[00:52:38] 然后后面是一个补充的解释
[00:52:40] 我看可能解释很多
[00:52:41] 然后AI当然会照做
[00:52:43] 然后他能遵循指令没问题
[00:52:44] 就是因为这是一个明确的有WIFI的指令
[00:52:47] 它它会确保有没有保玻璃效果或者怎么样背景是不是白色
[00:52:51] 甚至甚至如果你的prompt给的比较严格的话
[00:52:54] 比如说你每做一个设计都要截图
[00:52:57] 然后用视觉模型检验
[00:52:58] 那他真的也会去照照做
[00:53:00] 大概要干一件什么事呢
[00:53:02] 这个他会做完了以后写一个代码
[00:53:06] 代码后面有一个注释是白色背景
[00:53:08] 括号不要半透明效果
[00:53:10] 这就是这个这个模型
[00:53:12] 就你可以看出模型训练的那个
[00:53:15] 他他在强化学习的时候知道这件事情非常重要
[00:53:18] 但是他也有一点没有没有转过弯来这个这这个是我人人要的
[00:53:23] 所以说他在模型在共情这个方面
[00:53:25] 因为后训练的强化学习还真的是呃稍微稍微差了一点
[00:53:30] 然后有时候会觉得模型不说人话
[00:53:31] 因为强化学习啊学学习多了对
[00:53:35] 所以其实你们还是面临了呃一些TRADEOFF的这个
[00:53:42] 我们呃比如说啊打比方为了静止这种情况
[00:53:48] 我可以写一个agents.md
[00:53:50] 然后在这个agent点MD里面去描述这个行为就是什么
[00:53:54] 比如说什么注释是什么
[00:53:56] 怎么写什么写
[00:53:57] 或者我写一个skill的时候
[00:53:58] 当你要写注释的时候
[00:53:59] 应该怎么样
[00:54:00] 但我写的这个东西又会同时还会污染上下文
[00:54:05] 所以这就成为了一个trade off
[00:54:06] 到目前为止
[00:54:07] 我认为呃还没有一个通用的
[00:54:10] 就把所有问题都解决好了
[00:54:11] 比如说大家可能会觉得我现在网上有这么多skills
[00:54:15] 那我只要从网上拿一个过来就可以了
[00:54:17] 然后你会发现拿过来的东西你第一次用的时候确实有改进
[00:54:21] 在你下一次用的时候发现它还是不够好
[00:54:23] 然后你就会上手上手感
[00:54:24] 而陷入一个呃某种某种泥潭的状态
[00:54:28] 然后我我我的建议可能是在你发现你进入泥潭状态的时候
[00:54:31] 还是要回到自己给指令
[00:54:33] 然后自己想清楚就回到我们的模型
[00:54:37] chap shot是怎么工作的
[00:54:39] 注意力是怎么工作的
[00:54:41] 他他大概猜到的就是你看他这样做
[00:54:43] 他他他注意到了什么
[00:54:45] 得到了什么结果你你适当的去做一个不严格的可解释性
[00:54:50] 然后写一个prompt
[00:54:52] 这个是我自己自己自己做的
[00:54:54] 后面肯定也会有
