[00:00:00] 好我们继续讲生成式软件工程
[00:25:14] 就然后在外边一个界前端界面
[00:25:17] 我就是用嘴输出哈
[00:25:19] 就啊就就可以
[00:25:20] 所以你看到这个软件会发生根本性的变化
[00:25:23] 呃最近也发布了豆宝手机
[00:25:25] 德宝手机也是一个我觉得非常好的工程产品
[00:25:28] 因为它它也体现了同样的软件工程智慧
[00:25:31] 他说的是我们这些app
[00:25:35] 都不重要了
[00:25:37] 这些app都不重要
[00:25:38] 如果我们有一个JB这样的模型
[00:25:41] 呃我觉得JEFF和豆宝手机真的是非常配
[00:25:43] 就是一个决策
[00:25:44] 但是又是接近实时的
[00:25:46] 呃所以我觉得他走在前面
[00:25:48] 他赌这个模型
[00:25:49] 当然可能我们也都看到这点了
[00:25:50] 就他赌模型可以在有一个时间点快到
[00:25:54] 可以和人一样快点手机
[00:25:55] 虽然当时他做这个德报手机的时候还不能
[00:25:58] 但这件这一天很快就会来
[00:26:02] 所以所以他就把app抽象成了各种各样的接口
[00:26:05] 然后这个接口反正他有computer use去调用
[00:26:08] 我要点外卖
[00:26:09] 我要点外卖他就直接好应用
[00:26:12] 就沦为了一个点外卖的接口
[00:26:14] 留下了一个查询数据的接口
[00:26:16] 所以这app是不是有一天全部都要死掉了
[00:26:18] 因为他只要提供接口就行了
[00:26:21] 他提供一个API是给
[00:26:23] 是提供一个app是给人用的
[00:26:25] 但他如果只要提供一个API就可以给agent内容
[00:26:28] 所以你看到比如说阿里在疯狂做这件事
[00:26:31] 阿里在疯狂的把他的所有旗下的服务
[00:26:34] 都整合整合
[00:26:35] 像agent整整合
[00:26:37] 试图用一个千问这样的应用
[00:26:38] 当然千问我觉得有点生不逢时
[00:26:40] 他他太想把这个产品推出了
[00:26:43] 然后那个时候他模型它的算力可能也不够
[00:26:45] 也没有
[00:26:47] 他们可能自己也没有一个JEFF这样的
[00:26:49] 智力又足够
[00:26:50] 而且有足够快的模型来帮帮你
[00:26:52] 完成各种各样的任务
[00:26:53] 所以所以拿出来像一个未来的半成品
[00:26:56] 但是这也意味着
[00:26:57] 未来总有一天肯定肯定会来的
[00:27:00] 然后软件整个软件公司就彻底消亡
[00:27:02] 你你想这个产业链上养活了多少人
[00:27:06] 多少外包公司
[00:27:08] 你在就就就这个标签打印机
[00:27:11] 我看
[00:27:11] 标签打印机对
[00:27:14] 我找一帧稍微好没有
[00:27:17] 没事就这样的一个标签打印机
[00:27:19] 它为了推出
[00:27:20] 就你想象你你是一个
[00:27:23] 你毕业了要去想要去创业
[00:27:25] 然后你想要去创业
[00:27:27] 你你说我要卖一个就找到一个细分市场
[00:27:30] 比如说你发现每一个呃学校都
[00:27:32] 每个单位都需要一个这样的标签打印机
[00:27:34] 那这是一个不错的市场
[00:27:35] 你可能卖几百块钱一台
[00:27:37] 还是相当有有利润可赚的呃那呃硬件上
[00:27:41] 因为因为中国供应链很好嘛
[00:27:43] 中国你你基本上这种成熟的硬件你肯定能找到
[00:27:46] 找到供应链
[00:27:47] 然后你就需要软件
[00:27:48] 然后软件开发的成本
[00:27:49] 在AIPRAI的时代是非常高的
[00:27:51] 呃它需要驱动windows的驱动
[00:27:54] 然后windows驱动完了以后
[00:27:55] 他还需要这个做Mac的驱动
[00:27:59] 因为因为你你现在越来越多的人用Mac
[00:28:02] 然后他说Mac没驱动
[00:28:03] 它就会会抱怨
[00:28:04] 然后你的产品可能就卖不了
[00:28:06] 卖卖不那么好
[00:28:07] 但是到今天全部都直接被啊AI啊杀死
[00:28:12] 比赛
[00:28:12] 你可以看一下这个level print就是一个
[00:28:19] 呃我都完全没管
[00:28:21] 这些都是都是AI自己啊自己生成的
[00:28:25] 他自己prob了这个
[00:28:27] 打印机的参数
[00:28:28] 和我现在当前插入的这个这个标签
[00:28:31] 完全是定制化的
[00:28:33] 也是说我想要什么
[00:28:34] 以我最舒适的方式来帮我定制
[00:28:37] 不要通用
[00:28:39] 因为以后生产软件
[00:28:40] 生产intelligence的成本会非常非常的呃低
[00:28:49] 好那当然这是未来会发生的事情
[00:28:52] 呃你们已经生在这个时代了
[00:28:53] 就已经生在软件死掉了的时代了
[00:28:55] 那呃为什么我们还要讲软件工程呢
[00:28:59] 因为曾经的软件工程不是这样的
[00:29:02] 你们透过软件工程的历史
[00:29:04] 就虽然今天确实是就你你们我我下一个实验
[00:29:09] 我现在还没有布置
[00:29:09] 我下一个实验就会要求大家
[00:29:12] 把你们的第一个实验的那个assistant
[00:29:15] 和一个physical device联系起来
[00:29:17] 就让它能够驱动一个任何一个你的
[00:29:20] 可能是你的手表
[00:29:22] 也可以是一个你
[00:29:23] 你就你宿舍里面任何一个已有的东西
[00:29:25] 也许是一个你就想买一个
[00:29:27] 花几200块钱买一个什么什么小设备
[00:29:30] 然后那个设备就也是非标的
[00:29:32] 他可能也没有LINUX驱动
[00:29:33] 但是你就想把它嗯嗯呃搞起来
[00:29:37] 比如说我的办公室里面有一个电子墨水瓶
[00:29:42] 然后电子那个电子墨水瓶
[00:29:45] 他也是一个android的app烧写
[00:29:47] 然后那个app极度难用
[00:29:49] 当然我可以用豆包手机的方式来用
[00:29:50] computer use的方式来来用它
[00:29:52] 然后我我我当时干了另一件事
[00:29:54] 我用cloud open4.6
[00:29:57] 直接把那个android app的APK丢进去
[00:30:00] 然后让他解包
[00:30:02] 让它逆向那个蓝牙的协议
[00:30:04] 就是就因为它是还是个标准蓝牙设备
[00:30:06] 然后然后知道这个它是怎么就根据代码
[00:30:09] 怎么写到这个
[00:30:11] 怎么把把这个屏写进去
[00:30:13] 然后我也得到了一个一样的这个这个这个东西
[00:30:16] 你们可以可以借助一下现在手头的啊模型
[00:30:19] 来来做这样事
[00:30:21] 虽然今天我们已经生在这个时代了
[00:30:23] 但是软件软件工程的智慧
[00:30:26] 其实是没有还是没有没有消失的
[00:30:28] 所以所以从今天开始
[00:30:29] 我会讲一讲这些你看到的世界上
[00:30:32] 你看到这些软件它到底是怎么来的
[00:30:35] 我们在软件构造的历史当中
[00:30:37] 大家发明了什么
[00:30:38] 然后用这些理念可以更好的指导你
[00:30:41] 今天和agent的呃协作
[00:30:43] 成为一个更好的agent
[00:30:44] native的
[00:30:46] 软件开发者对
[00:30:47] 所以所以今天我来讲软件工程
[00:30:51] 首先呃软件工程是怎么诞生的
[00:30:54] 在软件还是一个新事物的年代
[00:30:56] 比如说我们回到1960年
[00:30:58] 虽然196年有点太早了
[00:30:59] 1960年的时候
[00:31:00] 硬件比码农要贵得多
[00:31:02] 他一个一个计算机就要占一个很大的房间
[00:31:06] 虽然不至于一层楼楼那么高
[00:31:07] 但是一个计算机确实会非常大
[00:31:10] 而且作为这个最先进的设备
[00:31:11] 它的制造成本也是很也是很高的
[00:31:13] 尤其呃尤其现在这个厂家都懂得
[00:31:16] 怎么样偷工减料
[00:31:18] 最新的消息是这个IPHONE18pro采用了QLC的闪存
[00:31:23] 颗粒
[00:31:24] 好像也没有关系
[00:31:25] 因为IPHONE他的主张是你
[00:31:27] 你应该把所有东西都存在ICLOUD上
[00:31:30] 所以所以你的你的数据坏了
[00:31:32] 它它它也就也就这样
[00:31:34] 他他不会不对你的数据负责
[00:31:36] 可能在保修期内那个闪存坏了
[00:31:38] 他就再给你换一个
[00:31:39] 换一个主板
[00:31:40] 但是嗯你是应该把重要的数据放到ICLOUD上
[00:31:44] 1960年的时候
[00:31:46] 大家还不知道怎么造计算机的时候
[00:31:48] 是不敢偷工减料的
[00:31:49] 就像你你刚开始造建筑的时候都是要猛堆料的
[00:31:54] 所以成本成本非常高
[00:31:56] 那码农当然也是很贵的
[00:31:57] 因为越早这个编程的工具越不成熟
[00:31:59] 这个码农是一个非常高智力需求的工种
[00:32:03] 就更像一直到那个silicon valley
[00:32:05] 那个电视剧里面都呃都仍然是
[00:32:08] 仍然是这样的
[00:32:10] 我们看到今天看到了一些
[00:32:11] 可能你们现在没有了一些以前
[00:32:14] 比如说以前写汇编
[00:32:15] 写机器代码的时候
[00:32:16] 大家的要求
[00:32:17] 比如说要画流程图
[00:32:18] 你们你们现在肯定不画流程图了
[00:32:20] 因为因为那个时候你写的是机器代码
[00:32:23] 你如果不画一个流程图
[00:32:25] 你你直接写机器代码
[00:32:26] 就跟今天大模型直接写汇编一样的
[00:32:28] 你看这大模型大模你可以做到
[00:32:30] 就直接二进制序列写汇编羊
[00:32:32] 但你做不到
[00:32:33] 你需要
[00:32:34] 你需要过度的预训练
[00:32:36] 才能才能才能做到这一点
[00:32:38] 同时不仅码农是一个很贵的东西
[00:32:42] 而且各位这个在985大学
[00:32:49] 认为是经历了层层筛选的高智商人群
[00:32:53] 那么你们多多少少你数学训练训练多了以后
[00:32:58] 都会缺少对客户的同理心
[00:33:00] 对商业的理解等这样的软技能
[00:33:02] 多多少少会有一点不是说说这个
[00:33:05] 大家就没有
[00:33:06] 其实我见过很多
[00:33:07] 这个在各方面都很强的六边形战士
[00:33:09] 但我我的观察是在理工科专业里面
[00:33:12] 更多这种nerdy的人会多多多一些
[00:33:14] 他们可能不care业务
[00:33:15] 他只想要造世界上最好的操作系统
[00:33:18] LINUX那样的那样那样的人
[00:33:20] 他他他就不是一个很好的这个客户经理
[00:33:24] 但是软件企业依然需要承担这个把implementation
[00:33:32] spec和intent之间的gap给补上的这样的一个职责
[00:33:36] 这是公司嘛
[00:33:36] 他作为一个公司
[00:33:37] 他他需要签订合同
[00:33:39] 说我希望这个1000万美元
[00:33:41] 给你开发一个操作系统
[00:33:43] 这个这天文数字在今天看
[00:33:46] AI说我给你VIVO50
[00:33:47] 我也可以给你开发一个操作系统
[00:33:49] 呵呵今天不是星期四
[00:33:51] 嗯客户就是软件企业面对的客户
[00:33:55] 那个时候客户也不知道计算机能做什么
[00:34:00] 比如说DPA的官员
[00:34:01] 当然那个时候比如说呃NASA
[00:34:03] 可能他们工程师还会有一些有一些概念
[00:34:05] 他们要把人类送上月球
[00:34:07] 他他面对的都是这样的需求
[00:34:09] 或者飞机上面要做一个飞控系统
[00:34:11] 那他们的客户可能也不完全知道
[00:34:14] 他们想想要什么
[00:34:17] 然后程序员还是一个非常年轻的职业
[00:34:21] 这个达舍尔1957年在登记结婚的时候
[00:34:23] 要登记职业
[00:34:24] 然后这个程序员不被承认为是一个呃职业
[00:34:28] 最后还登记成了这个理理论物理物理学家
[00:34:33] 就在那个时候
[00:34:34] 那个时候
[00:34:37] 客户已经对计算机或者说软件产生了
[00:34:41] 非常过度的遐想
[00:34:43] 然后这个是一个来自1968年杂志
[00:34:45] 我特意但这这个这你可以看一下
[00:34:48] 在这
[00:34:52] 所以AI还是就是我我我的
[00:34:56] 我的slides是AICPLOT生成的
[00:34:58] 我这里有一个有一个两个中括号
[00:35:01] 然后这个中括号就代表了
[00:35:03] 这里面的话是我教给AI的
[00:35:05] 然后AI看到了
[00:35:06] 他就会会把它就这就上面是我写的
[00:35:09] 就是上面这些是我我自己写的
[00:35:10] 你看他基本上是verbatim copy的
[00:35:12] 这可能会修复一下我的type
[00:35:14] 然后像这些就是他自己发挥我
[00:35:17] 我有我的那个make size的skill
[00:35:19] 自自己发挥
[00:35:20] 然后他就找到了这个
[00:35:22] Boys like tomorrow school
[00:35:23] 那时候大众就其实已经对计算机开始了
[00:35:26] 各种各样的想象
[00:35:28] 人是怎么样
[00:35:29] 这个终端及时判分
[00:35:31] 针对薄弱环节辅导
[00:35:33] 让学生按自己的节节奏学习
[00:35:35] 到今天都没有实现
[00:35:37] 你们还在这里上两节课
[00:35:39] 每节每节课50分钟的这个这个课程
[00:35:42] 1968年的时候
[00:35:44] 你看boys life9月号就就已经唱响了这件事情了
[00:35:49] 所以这个gap就越来越大了
[00:35:51] 在那个时候的可能一个客户
[00:35:55] 他他想想软件公司给他画了个大饼
[00:35:58] 然后这个客服说我要投1000万美元
[00:36:00] 做一个什么跨时代的软件系统
[00:36:02] 但他脑子里面是这样的东西
[00:36:04] 然后你回到1968年的时候
[00:36:07] 程序员脑子里是什么
[00:36:08] 脑子里就是汇编
[00:36:10] go to
[00:36:12] 嗯那这个gap就就毫无疑问是是非常非常大的
[00:36:18] 然后你就是因为有这个这个gap
[00:36:21] 我们的软件是要实现物理世界需求
[00:36:24] 在信息世界里面的
[00:36:26] 投影使得软件工程和其他的
[00:36:28] 比如说像桥梁工程
[00:36:30] 这个炼钢这样的工程有有很大的区别
[00:36:33] 他们的需求就是因为自然物理世界
[00:36:36] 我们只能适应
[00:36:37] 我们不能改造
[00:36:39] 就他的物结构
[00:36:41] 这个材料的强度有多少
[00:36:43] 那在它出厂的时候就已经确定了
[00:36:45] 然后这个楼要盖起来
[00:36:47] 它要盖几层
[00:36:48] 要容纳多少人
[00:36:49] 人有多大
[00:36:51] 这都是由这个自然界选择下来的
[00:36:53] 结果已经决定了的事情
[00:36:56] 那我们只能按照自然规律
[00:36:58] 那桥就应该做成这样
[00:36:59] 一代一代一代一代迭代
[00:37:01] 所以所以他们是遵循比较强的模式
[00:37:04] 然后做一些小小改进
[00:37:06] 不断的往上创新
[00:37:07] 往上创新
[00:37:07] 往上创新
[00:37:07] 一个一个这个彻底推导的一个大的改进和创新
[00:37:11] 对他们来说是非常困难的
[00:37:12] 嗯是一直都是比较比较incremental的
[00:37:15] 但软件不一样
[00:37:16] 软件的需求完全是拍脑袋想出来的
[00:37:18] 你看1968年的时候
[00:37:19] 他就可以想出这个东西来
[00:37:20] 那需求因为是高度定制化的
[00:37:23] 所以把它投影到计算机世界
[00:37:26] 也是一个一直以来都认为
[00:37:28] 是高度需要人类智慧的活动
[00:37:31] 我们一直说软件是人类智慧的巅峰
[00:37:35] 呃也也确实是一个事实吧
[00:37:36] 你看像这个操作系统
[00:37:38] 呃编译器这些非常难的软件
[00:37:42] 你去学它都需要
[00:37:44] 确实需要这个多年的这个专业
[00:37:47] 专业积累它很复杂
[00:37:49] 然后复杂
[00:37:52] 以至于甚至你的制定就是想
[00:37:57] intent的人都没有想好
[00:37:59] 这个各种各样的corner case应该怎么样
[00:38:02] 比如说他就想做一个选课系统
[00:38:05] 那选课系统到底应该是先得先到先得
[00:38:08] 还是抽签
[00:38:09] 还是按专业保留
[00:38:10] 这都是AI给我YY出来的
[00:38:12] 不满足先修课要求的时候
[00:38:14] 老师能不能特批
[00:38:17] 这种都很容易在需求
[00:38:18] 就你在做需求的时候
[00:38:21] 我领导说跟软件公司说好
[00:38:24] 我们的这个课程是要有先修课程的
[00:38:28] 那也是知道的
[00:38:28] 你你们在系统里面都能看到
[00:38:30] 比如说你要选修操作系统
[00:38:31] 你必须要先修计算机系统
[00:38:32] 基础好
[00:38:34] 那就糟糕了
[00:38:35] 这是一个硬的限制
[00:38:37] 还是一个软的限制
[00:38:38] 谁能override
[00:38:40] 最后你到最后一秒钟毕不了业的时候
[00:38:42] 所有的口子学校都能给你开
[00:38:44] 你最后就差这门课的时候
[00:38:46] 这个你马上就能选上这门课
[00:38:48] 那这就是一个例外性的需求
[00:38:51] 所以软件的需求是一个高度定制化
[00:38:53] 非常复杂的链接了
[00:38:55] 连接了物理社会人的偏好等等的东西
[00:38:58] 所以做软件很难做软件
[00:39:01] 在那个时候就大家就发现了
[00:39:03] 进度成本质量是一起失控的
[00:39:05] 开发进度不能预测软件开发成本崩溃
[00:39:07] 而且要延期
[00:39:09] 延期交付
[00:39:10] 然后那个时候其实camera scientist已经观察到了
[00:39:13] 各种各样软件里面有趣的东西
[00:39:15] 比如说啊这个DEXTRA的图灵奖的DEXTRA
[00:39:19] 也是
[00:39:21] 非常有意思
[00:39:22] 叫go to statement
[00:39:24] consider harmful
[00:39:31] 对
[00:39:32] 我们今天不需要这个在
[00:39:36] 就这样吧
[00:39:37] 让让让他
[00:39:38] 让他读一下
[00:39:39] 但anyway
[00:39:43] 大家都听说过go to是是HARO
[00:39:45] 但你们同时也看到这个LINUX内核里面有好多
[00:39:48] go to
[00:39:49] 这是C的一个为数不多的一个比较
[00:39:52] idiomatic的用法就是你你最后有go to release
[00:39:55] 然后在release的时候
[00:39:56] 你会逐个检查你在函数里面申请的所有的资源
[00:39:59] 然后一一释放
[00:40:00] 这样他就可以保证保证你就你在任何时候
[00:40:04] 你在中间要申请一个资源的时候
[00:40:06] 你都在release的地方加一个释放检查和释放
[00:40:10] 然后你你在写代码的时候
[00:40:12] 你永远不能在中途退出
[00:40:15] 在中途想要退出的时候
[00:40:17] 必须go to release
[00:40:18] 那这个程序就能基本上就能就能正确了
[00:40:21] 呃呵他有一个非常就跟我说的
[00:40:26] 没有token要退学一样
[00:40:27] 他先发表一个暴论
[00:40:28] 对他说
[00:40:29] 程程序员的水平随着go to的密度上升而下降
[00:40:34] 呃它其实背后是有一定的道理的
[00:40:37] 它呃它不绝对
[00:40:40] 然后肯定台还各各种告诉你应该怎么样用
[00:40:42] 用用构图诶
[00:40:45] 这就
[00:40:49] 这就go to statement considered harmful
[00:40:52] 这个这个大家在学编程的时候都都学过
[00:40:55] 因为大量的构图会让你的程序变得很难理解
[00:40:58] 所以他讨论的其实不是go to
[00:41:00] 到底harmful不harmful
[00:41:02] go to可以不harmful
[00:41:03] 如果作为一个正确的机制使用的话
[00:41:06] 只允许你这样用
[00:41:07] go to它就不含破
[00:41:08] 它挺好的
[00:41:09] 它解决了C语言里面一个很大的
[00:41:12] 你随时申请从不释放的问题
[00:41:14] 你们在做OJ的时候留下的坏习惯
[00:41:18] 那他背后考虑的是这样的一个
[00:41:20] 一个希希望你能够写出人能读的代码
[00:41:26] 那只有你人能读
[00:41:27] 它才有可能能够维护的下去
[00:41:29] 从而呃OK让这个世界还能够正常的
[00:41:35] 软件世界能够相对来说正常一点的
[00:41:38] 去去运转OK
[00:41:41] 然后在1972年的时候也
[00:41:54] 有他的这个train lecture
[00:41:57] 就是他得图灵奖以后的这个演讲
[00:42:03] 叫the humhumble programmer
[00:42:05] 然后我觉得这这就现在很好
[00:42:07] 我们可以直接去消这个digest原始的文稿
[00:42:13] 我们可以在AI的帮助下直接去阅读
[00:42:20] 原始的文稿
[00:42:22] 你看他就谈到了这个为什么会有软件危机
[00:42:27] 如果你永远写这个online judge的小程序
[00:42:31] 就不会有软件危机的
[00:42:32] 你就就算一个东西嘛
[00:42:34] 算完就就完了
[00:42:35] 你一旦把这个程序调对
[00:42:36] 你就永远不需要去维护它
[00:42:41] 但是机器变强以后
[00:42:43] 你的软件的需求是不断的膨胀的
[00:42:46] 然后你要承担越来越多
[00:42:47] 就你机器越强
[00:42:49] 你承担这个现实世界的intent越多
[00:42:51] 然后intent越多
[00:42:52] 这个不确定性就越多
[00:42:53] 然后实现就会变得越复杂
[00:42:55] 然后越来越复杂以后
[00:42:58] 应该
[00:43:00] 应该怎么样
[00:43:02] 然后他提了一些这个他对软件的呃思考
[00:43:05] Nicely factor solutions
[00:43:07] 然后就这样的想法
[00:43:09] 在你构造任何软件系统的时候
[00:43:12] 都在不断的发现
[00:43:14] 就比如说你看我我我就写一个这个呃live mate
[00:43:19] 帮我驱动我的标签
[00:43:21] 打印机和扫描仪
[00:43:22] 它也是一个nicely factor的solution
[00:43:25] 一个良好的分解
[00:43:26] 我们无时不刻都在用这样的这个想法
[00:43:30] 来来组织啊我们的软件
[00:43:35] 然后他还有一些有意思的这个观点
[00:43:38] 保守力量主要来自教育机构与
[00:43:40] 舍不得重写旧程序序的用户对
[00:43:44] 这都是放到今天
[00:43:45] 依然是你
[00:43:46] 你觉得能够啊觉得醍醐灌顶的这个
[00:43:50] 确实DEXTRA那个时候1972年执一个
[00:43:53] 只一个图灵奖对
[00:43:54] 然后在那个时候其实就大概就在那个时期
[00:43:57] 软件工程就会就成为了大家关注的一个焦点
[00:44:00] 因为软件开始开始失败了
[00:44:02] 所以在1968年的时候
[00:44:04] 有一个NATTO软件工程的呃会议
[00:44:06] 你们也可以去直接去读这个
[00:44:08] 原原summary
[00:44:09] 我就我就不读了
[00:44:10] 我就我就开一个开这个
[00:44:13] 让他再在后台后后台跑起来
[00:44:18] 然后也他们差不多在那个时候
[00:44:20] 这个HAMILTON和他的团队
[00:44:24] 呃呃提出了软件工程这样的啊概念
[00:44:28] 这个帖子我觉得大家也也可以读一下
[00:44:31] 这是一个非常有标志性的照片
[00:44:32] 在诶
[00:44:39] 应该是载入载入史册的
[00:44:42] 照片
[00:44:43] Vista polo code
[00:44:45] 这个APOLLO的
[00:44:48] 代码uh sorry
[00:44:56] 然后我们也可以
[00:45:02] 让他来读一下
[00:45:03] 这个可能要读一下
[00:45:04] 这个代表了软件工程学科的啊诞生
[00:45:11] 2019年8月
[00:45:13] 经过不懈的排查错误
[00:45:15] 这位最初的软件工程师把宇航员啊送上了月球
[00:45:19] 然后他有一个这个呃他的呃传记
[00:45:25] 然后这个软件工程
[00:45:28] 你们看到今天你们都要防御性编程
[00:45:30] 你们在第一节
[00:45:31] 比如说学SICP的时候
[00:45:32] 他就告诉你写软件的时候
[00:45:33] 你要写他的SERGEONS
[00:45:35] 写specifications
[00:45:39] 他把一个绝对不能发生的假设都当成可能
[00:45:43] 一个种防御性的为未来思考的这样的一个智慧
[00:45:47] 他假设这个软件在在在任何时候
[00:45:49] 他都要甚至违背违反假设
[00:45:52] 说这个软件依然要能够呃能够工作这个
[00:46:00] 他才设计了一个呃成功的成功的软件
[00:46:05] 那我们也可以让他这个
[00:46:11] 啧
[00:46:13] 如当然我不确定他会不会做web search
[00:46:16] 就deep sk flash有没有有没有足够的知识
[00:46:18] 如果是一个足够大的模型的话
[00:46:21] 他可以去做
[00:46:22] 他可能去做web search
[00:46:23] 它可能在在这里
[00:46:25] 就有对
[00:46:28] The never going to happen
[00:46:30] Can happen
[00:46:31] 我觉得这就是你看软件工程
[00:46:33] 当当我们回头去看这个原作的时候
[00:46:38] 你发现这些思想在今天反而更容易理解
[00:46:41] 比这个教科书上面经过了好多层的这个一手
[00:46:45] 二手三手四手消化的
[00:46:47] 时候要这个呃
[00:46:50] 要要好得多
[00:46:52] 然后他比如说你可能要假设
[00:46:54] 这个硬件也是不可靠的
[00:46:58] 然后
[00:46:59] 我无论如何
[00:47:00] 都要在这个软件里面做一个兜底的机制
[00:47:03] 当你的程序crash了以后
[00:47:05] 这个整个系统依然要啊能够工作
[00:47:08] 其实这就是软件工程的起点对
[00:47:11] 所以你看这里有一个能工作
[00:47:13] 还包括发生呃意外的时候就有一个
[00:47:17] 登月阿波罗11登月下降的时候发生警报
[00:47:21] 然后但是这个软件因为有这个优先级和和recovery
[00:47:25] 让关键的下下降控制任务得以继续
[00:47:27] 就那个时候还没有软件工程的时候
[00:47:29] 他们呃就从first principle去思考
[00:47:32] 如果
[00:47:33] 如果我们这个时候要构造一个真正好的
[00:47:36] 高质量的软件
[00:47:37] 我们应该应该怎么做
[00:47:39] 它的the first principle就是这个never going to happen
[00:47:43] can happen
[00:47:44] 好有意思
[00:47:47] 软件软软件的工程
[00:47:49] 然后这就这然后在这个意义下
[00:47:51] 这个软件工程就诞生了
[00:47:52] 就在那个差不多那个时间点
[00:47:54] 因为在时成本时间
[00:47:57] 各种各样团队的约束下
[00:47:59] 交付软件
[00:48:00] 在那个时候已经成为了一个很大的挑战
[00:48:03] 那怎么样做这件事
[00:48:04] 就是软件工程
[00:48:07] 在成本时间约束下
[00:48:08] 把人的意图
[00:48:09] 人的意图
[00:48:10] 你想要设计你要做的产品或者是客户的要求
[00:48:13] 变成一个可以工作的
[00:48:15] 可以维护的
[00:48:16] 可以生存的
[00:48:18] 你随着时间的推演的需求可能会变化
[00:48:21] 这个never going to happen
[00:48:23] 有点这个感觉吗
[00:48:24] 你们你们做OJ的时候
[00:48:26] 你假设题目是对的
[00:48:30] 这是一个隐藏的假设
[00:48:31] 你假设题目是对的
[00:48:32] 假设题目是能做出来的
[00:48:33] 这个本身假设就是不对的
[00:48:35] 就当你反复强化的时候
[00:48:37] 你OVERFIT这个假设的
[00:48:39] 你应该假设的是
[00:48:40] 你面对的是一个开放的世界
[00:48:41] 这个题目可能是错的
[00:48:43] 这个题目的条件随时可能会变化
[00:48:45] 这个题目甚至可能会变成另外一个题目
[00:48:48] 那你怎么做一个软件来解决它
[00:48:52] 当然编程是一件事
[00:48:54] 你通过训练这个online价值
[00:48:55] 训练的是你的逻辑思维
[00:48:56] 算法思维
[00:48:57] 这个你的CHAMPSHO能力
[00:48:59] 当然对于设计软件理解
[00:49:00] 比如说理解这些东西是有是有好处的
[00:49:04] 所以你看到这个
[00:49:05] I trio e
[00:49:06] 他说是把工程
[00:49:08] A systematic discipline qualify
[00:49:11] Approach to the development operation and maintenance of software
[00:49:14] That is application of engineering
[00:49:16] 工程化
[00:49:17] 它把它把软件变成一个你
[00:49:19] 你不再是一个个人英雄主义
[00:49:22] 那个时候哈密尔顿的那个时代
[00:49:23] 他需要一个好的leader
[00:49:25] 就如换一个人
[00:49:26] 这个项目就失败了
[00:49:28] 变成可以拿到一个checklist
[00:49:30] 这个checklist
[00:49:31] 如果你123456789十全部都满足了
[00:49:34] 那你至少这个软件可能不能保证你的软件成功
[00:49:37] 但是呃失败的概率会小很多
[00:49:41] 有纪律可量化覆盖整个软件的整个生命周期
[00:49:46] 对所以在AI还没有大杀四方的时代
[00:49:50] 软件工程这个学科
[00:49:52] 从刚开始的大量的失败
[00:49:54] 或者说是从额数亿美金的教训嗯得到的
[00:49:59] 什么炸一个火箭这种
[00:50:00] 很多时候都是可能是跟软件工程有关系的
[00:50:03] 既其实积累了很多的智慧
[00:50:06] 大家看到成成功
[00:50:08] 看到失败
[00:50:08] 多多少少就会从中总结出一些经验和和教训
[00:50:12] 然后当然如果我们回到这个PRIERM时代
[00:50:14] 大家其实也非常清楚这个intent spec information
[00:50:18] 这样的这样的gap
[00:50:20] 如果你接到一个开发任务
[00:50:22] 你肯定不能立即按照去安排说哎
[00:50:24] 大家去干吧
[00:50:26] 任何一个leader都不应该干这样的事儿
[00:50:29] 呃即便最终的产物一定是码农
[00:50:33] 写出来的
[00:50:33] 因为不同的人他看到的是不一样的部分
[00:50:36] 甚至如果这个软件要分分开的话
[00:50:40] 你你的leader都需要指派哪一个部分
[00:50:43] 由哪一个人来人来做
[00:50:45] 就像我我做这两个的时候
[00:50:46] 打印机和扫描仪
[00:50:47] 那个时候我已经同时接到我的电脑上了
[00:50:50] 那那我就是起了两个agent
[00:50:53] 开了两个窗口
[00:50:53] 一个取景像打印机
[00:50:54] 一个取景像扫描仪
[00:50:56] 这很这很这很正常
[00:50:58] 需要一个划分任务的这样的过程
[00:51:01] 不能是一个呃self self organized
[00:51:04] 那如果我们涉及到划分任务
[00:51:07] 也就是说刚开始我们从一个
[00:51:10] 空的repo的时候
[00:51:11] 空的rap的时候
[00:51:12] 那我们呃怎么样去做呢
[00:51:16] 是直接去开发
[00:51:17] 就直接把这个一句话交给他做MVP
[00:51:19] 那个时候还没有这个minimum
[00:51:21] 你想1970年
[00:51:22] 这是1970年的论文
[00:51:24] 1970年的时候
[00:51:25] 软件工程这个刚刚诞生
[00:51:27] 还没有minimum
[00:51:30] Viable product
[00:51:30] 没有大于原模型
[00:51:32] 那一个思考怎么按时不超预算的交付大型软件
[00:51:37] 那就有一个软件工程领域的开山之作
[00:51:40] 这个WINSTONROYCE的imagine the development of large software systems
[00:51:45] 然后今天你们
[00:51:46] 有有些同学可能学过这个软件工程
[00:51:49] 这门这门课
[00:51:50] 然后你们可能学过哎
[00:51:52] 我可以开个浏览器
[00:51:56] 应该多多少少一定是我们搜索百度诶
[00:52:04] 诶好
[00:52:08] 搜索一个瀑布模型
[00:52:11] 我觉得大家如果学过任何学过一点软件工程
[00:52:17] 我就我就不打开秒懂百科了
[00:52:19] 这个有点搞笑
[00:52:21] 放大一些
[00:52:23] 都有一个这样的
[00:52:25] 就你们见过很多时候见过这样的
[00:52:30] 见过这样的图
[00:52:31] 大概长这样
[00:52:32] 图一个waterfall model
