[00:00:00] 好的在前几次课的时候
[00:23:45] 一种是确实那个成熟的好的教科书上的方案
[00:23:51] 比你想象的那个方案要好
[00:23:52] 要精巧
[00:23:53] 要简洁
[00:23:54] 你就会想
[00:23:55] 为什么为什么他能想到
[00:23:57] 它就变成你知识的一部分
[00:23:58] 还有一种情况
[00:24:00] 那就真的是惊喜中的惊喜
[00:24:02] 你的方法比他还要好
[00:24:04] 可能你你1万次才会有一次这样的呃体验
[00:24:08] 但是但这个体验给你的正反馈也很搭
[00:24:11] 你突然会想哎
[00:24:12] 我能不能去做一个什么什么什么什么好玩的
[00:24:15] 那东西对
[00:24:17] 所以所以我觉得在AI时代
[00:24:18] 你们你们更可以对细节保持注意力
[00:24:21] 比如说git
[00:24:22] 你看到看到各种各样的git的呃repo
[00:24:25] 你读别人的东西
[00:24:25] 甚至AI生成的东西
[00:24:27] 都有感知细节的这个啊方式对
[00:24:31] 这是这是我开一个
[00:24:34] 开一个头
[00:24:35] 然后我们就可以讲关于git的一些具体的啊细节
[00:24:39] 就是首先为什么要要git
[00:24:43] 大家有没有想想过
[00:24:45] 当然肯定有GITHUB以后
[00:24:47] 分发代码变得前所未有的方便这件事情
[00:24:52] 可能创他们创立GITHUB的时候就就就想到了
[00:24:56] 但他们没有意识到
[00:24:58] 这竟然成为了
[00:24:59] 比如说今天AI时代的一个底层的基础设施
[00:25:02] NPM你的所有的各种文NEWM的配置全部都在
[00:25:05] 大都都在GITHUB上
[00:25:07] 我就在上周末的时候
[00:25:08] 我参加了呃推免的面试
[00:25:11] 你们应该也在一年或者两年以后
[00:25:13] 会会来到这个场合去去面试
[00:25:16] 然后我我就问大家这个这个什么是git
[00:25:19] 什么是git
[00:25:20] 那什么是get
[00:25:21] 大家多多少少都能说两句
[00:25:22] 我从get上面可以下载分发代码
[00:25:24] 然后有有的同学可以讲到
[00:25:26] git管理的一些这个目录
[00:25:28] 项目目录的的快照
[00:25:30] 然后好啊挺好的
[00:25:31] 就是这
[00:25:32] 我当然我我觉得你没有必要把所有人都挂掉
[00:25:36] 呃你能讲一些就就就可以
[00:25:38] 这取决于你能讲多少
[00:25:40] 来给你一个一个评估
[00:25:42] 然后啊git rebase是20
[00:25:45] 这个也也也意料之内
[00:25:49] 但我比较意料之外的是嗯大家我问大家
[00:25:53] 如果git merge发生冲突以后
[00:25:56] 会观察到什么
[00:25:59] 呃你们有观察到过吗
[00:26:02] 就是如果你比如说你的作业
[00:26:07] 老师发布了一个更新
[00:26:08] 然后在你本地已经把这些东西改的面目全非了
[00:26:12] 那这个时候你你还是会让agent的说说来来吧
[00:26:15] 然后agent它会自动就啪啪就给你
[00:26:19] 给你修好了
[00:26:19] 反正说跟你说好了
[00:26:21] 然后我现在也是的
[00:26:21] 就是就就就反正merge merge出错了
[00:26:25] 还帮我修
[00:26:25] 然后然后反正最后他说好
[00:26:27] 测试都通过了
[00:26:27] 然后我看一眼这个东西
[00:26:29] 看起来OK
[00:26:30] 这个时候惊人的注意力就有用了
[00:26:33] 如果你愿意在冲突的时候停下来
[00:26:36] 尤其是大家作为学生的时候
[00:26:38] 总是想哎我再学一点吧
[00:26:39] 反正就一秒钟我学一下也也没有
[00:26:41] 也没有坏处
[00:26:42] 你会看到一个非常神奇的
[00:26:44] 有好多等号
[00:26:46] 有好多箭头
[00:26:47] 然后你你你就是说在你merge冲突以后后
[00:26:51] 不是立即这个冲突就就结
[00:26:53] 就就被就被resolve了
[00:26:55] 而是你这个责任就到了你手传
[00:26:58] 在曾经的时候是到了每一个开发者手上
[00:27:01] 如果开发者发现了冲突
[00:27:02] 那开发者有义务要把这个冲突给解决掉
[00:27:05] 那他要解决掉
[00:27:07] 他就需要能看到这个冲突
[00:27:09] 他不能说
[00:27:10] 如果git是设计成你
[00:27:12] 你站站在git设计者的角度
[00:27:13] 如果两边这个
[00:27:16] 比如说我现在有一个文件
[00:27:18] 一文件原原来是1111
[00:27:19] 然后有有一个人把第二行改成了二
[00:27:22] 有一个人把第二行改成了三
[00:27:24] 那这个到底是二还是三呢
[00:27:27] 我我不能就git说对不起
[00:27:30] 冲突了你我不能合并了
[00:27:31] 然后躺躺在那
[00:27:32] 那对人来说这个负担是非常大的
[00:27:37] 那我到底这行应该是以二放进来
[00:27:39] 还是应该以三放进来呢
[00:27:41] 那我我能不能需求
[00:27:43] 就是你看所有的first principle都是连起来的
[00:27:46] 我刚才无意中举的那个地铁标识的例子
[00:27:51] git也在用这个原则
[00:27:53] 就是如果你嗯如果你现在发生了一件事
[00:27:56] 那最好就是在这个地方
[00:27:58] 把他所有要的信息全部都放进来
[00:28:01] 所以你你你会回想到
[00:28:02] 你看到了
[00:28:03] 如果你以文本的方式来看
[00:28:04] 它有一个等于号
[00:28:05] 有好多尖括号
[00:28:06] 然后有些地方有这种incoming in的这种head
[00:28:09] 这种标记
[00:28:10] 然后至少冲突的两部分代码都同时显示在这里
[00:28:15] 然后如果你们用像IDE的话
[00:28:18] 你还可以看到上面会多出一些按钮
[00:28:20] 什么except income change
[00:28:21] 然后你就可以在在这个id里面自己re缩
[00:28:24] 自己决定谁进谁出
[00:28:27] 完了以后你就可以再创建一个commit
[00:28:29] 把它把这个给resolve掉
[00:28:31] 你只需要一点注意力
[00:28:33] 其实其实你只要有一两次
[00:28:35] 你就会有一个印象
[00:28:36] 你
[00:28:37] 你至少呃至少至少你能说出
[00:28:41] 两边这个冲突的代码都会显示在
[00:28:43] 显示在一起
[00:28:45] 然后然后比较惊吃惊的是
[00:28:46] 这个大家大家都答得不好
[00:28:47] 那那就肯定是第一个没有用过
[00:28:49] 大家没有没有没有呃开发过
[00:28:53] 当然我觉得就算用A证的开发
[00:28:54] 你也很容易遇到这种conflict
[00:28:56] 如果你让A证再在不同分支开发
[00:28:58] 第二还是还是没有留意
[00:29:01] 所以比较重要的是第一个去呃去多用用
[00:29:05] 第二个啊可以试图去拥有更好的呃注意力好
[00:29:10] 那我们就来讲讲git是怎么来的
[00:29:12] 呃在
[00:29:14] 那肯定我们在U盘上面放一个目录的方式
[00:29:16] 是不行的
[00:29:17] 每次打一个包
[00:29:21] 但据我的观察
[00:29:22] 我在上学的时候
[00:29:23] 同学们确实是这样
[00:29:25] 当然我上学的时候可能比较早了
[00:29:26] 这个git没有get popular
[00:29:29] 作业V1作业
[00:29:31] VR作业最终版
[00:29:32] 每一次复制一个一个目录没问题
[00:29:36] 这个是一个非常直觉的体验
[00:29:41] 这个方式可以找回旧的文件
[00:29:43] 对
[00:29:44] 因为你你你万一有一天手滑了
[00:29:46] 或者不小心改错了
[00:29:47] 尤其你们在新手阶段
[00:29:48] 不小心有一个误操作是非常正常的
[00:29:51] 你想要回去上一个版本
[00:29:54] 看一看到底我上一个版本是怎么写的
[00:29:58] 诶这不就是一个需求吗
[00:30:02] 然后就从这样的一个需求
[00:30:04] 你自己就能发明一个像git这样的东西
[00:30:08] 因为本质上所谓的版本管理
[00:30:11] 这我我我们说
[00:30:12] 什么是项目呢
[00:30:13] 项目就是一堆东西
[00:30:14] 你的代码文档
[00:30:15] Intent spec implementation
[00:30:17] 各种东西测试用例全部都搅在一起
[00:30:20] 没问题
[00:30:21] 一个目录
[00:30:22] 然后你会想
[00:30:25] 如果我们能够把目录的版本管理起来
[00:30:30] 诶
[00:30:31] 如果我不是不再是叫作业一作业二作业
[00:30:34] 作业三
[00:30:35] 我只有一个作业
[00:30:36] 一个作业的目录
[00:30:38] 但是我可以提供一个命令行工具说
[00:30:41] 哎我能不能看一看list作业的版本是什么
[00:30:45] 我能不能把当前的版本变成另外一个版本
[00:30:49] 回到过去的一个版本诶
[00:30:52] 你不就发明了一个
[00:30:53] 虽然你还没有还没有使用任何的什么分支
[00:30:57] 什么合并
[00:30:58] 冲突
[00:30:59] 这这些概念
[00:31:00] 但是你不就已经发明了一个简化版的git吗
[00:31:03] 然后在你用着用着用着的时候
[00:31:05] 你自然而然的会去发明那些对
[00:31:10] 比如说你要跟你的室友同步了
[00:31:12] 你就会出现
[00:31:13] 他说你们俩一起改同一个文件的情况
[00:31:15] 你就坐下来想诶
[00:31:17] 一起改了同一个文件应该怎么办呢
[00:31:18] 你就可以发明
[00:31:20] 发发明git
[00:31:21] 当然我觉得这这这个人类
[00:31:23] 所以所以这体现了人类的呃局限性
[00:31:27] 在在git之前
[00:31:30] 我们还用过一个这个你你们可能听都没有听过
[00:31:32] 叫SVN
[00:31:33] S v n
[00:31:34] Check in
[00:31:35] check out这个
[00:31:36] 然后SVN和git它的呃设计就不一样
[00:31:40] SVN是这样的
[00:31:41] SVN说我们存储的是项目的变化
[00:31:46] 假如你有一个最初的版本
[00:31:48] 然后呢每一次你这个文件改了一行
[00:31:50] 我就存一个patch
[00:31:51] 再改一行
[00:31:52] 存一个PCH
[00:31:53] 存一个PCH
[00:31:53] 存一个PCH
[00:31:54] 存一个PCH好像没有问题
[00:31:56] 这个这是一个非常高效的实现
[00:31:59] 是一个非常高效的实现
[00:32:00] 但是就是这个高效随着项目的增长
[00:32:03] 把大家拖回去了
[00:32:06] 拖入了拖入了泥潭
[00:32:08] git的这个模型要干净得多
[00:32:10] 干净得多
[00:32:12] 就是大家first principle
[00:32:13] 我我想要先回到过去的某一个版本
[00:32:15] 马上一秒钟就给我回去
[00:32:17] 而你想如果你每次存的都是一个德尔塔的话
[00:32:22] 你你想要回到一个早期的版本
[00:32:24] 你就得一个一个一个一个一个一个往回退
[00:32:27] 当然你你可以用一些呃缓存
[00:32:31] 之类的方法来来优化它
[00:32:33] 但但这节就我觉得有种呃好像确实是走错了
[00:32:37] 走走走错路了对
[00:32:39] 所所以git基本上啊他就是这样来的
[00:32:42] 它的作者是LINUX的作者
[00:32:44] LINUX一个非常简单干净的呃的模型
[00:32:49] 他们在1991~2002年的时候
[00:32:54] 如果想要维护LINUX
[00:32:56] 就是用的作业V1作业V2的方式
[00:32:59] 然后在邮件列表上面这个发补丁
[00:33:03] 直接在邮件相当于是我改了一个A点C
[00:33:07] 然后我说我有一个A点C新版
[00:33:09] 然后我就在往邮件那边一发
[00:33:10] 然后会有一个每天那会看到
[00:33:12] 邮件列表一
[00:33:13] 这个把它放到他的这个核心这个仓库里
[00:33:16] 然后再去release这个啊啊这个这个版本
[00:33:20] 然后然后直到后面他们还用一些其他的工具
[00:33:22] git key
[00:33:23] keeper这样
[00:33:24] 然后直到LINUX终于受不了了
[00:33:26] 他觉得觉得我我们就应该要一个绝对简单
[00:33:30] 但是又非常好用
[00:33:31] 概念正确的
[00:33:32] 版本控制工具
[00:33:34] 所以05年的时候做了
[00:33:35] 做了git
[00:33:36] 所以他比我们想象的年轻一点
[00:33:39] 2005年也有有兴趣的同学可以去看这个
[00:33:43] 这个PROPATE当然直接按agent看就可以了
[00:33:47] 你不需要再去读了
[00:33:49] 我读书的时候
[00:33:49] 我们都是都是看过看过这些这些文档的
[00:33:53] 对所以呃that's it
[00:33:56] 我们需要项目级的时间回溯
[00:33:58] 我们都会犯错误
[00:34:00] 犯错误
[00:34:00] 所以我们只要能去git的历史里面
[00:34:03] 把它呃捞回来
[00:34:06] 就可就就可以了
[00:34:07] 所以你们可以试着用这种呃方式去
[00:34:11] 从已有的经验你知道什么
[00:34:13] 我想要什么
[00:34:15] 然后可以推出下一个概念
[00:34:17] 它应该是什么样的
[00:34:19] 然后你发现吧
[00:34:19] 这就是数学的推理
[00:34:21] 我的就我上课的时候
[00:34:23] 我这样讲下来的时候
[00:34:24] 我我每一句话都是和之前是有逻辑关联的
[00:34:27] 然后这个逻辑关联
[00:34:29] 多多少少都有一些数学的联系
[00:34:30] 所以open a认为呃他要把数学先训好
[00:34:33] 训好以后
[00:34:34] 他所有东西他的问题他可能都能都能解决
[00:34:36] 然后呃这件事情可能就就真的要能要要弄
[00:34:39] 要弄成真了
[00:34:41] 我自己是觉得品位上可能品味可能也是
[00:34:44] 也是也是能解决的好
[00:34:48] 那我们还是讲一讲什么是什么
[00:34:51] 是git
[00:34:52] 讲一讲什么是git
[00:34:53] 那我还是
[00:34:57] 行我还是建一个空的
[00:35:01] terminal这个terminal
[00:35:02] 那大家也都知道
[00:35:04] 你今天如果要开开启一个项目的话
[00:35:07] 那就get in it
[00:35:09] git event好
[00:35:11] 当然也也不重要
[00:35:13] 这个它它会告诉你一些呃奇怪的信息
[00:35:17] 那这时候你就有两种选择
[00:35:20] 第一种是让agent来帮你做
[00:35:24] 帮你解决
[00:35:25] 帮你回答你不懂的问题
[00:35:28] 还有一种就是把它忽略掉
[00:35:29] 那显然是是高效的学习方法
[00:35:33] 是更好的
[00:35:34] 然后你你得到了一个空的
[00:35:36] 就就这么简单
[00:35:36] 以后你就得到了一个
[00:35:42] 得到了一个目录
[00:35:43] 一个点git目录
[00:35:44] 当然点git目录默认是不显示的
[00:35:47] 所以你你你看不到它
[00:35:48] 这就是全部了
[00:35:49] 当你做完get in it以后
[00:35:51] 你的项目就变成了一个版本管理的
[00:35:54] 被版本被git版本管理的啊仓库
[00:35:58] 然后你可以从远处下载代码
[00:36:00] 可以把代码推到本地
[00:36:01] 然后你也可以
[00:36:03] 最最基础的命令
[00:36:04] 比如说我有个hello点C
[00:36:07] 随便
[00:36:07] 你们喜欢写C好
[00:36:10] 那如果你有一个hello点C
[00:36:12] 你就可以git ADD
[00:36:14] 比如说hello点C
[00:36:16] 然后就可以看到用git status可以看到
[00:36:19] 我现在的这个工作区里面有一个呃hello点C
[00:36:26] 对这里还有一些
[00:36:29] 还有一些些提示
[00:36:31] 然后呃git很重要的是创建项目的快照
[00:36:37] 使得你可以在任意时间之间穿梭
[00:36:40] 所以我我我们创建快照的啊
[00:36:45] 我可以创建一个有消息的快照
[00:36:48] 这这很这很重要
[00:36:50] 这体现了软件工程的智慧
[00:36:52] 你看之前我们用复制粘贴的方式命名为目录一
[00:36:58] 哎所对项目版本V1
[00:37:00] 项目版本V2
[00:37:01] 项目版本V3
[00:37:02] 作业V1
[00:37:02] 作业V2
[00:37:03] 作业V3
[00:37:04] 然后kit的世界里面不是这样的
[00:37:06] 你们
[00:37:07] 就我我真的我看到很多同学在用git的时候
[00:37:11] 把git当成是作业V1
[00:37:14] 作业V2
[00:37:14] 作业V3来用的
[00:37:15] 但这个不是git推荐的practice
[00:37:18] 这推荐的practice是就
[00:37:20] 或者说在长期的软件工程实践实践的经验当中
[00:37:24] 你每一次当对这个项目做了任何的改动以后
[00:37:28] 比如说改了一个文件
[00:37:30] 然后这个文件
[00:37:32] 比如说修了一个bug
[00:37:33] 或者给它增加了一个功能
[00:37:36] 或者调整了某一个脚本
[00:37:37] 或者调整了某一个文档
[00:37:38] 你都应该立即做一次git commit
[00:37:42] Git commit
[00:37:43] 哎呀这怎么是NANO
[00:37:44] 呃然后你可以有一个文本文本编辑器
[00:37:48] 说说我这是做了什么
[00:37:54] 额外面7号我可以保存好
[00:37:59] 那这个提提交就就成功了
[00:38:02] 然后这些都你们都可以在现有的
[00:38:06] 项目里面看到
[00:38:08] 他们是怎么样协作的
[00:38:09] 有些git提交可能比较大
[00:38:10] 他们放了一个feature
[00:38:11] 有些就比较小
[00:38:12] 他就是fix非常少的
[00:38:14] 少少的东西
[00:38:19] 所以当你面对这样的一个新鲜的呃工具的时候
[00:38:25] 你去理解它的best practice还是需要花时间的
[00:38:29] 所以我我我还是觉得你
[00:38:30] 你可能不能把所有的事情都交给哎
[00:38:34] 你多多少少还会知道我们为什么要做这件事
[00:38:37] 为什么什么时候应该做git ADD
[00:38:40] 什么时候应该做git commit
[00:38:42] git commit的message应该呃怎么写
[00:38:46] 各种各样的这个啊这样的啊知识
[00:38:52] 所以你真正需要的是在任何时候学习
[00:38:58] 比如说碰到这个新东西的时候
[00:39:01] 追问一下
[00:39:02] 你刚才做的是不是符合bathroom practice
[00:39:05] 比如说我刚才做了一个git commit
[00:39:10] 这个符合best practice吗
[00:39:15] 对吧就说你你问加上豆包输入法
[00:39:18] 真的就是一秒钟的时间
[00:39:22] 但是他会给你很多
[00:39:24] 解释对
[00:39:27] 他说这个committer不太符合best practice
[00:39:30] 主要问题在提交信息
[00:39:31] 其次代码本身也有问题
[00:39:34] 提交信息的可读性有问题
[00:39:37] 我故意做了一个
[00:39:38] I added some cool stus
[00:39:40] 完全看不出做了什么
[00:39:42] 所以get首先就他本质上
[00:39:45] 因为本质上虽然它存放存储的是快版本的快照
[00:39:49] 但是我们的项目本质上还是从一个版本
[00:39:53] V1然后经过一次修改变到V2
[00:39:57] 修改那呃记得鼓励的是
[00:40:02] 你需要在message里面描述出你改了什么
[00:40:07] 相当于你你如果一直看看
[00:40:10] 看看好你
[00:40:12] 你就知道这个项目是怎么发展
[00:40:16] 一直走到现在的
[00:40:18] 修了多少个bug
[00:40:19] 加了什么需求
[00:40:20] 经历了什么样的重构
[00:40:21] 你可以在message里面看到这个项目的历史的轨迹
[00:40:25] 这是他鼓励的
[00:40:26] 然后这也是一个好的软件工程的practice
[00:40:28] 使得别人能够更容易的理解你的项目
[00:40:31] 所以如果你的每一个提交都是
[00:40:34] I add some cool stuff
[00:40:35] 你想想如果你有1万个提交以后
[00:40:38] 这会变成什么
[00:40:39] 你这个commit message就变成slop了
[00:40:41] 那如果1万个几家都是
[00:40:43] i did some cool stuff
[00:40:45] 那他如果是这样
[00:40:47] commit message这个特性就不应该存在
[00:40:50] 对你不要叫commit message
[00:40:51] 就就从这个V1到V2就就行了
[00:40:54] 然后你你会在各种时候用不同的committed message
[00:40:58] 比如说你这个版本要收收尾了
[00:41:00] 你可能会有一个版本
[00:41:02] 一个command message
[00:41:03] 会讲我要finalize这个这个这个版本
[00:41:06] 甚至呃git也允许你在不改任何代码的时候
[00:41:10] 就这个V和V2是完全相同的时候
[00:41:12] 再做一个提交哎
[00:41:15] 这件事情可以吗
[00:41:22] 你看
[00:41:26] 他拒绝拒绝提交你的这个空的
[00:41:30] 就没有没有修改的
[00:41:32] 但是agent可以
[00:41:38] 我让他做一个提交
[00:41:40] 然后
[00:41:46] 要求他在不做这个的情况下提交
[00:41:50] 你看他知道他有知识
[00:41:53] 所以其实你你们你们需要就是惊人的注意力
[00:41:56] 然后尝试问从理论上说应该可以的吧
[00:42:01] 比如说我就要有一个
[00:42:03] 比如说我就说我要发布一个版本了
[00:42:05] 这是一个你就想
[00:42:06] 但这个不是best practice
[00:42:07] 所以所以尽量不要做
[00:42:09] 你想要就要故意做一个这样的呃空的提交
[00:42:13] 然后但确实看到了一个
[00:42:18] ety commit确实是空的
[00:42:20] 你看在什么时候有用
[00:42:24] 可以在无改动时产生一次抵消触发
[00:42:27] 触发CI或者流达
[00:42:29] 当我要有一个release
[00:42:32] 当然其实release可以把tag打在这
[00:42:34] 但呃比如说这是一个bug fix
[00:42:39] 在上一次的时候
[00:42:40] 我我我修完了最后一个bug
[00:42:42] 然后我就得到了一个呃我我可以release的版本
[00:42:46] 当然git是可以在这放一个tag的
[00:42:48] 比如说V0.1
[00:42:50] 放一个tag说说这是V0.1
[00:42:52] 但是我也可以强行做一个提交
[00:42:54] 说我要finalize
[00:42:57] 那这是没有改动的
[00:42:58] finalize就说为了零V0.1freeze所有的东西
[00:43:02] 那这就是一个没有改动的
[00:43:03] 那我就把这种bug
[00:43:05] fix的提交和finalized的提交给分开了
[00:43:08] 那这这件事情在偶尔的情况下还是可以
[00:43:11] 呃可以允许的
[00:43:12] 但你不能显然不能创建大量的这样的这样的
[00:43:15] 空的空的提交
[00:43:17] 所以你会看到在git里面
[00:43:21] 虽然它模型OOK你你学了GTA
[00:43:25] Get it push git po
[00:43:26] 你就可以就可以用用git了
[00:43:29] 都都都会用了
[00:43:30] 但其实真正水面下的冰山是各种各样的
[00:43:35] Best practice
[00:43:36] 而这每一个best practice其实都是血和泪的教训
[00:43:40] 对
[00:43:41] 你你反过来想
[00:43:41] 为什么message要要这样写
[00:43:44] 你你转手问AI你
[00:43:46] 你可以跟呃更有质检模型讨论一下
[00:43:49] 这样这样做有什么好处
[00:43:51] 我觉得很多时候模型他的表现比我好
[00:43:56] 就就可能这个知识我是知道的
[00:43:59] 内化在我的呃脑子里面
[00:44:01] 然后你要给我
[00:44:02] 比如说给我两个小时的时间去想
[00:44:04] 我可能也能给你写一个非常好的
[00:44:06] 为什么要做这件事
[00:44:07] 但是我的智力是有限的
[00:44:09] 我的精力是有限的
[00:44:11] 我我的注意力也是有限的
[00:44:12] 比如说我现在在上课的时候
[00:44:14] 我为了专注的和大家上课
[00:44:17] 我大脑里面做思考的那部分
[00:44:19] 其实其实我就有点不够了
[00:44:21] 我容量就有点不够了
[00:44:22] 所以我我
[00:44:24] 很多时候我觉得我上课讲授一个概念的时候
[00:44:26] 我讲的是三保TIMODE
[00:44:27] 我讲的不是最好的
[00:44:30] 如果你回头把这些问题
[00:44:32] 比如说为什么command the message要这样写
[00:44:34] 你去跟比如说chat gbt聊
[00:44:36] 就像我刚开始那个说
[00:44:39] 我我求助一个我无法掌控的东西
[00:44:44] 但他知道这个世界上所有的
[00:44:47] SAM好知道世界上所有的东西
[00:44:48] 他能很好的呃把这些概念给你
[00:44:52] 给你讲讲清楚对
[00:44:53] 然后这些约定俗成的这个呃best practice
[00:44:56] 比如说比如说我来做一点不是best practice的事情
[00:45:02] 比如说这是你们这
[00:45:04] 这你这是你们非常常见的事情
[00:45:06] 啊这个这个应该是可以编译的
[00:45:10] 哈喽诶这时候你有一个on track file
[00:45:16] 然后你们在tutorial里面看到有一个命令很好
[00:45:21] 叫GAT的点
[00:45:23] 这样你如果有好多好多的文件
[00:45:26] 比如改了三五个文件
[00:45:27] 你不需要git at a点CB点cc点C了
[00:45:29] 你这git ADD点好
[00:45:31] 然后
[00:45:35] 好你就把他提交上去了
[00:45:37] get是不阻止你做这件事情的
[00:45:40] 这是完全合法的
[00:45:42] 然后那我再问问
[00:45:50] 那我就问问git提交有什么不符合best practice的吗
[00:45:54] 好他会他会看一看
[00:45:56] 按严重程度排序
[00:45:58] 那这还是很聪明的
[00:46:00] 提交信息毫无信息量
[00:46:02] 这嗯他已经嘿嘿嘿
[00:46:05] 等待开他开骂了
[00:46:06] 主主观废废话好
[00:46:10] 这就比较好
[00:46:12] 他还会告诉你应该应该怎么做啊
[00:46:16] 用祈使句
[00:46:17] 现在时描述变更动机
[00:46:19] 例如fix off by one in h r land check out
[00:46:22] 你的C里面有这种不好的practice
[00:46:25] 我现在现在fix了
[00:46:27] 然后常用的约定
[00:46:28] conventional commits以前缀也值得考虑
[00:46:30] 当然这个就是你可以在在更多的项目里面看到
[00:46:33] 这样的commit的方式好
[00:46:35] 第二个提交力度和内容混杂
[00:46:40] 他开始批评我了
[00:46:41] 诶这个还是你看这是首要的
[00:46:45] 提交信息毫无形象
[00:46:47] 这是最重要的问题
[00:46:48] 然后呃提交力度
[00:46:51] Hello
[00:46:52] 是编译产物
[00:46:53] 根本不应该进版本库
[00:46:55] 应该加进git ignore
[00:46:57] 用构建系统啊产出
[00:47:00] 所以get的使用方式和你们的呃这种呃作业V1
[00:47:07] 作业V2还是不一样的
[00:47:08] 因为你的作业V1里面那个EX一定在里面
[00:47:12] 作业V2你的EX也在里面
[00:47:13] 但是git它为了防止这个版本库的膨胀
[00:47:17] 尤其是如果你有你这个项目里面有1万个文件
[00:47:21] 有100个合作者的时候
[00:47:23] 每一个合作者的环境都是不一样的
[00:47:27] 你想每个环境都不一样
[00:47:28] 他们build出来的东西也是不一样的
[00:47:31] 你们可能不知道你们的呃及你们的编译
[00:47:34] 每一次每一次那个文件都可能是
[00:47:37] 比如说带一个日期的
[00:47:39] 它甚至带hush的
[00:47:41] 带你本机的指纹的
[00:47:43] 你看每一次这个二进制文件可能都是不一样的
[00:47:46] 然后如果你把这个东西放进去了
[00:47:48] 下一次就会产生冲突
[00:47:50] 你在因为你你这里有个hello
[00:47:52] 对方有个hello
[00:47:53] 哪怕是一样的源代码编译出来他都可能不一样
[00:47:56] 更更何况如果是不一样的源代码编译出来的
[00:47:58] hello
[00:47:59] 然后呢这个就会产生产生一个二进制的冲突
[00:48:02] 而二进制的冲突是很难合并的
[00:48:04] 你想如果我编译出来的东西
[00:48:06] 不是不是这种程序编译出来的
[00:48:09] 如果我是生成的图片呢
[00:48:12] 当然图片图片是一个比较特殊的
[00:48:14] 这个这个东西
[00:48:16] 图片怎么怎么合并呢
[00:48:18] 合并就是有有重
[00:48:20] OK呃所以这里有很多很多的这个呃best practice
[00:48:26] 然后我可以让他对他可能会出乎意料
[00:48:32] 我不知道他他会他会发生什么
[00:48:36] 似乎网断了
[00:48:40] 哦没有
[00:48:41] 他还花了一些比较长的时间来思考
[00:48:44] 网没有
[00:48:45] 网没有断开
[00:48:51] 哎他说
[00:48:54] 丢弃空提交和编译产物两段历史
[00:48:57] 新建main分支重写为两个有意义单一职责的提交
[00:49:05] 好U他还贴心的发现历史没有remote
[00:49:11] 就说我的仓库没有和另外一边同步
[00:49:13] 不会有别人
[00:49:15] 因为如果别人也持有的话
[00:49:16] 那就那就是一个比较糟糕的事情了
[00:49:19] 没有别人
[00:49:20] 所以他把整个这个项目就给改了
[00:49:25] 哎你看如果你的注意力注意到
[00:49:30] 你发现他换了一套这个commit的方式
[00:49:35] 然后他会有一个这样的headline
[00:49:39] Headline message
[00:49:40] 然后在headline message的后面还有一些这个
[00:49:43] 然后这里面还有好多好多好玩的
[00:49:45] 比如说如果你在这里有一个什么
[00:49:47] 写一个什么fix的景三
[00:49:49] 比如说你你在这个message写一个fix井三
[00:49:52] 然后GITHUB会自动把你的这个ISSU给close
[00:49:57] 这个这这这里面有很多很多好玩的
[00:50:00] 你只有反复的使用
[00:50:01] 反复的使用
[00:50:02] 反复的使用
[00:50:04] 你才能
[00:50:06] 获得一个就是初学者和有一定经验的人的
[00:50:10] 区别对
[00:50:11] 当然呃现在是agent时代
[00:50:15] 所以你们都是agent native的人
[00:50:16] 你们肯定也不会用古法
[00:50:18] 就是其实我觉得是是这种什么git status
[00:50:24] 这种都已经成为了古古代手艺了
[00:50:29] 你们现在一定是用agent
[00:50:31] 说就你不需要知道
[00:50:34] 我具体的命令是什么
[00:50:36] 但是你只要有概念说我的git能干什么
[00:50:40] 你就可以让他用符合best practice的时候干
[00:50:42] 当然这带来一个问题是
[00:50:44] 你你其实根本就分不清你是真的就你自己能干
[00:50:47] 还是你脱节的政就就就干不了
[00:50:50] 但也许我觉得这也不重要
[00:50:52] 所以呃为了加增加大家的学习的效率
[00:50:57] 其实可以这样
[00:51:01] 在做任何key操作之前
[00:51:03] 都要逐个检查文件的呃变化
[00:51:06] 比如说比如说
[00:51:08] 我我来随便试
[00:51:10] 一个是一个是一个不能编译的代码
[00:51:17] 这个会会编译
[00:51:18] 不能编译好
[00:51:23] 我让他做一个提交
[00:51:26] 我也不知道模型会给我给我什么诶
[00:51:30] 你看他很聪明
[00:51:33] 他很聪明
[00:51:34] 他比你聪明
[00:51:35] 你你在改作业的时候
[00:51:37] 就我觉得我们都会有这种倾向
[00:51:39] 哎呀就改一个字
[00:51:40] 不要紧的
[00:51:41] 就就改了
[00:51:42] 就提交吧
[00:51:43] 你一定会这样想的
[00:51:44] 但是模型呃有工程
[00:51:48] 就他见过很多好的工程项目
[00:51:50] 也读过很多这个软件工程的书
[00:51:52] 所以他知道
[00:51:53] 当前不建议直接提交
[00:51:55] 然后他还给你
[00:51:57] 还给你修好了
[00:51:59] 还要他给你解释
[00:52:00] 可能有几个prompt
[00:52:01] 比如说我有一个
[00:52:03] 我的有一个system prompt
[00:52:05] 大概可能比如说要说中文
[00:52:07] 或者呃我在上课
[00:52:09] 所以你可能要讲的更详细一点
[00:52:11] 这样的prompt
[00:52:12] 然后以及
[00:52:14] 他还给了很多很好的解释
[00:52:16] 为什么他不符合git提交
[00:52:19] 应当是一个完整自洽的快照提交
