[00:00:00] 呃上课之前我先在告诉大家一下
[00:23:18] 持有所线程执行过的操作
[00:23:19] 我才能打破这个没有抢占的这个条件
[00:23:22] 所以你看这是一个非常深刻的
[00:23:25] 而且也是很好的讨论
[00:23:27] 我们讨论打破锁的四个呃条件
[00:23:29] 为什么那个system deadlock是一篇经典的文章
[00:23:33] 不不是因为它最终导致了百度百科上的这个
[00:23:36] 这句大空话
[00:23:37] 而是你如果仔细去思考里面的每一个条件
[00:23:41] 你都是打开了一个新的领域的分支
[00:23:43] 他们可能让编程这件事件事情变得更好
[00:23:46] 你仔细去想
[00:23:47] 然后你你为了实现这个东西
[00:23:48] 你就不知道要费多少的精力
[00:23:51] 你你有有可能上千篇的文
[00:23:53] paper都都是和这个传session memory有关的
[00:23:56] 那就是一个很好的这个
[00:23:59] 推动人类进步的一个idea
[00:24:01] 好那回到最后我们能不能不形成循环等待
[00:24:06] 也就是说我们刚才讲的ABBA型的死锁
[00:24:10] 如果我所有的锁
[00:24:11] 我给世界上所有的锁都编一个编号
[00:24:15] 我强制要求你在上锁之前或者上锁的时候
[00:24:19] 必须要从小到大上
[00:24:20] 是不是就能避免思索呢
[00:24:22] 答案是yes
[00:24:23] 我上次留了一个小小问题
[00:24:27] 就是就是lock order人为什么是对的
[00:24:29] 我们在写Danny philosopher的时候说
[00:24:31] 我们所有人都举起左手叉子
[00:24:34] 唯独那个边有一个人
[00:24:36] 他要先举起右手的叉子
[00:24:38] 我就可以满足lock ordering了
[00:24:40] 满足lock ordering以后
[00:24:42] 在任何时候
[00:24:43] 系统里面的锁都是有限的有限的
[00:24:46] 所以在任何时候总有一个县城
[00:24:49] 他手上有一个编号最大的锁
[00:24:52] 可能稍微有一点抽奖不算很抽象
[00:24:56] 比如说我我就从左往右划
[00:24:58] 比如说T1T2T三好
[00:25:00] 那我们现在假设他们是每一个县城的锁
[00:25:03] 都必须是从小到大来活
[00:25:04] 所以我我现在提
[00:25:05] 比如T1拿一个一没关系好
[00:25:07] 那如果比如说T2也想要一的话
[00:25:10] 它就必须要等待了
[00:25:11] T2就对不起
[00:25:13] T2就block了block
[00:25:16] 然后好
[00:25:17] 那现在T1拿了世界上编号最大的锁
[00:25:21] 然后T2可能比如说现在他要二
[00:25:25] 他也他也拿到了
[00:25:26] 然后他拿到二以后
[00:25:27] T2就变成拿到世界上最大的锁的线程了
[00:25:30] 如果T1这个时候想要再拿二
[00:25:32] 那对不起
[00:25:33] 他也要block
[00:25:34] 但是世界上总会有一个线程
[00:25:36] 拿着那个锁的编号是最大的
[00:25:38] 这个线程百分之百是可以继续运行的
[00:25:40] 所以我不是种不会发生死锁
[00:25:42] 对我我总有至少有一个线程是可以往后执行的
[00:25:45] 然后往后执行以后
[00:25:46] 这个线程eventually
[00:25:47] 它会把所有的锁都释放掉
[00:25:49] 一个线程不可能无限制的
[00:25:51] 持有一把锁
[00:25:52] 虽然你们在写代码的时候
[00:25:53] 也可能会出现这个情况
[00:25:54] 忘了release
[00:25:55] 那它就那也死锁了哈哈
[00:25:58] 但至少这种ABBA型的思索
[00:26:00] 在lock ordering下是可以呃完全避免的
[00:26:04] 而且这个证明是可以扩展到log group的
[00:26:07] 也就是说我我我不仅是可以一个锁
[00:26:09] 也可以是一组锁
[00:26:11] 我只要按照从小到大的组号来lock那一样的
[00:26:17] 我任何时候都有一个呃线程
[00:26:19] 获得一个只有一个组号最大的那个那个锁
[00:26:23] 那这个线程一定是可以往前执行的
[00:26:24] OK那就呃那也是可以的
[00:26:27] 当然你还要保证组里面没有ABBA的问题
[00:26:29] 但这个相对来说是是更容易
[00:26:32] 容易保证的
[00:26:33] 所以这这件事情
[00:26:35] 是整个呃死锁四个条件里面
[00:26:38] 最容易打破的就是循环等待
[00:26:40] 反而你们觉得死锁
[00:26:41] 因为死锁定义就是循环等待
[00:26:43] 但是你们使用锁的时候最容易遵循
[00:26:46] 就最容易打破的条件其实是循环等待
[00:26:48] 只要你在编程上面能满足这一点就行了
[00:26:51] 当然在编程上要满足这一点
[00:26:52] 本身还是有很大的困难的
[00:26:55] 有一个啊rice theory
[00:26:57] 我告诉你
[00:26:57] 你如果只给你程序
[00:26:59] 你想要分析出其中任何一个non tribute的性质
[00:27:01] 它都是to bring complete
[00:27:03] 因为你可以随便在每任何一个地方
[00:27:05] 嵌入一个什么证明
[00:27:06] 验证哥德巴赫猜想的这个程序
[00:27:08] 然后它永远不会结束
[00:27:10] 如果嗯你也不知道这个猜想对不对
[00:27:12] 如果你能分析出它这个会不会思索
[00:27:15] 你就呃你就可以证明哥德巴赫猜想
[00:27:18] 这样对
[00:27:20] OK实际上啊在现实世界中
[00:27:24] lock caldering是非常广泛
[00:27:26] 广泛的应用呢你你可以看到在linux kernel里面
[00:27:29] 在这个memory subsystem里面
[00:27:31] 这个是r map点C
[00:27:33] 这是r map点C里面的
[00:27:36] 文档文档
[00:27:37] 告诉你它按照什么样的顺序获得获得锁
[00:27:42] 这个文件很长
[00:27:43] 你们可以可以让AI帮你读
[00:27:45] 这我我我已经展示过怎么样直接打开一个cloud code
[00:27:49] 然后让他呃读这个内核的代码
[00:27:52] 我就不读了
[00:27:53] 但lock ordering确实是一个可以工作的
[00:27:55] 在实际中工作的
[00:27:57] 比较好的一个方式
[00:27:58] 可以啊避免大型系统里面的思索
[00:28:01] 但是但是这有一个问题
[00:28:04] 刚才我说你想要证明一个锁
[00:28:06] 一个锁的实现它没有死锁
[00:28:08] 还是非常困难的
[00:28:10] 在科隆里面也有这样的一个文档
[00:28:12] 叫unreliable guide to locking
[00:28:14] 他说教科书告诉你
[00:28:15] 如果你apply这个log ordering
[00:28:17] 那你就不会思索了
[00:28:18] 但是这有一个假设是你写的程序是对的
[00:28:22] 但人天生就容易呃容易写bug
[00:28:25] 所以他有一些这个best practice
[00:28:26] 比如说如果你一个锁永远不暴露给别人
[00:28:30] 你只是在你自己的这个subsystem里面使用
[00:28:33] 它天生就是满足
[00:28:35] 就在叶子上
[00:28:36] 总是在叶子上使用
[00:28:38] 使用完以后再再释放它
[00:28:39] 就它就绝对不会呃产生啊产生死锁
[00:28:43] 它有一些这个工程意义上好的
[00:28:46] 好的时间以及呃后来啊后来大家也发现
[00:28:50] 比如说呃大约53%的有文档的
[00:28:55] docking locking rule的
[00:28:58] 锁的使用
[00:28:59] 实际上文档和实现实际上是不一致的
[00:29:01] 因为你你改了一份代码以后
[00:29:05] 你测试通过以后
[00:29:05] 你很有可能忘了去改那个注释文档
[00:29:08] 或者什么地方
[00:29:08] 因为你你写程序的时候
[00:29:10] 程序员的上下文窗口是非常有限的
[00:29:12] 他没有办法看到整个项目
[00:29:14] 他只能关注到这个文件和一两个文件
[00:29:16] 如果他忘记他
[00:29:17] 他在一个月以前还写过那个文
[00:29:19] 文档里面还有一个地方描述这件事
[00:29:21] 那很有可能就忘了改
[00:29:23] 但今天不会再发生了
[00:29:25] 我们有一个足够长的上下文的大圆模型
[00:29:27] 然后能把所有相关的东西都塞进来
[00:29:29] 那他一一次就可以把所有的地方都都修好
[00:29:33] 所以呃也许这种这种问题也就成为了过去了
[00:29:37] 不过再成为过去
[00:29:39] 我们都认为
[00:29:40] 都认为呃bug是不会消失的
[00:29:43] 因为写代码本身还是很困难的
[00:29:44] 尤其是写并发程序也是很困难的
[00:29:46] 没有人能够阻止程序员写出dead lock
[00:29:49] 也没有人能阻止这个AI写出data allog
[00:29:52] 所以呃我故意把这个写写反过来了
[00:29:55] 因为呃现在很火的叫harness engineering
[00:29:58] 叫驾驭工程
[00:29:59] 呃驾驭工程实际上是一种软件工程
[00:30:01] 但是我我我故意把它反过来
[00:30:03] 软软件工程的本质就是一个harness engineering
[00:30:08] 这有一个有一个原则
[00:30:10] 是大型软件系统设计的基本原则
[00:30:14] 做最坏的假设
[00:30:15] 做最防御性的编程
[00:30:18] 也就是说不管372 11
[00:30:20] 我先假设你的程序是错的
[00:30:23] west代码永远是错的
[00:30:25] 然后除非你竭尽所能
[00:30:27] 你都没有办法向我证明他是错的
[00:30:30] 我才能相信他
[00:30:31] somehow是对的
[00:30:32] 你你绝对不能呃说是我我哎
[00:30:36] 我有一个呃程序
[00:30:38] 今天期末考试了
[00:30:39] 然后呃写完程序以后直接就交OJ
[00:30:42] 你过了样例就交OJ编译
[00:30:44] 通过就交OJ
[00:30:45] 这在这个大型系统当中是一个很不好的
[00:30:48] 习惯
[00:30:49] 我觉得当然在AI的时代
[00:30:51] 大家已从第一门课编程课开始
[00:30:54] 应该已经扭转了这样的
[00:30:55] 这样不好的很不好的习惯了
[00:30:57] 那我们为了实现这个呃驾驭程序员
[00:31:02] 驾驭复杂性
[00:31:03] 这样的软件工程
[00:31:05] 在锁的方面我们可以做什么呢
[00:31:07] 做最坏的假设
[00:31:08] 如果我我我会假设你程序员写了lock
[00:31:12] 他一定很有可能会在某一些罕见的路径上面
[00:31:16] 忘记养老
[00:31:17] 所以呃大家会规定
[00:31:21] 你程序不能随便按你随心所欲的方式写
[00:31:24] 比如说linux kernel里面就有一个非常好的pattern
[00:31:27] 它会go to release
[00:31:29] 就你在你在任何时候
[00:31:31] 你尤其是这个对于C代码来说
[00:31:33] 它可能损失一点点性能
[00:31:35] 但是呃这里有一个有1go to
[00:31:38] 有一个release
[00:31:39] 然后这个re release它会检查你所有申请的资源
[00:31:43] 在这里面allocate的buffer
[00:31:45] 因为你你在在运行的时
[00:31:48] 你在程序在运行的时候
[00:31:49] 你不停的会什么申请buffer
[00:31:51] 然后会acquire lock
[00:31:53] 然后在这里面
[00:31:55] 任何申请都会在release里面检查它有没有被释放
[00:31:58] 如果没有被释放
[00:31:59] 它会再多释放一次
[00:32:00] 然后所有没有被释放
[00:32:01] 如果没有释放
[00:32:02] 它也会多多释放一次
[00:32:03] 然后在任何时候你想要return的时候
[00:32:06] return是非常危险的
[00:32:08] 因为return他只是说好这个战争就没了
[00:32:11] 战争没了
[00:32:12] 这个资源还留着锁
[00:32:13] 还占着buffer还没没回收呢
[00:32:17] buffer没回收就是一个资源浪费
[00:32:18] Leak
[00:32:19] 但是你们写OJ的时候
[00:32:21] 你们你们是让他让他随便立刻的
[00:32:23] 这也是一个不好的习惯
[00:32:24] 所以你看到return时候要非常紧张哇
[00:32:26] 这个return的时候
[00:32:27] 我是不是把所有的cup都做好了
[00:32:28] 所以你不要return
[00:32:29] 你就go to go to release
[00:32:31] Go to
[00:32:31] 有的时候你们觉得不喜欢
[00:32:32] 但是在这个这个时候
[00:32:34] 在C里面没有其他的编程机制来保证的时候
[00:32:37] 你你看到这个go to release
[00:32:38] 你就可以知道放心的
[00:32:39] 它自带的一个意思是我放心的
[00:32:41] 需要释放所有的资源
[00:32:43] 然后安全的
[00:32:44] 安全的返回
[00:32:45] 当然呃这不是一个
[00:32:46] 当然这也不是一个万能的方法
[00:32:48] 你还是会忘记
[00:32:49] 比如说你在release的时候
[00:32:50] 忘记释放一个你申请的buffer
[00:32:53] 这也是非常有可能的
[00:32:54] 所以C加加rust有一个非常核心的机制
[00:32:57] 是用r a w i double i resource
[00:33:00] Allocation is invisualization
[00:33:02] 你创建一个对象
[00:33:03] 你创建一个对象
[00:33:04] 然后你有一个呃在任何一个scope里
[00:33:06] 你甚至是不需要在函数集
[00:33:08] 你在一个代码块集
[00:33:10] 你你们呃在代码块级定义自己的局部变量
[00:33:14] 也是一个很好的practice
[00:33:16] 让局部变量不要立刻到它的作用域外面
[00:33:18] 然后你可以lock object在C加加里面在进入这个它
[00:33:24] 它编译器会帮你保证
[00:33:26] 在进入这个代码块的时候
[00:33:29] 这个构造函数会调用在离开这个代码块的时候
[00:33:32] 不管你是用return离开的还是别的方式离开的
[00:33:37] 它都会保证这个析构函数被调用
[00:33:39] 所以呃所以憋气干了很多脏事
[00:33:42] 但是这个时候你可以在构造的时候
[00:33:44] 快在虚构的时候release
[00:33:46] 你就可以确保这个锁在这个作用域里是生效的
[00:33:50] 这也是一个非常好的practice
[00:33:52] 它可以阻止你啊上了锁忘记释放
[00:33:55] 然后刚才那个例子里面是linx kernel规定
[00:33:57] 必须有明确的lock ordering
[00:33:59] 你你必须按照这个呃确定的顺序来上锁
[00:34:02] 否则
[00:34:03] 否则你肯定会会各种各种出问题
[00:34:06] 但是但是这不是软件工程
[00:34:09] 或者说这不是真正的HONEYSSINI
[00:34:11] 真正的HONEYSON经人就是做最最坏的假设
[00:34:15] 做最最防御的编程
[00:34:17] 也就是说他假设你所有的这些东西都得用lock order
[00:34:21] 你都得有
[00:34:21] 但是没有一个程序员是真正信得过的
[00:34:24] 这这这才是我觉得跟AI编程的一个
[00:34:29] 相处之道吧
[00:34:31] 呃尽管啊尽管可能因为你的精力是有限的
[00:34:33] 所以你不可能做一个完美的harness engineering
[00:34:35] 但是你在呃随着项目增大的时候
[00:34:38] 你越来越需要一些
[00:34:39] 哪怕是给你增加这个harness的agent
[00:34:42] 都是很有很有价值的
[00:34:44] 所以如果你假设没有程序员都是信得过的
[00:34:48] 那你要找找的是什么呢
[00:34:49] 你找的是这种ABBA型的死锁
[00:34:53] 并发程序难
[00:34:56] 或者说给你们造成麻烦的原因是
[00:34:59] 你的ABBA型的思索
[00:35:01] 可能99.99999%的运行里面
[00:35:04] 都是先A后B
[00:35:05] 但是你在一条非常罕见的路径里会先B后A
[00:35:10] 比如说刚才我说的什么CTRL加C的时候
[00:35:14] 你会先B后A
[00:35:15] 然后但你平时你可能每天也就CTRL加C
[00:35:18] 那么几次
[00:35:19] 然后只要没有发生这种AB
[00:35:22] 你需要一个你需要一个lock b插入
[00:35:26] 在正好插入在它们之间的时候
[00:35:29] 这个ABBA的四座才会成立
[00:35:31] 但是这个代码可能
[00:35:33] 这个lock a
[00:35:35] lock b可能只占程序执行的0%
[00:35:37] 点001的时间
[00:35:38] 你根本碰不上把lock b插入到里面
[00:35:41] 所以这个代码你测反复的测试
[00:35:43] 经过了反复的测试
[00:35:45] 依然觉得好像没有问题
[00:35:47] 诶结果你到发布出去以后
[00:35:49] 当你有1亿个用户的时候
[00:35:51] 就总有一个人CTRL加C的时候
[00:35:53] 把lock b叉插入到这个里面
[00:35:55] 他就思索了
[00:35:56] 这就是麻烦
[00:35:56] 就是你当你的系统从你一个人的玩具玩具
[00:36:00] 反正crash了
[00:36:01] crash就crash呗
[00:36:03] 嗯并发了
[00:36:05] 哪怕你有一个race导致了错误
[00:36:07] 这程序crash了
[00:36:08] 你甚至不管它就行
[00:36:09] 你再再起来跑一遍
[00:36:10] 但是你如果有1亿个用户的时候
[00:36:13] 那就是一个很大的frustration
[00:36:15] 甚至这个可能会把你的服务器卡住
[00:36:16] 你的你一个press就可能导致你
[00:36:20] 你你给全球所有人的服务都中断了
[00:36:22] OK所以你就有一个聪明的想法
[00:36:25] 如果你还要做更坏的假设
[00:36:27] 也就是说没有任何程序员是信得过的
[00:36:29] 那你就不如每一次acquire和release
[00:36:32] 你都用print f打一个日志
[00:36:35] 然后你这时候你看到的就是线程一行AB
[00:36:39] 然后lock b lock a
[00:36:42] 然后AA
[00:36:45] a unlock a b unlock b等等好
[00:36:50] 然后比如说T2也是ABBA等等好
[00:36:56] 这都是对的
[00:36:57] 但是你只要有任何有一天
[00:37:00] 你这个程序可以运行很长很长时间
[00:37:02] 只要任何有一天你看到一个线程上面有BA
[00:37:07] 哪怕在实际上他们都没有形成这种插入进去的
[00:37:13] 真正的思索
[00:37:14] 这件事情都是非常危险的
[00:37:17] 即便你的程序有可能是对的
[00:37:18] 比如说中间有一个线程的
[00:37:21] SPONN和SPOND的同步关系
[00:37:22] 你你在这个线程A线程里面
[00:37:24] 你在你在T1里面是先A后B
[00:37:27] 然后你创建了B
[00:37:29] 然后T2里面是先B后A
[00:37:31] 假设只有这一种情况
[00:37:32] 这确实没有
[00:37:33] 确实不会产生死锁
[00:37:35] 但是本着不要给程序员增加负担的
[00:37:39] 这样的基本原则
[00:37:40] 你依然要判定这个事情你不要这样写
[00:37:42] 你永远不要这样写
[00:37:43] 永远不要认为你感觉他是对的
[00:37:46] 你确实证明他是对的
[00:37:48] 你的项目会改的会变的
[00:37:49] 有一天你把这个T2挪到这个代码
[00:37:53] 这段代码被别人复用了
[00:37:56] 复用了以后这个就错了
[00:37:58] 所以呃做最坏的假设
[00:38:00] 做最防御性的呃编程
[00:38:02] 所以我们可以做什么呢
[00:38:03] 我们可以用LDPRELOAD这个机制
[00:38:06] 我们可以用l d pro的这个机制
[00:38:09] 在每一次mutex lock的时候
[00:38:13] 或者unlock的时候都改成我们的代码
[00:38:16] 我们我们实现过那个LDPRELOAD的hack
[00:38:20] 呃做过一个修改器
[00:38:21] 然后这个动态加载的时候
[00:38:23] 我就可以覆盖操作系统原有的这些啊API
[00:38:27] 然后那我就可以把lock on lock的日志
[00:38:30] 像s trace一样打印出来
[00:38:31] 打印出来以后我就可以管道给一个check点PY
[00:38:35] 那他就可以正确的
[00:38:38] 正确的知道你的系统是不是可能有浅带的思索
[00:38:42] 然后这样的一个程序就叫就叫LOGDP
[00:38:45] 当然我们可以完全可以做的更好一点
[00:38:47] 我们可以一边trace1边检查
[00:38:49] 我们不需要把它再管道给另外一个程序
[00:38:51] 我们本质上是维护一个数据结构
[00:38:53] 我我我每一次
[00:38:56] 我我的世世界里面有好多个锁
[00:39:00] 我的世界里面有好多把锁诶
[00:39:02] BCD好
[00:39:05] 然后呢如果每有一个线程
[00:39:07] 比如说T1T1先上A再上C
[00:39:11] 我就会把ACD这个这个这个给记下来
[00:39:14] 然后如果我我比如说我线程B我先先上先乘二
[00:39:19] 先上B再上D
[00:39:20] 然后再有一天有一个线程先上了D
[00:39:22] 再上了A这个图里面就形成了一个环
[00:39:25] 我们本质上是一个数据结构问题
[00:39:27] 有没有发现一条新的边
[00:39:29] 然后这个图里面有没有还一个动态的数据结构
[00:39:31] 所以啊你你用数据结构的方式就可以
[00:39:34] 可以可以解决解解决它
[00:39:37] 呃你就知道有没有潜在的这种循环等待型的
[00:39:42] 思索这里这里我也有有有代码
[00:39:45] 我们有有lock trace和和lock tap
[00:39:48] 然后这个lock trace
[00:39:50] 我完全没有管
[00:39:51] 这是web coding的
[00:39:52] 你们有个概念
[00:39:53] 你们知道这个LDPRELOAD可以
[00:39:56] override动态链接程序里面的啊符号
[00:40:00] OK然后剩下这些呃呃麻烦的细节就交给交给他
[00:40:03] 不过你我还是强烈建议你们学习一下
[00:40:06] 这个细节是是怎么呃怎么办到的
[00:40:15] 比如说我可以
[00:40:16] 呃trace一个正常的上锁解锁的程序
[00:40:19] Acquire release
[00:40:20] 然后我也可以
[00:40:22] trace这个philosopher叫din philosopher
[00:40:26] 每一个线程acquired拿一把锁
[00:40:30] 然后我我也让AI
[00:40:31] 直接帮我实现了一个能够做LOCKTAP检查的
[00:40:39] 函数跟刚才一样
[00:40:41] 刚才一样
[00:40:41] 刚才是是我们把lock unlock给print f打印出来了
[00:40:46] 我现在你看它
[00:40:47] 它直接呃用一个非常暴力的方式维护这个图
[00:40:52] 然后他去检查这个图里面啊有没有变
[00:40:54] 不知道他用的什么算法
[00:40:55] 但这个这个是你们算法课要学的
[00:40:58] 内容这个也不是很重要
[00:40:59] 重要的是你可以用LD呃PRELOAD的方式
[00:41:04] 比如说一个
[00:41:07] 能够通过的test
[00:41:10] 这时候我就没有日志了
[00:41:11] 他有有64个线程
[00:41:13] 然后有100轮的上锁都没有
[00:41:15] 都没有发现
[00:41:16] 什么显著的问题
[00:41:17] 但是如果你是philosopher的话
[00:41:21] 这次你看这次我运行philosopher
[00:41:23] 它触发了一个真正的思索
[00:41:24] 但是我的lock tap其实已经在前面
[00:41:26] 提前就就发现这个问题了
[00:41:29] 在第二次运行的时候
[00:41:30] 我的程序正常退出了
[00:41:32] 没有发生思索
[00:41:33] 这也是很正常的
[00:41:35] 嗯呃如果我如果我运行它
[00:41:38] 你看我运行好几次
[00:41:40] 这个程序看起来是没有问题的
[00:41:42] 你会觉得诶好像不错嘛
[00:41:44] 你甚至运行了
[00:41:45] 就你做压力测试时甚至会运行100万次
[00:41:49] 1000万次
[00:41:50] 你你觉得这个程序都挺对的
[00:41:52] 就像你们的MELOC
[00:41:53] 我不知道你们同学有没有遇到过这个问题
[00:41:55] 你们你们可能你们你们给他了
[00:41:57] 一个非常stressed的
[00:41:58] 你认为非常stressed的workload
[00:42:00] 但是你就是没有触发那条罕见的罕见路径
[00:42:03] OK对不起
[00:42:04] 你就你就挂了对
[00:42:08] 但是LOCKTAP你看我每一次运行的时候
[00:42:10] 他都能够检查到ABBA
[00:42:12] 这就是因为我每一次上锁的时候
[00:42:14] 我都会会找到所有上我这个线
[00:42:17] 我这个我自己这个线程上锁的顺序
[00:42:19] 并且把它加到
[00:42:21] 加到图里
[00:42:23] 软件工程的本质就是行业engineering
[00:42:26] 这是第一种问题叫思索
[00:42:29] 然后你就会想好
[00:42:31] 那如果我永远都不上锁
[00:42:34] 那我不就彻底避免了死锁了吗
[00:42:36] 还记得这个必要条件里面的
[00:42:39] 第一条
[00:42:40] 一个钥匙只能被一个人拿到
[00:42:42] 拿到钥匙才能继续
[00:42:43] 我没有钥匙也能继续
[00:42:45] 这不就没有锁了吗
[00:42:46] 好如果你永远不上锁
[00:42:48] 你就会面临一个更麻烦的问题
[00:42:50] 叫data race
[00:42:52] 叫数据竞争
[00:42:53] 然后我现在正式引入这个概念
[00:42:55] 但其实我们在前面讲各种各样
[00:42:57] 并发程序的例子的时候
[00:42:58] 其实我们已经碰到很多data race了
[00:43:00] 第一个例就是那个支付宝
[00:43:02] 如我判断
[00:43:03] 如果我的余额还够
[00:43:05] 我就把它减掉
[00:43:06] 别的县城也在改这个余额
[00:43:08] 我在读读到他写的值了
[00:43:10] 这个阿里阿里配的例子
[00:43:13] 还有我们两个线程做sum加加
[00:43:16] 这也是一个data race
[00:43:18] 然后我们的PETERSON的算法或者说那个协议是吧
[00:43:21] 我们往往门上面贴字
[00:43:24] 然后把手举起来
[00:43:25] 你去看它
[00:43:25] 这也是data race
[00:43:26] 什么是data race呢
[00:43:28] 不同的线程同时访问同一个内存
[00:43:32] 并且至少有一个是写
[00:43:33] OK为什么一定要至少有一个是写呢
[00:43:37] 是这样的
[00:43:38] 我们有两个线程
[00:43:39] T1T2好好
[00:43:42] 如果我这个线程读X
[00:43:44] 我这个线程也读X
[00:43:46] 我们不管假设过去发生的事情都是对的
[00:43:48] 或者说都是好的
[00:43:50] 那我会保证T1和T2会读到同样的值
[00:43:54] 过去假设事情已经过去了
[00:43:56] 但是呢一旦我至少有一个线程式写
[00:44:00] 这就麻烦了
[00:44:02] 他们两个就会赛跑
[00:44:04] 谁跑得快
[00:44:05] 谁跑得慢
[00:44:07] 会造成一个nondeterministic非确定性的结果
[00:44:11] 你看如果我的毒跑的比较快
[00:44:14] 我毒跑的比较快
[00:44:16] 就意味着我的血跑的比较慢
[00:44:17] 我就会发生这样的情况
[00:44:20] 如果我的读跑的比较快
[00:44:22] 我就读不到这个写的值
[00:44:24] 比如说原来X等于零
[00:44:26] 我这X等于一
[00:44:27] 那我这时候X就会就会读到一个零
[00:44:31] 但是呢如果我反过来
[00:44:33] 那如果是斜跑的比较快
[00:44:35] 只要快一点点到这里WX等于一
[00:44:39] 那么这个值就会变成一
[00:44:42] 也就这个就是我们最讨厌的就是你的并发程序
[00:44:46] 这个值你说X是多少
[00:44:48] 你不知道
[00:44:49] 有可能是这个
[00:44:50] 也有可能是这个一旦你有两种可能性的时候
[00:44:54] 你想要理解这个程序难度就指数级的暴涨
[00:44:57] 甚至还有这种week memory model的这种行为
[00:44:59] 我们说说我我那个线程
[00:45:02] 写X等于一
[00:45:03] 写Y等于一
[00:45:04] 我读Y读X
[00:45:05] 结果我还读到的是旧旧的值
[00:45:06] 明明至少有一个已经啊已经写过了
[00:45:09] 然后写和写的raise也是一样的
[00:45:11] 所以你看如果我一个线程写X等于一
[00:45:14] 我另一个线程写X等于二
[00:45:16] 就意味着谁跑得快
[00:45:19] 谁先到了
[00:45:20] 谁的值就会被别人覆盖掉
[00:45:23] 我跑得快的值反而丢了
[00:45:25] 程序运行的快慢会影响那个最终的结果
[00:45:28] 这个一般来说啊都是尤其是如果在你没有保护
[00:45:32] 没有明确知道他会有什么后果的情况下
[00:45:34] 都是非常危险的
[00:45:35] 所以在C和C加加里面
[00:45:37] 这样的所谓的data race是undefined behavior
[00:45:42] untify behavior是一个非常严重的后果
[00:45:44] 就意味着他把你的电脑炸了都可以
[00:45:47] 它可以
[00:45:48] 你你一个安全
[00:45:49] 如果有一个安全漏洞
[00:45:50] 它因为因为C语言是直接是编译到指定的
[00:45:53] 你那个进程就直接在执行
[00:45:54] 那如果你你的内存corrupt了
[00:45:57] 有可能发生的是
[00:45:58] 你你的PC会跳到一个
[00:46:00] 他在你的地址空间里面写的他的一段代码
[00:46:03] 你的任何代码都可能执行
[00:46:05] 你理论上说
[00:46:06] 如果你的机器
[00:46:07] 比如说还接了一个核弹发射器的话
[00:46:09] 你可以把那个核弹都发射出去
[00:46:10] 你对物理世界造成一个不可逆的伤害
[00:46:12] 所以这就是undefined behavior
[00:46:14] On only fafine behavior
[00:46:15] 非常的危险
[00:46:16] 你你基本上用就是你你用就是你错
[00:46:19] K
[00:46:20] C和C加加
[00:46:21] 当然C和C加加是一种不负责任
[00:46:23] 也不能说不负责任
[00:46:23] 他是为了兼容它
[00:46:24] 是为了兼容任何体系结构
[00:46:26] 任何呃任何系统实现任何编译优化这些
[00:46:31] 他干脆就把把data rise定义成商地盘behavior
[00:46:35] 实际上你们非常小心
[00:46:36] 然后java试图定义rise的一个可能的行为
[00:46:38] 比如说他呃没有人写过42
[00:46:42] 那他最好希望你读的时候不要读到42
[00:46:44] 它有一个最小的保底
[00:46:45] 不会出现这种很糟糕的安全漏洞
[00:46:48] 这样的奥迪反behavior
[00:46:51] 这data redis是一种非常典型的
[00:46:54] 因为你忘记上锁而导致的一种bug
[00:46:58] 但从这几个例子来看
[00:47:00] 你们会觉得
[00:47:01] DA瑞斯是一个我不太可能发生的事情
[00:47:04] 我怎么会蠢到不上锁呢
[00:47:06] 其实不是的
[00:47:08] 你最常见的错误是这样的
[00:47:10] 你们不是不上锁
[00:47:14] 你们也知道任何共享的数据结构都要保护
[00:47:17] 但是当你的数据结构越来越复杂的时候
[00:47:19] 就像一个链表
[00:47:20] 我前面讲数值锁的时候
[00:47:21] 你就log data structure
[00:47:22] 你你为了访问这个节点的时候
[00:47:24] 你不仅要持有它的锁
[00:47:26] 你还必须要持有它的previous和next的锁
[00:47:28] 否则你对它做任何结构性的修改其实都是错的
[00:47:31] 所以你们实际上发生的是
[00:47:36] 第一上错了锁
[00:47:38] 我在一个线程里面lock a
[00:47:40] 另一个线程也lock b
[00:47:41] 你看起来是互斥了
[00:47:42] 但其实没互斥
[00:47:43] 你这两个SAM还是可能会发生这样的
[00:47:47] Data race
[00:47:47] 不管是像像SAM加加这个就是又有read write
[00:47:50] 又有write write的
[00:47:51] Data race
[00:47:52] 然后第二个case是你在一些比较罕见的路径上面
[00:47:55] 就忘了上这把锁
[00:47:56] 这也是很有可能的
[00:47:58] 比如说你可能在肯JY那个handler
[00:48:00] 在异步事件的处理上
[00:48:02] 在那个路径上
[00:48:03] 你你你忘记了这个代码还会并发的
[00:48:06] 你忘了上锁
[00:48:07] 它就形成了一个呃data redis
[00:48:09] 可是undefined behavior
[00:48:10] 它很有可能会有呃比较呃毁灭性的后果
[00:48:15] 当然了
[00:48:16] 你也会说无非就是那两种情况嘛
[00:48:19] 我只要保持大脑清醒就行
[00:48:20] 不过我觉得现在比如说你们要实现一个
[00:48:23] 像那种高性能的MALLOC
[00:48:25] 你你想要上锁
[00:48:27] 比如说你第一遍没做对
[00:48:29] 你你只要让AI直接仔细的分析一下
[00:48:32] 每一个地方应该上什么锁
