[00:00:00] 欢迎大家来上操作系统课
[00:30:36] 那下接下来就是你刚开始学习cpp的时候
[00:30:40] 你不知道怎么做一个游戏
[00:30:43] 因为你只会用Cout那个打字符。
[00:30:47] 那么你要做一个游戏，你需要有一个抽象层
[00:30:51] 有点像游戏性引擎，你需要你游戏引擎
[00:30:55] 给你提供一些抽象的接口，一些API
[00:30:59] 然后你调用那个API新建一个游戏
[00:31:01] 那下一个问题就是这个
[00:31:03] 你应该设计一个怎么样的API
[00:31:06] 是对广大开发人友好的
[00:31:10] 那现在游戏引擎你们用过
[00:31:12] 从简单的什么拍电影，到更简单的时候
[00:31:15] 我自己在linux做一个小游戏引擎
[00:31:18] 再到更复杂的，工业级的事情
[00:31:21] 他们是怎么设计的。
[00:31:22] AI现在还不擅长做这件事
[00:31:25] 然后这也是可能人类智慧
[00:31:27] 或者computer是science里面作为CS的学生
[00:31:30] 人类智慧里的最后一道线
[00:31:32] AI还做不了这个顶层
[00:31:34] 做不了这种真正好的顶层设计
[00:31:37] 基本上我们在做研究的时候也是
[00:31:39] 如果顶层设计上Ai能做的话
[00:31:41] 那基本上就只能是说些车轱辘话，
[00:31:44] 没有办法人工做是这种顶尖的顶层设计的创新
[00:31:49] 而大家想要超过就比说在今天你想要超越AI
[00:31:54] 你唯一能觉得就是怎么样做的这种顶级的顶层抽象
[00:31:59] 而操作系统就是这样的一个抽象
[00:32:00] 这门课的 takeaway message
[00:32:03] 就是你怎么样设计一个好的抽象层
[00:32:05] 依赖下层的接口，给上层提供服务
[00:32:07] 另外我们会讲上操作系统是什么的时候讲
[00:32:10] 操作系统就是一个接口
[00:32:13] 他对象是什么
[00:32:15] 你这个接口的设计
[00:32:18] 它既好实现
[00:32:20] 最上层的应用又要友好
[00:32:21] 还能一层一层再拉出一个完整的生态世界
[00:32:24] 那这个人其实也走了很多弯路
[00:32:27] 最后才有到今天的这样一个结果
[00:32:32] 然后操作系统作为一个抽象的
[00:32:35] 他其实是AI的手脚，我们的AI为了
[00:32:40] 为了能够做各种各样的事情
[00:32:44] 他就需要就各种显示界面
[00:32:48] 需要去在网络上面通信
[00:32:50] 需要去创建一个虚拟机，虚拟环境
[00:32:54] 而这些底层的功能都是有操作系统提供的
[00:32:58] 如果没有操作系统提供这些功能
[00:33:00] 你们如果看ai日志的话
[00:33:06] 你经常会看到他会写一段脚本
[00:33:08] 他的脚本可能还从网络上面拉一点数据
[00:33:13] 然后或者对你的本地修改
[00:33:15] 如果没有操作系统那一层一层叠出来的抽象工具，
[00:33:18] 那Ai的手和脚就被砍掉了
[00:33:20] 他是做不了这些复杂的事情。
[00:33:25] 而且操作系统还给了我们，像安全，可靠，高效，有保障的
[00:33:31] 它支撑了我们整个现在的这个应用生态
[00:33:35] 你用手机上应用的背后
[00:33:38] 你手机本身是一操作系统
[00:33:40] 它就支撑你手机的运行
[00:33:42] 然后在应用的背后
[00:33:44] 互联网还有有云服务器
[00:33:46] 它上面也有操作系统
[00:33:47] 然后这操作系统支撑了整个应用的生态
[00:33:51] 所以，我觉得学这个是cs的
[00:33:56] 学操作系统这门课的意义
[00:33:59] 是他你最后一门编程课。
[00:34:02] 你们已经走了很长一段路
[00:34:05] 学cpp，学数据结构，学算法，
[00:34:08] 他们某种程度上，也是一种编程课
[00:34:13] 但操作系统是你真正的最后一门编程课
[00:34:15] 你会知道
[00:34:17] 一个计算机程序，一个软件
[00:34:19] 写这些个软件
[00:34:21] 你写一个软件
[00:34:24] 这个软件到底能做什么
[00:34:27] 什么事情是软件能做呢？
[00:34:29] 到底为什么能做
[00:34:30] 比如说你学完这门课以后，你就可以回答
[00:34:34] 为什么可以创建一个窗口。
[00:34:36] 为什么我在这
[00:34:39] 为什么能有一个网页上面显示这个内容
[00:34:42] 为什么我能创建一个窗口
[00:34:45] 然后为什么有的时候CTRL+C不能退出程序？
[00:34:48] 比如说如果我要打开一个cc的话
[00:34:52] 你看我按CTRL+C的时候
[00:34:54] 他给我一个提示。
[00:34:56] Question again.
[00:35:00] 为什么
[00:35:02] 这些都是你们在平时使用的时候所看到的，观察到的
[00:35:06] 但在操作系统里我可以明确的告诉你这是为什么
[00:35:10] 因为操作系统做了一个怎么样的设计
[00:35:14] 导致了你的应用程序可以做某件事情
[00:35:20] 在2017年五月份的时候
[00:35:23] 发了这样的一个很著名的
[00:35:30] Stack Overflow 帮助一百万开发者退出 Vim
[00:35:34] A millions.
[00:35:39] 你们如果用过的话
[00:35:43] 如果你们用过的话。
[00:35:48] 你们会发现CTRL+C是不能退出的
[00:35:54] 然后在左边下面它有一个提示
[00:35:58] 说type冒号here and present的
[00:36:01] 然后你们如果是一个小孩的话
[00:36:03] 你会一头雾水， 这是什么，
[00:36:05] 所以你还继续看
[00:36:06] 但如果你照着做的话
[00:36:08] 你确实可以退出
[00:36:12] 但是到2026年1月的时候
[00:36:14] Stack Overflow is dying 这篇文章也出来了
[00:36:22] 没有公司我觉得根本就不会有那些大语言模型的成功，
[00:36:26] 所以我觉得有可能人类就是为AI提供的养料
[00:36:32] 然后最后人类完成了它的使命
[00:36:35] （请输入文本）
[00:36:37] 但是至少在今天我们还有一个机会去了解这件事情是怎么发生的
[00:36:44] 我们可以知道ai到底有什么高度
[00:36:47] 如果让你们做一个cc
[00:36:49] 你们能做出来的话
[00:36:50] 你们也可以
[00:36:52] 然后再等一个
[00:36:53] 你们可以去用好整个计算机系统里面所有的硬件和软件资源
[00:36:58] 比如说你的服务器也是80%CPU，你怎么把它用满
[00:37:04] 在你们学Cpp的时候
[00:37:06] 你写的都是写的都是几个顺序程序
[00:37:09] 它最多你写一个死循环
[00:37:11] 他最多也就是把你的一个CPU用到了可以了。
[00:37:15] 如果你们比如截一个图
[00:37:19] 并且打开你们的任务管理器的话
[00:37:21] 你会看到你那个CPU的占用率是很低的。
[00:37:24] 如果你有16核，比如你们的机器经常会有16个核心
[00:37:27] 你看到你的CPU占用率可能是百分之几
[00:37:31] 10%都不到
[00:37:32] 虽然你写了一个死循环
[00:37:34] 那你怎么样写一个程序
[00:37:36] 把你整个系统上的所有的资源都调动起来
[00:37:40] 这些都是操作系统都可以做到的
[00:37:43] 然后你每天用的各种各样的东西都不知道它是怎么实现的，浏览器，编译器
[00:37:47] 游戏，甚至是游戏的外挂
[00:37:52] 我每天都会讲游戏的外挂，杀毒软件，病毒
[00:37:55] 这些东西都是什么？
[00:37:57] 操作系统课以后作为最后一门编程课都知道了。
[00:38:02] 然后在你们真正清楚的操作系统给我们带来什么
[00:38:07] 或者得这个编程给你们带来什么以后
[00:38:09] AI其实这个时代给了你们每一个人
[00:38:12] 就是追求你们梦想的能力
[00:38:13] 我们以前最喜欢的一句话是
[00:38:16] Linus 的 Talk is cheap, show me the code
[00:38:22] 这是操作系统圈当中广泛流传的一句曾经的真理名言
[00:38:30] 但今天这样，今天反过来了
[00:38:32] Code is cheap, show me the talk
[00:38:34] 只要你能把这个问题说清楚，你要做什么说清楚
[00:38:38] AI就能帮你生成完美的答案
[00:38:41] 当然在你能够做到这一点的之前，你必须要能够。
[00:38:46] 非常好的掌控ai
[00:38:49] 操作系统应该能够至少能够给你点启发
[00:38:55] 那就是我希望，我已经劝说大家
[00:39:01] 说服大家也应该去好好学操作系统
[00:39:05] 希望我说服大家
[00:39:07] 如果说服我们就可以开始讲一些相对技术的原则
[00:39:12] 到底什么是操作系统
[00:39:15] 那我们从操作系统的定义开始
[00:39:18] 到底什么是操作系统，你们如果打开书
[00:39:21] 教科书就会告诉你system的
[00:39:23] definition 是
[00:39:25] a body of software
[00:39:28] 就是让程序能够跑起来的另一个软件
[00:39:35] 然后它说，它可以
[00:39:36] 让程序共享内存、和设备交互等等
[00:39:43] 所以说你们读完教科书上这一段的时候
[00:39:49] 里面有很多疑点
[00:39:52] 比如说我刚才讲你们学操作系统是最后一门编程课
[00:39:56] 最后一门编程课
[00:39:58] 意味着你学完以后可以实现任何程序了
[00:40:01] 所以这个定义呢
[00:40:03] 也是要你on program这个program
[00:40:07] 这含义是很大的
[00:40:10] 你看我的窗口管理器
[00:40:14] 我们的终端，浏览器，虚拟机，cc
[00:40:18] 都是program管，然后他们有些东西要memory
[00:40:22] 要interact device.
[00:40:25] 反正有很多疑点
[00:40:27] 所以我觉得我们学习任何东西
[00:40:31] 尤其在今天的AI时代。
[00:40:34] 我们都可以不用太在意他的定义
[00:40:36] 你可以看一下，我大概知道是这个
[00:40:39] 因为操作系统是来帮我们的
[00:40:41] 不是说背定义，我比较反感大家考试的时候经常用
[00:40:46] 背定义
[00:40:48] 我们不需要一个精确的教科书定义
[00:40:50] 因为它的定义就是对整个这个东西一个高度的概括
[00:40:54] 但它概括以后就压缩损失和太多的
[00:40:56] 压缩损失了太多的东西
[00:40:58] 操作系统其实帮我们更好的开发程序，在刚才那个定义里面
[00:41:02] 就是因为有很多事办起来很复杂
[00:41:05] 你写东西感觉到很痛苦
[00:41:07] 所以你才需要操作系统
[00:41:11] 因此如果你要理解操作系统的时候
[00:41:14] 你不是去背定义
[00:41:16] 而是你去理解它是怎么来的， 怎么发展
[00:41:18] 因为任何东西，任何事物在刚开始起步的时候都是很简单的
[00:41:23] 其实今天的AI正好是处在一个比较简单一个时期
[00:41:27] 你们还可以理解
[00:41:28] 就是当你们有一个比较好基础
[00:41:31] 你真的是就可以比较好的，把AI的来龙去脉给理解了
[00:41:36] 包括现在ai，网上是开源的，你还可以看得懂这个代码
[00:41:41] 在刚开始一个事物出现的时候都是简单的
[00:41:46] 然后你看他的
[00:41:48] 怎么样一步步从简单到复杂
[00:41:51] 刚开始的时候ai连工具链都没有
[00:41:54] 只能在对话框里聊天
[00:41:56] 到后来他现在可以调用工具
[00:41:58] 他可能要一步一步发展过来
[00:42:00] 所以我们其实就问你一个问题
[00:42:02] 问什么是操作系统？
[00:42:04] 你也去看他的历史
[00:42:06] 我们反过来问这个问题
[00:42:08] 操作系统是怎么从一开始变成今天这个样子的
[00:42:12] 今天讲操作系统
[00:42:15] 你当时手机就是操作系统
[00:42:17] 那操作系统怎么从最早的这个第一台计算机。
[00:42:22] 它是一个微操作系统到今天操作系统变得这么复杂
[00:42:28] 然后为了讲清楚高市的发展的历史
[00:42:31] 中间有三个重要的线索
[00:42:33] 操作系统还是回去看一看
[00:42:37] 操作系统是
[00:42:38] 管理硬件和软件的软件
[00:42:41] 运行程序，程序是软件
[00:42:45] 然后软件是在硬件上运行的
[00:42:47] 所以它有三个重要的线索
[00:42:51] 第一个是硬件
[00:42:52] 操作系统是直接接管硬件的一个软件
[00:42:56] 然后第二个是软件
[00:42:57] 软件就是应用程序，各种程序抖音淘宝
[00:43:01] 我们的终端服务器都可以用程序
[00:43:05] 这也是我这个学期主要的
[00:43:08] 我们从应用程序的角度来看操作系统
[00:43:10] 今天的现代操作系统
[00:43:11] 到底是怎么样实现功能
[00:43:14] 然后在咱在硬件和软件的中间的就是操作系统
[00:43:18] 那我们就，还是先把这个擦掉
[00:43:25] 什么是操作系统，操作系统就是
[00:43:34] 软件
[00:43:39] 在软件和硬件中间的
[00:43:44] 这个东西就是来我们的操作系统。
[00:43:47] 那我们就先复习一下
[00:43:54] 先跟大家复习一下什么是硬件，什么是软件
[00:43:58] 然后就可以讲操作系统
[00:44:00] 那你们在哪一门课里面学硬件
[00:44:05] 数电
[00:44:09] 问一个问题，你们数电学了什么
[00:44:13] 学了计网
[00:44:15] 听到一些对这门课的想法
[00:44:20] 讲了好多东西大家好像没有明白
[00:44:25] 其实数电这门课
[00:44:27] 在我看来他们讲了一个非常非常简单这个公理系统
[00:44:31] 这个公理系统你甚至用离散数学课的知识就可以把它
[00:44:35] 用集合论来表示出来
[00:44:37] 它里面的东西其实是导线
[00:44:39] 它是直接传递信号
[00:44:41] 时钟
[00:44:42] 逻辑门，触发器
[00:44:44] 就这4种东西就足够你构建任何数字计算系统
[00:44:50] 如果你不讲它，比如说和外面的
[00:44:53] 外面是怎么接的话
[00:44:55] 他已经可以就这4个东西，你要有这4个东西
[00:44:58] 就可以生成非常复杂的数字系统
[00:45:01] 就比如说一个高性能的计算机系统
[00:45:02] 当然这个实验你们都做过吧
[00:45:05] 数字显示屏
[00:45:08] 我为了向大家证明数字逻辑，或者帮大家复习一下数电
[00:45:14] 我特意为大家写了一个数字逻辑电路的模拟器
[00:45:19] 它里面就是导线，时钟， 然后各种各样的逻辑门
[00:45:25] 然后你可以用模拟的方式
[00:45:28] 你们有在实验时候连过线吗
[00:45:31] 那你就得很熟悉了
[00:45:34] 我这里就是WHY和RA这两种
[00:45:36] 你们写过verilog也就知道
[00:45:38] 就是verilog的这两个概念
[00:45:41] 然后我的电路是怎么工作的呢？
[00:45:43] 就是在每一个时周周期。
[00:45:45] 这个线上都会有一些信号
[00:45:48] 它会经过一些逻辑门
[00:45:49] 我们有一个逻辑门
[00:45:51] 最近的就是触发器
[00:45:56] 和各种各样的东西。
[00:45:58] 然后你中间可以有很多why
[00:46:01] 这样把它都连起来
[00:46:05] 我这里写一个习惯，还是ai给我写的
[00:46:08] 这不是我写的好多电路
[00:46:11] 里面有时钟、导线、逻辑门和触发器
[00:46:14] 然后每次到边缘的时候
[00:46:17] 边缘的时候这个触发器就开始工作
[00:46:20] 值就会被锁定
[00:46:22] 如果他这个边缘触发的话，直接会被锁定这个
[00:46:25] 然后这个还会把相应的这个值在输出
[00:46:30] 所以说你要做一个数电的模拟器
[00:46:37] 就像一个Cpp的C加速的编程作业
[00:46:41] 我们平时写一个数字电路的模拟器，你就可以把它模拟出来。
[00:46:47] 然后你不仅可以模拟数字电路
[00:46:50] 实际上你还可以模拟任何一个东西，包括比如说risc-v
[00:46:55] 一个risc-v的处理器为我们也可以
[00:47:00] 也是类似的，你可以用像逻辑门
[00:47:05] 逻辑门触发器去构造一个处理器的状态
[00:47:11] 它每个寄存器有它的值
[00:47:13] 每个内存单元都有它的值
[00:47:14] 这是计算机系统基础课
[00:47:16] 告诉你，你们去写过，你们都写过
[00:47:20] 写模拟器就是一个
[00:47:23] 这样的状态，然后每一次我们的硬件
[00:47:28] 或者说我们的整个的一个computer system，
[00:47:31] 一个硬件系统它就是一个状态机
[00:47:36] 他是所有的内存和寄存器的值
[00:47:39] 每一个bit都0101的变
[00:47:42] 然后他每一次你可以假想
[00:47:43] 每如果每一个时钟周期都执行一条指令的话。
[00:47:47] 他都会执行一条指令然后到下一个状态
[00:47:50] 你也完全是可以把它往一团。
[00:47:53] 取出一条指令来译码执行它
[00:47:56] 然后到下一个状态
[00:47:57] 这个指令可能是改寄存器的，可能是改内存的
[00:48:01] 但是无论如何咱们都可以理解成就是这样的一段一起把它模拟出来
[00:48:08] 如果你看到什么样的这个，他就会做什么样的事情
[00:48:13] 这也是也是明确的
[00:48:18] 终于讲到这个部分了
[00:48:20] 因为觉得怪怪的
[00:48:21] 为什么我要用这个方式来上课？
[00:48:25] 为什么我要用这个方式来上课？
[00:48:30] 今天我做了一个有趣的改动
[00:48:34] 就是我的所有的个人内容都在一份代码里。
[00:48:39] 一会有时间可以给大家看一下
[00:48:42] 比如说这一页幻灯片就是一个py的函数。
[00:48:45] 然后我就受到了Remotion的一些启发
[00:48:48] 然后会做的更顺一些
[00:48:51] 然后我现在用的一台那个树莓派
[00:48:53] 我就不能拉那个线，它会断
[00:48:55] 就有点像那个小霸王
[00:48:57] 以前我小时候那个学习机插卡带的
[00:49:00] 然后我做到这一点以后
[00:49:04] 我就做到了真正的前后端分离
[00:49:07] 我只要用写代码的方式就可以描述我今天上的一节课
[00:49:12] 然后我可以把这些课任意的变成
[00:49:14] 这个命令行和前端，也可以把它变成一个网页。
[00:49:19] 所以如果你们对这个上传的东西不是很满意
[00:49:22] 我下次课就可以改成网页
[00:49:24] 然后我可以用css渲染成一个很不错的样子，
[00:49:30] 然后甚至我也可以有这个可控的Ai和代码演示。
[00:49:35] 因为当我把所有的
[00:49:40] 所有我上课的内容都放在，都变成代码以后
[00:49:45] 我上课的内容自己变成了一个日志
[00:49:48] 你可以看到我这里面一个
[00:49:50] 你会看到我在哪一分钟做了什么事情
[00:49:54] 然后在未来，很容易的我就可以把我讲的所有的话
[00:49:58] 做一个直接放到这个里面了
[00:50:01] 这个没有什么本质性的，这让我好好打代码可能还做不到
[00:50:04] 这个概率稍微有一点，有一点不够
[00:50:07] 然后这意味着什么呢？
[00:50:10] 这意味着我可以根据日志生成我的lecture notes.
[00:50:15] 根据我的代码做制成我的lecture
[00:50:18] 根据我的日志自动生成上课的另一个版本
[00:50:21] 以及我可以在这里打开一个cc的
[00:50:32] 我可以问他任何的问题
[00:50:34] 然后让ai帮我上课
[00:50:35] 所以我说，我这终极的目标是我要退休
[00:50:40] 所以我为什么要退休
[00:50:42] 我要把所有的
[00:50:43] 我上课的东西都以一个可以传承的方式开源
[00:50:46] 甚至于开源的方式
[00:50:48] 我这个代码比较混乱
[00:50:50] 一个可以传承的方式放到公开的领域。
[00:50:53] 然后根据我，我觉得我现在这样的一个上课的内容
[00:50:58] 你看他知道这个讲义的上下文
[00:51:02] 然后你如果对这部分内容有任何的疑问
[00:51:06] 我都可以直接问
[00:51:08] 比如说我去问，咱有人学过RISC-V吗
[00:51:15] 比如说你对RISC-V不了解
[00:51:19] 我可以直接问。
[00:51:22] 什么是RISC-V，然后
[00:51:25] 它是完全是根据我的上下文，就是我的大模型的cc
[00:51:29] 里面有我所有干过的事情
[00:51:32] 所以它就可以根据我过去干过的事情
[00:51:34] 变成一个定制化的
[00:51:36] 一个解答
[00:51:40] 让这个模型烧token，都网络不太好
[00:51:45] 让模型烧token
[00:51:47] 然后有我的这样的一个日志和记录
[00:51:51] 我就可以生成一个负责人
[00:51:53] 我就可以退休了
[00:51:55] 我就在做一个尝试
[00:51:57] 我希望今天能不能
[00:52:00] 用这样cc
[00:52:03] 现在这应该是一个最时髦的概念
[00:52:07] 你可以用代码表示任何东西
[00:52:09] 图形动画你可以用gpt
[00:52:11] 你用他py写命令
[00:52:13] 我相信你们在做大学助学的时候，
[00:52:15] 都会用到ai生成一些可靠的代码非常好用
[00:52:20] 甚至你也可以用它来做视频
[00:52:22] Remotion 就是这样的工具
[00:52:25] 有兴趣的同学可以去看一下
[00:52:27] 像我的幻灯片，还变成css，html代码的方式表达出来
[00:52:33] 而cc最大的好处就是。
[00:52:37] 我写成代码以后，对人类，AI和机器都友好
[00:52:40] 对人类友好，我是程序猿，我可以写代码，可以读代码
[00:52:44] AI也可以写代码，也可以读代码
[00:52:46] 机器可以执行代码
[00:52:47] 然后执行代码以后，我就用很低的代价
[00:52:49] 我不需要用到一个大模型
[00:52:51] 我用一个程序段生成的代码，我就可以把它变成html，css
[00:52:56] 所以在现代计算机系统上面
[00:52:59] 我就可以实现
[00:53:01] 自动根据我的日志表上的记录生成一份我的课
[00:53:05] 我的课程
[00:53:07] 甚至当我把我的样板都做好以后
[00:53:10] 我的课还挺出名的
[00:53:12] 把我的样板，我什么时候讲的什么都放到我的日志里头
[00:53:17] 如果这门课不适合那个听众
[00:53:19] 比如说那个听众缺乏ai背景，
[00:53:22] 我可以让AI做一个裁剪
[00:53:24] 我会让AI帮我做补充
[00:53:26] AI可以为每一个人生成一个为你定制的操作系统课，
[00:53:30] 打比方你最喜欢哪一个二次元人物
[00:53:34] 我就可让以哪一个二次元人物的形象来给你讲课
[00:53:39] 这完全是因为我讲的内容不变
[00:53:43] 但是我呈现的方式可以变
[00:53:45] 然后我可以做一个很大的几百个例子的，
[00:53:48] 这个操作系统课的DEMO的例子时
[00:53:52] 然后我可以为你自己的兴趣选择那些最适合你的
[00:53:56] 你最能够感兴趣的
[00:53:58] 大家同样的教学效果
[00:54:00] 所以我觉得就是大学教学
[00:54:03] 就我已经看到这是非常清楚的路线
[00:54:06] 大学教师是没有，
[00:54:08] 做一个教书匠其实没有什么生存的空间
[00:54:11] 尤其在一个AI的挤压下，
[00:54:13] 你知道有几个少数的，大家构建一个
[00:54:15] 其实就是说现在做顶层设计，
[00:54:17] AI还做不了那么好，如果你让Ai给我一个操作系统课程的话
[00:54:21] 他会给你一个比较平庸的操作系统课
[00:54:22] 但是当你一旦有一个好的顶层设计
[00:54:25] 所有的执行ai就做的非常好
[00:54:29] 比如说
[00:54:32] 我看看
[00:54:34] 这个token说完了
[00:54:35] 如果你对这其中的任何一些概念不理解
[00:54:39] 你都可以对着我刚才的模拟，
[00:54:41] 我上课的东西来问
[00:54:44] 然后完全也可以让这个cc帮我补充一些历史知识
[00:54:48] 补充一些网上搜索的一些资料
[00:54:51] 就是随着上课,他都可以直接在一个cc里面
[00:55:01] 这门课真的想要传达的
[00:55:04] 其实是会编程你会拥有全世界
[00:55:08] 操作系统们课教你们的，不仅仅是说
[00:55:12] 我们可以在操作系统上实现这样的一个
[00:55:14] 数字逻辑电路模拟器
[00:55:17] 我在操作系统课上面第一个讲Unix时候
[00:55:20] 你们听说过这个概念
[00:55:22] 你们可能听说过cc的喜欢,就是又回到命令行
[00:55:25] 这个对旁边人非常友好的一个接口
[00:55:29] 而你们第一次知道UNIX的威力就是
[00:55:36] 你做的一个数字逻辑电路的模拟器可以了
[00:55:39] 就是这样的一个模拟器
[00:55:41] 他看起来还挺土的
[00:55:44] 它只是打印 A=0、B=1 这样的文本
[00:55:50] 低电平，高电平
[00:55:52] 但如果我把这个输出传递给另外一个程序的输入
[00:55:57] 我还是有一个几行的插线的程序
[00:56:01] 你就得到了一个真的点上的数码本。
[00:56:05] 这个可以是什么呢？
[00:56:09] 以前是012012
[00:56:11] 然后我今天让Ai帮我把这个逻辑改了一下就写对了
[00:56:14] 他作了一个0到9数码管
[00:56:18] 然后我把俩个程序连起来。
[00:56:23] 这个程序是不是大家不记得，数电的模拟器？
[00:56:28] 这一小段Python
[00:56:30] 会从相当于是它的键盘或者从标准输入里面一行一行的读
[00:56:34] 读到ABCDEFG的值
[00:56:37] 然后把ABCDEFG的值填到这个模板里，
[00:56:40] 填不同的值
[00:56:41] 如果是白色的的话
[00:56:43] 可能就会填一个这个虚的，
[00:56:44] 如果是红色的话就会填一个实的
[00:56:47] 就真的得到了这个数码管的模拟器
[00:56:49] 所以操作系统课不仅是说我们可以
[00:56:54] 我们可以用这个去编一个普通的程序
[00:57:00] 然后print打一下，我有write read直接写
[00:57:03] 实际上它是一个
[00:57:06] 操作系统支撑了整个应用的生态
[00:57:09] 它不是一个人在战斗，
[00:57:11] 而unix设计经典的地方在于，
[00:57:15] 它设计的一组可以复用的工具
[00:57:17] 然后这些工具可以任意的组合复用
[00:57:20] 所以这是AI时代，
[00:57:22] 或者说人工智能的ai，你看现在AI现成的skills，有MCP
[00:57:26] 但是它缺少了编程语言而言
[00:57:29] 最重要的一个特性就是编程语言里的东西可以无限组合和自由
[00:57:34] 自由组合和无限复用
[00:57:36] 他可以随意的组合
[00:57:38] 而是一个非常低的代价的复用
[00:57:40] 而ai必须要把所有东西都读进来，然后再复用
[00:57:46] 所以这是第一个材料，
[00:57:49] 一起体现了unix的设计上的精妙之处
[00:57:55] 并且这里一直用今天cc经常写的代码，
[00:57:59] （请输入文本）
[00:58:01] 那个管道的影响
[00:58:02] 我讲起来很直白，
[00:58:04] 他就是把一个程序输出作为下一个的入口
[00:58:07] 但是我可以不断的串行就可以搭出各种各样的东西了
[00:58:12] 所以命令行是一个非常有趣的设计
[00:58:14] 我们会在这门课里面反复说
[00:58:18] 那我们回来了，刚才上出去了
[00:58:21] 说了一下为什么要上操作系统课
[00:58:27] 然后刚才我们讲到硬件
[00:58:29] 硬件就是这样的一个状态机
[00:58:32] 每次会取一条指令出来，然后执行的
[00:58:37] 那什么就是软件呢
[00:58:39] 什么是软件呢
[00:58:41] 也是回顾一下计算机系统基础到底学的什么
[00:58:45] 你们花了那么大的力气把这么复杂的东西跑起来
[00:58:50] 究竟是为什么
[00:58:52] 他告诉你的是
[00:58:54] 软件是什么，软件是一个a.c
[00:58:58] 也就是高级语言代码
[00:59:03] 然后这个a.c最后会经历一个漫长的过程变成一个a.out
[00:59:07] 它变成一个boundary
[00:59:09] 然后这个boundary是可以直接在CPU上运行的
[00:59:13] 这个boundary，这个程序它也是一个状态机
[00:59:17] 程序也是状态机
[00:59:20] 它也是一个跟刚才一样
[00:59:23] 跟刚才一模一样，也是一个register，然后
[00:59:28] 你们都在GPT里面调过程序
[00:59:31] 所以程序的模型是和硬件的模型完全一样的，
[00:59:35] 必须完全一样不然程序怎么运行在硬件上？
[00:59:39] 我这里也有一个例子，是我很喜欢的例子
[00:59:47] 这也是大家都很熟悉的例子
[00:59:54] 是你们cpp学的
[00:59:56] 我觉得应该有很多同学至今都没有完全理解这个
[01:00:00] 有没有多少同学能写非递归的
[01:00:03] 不借助他的视频
[01:00:05] 下节课会讲，这节课我跟你讲这个基础版的
[01:00:15] 这就是大家熟悉的方法，我运行的
[01:00:19] 那当然如果你用GPT调试它的时候
[01:00:25] 如果你GPT调试它的时候
[01:00:27] 这个时候你就有一种软件也是一个状态机的感觉
[01:00:32] 你可以在现在的流程也可以打印堆栈
[01:00:37] 你打印出来这个
[01:00:40] 这里显示的就是当前程序的状态
[01:00:45] 然后这个当前程序还有一个很重要的状态
[01:00:48] 在你们学计组的时候
[01:00:51] 计算器是不是有个学名叫PC，Program counter
[01:00:55] Program counter代表执行状态
[01:00:57] 现在你在GPT里看到这个窗口。
[01:01:01] 那我们的Program counter在哪？
[01:01:04] 就在那个黑色标记的地方
[01:01:07] 所以我们的程序
[01:01:09] 它总是从program counter的地方取出一条语句来
[01:01:12] 取出一条语句来，然后把这条语句执行
[01:01:16] 然后我的一个single step就可以
[01:01:20] 让程序往前执行一步
[01:01:22] 在这个AI时代，我觉得我们讲编程
[01:01:28] 会变得前所未有的容易
[01:01:32] 我还是用GPT演示
[01:01:44] 然后大家可以见证奇迹的时刻
[01:01:48] 我还是回到刚才的那个演示
[01:01:52] 我真的得到了一个汉诺塔的调试器
[01:01:56] 然后我现在可以调试它，然后你看我现在
[01:02:00] 我自己问了好多层
[01:02:02] 我终于可以从
[01:02:04] 终于可以调用move了
[01:02:08] 我要从A移到B
[01:02:10] 然后我step进去
[01:02:12] 你看到这从A移到B了
[01:02:16] 所以说我们的硬件、软件都是状态机，在任何时候
[01:02:22] 其实我们都可以把这个软件的状态
[01:02:25] 做一个函数，写一个函数
[01:02:28] 然后来索引到任何一个另外的其他状态
[01:02:30] 比如说一个真正汉诺塔 状态
[01:02:37] 我就可以把它可视化出来
[01:02:40] 实际上我只需要把我想要干的什么表达的出来
[01:02:44] 然后你以后就在这个学期的课程, 会反复用这样的技术
[01:02:50] 当我们遇到些比较难理解的代码的时候
[01:02:52] 我可以用一个这样的转换器
[01:02:55] 来把这个状态，以人类可视化可以接受的方式来表达
[01:03:01] 这件事是完全可以做到的，我们去发一篇paper
[01:03:03] 那个论文的标题，（请输入文本）
[01:03:08] （请输入文本）
[01:03:11] 我的意思就是说linux刻画了复杂的状态
[01:03:15] 如果你就关注其中一小部分的话
[01:03:19] 也可以在一个屏幕上面把它给显示出来
[01:03:22] 所以大家可以看到
[01:03:25] 我觉得我们确实在AI时代
[01:03:31] 教大家的方法，学东西的方法，发生了根本性的变化
[01:03:37] 你需要的是了解有几个重要的first principle
[01:03:40] 我们的硬件是什么，软件是什么，它是这个，比如说这状态机
[01:03:45] 而操作系统就是夹在
[01:03:48] 硬件和软件中间的中间层
[01:03:53] 因为软件是状态机
[01:03:54] 所以我后面还会再去用一整个学期的课程来讲
[01:03:59] 所谓的操作系统，它就是好多程序的管理者
[01:04:03] 就是程序的管理者
[01:04:04] 所以它就是一个一个的软件的状态
[01:04:06] 他管理着一个一个正在运行软件的当前状态
[01:04:10] 然后还有一大堆这个操作系统的对象
[01:04:13] 然后这些软件可以访问这些操作系统对象
[01:04:18] 而这些软件实际上的你是在这个地方看到的
