[00:00:00] 呃我们会在期末考试之前再安排一次答疑
[00:24:40] 然后父子各open有什么不同
[00:24:43] UNIX为什么选择让folk继承文件描述符
[00:24:46] 这和everything is a fire的哲学有什么关系
[00:24:49] 哎肯定有很有意思的题目
[00:24:51] 我觉得这个还是
[00:24:53] 就如果你仔细在
[00:24:55] 在上课的时候思考过这些问题
[00:24:58] 你会觉得OK这这个这个是很自然
[00:25:00] 你会想到
[00:25:01] 你你操作系统的first principle
[00:25:03] 就是操作系统是一个服务者
[00:25:06] 他服务的是用户进程
[00:25:09] 使用的是应用程序
[00:25:10] 那所有它的设计都是为了应用程序
[00:25:12] 能够更好地发挥他们的实力来的
[00:25:15] 然后从这个first principle你就可以想到
[00:25:18] 为什么呃要要UNIX要做这样的设计
[00:25:22] 就回应了我最开始的时候讲的
[00:25:24] 这两个系统
[00:25:25] 在设计的时候的一个小小的区别
[00:25:28] windows windows希望的是一个monolistic app
[00:25:31] 去解决所有的你的问题
[00:25:32] 然后LINUX是希望世界上面
[00:25:34] 所有东西都都尽可能的合作
[00:25:36] 虽然这两个之间互相不矛盾
[00:25:38] 就是windows也一定也可以有一个机制去去去合作
[00:25:41] 然后啊UNIX上面也可以实现monolistic app
[00:25:44] 这个这个并不矛盾
[00:25:45] 但是呃这是他们操作系统设计时候的一个
[00:25:49] 起点诶
[00:25:51] 进程的地址空间
[00:25:53] 这几乎也是一个必考的
[00:25:54] 我觉得他这个是get了我的
[00:25:56] 我的思路就是
[00:25:58] 你肯定得知道进程的地址空间是什么
[00:26:01] 怎么修改变进程的
[00:26:03] 地址空间
[00:26:04] 所以他用一个呃非常嗯编程的方式
[00:26:08] 去问了一些啊这样这样的问题
[00:26:12] 当然我不会这样出题
[00:26:13] 我还是出的会比较严肃一点
[00:26:15] 你还是像一个正正正常的题目
[00:26:18] 不会说不会在期末考试
[00:26:19] 就说计算机世界里没有魔法的
[00:26:21] 虽然虽然上课的时候
[00:26:22] 你们确实应该有这样的感受
[00:26:24] 是计算机世界里是不存在魔法的
[00:26:26] 每当你感到困惑的时候
[00:26:28] 你都想一想
[00:26:30] 告诉自己
[00:26:30] OK这个世界上是没有计算机
[00:26:33] 系统里是没有魔法的
[00:26:34] 呃一定是有一个原因的
[00:26:37] 你你再奇怪的行为
[00:26:38] 刚才那个fork的行为
[00:26:40] 都是都是有原因的
[00:26:42] 诶他也知道要考一个并发编程
[00:26:44] 我觉得这也是
[00:26:47] 他挺他对我我挺了解的
[00:26:50] 比方我每年都会考一个并发编程
[00:26:52] 所以你们记得那个条件变量的万能同步方法
[00:26:55] 你们就得到20分
[00:26:57] 这20分是送给你的
[00:26:58] 如果你如果你你不会那个写
[00:27:01] 写不出那个条件变量的
[00:27:02] 就哪怕你不会编程
[00:27:04] 你把那个万能的条件变量的那个东西抄一遍
[00:27:06] 背一遍
[00:27:07] 你也可能也有十十好几分
[00:27:09] 这个是可以可以向大家保证
[00:27:11] 所以也会有一个并发编程
[00:27:13] 当然当然偶尔有的时候有一两年
[00:27:17] 我会出一个
[00:27:18] 你用信号量可以做得很简单的并发编程
[00:27:22] 你可以选择稳妥起见
[00:27:24] 安全得内20分
[00:27:25] 用万能的同步方法
[00:27:27] 你也可以相信自己的这个实力
[00:27:29] 然后去写一个这个很聪明的并发并发控制
[00:27:34] 当然我每当我看到这个聪明的并发控制的时候
[00:27:36] 我人肉就会化身成一个模型检查器
[00:27:39] 我会便利你的状态空间
[00:27:41] 当然我我我可能不能绝对全部的便利
[00:27:43] 但因为其实我还是一个比较有经验的
[00:27:45] 我我其实做过很多年的并发编程的研究
[00:27:48] 所以我大概会知道在什么样的这个INTELIVING底下
[00:27:50] 你的程序可能会有错
[00:27:52] 所以你就会冒一个被我找到错的风险对
[00:27:55] 然后我会把那个错标在那个上面
[00:27:58] 如果按照1234的顺序发生
[00:28:00] 你就有一个什么样的呃错OK
[00:28:05] 这还是我不会考那么细
[00:28:07] 就是对并发编程来说
[00:28:08] 我是送分给大家的文件描述符的地址空间
[00:28:13] 这个我期中测验的时候考过了
[00:28:15] 某个同学实现了一个线程安全的链表
[00:28:18] 这里有一个明显的资源泄漏
[00:28:20] 另一个同学写了一个配对的删除函数
[00:28:24] 哎我觉得他挺聪明的
[00:28:25] 我还没有
[00:28:26] 我还没有考过这样的这样的题目
[00:28:28] 我突然发现打开了思路
[00:28:30] 我今年应该让AIAI
[00:28:32] 来来出题
[00:28:35] OK这这也是一个非常非常综合的
[00:28:38] 就是你你会编程
[00:28:40] 然后你你知道这个概念
[00:28:41] 你应该能够从零开始
[00:28:44] 把它复原出来的
[00:28:45] 题目还有一个文件系统
[00:28:47] 文件系统我每年也会考的
[00:28:48] 我想想看
[00:28:50] OK它是一个crash consistency
[00:28:52] 也是基本上我每年会考的
[00:28:55] 考的问题
[00:28:56] 我觉得他的出题的品味还是不错的
[00:28:59] 出题品味不错的
[00:29:00] 你们有没有见过那个隔壁班的试卷
[00:29:02] 是那题目可能长什么样
[00:29:04] 说有十个任务来到系统中
[00:29:09] 第一个任务是
[00:29:10] 需要的时间是五
[00:29:11] 然后第二个任务需要的时间是十
[00:29:13] 然后什么什么什么
[00:29:14] 然后问什么用什么调度方法
[00:29:16] 你的呃你的平均等待时间是多少
[00:29:19] 然后然后我觉得这种题目是是在今天第一个
[00:29:22] 它不是绝对的
[00:29:23] Nonsense
[00:29:23] 就是你你如果去看那个old step
[00:29:25] 就是那个教科书上面他他讲了那个
[00:29:27] 比如说他讲调度的部分
[00:29:28] 虽然我我上课没有讲
[00:29:29] 你们做一个补充的材料
[00:29:31] 你们看的时候他呃教科授讲其实挺好的
[00:29:34] 然后然后今天你你系统里面如果要调度的话
[00:29:36] 多多少少都会有这个短作业优先的影子在
[00:29:39] 在里面
[00:29:40] 但是我觉得就要考一个这样的题目
[00:29:41] 我觉得嗯
[00:29:43] 一方面他希望你知道一些调度的概念
[00:29:46] 然后另一方面又要求你把小学的算术题给做对
[00:29:49] 就如果你的小学算术题算错的话
[00:29:51] 你那个题目就没有分了
[00:29:52] 然后我觉得这是一个对对
[00:29:54] 大家作为大学生来说是一个非非常离谱的事情
[00:29:56] 所以我觉得我还是啊不应该这样考试好
[00:30:00] 回到回到这里
[00:30:01] 我也让AI帮我出了一个呃卷子了
[00:30:05] 你们有很多的方式可以让AI来帮你帮你复习
[00:30:09] 尤其是你有更高效的初级方法
[00:30:12] 你不应该你你同学们刚才有没有反应过来
[00:30:15] 你不应该让AI为这个整个我
[00:30:20] 我的一整个学期的lecture notes都喂进去说
[00:30:23] 唉这个猜一下蒋老师
[00:30:26] 可能会出什么题
[00:30:27] 你们想想你们高三的时候那个度过的日日夜夜
[00:30:31] 你们不是这样复习的
[00:30:32] 你们不是说呃我们要高考了
[00:30:35] 然后初一做一个模拟卷
[00:30:37] 做模拟卷已经是最后的事情了
[00:30:40] 模拟卷是一个验收
[00:30:42] 你们在复习高考的时候
[00:30:44] 你们的老师用的是什么策略呢
[00:30:46] 还记得那个
[00:30:47] 我不知道你们现在用的是用什么样的教辅书
[00:30:50] 是那个五三吗
[00:30:51] 有多少有多少同学还用五三
[00:30:53] 我那个时代用的是五三
[00:30:54] 然后嗯你你们这个时代用的是什么
[00:30:57] 我我我不我不知道了
[00:30:58] 我我不知道
[00:30:59] 但是五三给了我们一个非常有效的信号
[00:31:04] 就是在你复习的时候
[00:31:05] 你需要一定的这个exhaustiveness
[00:31:08] 你需要穷尽一定一个scope里面所有的可能性
[00:31:13] 所以你的高考的那个痛苦的经历
[00:31:16] 回到今天来
[00:31:18] 突然你发现诶我有一个核动力
[00:31:21] 牛马可以帮我无限的
[00:31:23] 只要你有钱
[00:31:24] 只要你给DP个充值
[00:31:26] 呃其实这个token还是很便宜的
[00:31:28] 嗯我觉得算是很良心了
[00:31:34] 你可以为让他为每一个lecture
[00:31:37] 从每一个方面都给你出很多个可能的题目
[00:31:41] 然后在这个意义上
[00:31:43] 你几乎可以实现这个往年试卷的
[00:31:46] 比如说百分之百的coverage
[00:31:47] 然后这个时候你就发现
[00:31:49] 你已经压中几乎所有的题了
[00:31:52] 呃高考除就除了就从你押题的角度来看
[00:31:55] 除了那个最后几个比较难的题目
[00:31:58] 我每年也会有一些比较open的题目
[00:32:00] 所以所以那些题目题目你压不中以外
[00:32:02] 就是但凡是我要考你概念
[00:32:04] 就是考你基本概念理解的好不好的题目
[00:32:07] 全部都是可以压得中的
[00:32:10] 你们你们高考过
[00:32:11] 你们应该有有这个有有这个感受
[00:32:13] 所以很有意思
[00:32:14] 非常有趣
[00:32:15] 你在你有有AI以后
[00:32:17] 你其实可以开发更多的呵
[00:32:19] 更多有有趣的东西
[00:32:20] 然后这些经验不仅可以用来呃复习我的考试
[00:32:24] 你们也可以用来复习任何一门考试
[00:32:27] 你可以把他的课件放进去
[00:32:29] 然后让他为每一个知识点呃生成一些模拟题
[00:32:32] 然后你就可以
[00:32:34] 甚至你可以跟你的小伙伴
[00:32:36] 你的小伙伴可以用不同的prompt
[00:32:38] 生成不同的试卷
[00:32:39] 然后你们你们就可以得到一个什么
[00:32:43] 计算机网络十套模拟卷
[00:32:44] 然后做完以后
[00:32:46] 哎我觉得这是一个很好的实验
[00:32:47] 就是你们可以
[00:32:48] 反正你们现在没有考试
[00:32:50] 你们宿舍四个同学
[00:32:51] 然后每个同学弄两套
[00:32:52] 然后最后最后看谁押中了
[00:32:55] 最后那个考试的那个
[00:32:59] 嗯这是很好的社社会学的实验
[00:33:01] 总之世界变了
[00:33:03] 但是呃你们总还是要要接受考试
[00:33:06] 然后在接受考试的过程中
[00:33:08] 可能不要把它看成是一个太大的负担
[00:33:11] 而是呃你确实在这门课里面
[00:33:13] 知道了很多新的知识
[00:33:14] 然后你把这些知识用一个高效的方式
[00:33:16] 再重新回顾一下
[00:33:18] 也许在未来你走上工作岗位的那一天
[00:33:21] 你突然就发现我这个知识好有用
[00:33:23] 呃我竟然还在学校里学过这个没用的东西
[00:33:26] 比如说你想当
[00:33:28] 当
[00:33:28] 这个世界已经被web coding的前端
[00:33:30] 程序员占领的时候
[00:33:31] 你们突然还说哎我还学过操作系统
[00:33:33] 还知道可以去对另外一个进程
[00:33:35] 干一件非法的事情
[00:33:37] 这个这个事情在前段时间里没有
[00:33:39] OK那我就来简单的带大家walk through一下
[00:33:43] 我们啊操作系统的课程里面到底都讲了什么
[00:33:48] 大家注意这个list不是特别的
[00:33:50] 就是虽然是所有的代码的demo
[00:33:52] 但是确实里面还是有很多重要的逻辑
[00:33:55] 是在slides里的
[00:33:57] 所以你你们尽可能的还是在AI的带领下
[00:33:59] 可以
[00:34:01] WALKTHROUGH走啊走一遍
[00:34:03] 然后我们的课程是从哪开始的呢
[00:34:04] 是从数字逻辑电路的模拟器开始的一个
[00:34:09] 总是总是从你们已有的知识开始
[00:34:13] 去展开新的知识
[00:34:15] 然后我就有这样的一个呃logic sim的程序
[00:34:19] 你们在呃LOGISTM接线的时候
[00:34:21] 已经接到接到吐血了
[00:34:23] 你应该用一个程序化的方式来连接线
[00:34:27] 用代码来接线
[00:34:28] 然后用代码来模拟
[00:34:30] 然后我们的开始是我们有一个
[00:34:35] 管道
[00:34:36] 你可以把一个程序的输出
[00:34:38] 连给另外一个程序作为输入
[00:34:40] 然后这是你们操系统课的一个
[00:34:43] 获得动机的起点
[00:34:45] 然后我们做之后做的所有的事情
[00:34:47] 就是把这样的
[00:34:49] 程序和操作系统的交互一层一层的给解开
[00:34:53] 所以这是你们的起点
[00:34:54] 也是也是整个计算机
[00:34:56] 你们学这个机computer systems这条线上面的
[00:35:00] 第一门课程的起点
[00:35:01] 虽然好像我也得到了一些反馈
[00:35:04] 说说是是这一门课
[00:35:06] 使你们丧失了对计算机系统这条线的信心
[00:35:10] 有些同学可能是因为这个丧失了信心
[00:35:13] 希望能在这门课里面稍微找回一点信心
[00:35:15] 他好像没有那么那么的呃困难好
[00:35:19] 如果你有了逻辑门
[00:35:21] 你就可以用来构造计算机系统
[00:35:24] 比如说一个Rest of five的处理器的模拟器对
[00:35:27] 甚至有一个这个single header的呃模拟器
[00:35:31] 你只需要定义出我的CPU里面有什么
[00:35:35] CPU的state里面有
[00:35:37] 比如说ron five有这个32个寄存器
[00:35:39] 然后有一组CSR
[00:35:41] 还有一个memory好
[00:35:43] 那这就已经构成了一个基础的计算机的模型
[00:35:47] 指令就可以跑起来了
[00:35:49] 指令可以跑起来以后
[00:35:51] 我们的程序就可以跑起来了
[00:35:54] 所以你们的第一个
[00:35:56] 还是在复习的阶段的时候
[00:35:58] 你你们重新走了数字逻辑
[00:36:00] 电路和计算机系统基础两门课
[00:36:02] 最重要的内容
[00:36:04] 然后为了更好的理解操作系统
[00:36:06] 其实我们还要把程序稍微打开来一点点
[00:36:09] 我就我就给大家展示过一个
[00:36:13] 你们也是编程的时候的一个噩梦
[00:36:17] The the tower of hanoi
[00:36:20] 你们为了理解这样的一段程序
[00:36:22] 其实是因为我觉得对于每一个初学者来说
[00:36:25] 其实这个都是很很困难的
[00:36:27] 你在很长的一段时间里
[00:36:29] 都是一种似懂非懂的状态
[00:36:32] 因为首先这东西讲起来
[00:36:35] 哎我今天又忘记带那个汉诺塔了
[00:36:37] 我应该把它带来的讲起来
[00:36:39] 你在物理世界当中
[00:36:40] 你就有一个把N减一个柱子
[00:36:42] 如果我有一个汉诺塔的模型
[00:36:44] 我就真的可以把N减一个抬起来
[00:36:46] 放到另外一个上面
[00:36:47] 这就是我要做的相当于是这一段递归的效果
[00:36:51] 然后我再挪一个
[00:36:52] 挪完以后再把剪一个再再挪过去
[00:36:55] 然后所以呃从道理上你是认同他的
[00:37:00] 但是从执行上
[00:37:02] 你总是觉得有一点什么东西
[00:37:04] 没有完全弄明白
[00:37:07] 直到你看到了这个我们的
[00:37:10] 非递归的非递归的汉诺塔
[00:37:15] 直到你发现我们可以把一个大步的
[00:37:19] 一个刚才那个C程序
[00:37:20] 改写成一个这样的小步执行的C程序
[00:37:24] 然后这时候我就可以明确的写出
[00:37:27] C语言里面的每一个语句
[00:37:29] Simple c
[00:37:30] 我定义一个模型叫simple y
[00:37:32] 每一个语句它精确的行为是什么
[00:37:34] 这就包括了函数的调用和函数的返回
[00:37:37] 然后在这个时候你就把所有的
[00:37:40] 你觉得大概搞清楚
[00:37:42] 有没有完全搞清楚的东西弄明白了
[00:37:44] 因为你知道是
[00:37:45] 每一个stack cream里都要有一个PC
[00:37:48] 你你它有若干种等价的表达方式
[00:37:50] 但是OK你你知道的是
[00:37:52] 每一个stack cream
[00:37:53] 都必须要记住一个执行的位置
[00:37:56] 它可以有一个PC
[00:37:57] 然后记返回值的地址
[00:37:58] 这是你们在计算机系统基础课里学的
[00:38:00] 你也可以像我这样这个
[00:38:02] 每一个呃每一个stack cream
[00:38:04] 每一个当前运行到哪里
[00:38:06] 我下面马上要呃运行运行到哪里的一个
[00:38:10] 相当于一个指针好
[00:38:12] 那你从通过这个
[00:38:13] 你就真正的理解了什么是一个程序
[00:38:17] 一个simple c是怎么在计算机系统上面运行起来的
[00:38:20] 我甚至有一个呃C的解释器
[00:38:23] 然后这这个模型你也可以知道什么是编译器
[00:38:26] 什么是呃编译优化
[00:38:27] 因为我们在这样的状态机的意义上
[00:38:31] 我有个simple c的程序
[00:38:33] 我有个simple c点
[00:38:35] Simple c
[00:38:35] 然后我每次都是执行一条语句
[00:38:38] 一条简单语句
[00:38:39] 那如果我有一个X加加
[00:38:41] 然后我再再到下一个状态
[00:38:43] 我执行一个X加加
[00:38:45] X可能是全局或者局部的
[00:38:46] 那我就可以把它优化成一个X加等于二
[00:38:52] 我的编译器就是赢
[00:38:53] 这就是允许的我我的编译器程序顺序执行的
[00:38:57] 我的编译器允许把它改写成一个等价顺序
[00:39:00] 执行意义上等价的东西
[00:39:01] 但是如果你执行的不是X加加
[00:39:05] 而是你执行的是一条system call
[00:39:08] 某种意义上
[00:39:10] 这就是系统调用
[00:39:12] 就编译器不可穿过的边界
[00:39:14] 因为你的system call
[00:39:16] 我打过一个比方
[00:39:18] 这是呃你们去做手术
[00:39:20] 然后呃你麻醉的时候
[00:39:23] 你的世界就消失了
[00:39:25] 就像你相当于你执行这个CISCO指令的时候
[00:39:28] 你就对这个整个外部的世界就没有任何感知了
[00:39:31] 然后然后等你回来的时候
[00:39:32] 你的世界变成什么样
[00:39:33] 你就已经不知道了
[00:39:35] 你已经完全不知道了
[00:39:36] 然后这个system call因为控制流会进入操作系统
[00:39:40] 所以操作系统理论上说是可以对你的进程做
[00:39:43] 任何的呃改造的任何的内存
[00:39:46] 原来有的内存可能就没有了
[00:39:47] 原来没有内存
[00:39:48] 可能现在变得可以访问了
[00:39:50] 总之这是一个system call
[00:39:51] 然后system call就是个优化不可传播的边界
[00:39:54] 所以你编译优化
[00:39:56] 你也理解了操作系统的这个基本的概念
[00:39:59] 你也理解了
[00:40:01] 然后在你有了这样的一
[00:40:02] 个对程序的基本理解以后
[00:40:07] 我们就其实进入了呃操作系统的啊世界
[00:40:12] 进入了操作系统世界
[00:40:13] 我们从最小的一个可执行文件开始
[00:40:17] 我们知道进程是有初始状态的
[00:40:19] 我们知道计算机系统是有初始状态的
[00:40:23] 计算机系统是有一个手册上明确的CPU reset
[00:40:26] 然后从这个CPU reset开始
[00:40:29] 我们会经过分布尔的执行
[00:40:32] 然后former会加载操作系统
[00:40:34] 然后操作系统又开始执行
[00:40:36] 然后操作系统再会加载你的应用程序执行
[00:40:38] 然后直到LINUX世界
[00:40:41] 比如说LINUX世界上第一个应用程序被加载了
[00:40:45] 那么这个世界的控制权
[00:40:47] 就完整的交到了你的手里
[00:40:50] 你获得了你的程序
[00:40:51] 相当于就获得了整个世界的呃控制权
[00:40:54] 然后呢整个世界的控制权以后
[00:40:56] 你再剩下的就是又回到了这个啊这个模型上好
[00:41:01] 这是我们在绪论部分的时候
[00:41:02] 给大家构建了一个呃全局的
[00:41:05] 全局的关于操作系统的啊概念
[00:41:08] 然后基本上剩下的部分三个部分
[00:41:11] Virtualization
[00:41:12] concurrency和persistence
[00:41:13] 也都是按照这个逻辑来来展开的
[00:41:18] 在virtualization的时候
[00:41:20] 我们首先就讲了进程
[00:41:22] 程序和和和进程
[00:41:24] 然后进程会构成一棵树
[00:41:27] 然后如果你要在树上
[00:41:28] 最开始的时候相当于操作系统就是OS的状态
[00:41:33] 操作系统会从刚才经历一系列很长的过程以后
[00:41:37] 走到一个只有一个INIT进程的状态
[00:41:40] 然后这个in的进程状态
[00:41:41] 所有的之后的东西都是通过cs com
[00:41:45] 来驱动到操作系统的下一个
[00:41:49] 下一个状态
[00:41:49] 然后我们就构成构成了一个树状的结构
[00:41:54] 这里有很多有意思的呃行为
[00:41:56] 比如说如果有啊有父亲先被杀掉了
[00:42:00] 或者先终止了
[00:42:01] 然后他的孩子啊会会怎么样等等
[00:42:04] 你你需要的是
[00:42:06] 一系列进程管理的API来维持这颗进程树
[00:42:11] 然后以及包括我们可能讲终端的时候
[00:42:14] 还会有一些像信号啊啊这样的机制
[00:42:18] 然后每一个进程
[00:42:20] 除了能够看到这样的进程数以外
[00:42:22] 它还可以改变自己的呃地址空间
[00:42:25] 地址空间是进程最重要的资源
[00:42:27] 我们有一个实验
[00:42:29] 告诉大家怎么样实现MALLOC和free
[00:42:31] 你可以在BIOMMETAL上面实现MALLOC和free
[00:42:33] 也可以在你的进程的地址空间里面实现
[00:42:36] my lock和和free
[00:42:37] 没有有好几个好几个例子
[00:42:40] 比如说我可以一下子用m m map
[00:42:41] 分配一片很大的内存
[00:42:43] 但是我不使用它
[00:42:44] 暂时不使用它
[00:42:45] 我可以按需的任意的呃使用它
[00:42:48] 然后我也甚至还可以去入侵别的进程的
[00:42:52] 地址空间
[00:42:53] 进程在有了一个树状的结构
[00:42:56] 和每一个进程的地址空间之后
[00:42:58] 那如果想要扩展进程的能力
[00:43:01] 我们再说一遍
[00:43:02] 操作系统其实是给应用程序提供服务目的
[00:43:05] 他希望这个应用程序能够最大程度地
[00:43:07] 发挥计算机这样的功能
[00:43:10] 所以操作系统很自然的在他的世界里面
[00:43:13] 有很多的对象
[00:43:16] 那在UNIX的设计里面有个everything is a fire
[00:43:19] 所有的东西都是文件
[00:43:21] 我们看到pro s s里面有整个进程的状态
[00:43:24] 你们做那个pro proc f s的实验
[00:43:27] 然后你们呃知道cs f s里面
[00:43:30] 你甚至可以去控制这个系统里面的呃各种参数
[00:43:34] 我写过一个程序
[00:43:35] 我记得我那天带了一个显微镜
[00:43:37] 虽然那个显微镜的显示有点问题
[00:43:39] 但是呃你可以看到我可以控制这个
[00:43:41] 我的树莓派上面的这个灯
[00:43:43] 然后我都可以通过文件系统的接口
[00:43:45] 来把操作系统里面的对象暴露给啊应用程序
[00:43:49] 那这个时候我们就需要有一个机制
[00:43:52] 来使得一个应用程序
[00:43:55] 持有操作系统中的一个对象
[00:43:58] 这个机制在LINUX里面是文件描述符
[00:44:00] 在windows里面是handle
[00:44:03] 一个handle
[00:44:04] 一个把手
[00:44:05] 我通过这个门把手
[00:44:07] 我就可以操纵这样的啊对象
[00:44:09] 然后有了文件描述符
[00:44:12] 你就可以访问操作系统里面各种各样的对象了
[00:44:16] 比如说文件
[00:44:16] 比如说一个匿名或者命名的管道
[00:44:20] 然后再加上呃文件描述符自身的
[00:44:23] 像duplicate这样的系统调用
[00:44:25] 它就实现了
[00:44:26] 比如说我们的这种fork e x e CV e
[00:44:29] 然后继承文件描述符管道的
[00:44:32] 这样的share的share的机制
[00:44:35] 那我们也相应的给了大家很多的呃例子
[00:44:39] 然后包括比如说我们的test kit
[00:44:42] 怎么样去实现一个高效的
[00:44:44] 比较方便的自动化测试
[00:44:46] 然后以及我的对象可以是一个终端
[00:44:50] T t y teletype writer
[00:44:52] 然后这是这个输入输出设备
[00:44:55] 里面很多有趣的呃功能也是你看到的
[00:44:58] 我的我的这个幻灯片播放的呃功能
[00:45:02] color code等等都是基于这个终端的
[00:45:05] 功能功能实现的
[00:45:07] 然后我就展开了
[00:45:08] 后面又展开了
[00:45:09] 讲了呃很多的
[00:45:12] 和操作系统里面对象有关的内容
[00:45:14] 比如说什么是
[00:45:15] 什么是可执行文件
[00:45:17] 然后动态的链接呃和加载
[00:45:19] 然后在动态链接加载的时候
[00:45:21] 你会发现这些机制看起来
[00:45:24] 就说OK我给你提供一个API
[00:45:25] 然后这个API可以做这个事
[00:45:27] 可以做做那个事
[00:45:28] 就像说哎我要实现一个游戏
[00:45:30] 那你要给我一个图形的API
[00:45:33] 说这个
[00:45:34] 需要展示一个图片或者展示一个纹理
[00:45:38] 刷新一个页面等等
[00:45:40] 但是操作系统底层的API
[00:45:42] 多多少少都会给我们一些呃可玩性的空间
[00:45:46] 比如说在在我讲到这个进程的动态链接和加载
[00:45:50] 的时候
[00:45:51] 我们就有一个呃机制可以让我们提前占坑
[00:45:56] 一个符号可以在live
[00:45:58] 甚至可以在lib c加载之前
[00:46:00] 就先加载我的一个库函数
[00:46:03] 然后这时候我的库函数
[00:46:04] 可以把一个lib c里面的符号给占位
[00:46:07] 比如说像呃呃open
[00:46:09] read
[00:46:10] 我都可以占为MALLOC和free
[00:46:12] 然后占了位以后
[00:46:13] 我就可以把这个函数的实现
[00:46:16] 替换成我自己的实现
[00:46:17] 这就是一个非常有意思的呃特性了
[00:46:21] 我用它实现了一个变速齿轮
[00:46:22] 相当于是我的操作系统给这个进程提供的cs
[00:46:26] C
[00:46:28] 它有一个如果你执行一个CISCCALL指令
[00:46:30] 那我可以有什么read write
[00:46:33] 但是这些cs call在我的进程的地址空间里面
[00:46:37] 都是在库函数里实现的
[00:46:39] 我要调用一个C的read
[00:46:41] See the read
[00:46:42] 然后see the reid
[00:46:43] 它是一段一段代码
[00:46:45] 然后如果我借用比如说
[00:46:48] 动态链接和加载的机制
[00:46:50] 把这个实现给换掉
[00:46:52] 我就等于说在我的这个操作系统上面
[00:46:55] 比如说我可以
[00:46:55] 甚至可以把所有的系统内容的实现都换掉
[00:46:58] 我就在这个操作系统上面又叠了一层
[00:47:00] 我自己模拟出来的操作系统
[00:47:02] 然后这个进程就能看
[00:47:03] 只能看到我模拟出来的这个操作系统
[00:47:06] 他的行为就可以被我管控
[00:47:08] 那我给大家实现的那个例子是一个变速齿轮
[00:47:11] 我我只要通过改变所有的和时间相关的系统
[00:47:15] 这样的行为
[00:47:15] get time of day alarm这些系统那样的行为
[00:47:18] 那我改变这个时间的尺度
[00:47:20] 你的应用程序就可以运行的
[00:47:22] 表现起来就可以运行的
[00:47:24] 运行的更快
[00:47:25] 然后我们也给大家看了这个在真正的
[00:47:27] 那个最LINUXLINUX上面是是怎么样从零开始从系统的
[00:47:32] 从从系就一个LINUX进程和系统调用
[00:47:35] 去构建整个操作系统上面
[00:47:37] 你看到的生态的世界
[00:47:39] 所以这第一个最大的也是最主要的部分
[00:47:41] virtualization讲的是操作系统
[00:47:44] 我们的世界是怎么样被构建出来的
[00:47:47] 然后version alization完了以后
[00:47:49] 我们就把呃进程这样的
[00:47:51] 这样的东西给打开了进程
[00:47:54] 我这进程数里面的一个进程
[00:47:56] 实际上它可以有好多个同时执行的执行流
[00:48:02] 然后这个需求对我们呃实现高性能的系统来说
[00:48:06] 还是呃很重要的
[00:48:07] 尤其是在我的呃计算机系统上面
[00:48:10] 有多个处理器的时候
[00:48:11] 为了更好的利用这个多处理器的
[00:48:14] 并行执行的能力
[00:48:16] 共享内存的多线程是是很重要的
[00:48:19] 这样我就可以把一个数据
[00:48:21] 我一个线程算出来的数据
[00:48:22] 我只需要几条指令
[00:48:24] 几条指令的延迟
[00:48:25] 就可以把它送给另外一个线程去使用
[00:48:28] 但这样同样也是
[00:48:29] 我说打开了一个呃魔鬼的盒子
[00:48:32] 我讲了好多好多的例子
[00:48:34] 这种山寨的支付宝
[00:48:35] 让你的账户里没下出现用不完的钱
[00:48:38] 一个data data race
[00:48:39] 然后到我们怎么样去实现并发控制
[00:48:42] 从PETERSON那个呃协议
[00:48:44] 然后到实现互斥同步
[00:48:47] 生产者
[00:48:48] 消费者那个万能的线程同步方法
[00:48:50] 然后这一块就是并发的部分
[00:48:53] 相比呃其他的部分来说是比较独立的
[00:48:56] 刚好是因为实际上是
[00:48:57] 因为我们呃操作系统本身是世界上最早的一个
[00:49:01] 并发程序
[00:49:02] 哪怕是在进程模型的时候
[00:49:05] 每一个进程它没有多线程的时候
[00:49:08] 我这个进程是可以执行系统调用的
[00:49:10] 我就会跳转到操作系统内核
[00:49:11] 然后这时候我的中断到了以后
[00:49:13] 可能操作系统另一部分代码又开始执行
[00:49:15] 然后我可能还能切换到另外一个进程去执行
[00:49:18] 那这个时候操作系统内核里的代码
[00:49:21] 就变成了第一个多线程的程序
[00:49:23] 你可以想象成是每一个进程
[00:49:25] 它system m call以后内核的那个部分都是一个线程
[00:49:29] 然后他们共享操作系统的地址空间
[00:49:32] 所以在操作系统领域里面有了很多和并发
[00:49:35] 相关的呃研究
[00:49:37] 怎么样去实现各种各样受控的呃并发
[00:49:40] 然后怎么样控制并发的bug
[00:49:43] 从死锁死锁的检查
[00:49:45] 然后到数据竞争
[00:49:46] 到数据竞争的检查
[00:49:47] 甚至还有这种杀人性命的呃并发bug
[00:49:51] 然后并发部分的
[00:49:53] 这些讨论因为我们是说有多个并行执行的流
[00:49:57] 我们现在可以控制它了
[00:49:58] 然后顺着这个概念
[00:50:00] 你就可以知道
[00:50:00] 今天我们在数据中心里面是怎么样写并发程序
[00:50:04] 我们在这个AI里面是怎么写并发程序
[00:50:07] 在高性能计算里面是
[00:50:09] 写什么样的兵法程序
[00:50:11] 这这些就有一点呃脱开操作系统
[00:50:13] 但依然是和操作系统非常有相关的
[00:50:17] 这个知识你可以从你我们在操作系统课上面
[00:50:20] 学到的这些知识
