[00:00:00] 上一周我们已经开始了并发
[00:24:14] 当我的室友没有到的时候
[00:24:16] 我就要等待
[00:24:17] 那么这些代码它都是都是一个共同的特征
[00:24:21] 就是等待都是长这样的
[00:24:24] 我们有一个while循环
[00:24:26] 但是我我我现在把它这样写
[00:24:27] Do while
[00:24:28] 我们先要上锁上锁
[00:24:30] 然后我们检查这个条件是不是满足
[00:24:33] 如果条件
[00:24:34] 当然检查完了以后
[00:24:35] 我就要把这个锁释放掉
[00:24:36] 然后如果这个条件满足
[00:24:38] 我就可以出来了
[00:24:39] 如果条件不满足
[00:24:40] 我就会回去正确
[00:24:42] 刚才我的那个乐团的同步实现是正确的
[00:24:44] 但是那个实现也是你们不想要的
[00:24:47] 因为它很浪费时间
[00:24:49] 我的一个县城
[00:24:51] 我的县城为了等到等待我把这一拍挥下去
[00:24:54] 他不断的在观察这个指挥的状态
[00:24:57] 也就这是一个盲等的
[00:24:59] 不停的在不停的在在看一下有没有看一下
[00:25:02] 有没有看一下有没有看下有没有
[00:25:04] 但这个时候如果你把CPU让给其他
[00:25:06] 实际上呃在做事的线程
[00:25:09] 比如说让给vs code
[00:25:10] 让给我的浏览器
[00:25:11] 这才是应该的
[00:25:13] 所以你不应该在等待同步条件到达的时候
[00:25:17] 去浪费CPU
[00:25:17] 因为这个同步条件真的可能有几几天
[00:25:19] 甚至几天
[00:25:21] 这个同步条件才会才会达成
[00:25:23] 那你你用几天的时间去浪费这个CPU的cycles
[00:25:25] 那当然是没有任何必要的
[00:25:27] 所以你就会想
[00:25:28] 如果我们刚才的那几个案例
[00:25:30] 都满足这样的循环的模式
[00:25:32] 那我们能不能在库函数里面
[00:25:35] 当然它肯定是跟操作系统一起的
[00:25:37] 实际上啊这个这些一系列的并发的
[00:25:40] API都是用FTEXT那个系统调用实现的
[00:25:43] 但如果只要操作系统或者我们的库函数里面
[00:25:45] 多一个API
[00:25:46] 能帮我们实现这样条件检查的循环
[00:25:49] 而且能够把即线程放到睡眠的状态
[00:25:53] 就是当我条件不满足的时候
[00:25:55] 我能去去去睡眠
[00:25:56] 然后当我条件满足的时候
[00:25:57] 我可以把它唤醒
[00:25:58] 你就发明了条件变量
[00:26:00] 所以一模一样的等待同步
[00:26:03] 等待一个同步条件的到达
[00:26:05] 我们操作系统或者库函数给我们的
[00:26:09] 机制就叫条件变量
[00:26:11] 就条件变量等待同步条件满足
[00:26:14] 那条件变量是这样用的
[00:26:15] 首先条件变量会带一把锁
[00:26:18] 带锁是很重要的
[00:26:19] 因为你你检查条件的时候
[00:26:22] 如果你不带锁这个条件
[00:26:23] 你刚检查完这个条件可能就变了
[00:26:26] 还记得那个支付宝的例子吗
[00:26:27] 我想要等
[00:26:29] 我想要等到我账户有钱了
[00:26:31] 我才我再做下一件事
[00:26:33] 然后等我检查完账户有钱的时候
[00:26:35] 如果你不上锁的话
[00:26:36] 别人把别人把这个账户的钱扣掉了
[00:26:40] 你以为丈夫里还有钱
[00:26:41] 你就做错了
[00:26:43] 所以你在这要上锁
[00:26:44] 那么你在条件变量的API里面
[00:26:46] 它一样要要求你上锁
[00:26:48] 你需要先上好一把锁
[00:26:49] 然后你就可以做这个条件的检查
[00:26:53] 这是任何任意代码
[00:26:54] 你在这里可以用任何代码
[00:26:55] 但是我我只推荐这种写法
[00:26:57] 因为这种写法是是和并发控制最相关
[00:27:01] 你也最好理解的
[00:27:02] 就你想清楚同步的条件是什么
[00:27:04] 然后你写这个where同步条件没有到达
[00:27:07] 没有达成的时候
[00:27:09] 你就调用一个condition的条件变量的weight等待
[00:27:12] 然后它有两个参数
[00:27:13] Wait
[00:27:14] 有两个参数
[00:27:14] 一个是条件变量
[00:27:16] 你需要初始化它
[00:27:17] 还有就是你需要呃放这一把锁
[00:27:20] 他的行为是什么呢
[00:27:21] 当你执行到condition weight的时候
[00:27:24] 这个时候
[00:27:25] 因为你你你现在还有手上这把护士锁
[00:27:27] 还没有释放
[00:27:28] 你看当我进入这个循环的时候
[00:27:30] 当我这个while循环not check condition为真的时候
[00:27:34] 也就是说condition为假的时候
[00:27:36] 我同步条件没有满足的时候
[00:27:38] 因为我上了锁
[00:27:39] 这个时候锁还没有释放
[00:27:40] 所以这个条件应该就就
[00:27:42] 至少现在是不可能满足的
[00:27:44] 因为任何人想要满足这个条件
[00:27:46] 他就必须要修改这个状态
[00:27:47] 修改修改我这个check condition的状态
[00:27:49] 它必须要持有这把锁
[00:27:51] 但它不可能持有这把锁
[00:27:52] 因为我现在这把锁还没释放
[00:27:54] 在这个时候我调用condition weight
[00:27:57] 我会同时你可以理解成就是瞬间
[00:28:00] 操作系统会帮我们瞬间完成两件事
[00:28:02] 第一把这个锁释放掉
[00:28:04] 第二把这个线程放到睡眠的状态
[00:28:07] 这两个是瞬间完成的
[00:28:08] 所以这两个是没有人打断的
[00:28:10] 不会出现出现说有一个人来叫醒你
[00:28:13] 在中间
[00:28:14] 我我刚刚呃我刚刚我刚刚把这个呃锁释放掉
[00:28:19] 然后就有人来叫醒我
[00:28:20] 然后我再我又我又睡着了
[00:28:22] 操作系统或者库函数的实现保证
[00:28:25] 这是一个原子操作
[00:28:26] TOMMY可不能被打断的原子操作
[00:28:28] 它会是把锁释放掉
[00:28:30] 并且立即进入等待睡眠的状态
[00:28:32] 好进入睡眠状态以后
[00:28:34] 这个函数其实就没返回
[00:28:35] 这个线程就就卡在这了
[00:28:38] 注意是卡在这一行
[00:28:39] 线程其实就卡在这一行了
[00:28:41] 好卡在这一行以后
[00:28:42] 那比如说我的一个播放音乐的县城
[00:28:46] 他现在呃现在在在这会执行一个
[00:28:50] 比如说我现在拍子拍子还没来
[00:28:52] 那这个线程就会执行一个condition weight
[00:28:55] 那么它就会被操作系统丢到
[00:28:58] 丢到一个队列里
[00:29:00] 说这个线程现在是没有办法执行的
[00:29:02] 操作操作系统会知道这个
[00:29:04] 调节它是在哪一个条件变量上睡眠的好
[00:29:07] 这个时候锁就被释放掉了
[00:29:09] 锁就被释放掉以后
[00:29:10] 就意味着这段代码后面如果执行到的时候
[00:29:13] 它就可以可以执行到了
[00:29:15] 它的music log
[00:29:16] conductor beat加加
[00:29:18] 那我就有未来
[00:29:19] 就会有一天有一个人可以满足我的同步条件
[00:29:23] 那这个时候如果同步条件
[00:29:25] 别人的同步条件可能被满足的时候
[00:29:28] 那么我们的库函数同样的有个API叫signal
[00:29:32] 或者broadcast
[00:29:33] signal是说新老师说
[00:29:35] 如果有人因为这个条件变量在睡眠
[00:29:38] 把一个人一个线程给唤醒
[00:29:41] 然后broadcast是说
[00:29:42] 如果你系统里面无论有多少个线程
[00:29:46] 只要是睡眠在这个条件变量上的
[00:29:48] 我把它们全部都唤醒
[00:29:49] Broadcast
[00:29:50] 所以signal和broadcast
[00:29:51] 你会觉得broadcast会
[00:29:53] 带来的开销会稍微大一点
[00:29:55] 就因为因为他有时候可能会唤醒一个
[00:29:57] 他没有必要不需要唤醒
[00:29:59] 或者呃嗯对没有必要唤醒的
[00:30:01] 但线程
[00:30:02] 但是它会多多循环几次
[00:30:04] 去做这个呃检查确实确实会有
[00:30:07] 但是你呃我我依然推荐
[00:30:09] 我推荐所有的同学
[00:30:10] 在你发现任何一个县城
[00:30:13] 使得同步条件可能达成的时候
[00:30:16] 都用broadcast
[00:30:17] 因为这个可以保证这段代码的呃正确
[00:30:20] 然后他的逻辑是什么样的呢
[00:30:22] 我也实现了这样的一个基于条件变量的
[00:30:25] 条件变量的这样的一个乐团
[00:30:28] 那条件变量一样的
[00:30:29] 我我会在这里lock
[00:30:31] 然后如果条件不满足的时候
[00:30:34] 我就要执行condition weight
[00:30:36] 那么这意味着什么呢
[00:30:38] 意味着我在这个地方
[00:30:42] 我在while循环的里面
[00:30:44] 我可以assert它是成立的
[00:30:47] 然后我在while循环的外面
[00:30:48] 我会我可以设置它是成立的
[00:30:51] 你们想想
[00:30:51] 这就是while循环的语义
[00:30:53] 尤其是我现在是持有注意条件变量
[00:30:57] 给我们一种假象
[00:30:58] 虽然啊虽然在condition waight的时候
[00:31:00] 它会它会或它会把锁释放掉
[00:31:03] 但是一旦有人broadcast或者signal
[00:31:08] 把我这个线程唤醒
[00:31:10] 他会重新执行require这个操作
[00:31:12] 直到他获得这把护士锁为止
[00:31:15] 他不能他有可能不能立即得到这把锁
[00:31:17] 因为别人可能已经
[00:31:19] 我我在我在broadcast的时候
[00:31:21] 甚至我都持有了同一把锁
[00:31:23] 那么这个时候呃肯定是weight
[00:31:25] 虽然这个线程就被唤醒了
[00:31:27] 但是唤醒以后它是不能立刻执行的
[00:31:29] Condition weight
[00:31:30] 他还会接着试图去把这把锁得到
[00:31:34] 然后只有得到以后
[00:31:35] 他才能继续执行后续的逻辑
[00:31:37] 然后执行后续的逻辑肯定是wait
[00:31:39] 它后续的逻辑是什么呢
[00:31:41] 会马上再把循环再执行一次
[00:31:44] 这才是这个同步和
[00:31:46] 就就为什么我说条件变量和我们刚才的那个
[00:31:49] spin的loop
[00:31:50] 上面这是完全一模一样的
[00:31:52] 它就是执行就是就是一个高效版的
[00:31:56] 在县城得不到这个条件的时候
[00:31:59] 条件不满足的时候可以去睡眠的
[00:32:01] 这样的一个斯宾鲁
[00:32:03] 它给我们一种假象
[00:32:06] 好像是什么呢
[00:32:07] 好像是整个这个我我把这个代码再抄一遍
[00:32:11] 这个代码呃非常重要
[00:32:13] 你们期末考试值20分的
[00:32:16] 一个代码的模板
[00:32:18] 你你你首先要上锁上锁
[00:32:21] 然后那你就上锁lock unlock
[00:32:23] 一定要配对好
[00:32:25] 然后如果你想要等到某一个条件发生
[00:32:27] 你就while not condition做
[00:32:30] 肯定是fit
[00:32:33] 那条件变量给了我们一个什么样的保证呢
[00:32:37] 它就好像是啊这一整个区域都是atomic的
[00:32:40] 都被同一把锁给保护了
[00:32:42] 虽然这个地方会释放锁
[00:32:44] 但是当条件变量它返回的时候
[00:32:47] 它会带一个快
[00:32:51] Acquire a log
[00:32:52] 然后直到获获得这把锁以后呢
[00:32:54] 它出来了
[00:32:55] 到这到这以后
[00:32:57] 条件变量这肯定是位
[00:32:58] 所以这个Y很重要
[00:32:59] 如果这个是写成一辅尼
[00:33:01] 很有可能就是不对的
[00:33:02] Y很重要
[00:33:02] 他到这里他一定会回到循环
[00:33:06] 再检查一次condition
[00:33:07] 注意这个时候我的锁已经获得了
[00:33:09] 那如果这个condition不满足
[00:33:11] 我就会再等一次
[00:33:12] 我就再次进入睡眠
[00:33:14] 为比如说我被一个不该唤醒的条人唤醒了
[00:33:17] 这时候条件还不满足
[00:33:18] 或者我有两个线程
[00:33:19] 我现在我现在唤醒的条件是桌上有一个苹果
[00:33:23] 我要把这个苹果拿走
[00:33:24] 然后这个苹果如果被别人拿走了
[00:33:26] 那我发现这个条件不满足了
[00:33:27] 我就会再次进入进入进入等待
[00:33:30] 但如果这个条件满足了
[00:33:31] 唯一注意我现在手上是拿着这把锁的
[00:33:34] 所以当我循环走到这儿的时候
[00:33:37] 意味着我首先我的锁是获得的
[00:33:41] 锁是在我手上持有的
[00:33:43] 第二个我现在的condition是满足的
[00:33:50] 条件变量就是给了我们一个
[00:33:52] 这个非常重要的保证
[00:33:53] 就是在它在这个while循环退出的时候
[00:33:57] 我可以保证
[00:33:58] 因为while循环的语义
[00:33:59] 保证了这个condition是是是成立的
[00:34:03] 并且因为锁我整个外面是上锁的
[00:34:06] 我这里带的这把锁和条件条件变量
[00:34:08] 它保证我现在是持有锁的
[00:34:10] 也就是说我我现在得到了一个
[00:34:12] 我在持有所的同时全局的同步状态
[00:34:16] 这个同步条件是达成的
[00:34:18] 这样的一个我能理解的状态就实现了
[00:34:21] 这样就实现了同步
[00:34:23] 所以所以在这里如果我加上这两个assert
[00:34:26] 如果我进入这个while循环的时候
[00:34:27] 就说明我现在是锁已经处于锁定的状态
[00:34:31] 并且我的同步条件是不满足的
[00:34:33] 然后我就在在这里在一个操作里面同时完成
[00:34:37] 我就要进入睡眠
[00:34:38] 并且我把锁释放掉
[00:34:40] 这样使得别人有可能呃使我的同步条件达成
[00:34:43] 然后等到我出来的时候
[00:34:44] 我同样我可以assert这个条件是成立的
[00:34:46] 那我们呃带上这个assert可以在再编译一下
[00:34:51] 我现在不动的时候
[00:34:52] 它它没有没有反应
[00:34:55] 在我按下回车的时候
[00:34:57] 它就正确的实现了同步
[00:35:00] 然后这这个SERT全部都都是检查
[00:35:03] 检查通过的对
[00:35:05] 这就是这就是呃呃条件变量
[00:35:09] 然后条件变量
[00:35:11] 刚才可以实现
[00:35:12] 比如说我要等待乐团呃完成
[00:35:15] 它其实可以实现
[00:35:16] 任何我们刚才看到的这种这种同步
[00:35:19] 你只需要把条件换到这里来
[00:35:23] 如果你是一个同步电路
[00:35:25] 你这个condition就是我要求上升沿到达
[00:35:29] 然后如果你是现成的join
[00:35:32] 你这肯定是怎么写的
[00:35:33] 你这肯定省
[00:35:34] 可以是检查
[00:35:35] 比如说现在外面还没有结束的线程的数量
[00:35:38] 你有一个计数器
[00:35:40] 你有个count
[00:35:40] 然后你count你每放一个线程
[00:35:42] 你count都加一
[00:35:43] 注意上好锁
[00:35:44] count都加11加11
[00:35:45] 然后你你这边等待的条件就是count等于零
[00:35:49] 如果count不等于零
[00:35:50] 你就必须要进入这个等待的呃循环
[00:35:53] 然后你在每一次线程退出的时候
[00:35:55] 你都上上锁
[00:35:56] 然后把count减减一
[00:35:57] 最后减到零的时候
[00:35:59] 这个同步条件达成了
[00:36:00] 我这个主线程就可以
[00:36:02] 可以继续了
[00:36:03] 这也是一样的
[00:36:04] 你只要用一个共享变量
[00:36:05] 用任何一个共享变量
[00:36:06] 因为这些东西都是互斥所保护好的
[00:36:08] 你可以用一个共享变量来表示你
[00:36:12] 比如说你有没有到你的室友有没有到
[00:36:14] 然后你你只要把这个条件写出来就行了
[00:36:16] 然后只要啊这这里的
[00:36:19] 这里我给大家的建议
[00:36:21] 是你在任何时候
[00:36:24] 只要有一段代码
[00:36:25] 它可以使得这个条件被满足
[00:36:28] 有可能被满足
[00:36:29] 但凡有一点可能被满足
[00:36:31] 你都直接在上锁的情况下调用broadcast
[00:36:35] 然后你这个代码就永远是对的
[00:36:38] 这个正确性是显而易见的
[00:36:40] 因为因为呃当然你要求你你你代码不要写错
[00:36:43] 因为你当条件不满足的时候
[00:36:44] 你就在这不停
[00:36:45] 相当于是不停的等待
[00:36:47] 这个就是实现了我们刚才那个循环等待的
[00:36:50] 但是一个高效的版本
[00:36:51] 然后在任何时候
[00:36:52] 你当你改变了共享状态
[00:36:54] 比如说线程结束的时候
[00:36:55] 你都需要持有同一把锁
[00:36:57] 比如说你那个现成的count要减一
[00:36:59] 你你和你的同学如果要到达大活的状态
[00:37:03] 你要把它制成true好
[00:37:05] 一旦你把这个状态改掉了
[00:37:07] 你就broadcast
[00:37:08] 那这时候所有等待条件
[00:37:10] 条件变量的人都被唤醒了
[00:37:12] 不管他
[00:37:13] 他最终这个可能只有一个人的条件能满足
[00:37:16] 比如说呃我们想要
[00:37:18] 现在想要实现一个桌子
[00:37:20] 桌子
[00:37:21] 然后有人要往桌子上面放苹果
[00:37:22] 有人要往桌子上拿苹果
[00:37:24] 比如说啊放苹果一会
[00:37:26] 我们就会马上就会讲讲这个模型
[00:37:28] 放一个苹果
[00:37:29] 那你你可以在这等待
[00:37:31] 条件就是苹果要大于一
[00:37:32] 你才能拿一个苹果
[00:37:33] 然后拿一个苹果
[00:37:34] 你在这里
[00:37:35] 你可以在在这个地方同时有上锁的时候
[00:37:39] 而且这个苹果大于一
[00:37:41] 苹果大于一这个条件满足的时候
[00:37:43] 因为你上了锁
[00:37:44] 别人没有办法跟你抢这个苹果
[00:37:46] 你可以take这个苹果
[00:37:48] 你就可以正确的实现
[00:37:50] 一个共享
[00:37:50] 你用共享一个任何一个共享的数据结构
[00:37:52] 那你可以往往桌子上面放苹果
[00:37:54] 然后有线程可以可以拿苹果
[00:37:56] 这就是我
[00:37:56] 我下面要讲的一个非常重要的同步问题
[00:38:01] 叫生生产者消费者问题
[00:38:03] 这个问题非常经典
[00:38:05] 经典到什么程度呢
[00:38:06] 你只要掌握这一个模型
[00:38:09] 你基本上就可以解决99%
[00:38:11] 你实际当中遇到的呃并发并发问题
[00:38:14] 这也叫master slave的模式
[00:38:17] 当然master slave这个词政治不正确
[00:38:19] 虽然在现在已经没有slave了
[00:38:21] 但是依然政治不正确
[00:38:23] 所以呃还有别的名字
[00:38:24] 比如说呃schedule walker
[00:38:27] 这这也是一个呃比较直观的
[00:38:30] 直观的这个名字
[00:38:32] 我有一个调度者
[00:38:33] 调度者用来分配任务
[00:38:35] 分配苹果
[00:38:36] 然后呃有一些worker
[00:38:38] 他他会把苹果拿走去去干他要做的啊做的事情
[00:38:41] 然后在computer science里面
[00:38:43] 这个模型是是什么样的呢
[00:38:46] 呃是这样的
[00:38:47] 他说我有两种线程
[00:38:48] 一种县城叫叫producer
[00:38:51] 叫生产者
[00:38:51] 一种县城叫consumer
[00:38:53] 叫叫消费者
[00:38:54] 那他们共享一个缓冲区
[00:38:55] 就是共享一个这个桌子
[00:38:59] 他就会生产苹果
[00:39:01] 或者说生产这个苹果上面有一个有一个字条
[00:39:04] 说说要做一件什么什么事
[00:39:07] 这producer
[00:39:09] 然后那我们的系统里面可能有好多个producer
[00:39:13] 他们都会都会把带有任务的字条的
[00:39:17] 苹果放到桌上
[00:39:18] 然后呢我们的系统里面还有consumer
[00:39:20] consumer呢
[00:39:21] 就是它可以从桌上拿走一个苹果
[00:39:24] 拿走一个苹果
[00:39:25] 他可以去
[00:39:26] 拿走了以后呢
[00:39:26] 他就可以去看这个字条
[00:39:27] 比如说这个字条说要要从一数到1万
[00:39:30] 然后他就会看
[00:39:31] 完成这个任务
[00:39:32] 那你想想我们有很多这样的
[00:39:34] 计算机世界里有很多的
[00:39:37] 工具都是符合这个模型的
[00:39:38] 比如说你们的HTTP服务器
[00:39:40] 每当一个请求来了
[00:39:42] 你们教务系统
[00:39:43] 教务系统每当一个请求来了以后
[00:39:45] 就相当于他的钱
[00:39:47] 他的这个gateway会把一个苹果放到一个桌上
[00:39:50] 然后他的后端就会取走一个苹果
[00:39:52] 说诶我我今天这个同学要选课
[00:39:54] 那个同学要查查课表
[00:39:56] 那然后他再去查数据库等等
[00:39:58] 一个更长时间的操作
[00:40:00] 把这件事情给做了好
[00:40:01] 这就是生产者和消费者的一个呃基本的模型
[00:40:04] 然后生产者消费者问题呢
[00:40:06] 呃首先啊苹果就或者说代代表这个任务的
[00:40:09] 苹果必须是放一个拿一个的
[00:40:13] 就就像我刚才我说我要play一个note
[00:40:16] 我要演奏一个音符
[00:40:17] 我演奏这个音符
[00:40:18] 我必须要等到指挥下这一拍我才能演奏
[00:40:20] 同样的我必须要等到一个苹果放进来
[00:40:23] 我才能把这个苹果拿走
[00:40:24] 这是有一个int happens before的
[00:40:26] 然而这个问题还有一个有趣的
[00:40:29] 有趣的地方在桌子的大小是有限的
[00:40:33] 你虽然虽然现在
[00:40:34] 比如说你真的去实现一个htp server的话
[00:40:36] 因为你有动态内存分配
[00:40:38] 你你你请求来了
[00:40:39] 你就你就直接new一个
[00:40:40] 然后如果这个请求太多了
[00:40:41] 你就直接把它扔掉
[00:40:42] 你也你也就不要对
[00:40:43] 不要干任何事儿就就可以
[00:40:45] 虽然现在的系统实现
[00:40:47] 缓冲区的大小不是一个很大的问题
[00:40:50] 但呃在同步的意义上
[00:40:51] 这还是一个非常值得研究的问题
[00:40:53] 你的producer
[00:40:54] 你的生产者桌子的大小是有限的
[00:40:58] 当桌子比如说现在桌子N等于二
[00:41:01] 桌子上只能容纳两个苹果
[00:41:03] 那你你如果有
[00:41:05] 比如说我现在有有有1万个生产者的线程
[00:41:08] 但他们同时都收到请求
[00:41:10] 都拿都变出一个苹果了
[00:41:12] 那么最多只有两个能把它们同时放到桌上
[00:41:15] 再多拿着苹果的那个生产者
[00:41:18] 他就要等
[00:41:19] 然后等到呃等到什么时候他才能继续呢
[00:41:22] 等到有一个消费者把它拿走了
[00:41:26] 当前的这个桌上的苹果小于二了
[00:41:30] 我才能再放一个
[00:41:31] 然后同样的我们的消费者
[00:41:33] 他也是他要等到桌上的苹果要大于零
[00:41:36] 至少要有一个苹果时
[00:41:38] 他才能拿
[00:41:38] 拿了以后他才能
[00:41:40] 其他如果比如说桌上没有苹果
[00:41:42] 他就要他就啊他就需要等
[00:41:44] 那么呃我们的生产者和消费者
[00:41:47] 就是要实现
[00:41:49] 这样的这样的一个produce和consume这样的函数
[00:41:52] 那那大家也会知道
[00:41:54] 这个模型在
[00:41:55] 计算机世界里面是非常非常有用的
[00:41:58] 我我一会儿一会儿还会还会再来
[00:42:00] 那我们呢会讲一个就如果要编程实践的话
[00:42:03] 会讲一个它的简化的
[00:42:06] 简化的版本
[00:42:06] 这个简化的版本其实是一样的
[00:42:09] 只不过不是苹果的
[00:42:10] 我们现在有两种线程
[00:42:12] 然后我就把这两种线程呢都都变成
[00:42:15] 就是一个打印一个字符的线程
[00:42:17] 然后我的producer就是打印一个左括号
[00:42:21] 我的consumer就是打印一个右括号
[00:42:24] 你你看左括号和右括号
[00:42:25] 天生就有这个push stack和pop stack的含义
[00:42:28] 你们你们都做过那个刚学学C加加的时候
[00:42:33] 说判断括号配对不配对
[00:42:35] 判断一个括号序列配对不配对
[00:42:38] 你是碰到一个左括号就加一
[00:42:40] 碰到一个右括号就减一
[00:42:42] 然后如果你减着减着减着减出一了
[00:42:44] 那就说明你有一个左括号
[00:42:46] 右括号
[00:42:46] 右括号这样的不合法的序列
[00:42:48] 然后如果你减着减着到最后他不是零
[00:42:51] 那就说明他也没有没有配对
[00:42:53] 然后呢我们的生产者
[00:42:55] 消费者就是一个打印左括号
[00:42:57] 打印右括号
[00:42:58] 但是我们有一个要求
[00:42:59] 比如说我们有N等于二的时候
[00:43:01] 那我们括号任何时候嵌套的深度就不能超过二
[00:43:05] 比如说N等于三的时候
[00:43:07] 这样的括号序列就是可以的
[00:43:09] 我从来没有超过多少三
[00:43:11] 我虽然这个没有合上
[00:43:12] 但是我未来可能能合上
[00:43:14] 但这样的就不行
[00:43:15] 这样你看我有四个左括号的时候
[00:43:16] 这就不对
[00:43:17] 然后或者或者这样的一个
[00:43:19] 我现在往桌上放了两个苹果
[00:43:21] 但是有三个人从桌上拿走苹果了
[00:43:23] 那这个这个也不对
[00:43:25] 为了解决这样的生产者消费者的问题
[00:43:28] 其实就一句话
[00:43:30] 或者说解决所有的并发编程里面的同步问题
[00:43:33] 就这句话想清楚什么是同步的条件
[00:43:36] 也就是说你的线程要同步
[00:43:39] 你就必须要等
[00:43:40] 比如说我们的生产者要等什么
[00:43:42] 我们的生产者要等桌上有空间
[00:43:45] 他是放苹果的
[00:43:47] 我们的消费者要等桌上有苹果才能拿
[00:43:51] 所以你只要想清楚了
[00:43:53] 我们要等什么条件
[00:43:55] 那剩下的就是无脑的去
[00:43:58] 把上面的那个模板代码给
[00:44:01] 抄一遍就可以了
[00:44:02] 我们先要上锁
[00:44:03] 记得记得一定要先上锁
[00:44:05] 然后Y如果我现在可以继续的
[00:44:09] 条件不成立的时候
[00:44:10] 我就要wait
[00:44:12] 然后wait出来的时候
[00:44:13] 你看我可以assert这个条件是成立的
[00:44:16] 我同时条件成立的同时
[00:44:18] 我的锁还是持有的
[00:44:19] 然后这个时候因为我又有条件成本
[00:44:21] 又有又持有锁
[00:44:22] 我就可以把这个苹果安心的拿走
[00:44:24] 或者安心的放上去
[00:44:27] 因为这个时候就再也没有人可以跟我打断了
[00:44:29] 我在我在assert condition的时候
[00:44:31] 我的锁是属于持有的状态的
[00:44:33] 然后我在
[00:44:34] 在我比如说我把苹果放上去或者拿走的时候
[00:44:37] 其实这个世界的条件就呃就更新了
[00:44:40] 世界的状态
[00:44:42] 比如说有的县城在等苹果的
[00:44:44] 我现在放了个苹果进去
[00:44:45] 它就应该被唤醒了
[00:44:46] 然后或者如果我有有有的限制
[00:44:49] 在等空位的我拿走了苹果
[00:44:50] 他等额
[00:44:51] 这样他就有空位了
[00:44:52] 那我同样的呃也可以把他们换下
[00:44:54] 所以这个时候我就直接抄一个condition broadcast
[00:44:57] 把所有的线程都唤醒
[00:44:59] 不管他是生产者还是消费者
[00:45:00] 这个看起来会有一点
[00:45:02] 你会有点糟糕
[00:45:03] 比如说我我现在是放了一个
[00:45:05] 我现在放了一个苹果到呃到桌上
[00:45:09] 那这个时候我应该唤醒消费者
[00:45:11] 而不是唤醒生产者
[00:45:12] 但如果你你这是一个肯定是
[00:45:15] 肯定是broadcast的话
[00:45:16] 我就把所有人都唤醒了
[00:45:18] 那生产者消费者都被唤醒了
[00:45:20] 那有些比如说呃生
[00:45:23] 比如说有有些生产者
[00:45:25] 他发现里面没有空间没有空间
[00:45:27] 他又绕了一圈又回来
[00:45:29] 又回到这个肯定神位
[00:45:30] 他又又再等待一次
[00:45:31] 好像浪费了一些时间
[00:45:33] 但是浪费的这些时间通常来说都是微不足道的
[00:45:36] 你你一般来说
[00:45:37] 不需要为了特别的一点点性能去优化
[00:45:40] 而是呃先写一个绝对正确的呃代码
[00:45:44] 然后如果他真的有性能问题
[00:45:46] 我们再想别的办法解决
[00:45:47] 总有办法可以
[00:45:49] 可以解决的
[00:45:50] 所以你就能够写出这样的条件
[00:45:53] 呃如果如果我们的桌上
[00:45:56] 苹果的数量小于N就可以生产
[00:45:59] 括号的深度小于N就可以生产
[00:46:01] 然后苹果数量大于N就可以
[00:46:04] 大于零就可以消费
[00:46:05] 然后我们再就把这个代码抄一遍
[00:46:08] 直接把condition啊抄进来
[00:46:10] 然后注意
[00:46:12] 你在更新所有的共享状态的时候
[00:46:14] 依然要持有这把互斥锁
[00:46:16] 但你你print打印的时候
[00:46:19] 最好也持有这把护制锁
[00:46:20] 不然你可能会看到
[00:46:21] 不太对的
[00:46:23] 结果那这个代码我们也给大家
[00:46:26] 实现了我们用一条宏一样的
[00:46:28] 就是这是condition
[00:46:29] 这是同步达成的条件
[00:46:31] wire同步条达成的条件
[00:46:33] 不满足
[00:46:33] 我就wait
[00:46:34] 然后我在这里打印一个左括号DEX加加
[00:46:38] 深度相当于桌上的苹果的数量就加加
[00:46:40] 这是这是呃producer
[00:46:43] 然后那can produce的条件是桌上的苹果小圆
[00:46:48] 然后can consumer条件是桌上的苹果要大于零
[00:46:51] 一样的
[00:46:51] 我把这个代码原封不动的抄一遍
[00:46:54] 那么呃这个代码就应该是正确的
[00:46:57] 我我的这个呃命令行工具有两个参数
[00:47:02] 我可以选这个嵌套的深度
[00:47:04] 就是N可以选一个N
[00:47:06] 还有我会创建多少对
[00:47:08] 生产者和消费者的线程
[00:47:10] 比如说啊我现在创建一个112诶
[00:47:15] 你你确实看到了
[00:47:17] 我们打印的这个
[00:47:19] 生产和消费者的括号是一一放一拿一放一拿
[00:47:24] 因为我现在桌上最多只能放一个苹果
[00:47:26] 但如果我我桌上比如说能放两个苹果
[00:47:29] 或者放更多的苹果
[00:47:31] 比如说两个苹果的时候
[00:47:32] 哎你确实看到了
[00:47:34] 好像我在这个时候
[00:47:36] 桌上放了两个苹果
[00:47:37] 拿走一个再放一个
[00:47:38] 再拿一个
[00:47:39] 再放一个
[00:47:40] 好像没有问题
[00:47:41] 但是对于并发编程
[00:47:42] 我还有一个呃忠告
[00:47:45] 就是不要相信你的眼睛
[00:47:47] 你们做了那个my lock的实验就知道了
[00:47:50] 一旦你们试图把
[00:47:51] 比如说试图这个世界上有不止一把锁的时候
[00:47:54] 你就很容易写错
[00:47:55] 所以呃像这种你能够输出日志
[00:47:59] 并且能够检查它正确性的代码
[00:48:01] 你一定可以做的是用另外一个程序
[00:48:06] 我这里有一个check点PY
[00:48:08] 非常简单的
