[00:00:00] 我们先回顾一下我们之前学了什么
[00:22:25] 你就可以在更短的时间里面啊立面完成
[00:22:28] 当然这是这是一个相对来说比较
[00:22:30] 比较更直观的呃方法
[00:22:33] 所以英特尔基本上是在2005年左右的时候
[00:22:36] 他应该是差不多那个时候推出的
[00:22:37] 第一款双核的处理器
[00:22:38] 因为他发现他这种单核的这种
[00:22:41] 让编译器变得更复杂
[00:22:42] 就基本上已经要到头了
[00:22:43] 然后只能在在CPU
[00:22:45] 数量上面扩展来做这个
[00:22:48] 维持摩尔定律
[00:22:49] 然后再到后来的时候
[00:22:50] 他发现这也没有办法在每CPU上
[00:22:53] 就芯片里面每一个都放一样大的盒子
[00:22:55] 所以它它有了2011年的时候
[00:22:57] 因为当时手机移动互联网兴起了
[00:23:01] 2011年左右的时候
[00:23:02] 有了arm的这个big little的架构
[00:23:05] 就说我同时在在一块芯片上面塞上大的
[00:23:09] 再塞几个小的
[00:23:12] 甚至甚至我还可以塞一些超小的
[00:23:14] 非常非常非常小的
[00:23:15] 然后这样当当你的系统处于不活动状态的时候
[00:23:18] 你就在一个非能效比非常非常高的核心上面
[00:23:20] 只启动
[00:23:21] 那直接用它
[00:23:23] 同等的面积上
[00:23:24] 处理器越简单
[00:23:25] 你就可以放的数量越多
[00:23:27] 然后就理论上说
[00:23:28] 你就可以把更多的逻辑门的反转
[00:23:30] 投入到实际的机场上
[00:23:32] 但是还有一条路径也没有想到的是
[00:23:35] 让一条指令能够处理更多的数据
[00:23:39] 你想我的动态流水线调度的单位是指令
[00:23:44] 大家想到指令的时候想到什么呢
[00:23:46] 你说一个move e i x
[00:23:48] 这是一条指令
[00:23:50] 所以当我们谈指令的时候
[00:23:52] 尤其是比如说讲risk five指令的时候
[00:23:54] 一条指令就只能做非常非常小的一件事
[00:23:57] 那这时候指定做的事情非常小
[00:24:00] 但是book keep这个指令的代价非常大
[00:24:03] 这就有gap
[00:24:04] 就你就交税了
[00:24:05] 交了巨多无比的税
[00:24:06] 相当于你你收
[00:24:07] 你你收入收入100块
[00:24:09] 你99块都交税了
[00:24:10] 你不想干这事儿
[00:24:12] 那你可以可以做什么呢
[00:24:13] 你可以做的是
[00:24:14] 我让一条指令里面能够操纵更多的寄存器
[00:24:17] 比如说我能不能引入一条指令
[00:24:19] 把所有寄存器都加一对
[00:24:21] 这个时候嗯哼
[00:24:23] 当然实际的CPU的设计者不会这样设计
[00:24:25] 因为因为这会彻底改变
[00:24:28] CPU的微架构
[00:24:29] 我们还是有一些物理上的
[00:24:32] 规则必须要必须要必须要遵循好
[00:24:35] 但假设的话
[00:24:35] 我有一条指令可以给所有的CPU都
[00:24:38] 所有的寄存器都加一诶
[00:24:40] 那这条指令就可以执行很长的时间
[00:24:43] 然后它相当于
[00:24:44] 比如说
[00:24:45] 我原来要32条指令才能执行这一件事的
[00:24:47] 我现在用一条指令放在这
[00:24:49] 那我的税不就分担成了三1/32嘛
[00:24:54] 原来需要32条指令才能做的事
[00:24:56] 一样的
[00:24:57] 它还在这个队列里面
[00:24:58] 几乎对整个动态流水线
[00:25:00] 的复杂性没有显著的增加
[00:25:02] 这点就是划算的
[00:25:03] 所以就有了一个很自然的想法
[00:25:05] 叫single instruction multile data s i m d
[00:25:07] 就是让一条指令能够呃多做一些事儿
[00:25:11] 这样来实现实现我们的呃更高效的CPU
[00:25:16] 然后然后SMD当然不会做那种
[00:25:19] 说我要加入一条指令
[00:25:21] 把所有的寄存器都加一
[00:25:22] 这样看起来比较啊比较比较傻的事情
[00:25:26] 他的办法是在32位机上
[00:25:29] 当然这是199对
[00:25:30] 1997年
[00:25:31] 1997年叫叫m m x multimedia extension
[00:25:35] 一个非常有时代感的名字
[00:25:37] 年代感的名字
[00:25:38] 现在我们都已经不提了
[00:25:39] multimedia你们听说过这个词吗
[00:25:41] 叫多媒体
[00:25:42] 多媒体说我们的图像
[00:25:44] 我们的声音放在一起
[00:25:46] 然后有一个真给你一个真实的真实的体验
[00:25:48] 然后你会觉得这不就是你你打开智能手机
[00:25:51] 打开抖音
[00:25:52] 它默认就自带的那个功能嘛
[00:25:54] 在今天
[00:25:55] 它已经完全成为我们啊计算机系统的一部分了
[00:25:58] 呃他当时是这样想的
[00:25:59] 他把他为32位机增加
[00:26:03] 增加一组是64位的寄存器
[00:26:06] 然后这个64位的寄存器可以当十
[00:26:09] 四个16bit特的整数来用
[00:26:12] 当四个16bit的整数来用
[00:26:14] 然后它再增加一组指令集
[00:26:16] 比如说当然我们需要的是load
[00:26:19] 可以load
[00:26:20] 可以store
[00:26:21] 它本质上还是一个还是一个寄存器
[00:26:24] 然后它允许的是
[00:26:26] 它可以同时对这四个数字做某一个操作
[00:26:30] 比如说加法
[00:26:31] 我可以给两个MM寄存器做加法做加法
[00:26:35] 然后可以它加它
[00:26:36] 他加他
[00:26:37] 然后这个跟我们一个64位的整数加
[00:26:39] 是不一样的
[00:26:40] 64位整数加
[00:26:41] 如果加了这两个十位数字
[00:26:42] 它溢出了溢
[00:26:43] 这溢出的这个bit就会溢出到这里
[00:26:47] 就会溢出到这里
[00:26:47] 但是我我们的这个multimedia的指令集在设计的时候
[00:26:52] 它它是不会溢出的
[00:26:53] 这个甚至啊甚至这个指令集设计的时候有
[00:26:57] 如果这个整整数两个整数加溢出了
[00:26:59] 它会保留一个最大值
[00:27:01] 有点像那个浮点数的那种那种
[00:27:03] overflow和HUNDERFLOW的这种啊这种感觉
[00:27:06] 他设计了这样一个这样的呃指令集
[00:27:09] 然后甚至啊为了展示他们的呃技术的先进
[00:27:13] 他们在随着这个处理器的发售里面
[00:27:18] 每一个处理器里面都有一个这样的光盘
[00:27:20] 然后这个光盘里面展示了一个这个MMNX
[00:27:24] 指令集的killer application
[00:27:25] 在1997年
[00:27:26] 在1997年的时候
[00:27:27] 这是一个看起来是一个非常高清的
[00:27:30] 一个非常高清的图像
[00:27:33] 一个三维渲染的画面
[00:27:35] 然后它是有光照的
[00:27:36] 当你呃留意留意的话
[00:27:37] 那个子弹射出去的时候
[00:27:38] 你看他他是射出去的时候是有是有是有光照的
[00:27:42] 这在这在之前是很难实现这样的效果
[00:27:45] 虽然你看呃现在你看这个事
[00:27:47] 是觉得你连现在手机上的游戏都都不如
[00:27:50] 但是在那个时候
[00:27:51] 这个这个图形显示是非常非常惊艳的
[00:27:55] 惊艳的效果好
[00:27:58] 实际上你们在编程的时候
[00:28:01] 也不经意之间用过这样的思想
[00:28:04] 也就是说你用你呃在在指令集里面
[00:28:07] 他就说好
[00:28:07] 我引入一个新的寄新类型的寄存器
[00:28:09] 它可以当成四个16bit的整数来用
[00:28:11] 你们在实现像bit set这些数据结构的时候
[00:28:15] 你们也用了这一点
[00:28:17] 你们用了一个32位的整数
[00:28:19] 当成32个1beat来用
[00:28:22] 你们都写
[00:28:22] 你们都见过这样的代码
[00:28:24] 如果你要维护一个set一个集合
[00:28:28] 然后这个集合这几个刚好就存
[00:28:31] 比如说0~31个
[00:28:33] 0~32的子集
[00:28:36] 打个比方01267
[00:28:38] 然后呢你你这样的一个集合
[00:28:40] 你你可以用
[00:28:40] 当然你可以用一个set of int对吧来实现
[00:28:43] 但你也可以直直接用一个UINT32杠七
[00:28:48] 一个U32
[00:28:49] 然后U32的话
[00:28:50] 我们从从右往左写
[00:28:52] 这是零
[00:28:53] 那如果这个元素在这个集合里
[00:28:55] 这个bit我就把它写成是一
[00:28:57] 1100等等
[00:29:00] 哎这就是一个32位的整数
[00:29:02] 然后如果当然当然
[00:29:04] 如果你还可以像32位整数
[00:29:06] 你可以定建一个数组
[00:29:07] AARADE0阿瑞的一
[00:29:10] 然后然后你就可以做一个很大的这个bit vector
[00:29:13] Data vector
[00:29:14] 然后你就可以用
[00:29:15] 如果我要查询询问一个X
[00:29:17] 它是不是在这个集合里
[00:29:19] 我就先比如说这是这是8bit
[00:29:21] 8bit就是字符的数组
[00:29:23] 你就先把它除以八
[00:29:24] 找到这个格子
[00:29:26] 然后再出找出格子里面对应的那个正确的位
[00:29:29] 然后你就知道它这个元素在不在集合里
[00:29:32] 甚至还有一些神奇的像low bit这种
[00:29:35] 这这个发现还真的还还挺神奇的
[00:29:37] 那个x and负X
[00:29:39] 你们在计算机系统基础课程
[00:29:40] 以以以前我我上那个习题课的时候
[00:29:43] 会讲讲这个微运算的
[00:29:45] 算的原理
[00:29:46] 以及你没看到有这种非常骚操作的代码
[00:29:49] 就你一看你就两眼一黑
[00:29:51] 你们见过这个代码吧
[00:29:52] 你们知道pop count
[00:29:54] top count就是数一个二进制串
[00:29:56] 里面有多少个多少个一
[00:29:58] 如果我们把一个32位的整数
[00:30:01] 当成当成是32位个位的一比特
[00:30:04] 就像就像这就是一个叫single instruction mandio data
[00:30:07] 我我有32个一比
[00:30:09] 那555是什么
[00:30:11] 五是什么
[00:30:12] 是0101
[00:30:14] 我不是01020201
[00:30:16] 然后还有一个右边是AAAAA是什么
[00:30:19] A是1010
[00:30:20] 所以它们和X作与分别是什么意思
[00:30:24] 是取出它的奇数位和偶数位
[00:30:27] 取出奇数位和偶数位
[00:30:28] 然后我先把X的奇数位给取出来
[00:30:31] 然后把偶数位也取出来
[00:30:33] 以后又移移位
[00:30:34] 这不就对齐了吗
[00:30:36] 我我555相当于我555取的是五是对
[00:30:41] 取的是
[00:30:43] 这应该叫偶数位了
[00:30:44] 就从零开始的这些这些位置
[00:30:46] 这是and55
[00:30:47] 然后我a a a and a a a a a取的是是这些位
[00:30:52] 然后我把这个往右移移位
[00:30:54] 往右移位不就相当于这个没有了吗
[00:30:56] 然后把把他们两个对齐
[00:30:57] 把这个移过去对齐
[00:30:58] 然后我这两个数字一加不就是他加他
[00:31:02] 他加他他加他
[00:31:03] 我就我就算出了奇数位和偶数位的count
[00:31:08] 然后我再把它做同样的操作
[00:31:10] 再把这个的奇数位和偶数位再在再对起来
[00:31:13] 再加再加再加
[00:31:14] 最后就形成了一个分支的diva counter的这个X
[00:31:17] 这样我就用了
[00:31:18] 反正不是很多的指令
[00:31:20] 远比一个while循环要小的指令
[00:31:22] 来实现一个啊pop com
[00:31:24] 但是
[00:31:25] 但是呃这样的实现在现代处理器上
[00:31:28] 性能是非常差的
[00:31:29] 因为它对动态流水线非常的不友好
[00:31:32] 全是对它有大量的计算的dependence
[00:31:35] 也不能说特别不友好
[00:31:37] 但是呃这并不是很好的一个呃一个实现
[00:31:41] 现在如哎我我顺便问一下
[00:31:43] 如果你们要现在要实现一个比较快的pop con
[00:31:46] 应该怎么样实现一个比较高效的pop canton
[00:31:48] 应该查表
[00:31:49] 你可以把这个32位的整数
[00:31:52] 分成四个八比特的整数
[00:31:54] 然后你先预处理好每一个八比特整数的
[00:31:58] pop count的值
[00:31:58] 然后这样的话你就有四个load
[00:32:01] 你你你直接做四个load
[00:32:02] 然后这四个load load像不同的呃内存地址
[00:32:05] 但是我们的CPU现在缓存如果足够大的话
[00:32:08] 这些呃常用的值它都在缓存里面是热的
[00:32:11] 所以这四个load几乎是并行完成的
[00:32:13] 或者说在很短的几个周期里面
[00:32:16] 总之是可以比较快的很快的完成
[00:32:18] 然后做几个加法
[00:32:20] 然后就就得到了
[00:32:21] 所以不要试图去做这种比较clever的优化
[00:32:24] 但我只是告诉大家的是
[00:32:26] 其实我们确实也要在写这种SMD的
[00:32:28] D的程序
[00:32:30] 然后SMIMD就是这样的CMD
[00:32:32] 它引入这种pact registers啊
[00:32:35] 然后有一个呃有57条指令去实现
[00:32:39] packed register的操作
[00:32:41] 我这里呃也也有一个链接直接付了
[00:32:45] 这个手册你们有兴趣的同学可以
[00:32:48] 可以去在AI的帮助下直接直接读一下
[00:32:50] 甚至你都不需要让AI来读这个手册
[00:32:52] 因为啊AI其实已经对对这个
[00:32:55] 呃SMD的指令集有很好的了解了
[00:32:58] 你看他有很多的
[00:32:59] 很多的这种这种各种各样的指令
[00:33:02] 甚至有这种这种
[00:33:04] pack指令
[00:33:05] pack指令
[00:33:05] shuffle的指令加减等等
[00:33:08] 大家发现这确实是一个非常好的
[00:33:11] 平摊每一个指令开销的办法
[00:33:15] 因为它还是一条指令
[00:33:16] 不管怎么样
[00:33:16] 它都是一条指令
[00:33:17] 然后这一条指令
[00:33:18] 只要占用那个队列里面的一个格子
[00:33:20] 但是这队列里面的一个格子确实我又可以实现
[00:33:24] 原来比如说四个数据的操作
[00:33:26] 必须要四条八条甚至更多的指令才能完成的
[00:33:29] 诶
[00:33:29] 那我就确实是把呃性能给给提上来了
[00:33:32] 所以英特尔就走上了
[00:33:34] 不断的增加寄存器长度的道路
[00:33:37] 从这个MMX到SSE到AVX到AVX
[00:33:40] 如果你们看那个CPU
[00:33:42] 你们那个杠PROX下的CPU info话
[00:33:44] 你会看到这些这些字符
[00:33:46] 什么SSEAVX
[00:33:47] 你们你们你们如果有印象的话
[00:33:49] 确实是存在的
[00:33:51] 然后这就一路一路来的
[00:33:53] 多媒体的时代
[00:33:54] 他们引入了一个叫I百分号mm的寄存器
[00:33:58] 这是一个历史上的错误
[00:34:00] 因为今天已经没有任何人提及多媒体了
[00:34:03] 今天没有人提multimedia这个概概念哈
[00:34:06] 但是寄存器的名字被永远的保保留下来了
[00:34:09] 这个MM是64bit特的
[00:34:11] 然后变成128bit特
[00:34:12] 是变成x m m extended的MM
[00:34:15] 然后很快他们要把128
[00:34:17] 变成256的时候
[00:34:18] 发现他没有名字用了
[00:34:19] 因为因为mm是有名字的
[00:34:21] 是multimedia
[00:34:22] XM是extended multimedia
[00:34:25] 然后1H3的完了以后他就不知道起什么名字
[00:34:27] 所以就YMMZMM
[00:34:29] ZMM是AVX512
[00:34:31] 然后基本上现在ABXVR就是极限了
[00:34:34] 在在在短期内
[00:34:35] 因为你想512个
[00:34:38] 512b
[00:34:39] 512B这么大的
[00:34:41] 这么宽的一个这个寄寄存器
[00:34:44] 这寄存器已经足够分摊掉这个指令的开销了
[00:34:49] 指指令的开销了
[00:34:50] 而而实际上是英特尔在在在第几代
[00:34:53] 第十代还是第几代的时候
[00:34:54] 这个AVX512的处理器已经撞上功耗墙了
[00:34:57] 已经碰到热密度的极限了
[00:34:58] 甚至呃因当你开启这个VXV2时候
[00:35:01] 整个封装的那个功耗都已经扛不住了
[00:35:03] 然后处理器会就会被迫的降频
[00:35:06] 所以可以看到
[00:35:07] 确实在一条指令里面加入多个数据
[00:35:10] 是可以增加你的呃处理器的效率
[00:35:13] 并且不改
[00:35:14] 其实这点有一点好
[00:35:15] 不改变你的编程模型
[00:35:16] 你依然写一个单线程的程序
[00:35:19] 你你依然写个单线程的程序
[00:35:20] 但是你用ABX512的话
[00:35:23] 你用一条指令就可以实现很多数据的写
[00:35:25] 就好像是好像是有多个线程在同时给你
[00:35:29] 给你工作一样
[00:35:30] 所以这就是CPU内部的并行
[00:35:31] CPU内部的并行
[00:35:34] 这里有很多故事
[00:35:35] 比如说啊指令集的发展
[00:35:37] 我们支持了更多的数据类型
[00:35:38] 早期的时候就只有int
[00:35:40] 只能只有整数
[00:35:41] 只有整数
[00:35:42] 然后后来支持float32
[00:35:44] Float64
[00:35:44] 完整的754的浮点数都都到这个里面了
[00:35:47] 因为当这个就很大程度上得益于我们先进制程
[00:35:50] 能够在一有限的面积上塞下更多的晶体管
[00:35:53] 我们才能才能做到这个完整的指令支持
[00:35:57] 然后以及更支持更多的运算
[00:35:58] 像这种呃shuffle类的运算
[00:36:00] 你甚至可以去去做一做很多次内存的load
[00:36:04] 然后以及用一条指令可以可以实现一个A乘以
[00:36:07] B加C在矩阵乘法里面非常常用的操作
[00:36:10] 这样就只用一条指令就可以了
[00:36:12] future m a f m a的fusion
[00:36:16] 这是CMDCMD
[00:36:17] 但是CMD其实没有完全解决所有的问题
[00:36:20] CMD和CPU设计的设计者的设计
[00:36:24] 其实本身是有一点点违背的
[00:36:27] 因为他还是会参与到每一条CMD的指令
[00:36:30] 都还是会参与到CPU微架构里面
[00:36:33] 设计的每一个东西
[00:36:33] 比如说CMD寄存器的load和store依然要经过缓存
[00:36:38] 而且是和那个呃其他指令一样的
[00:36:40] 一个呃一个一个缓存
[00:36:43] 然后它也会参与到动态流水线的调度
[00:36:45] 你你你刚才我们说那个buffer
[00:36:47] 虽然每一条指令执行
[00:36:49] 确实他的每一份计算
[00:36:51] 它的代价被平摊下来
[00:36:54] 但是他依然要参与到整个动态流水线里
[00:36:56] 所以动态流水线没有没有没没有改变
[00:36:58] 这部分的功耗也还在
[00:37:00] 然后最终就成为了CMD的指令
[00:37:02] 最后会和你其他的指令去抢缓存
[00:37:05] 会和其他指令抢功耗
[00:37:07] 可能不是我们真正想要的那个终极的解决
[00:37:11] 我们想要大规模并行的
[00:37:13] 方案人
[00:37:14] 我就说人在做优化这件事情永远是不满足的
[00:37:18] 我们真正想的是让指令调度的代价接近于零
[00:37:23] 只有降到零
[00:37:24] 就所以你交的税只有降到零
[00:37:28] 才叫满意
[00:37:29] 所以就有了我今天其实后面一直要讲的
[00:37:31] 整个要关这是怎么降到零的
[00:37:33] 然后人类在历史上还还有过一个
[00:37:35] 非常激进的尝试
[00:37:37] 叫very long instruction
[00:37:38] World v i v r i w
[00:37:41] 而且这个技术其实没有完全死掉
[00:37:43] 在今天你的一些这种呃特殊的加速器上
[00:37:46] 你你你还是可以看到这个very long instruction
[00:37:49] word的影子
[00:37:50] 他他是这样说的
[00:37:51] 你看我我我们随便找一个程序
[00:37:54] 它都是五花八门的汇编序列
[00:37:56] 我我有有时候这是move
[00:37:57] 这是jump
[00:37:58] 这是什么
[00:37:59] 然后所以我们要在这个处理器上面做动态的
[00:38:02] 指令调度
[00:38:02] 但他说好
[00:38:03] 你不要在处理器上做动态指定调度
[00:38:06] 我们把指令打包
[00:38:07] 我我可以有一个比如说激进一点
[00:38:10] 就比如256个BT的指令
[00:38:13] 以后
[00:38:13] 就就是说我们的CPU
[00:38:15] 每一条指令都有256个版
[00:38:17] 然后在这256BT里面
[00:38:19] 我们可以pack
[00:38:19] 比如说16条或者呃八条
[00:38:21] 或者有可能可变的一个指令
[00:38:23] 就说我可以在这里pack很多条指令
[00:38:26] 然后这时候一个指令的pack里面
[00:38:29] 所有指令都是可以并行执行的
[00:38:30] 由编译器保证
[00:38:31] 它不会有那种我我这条指令要要要依赖它的
[00:38:34] 这种情况没有
[00:38:35] 所以它的译码器就可以做的很简单
[00:38:38] 我就看到这里面是什么指令
[00:38:39] 我就直接执行就行了
[00:38:40] 我不要做任何的依赖判断
[00:38:43] 整个这个指令的序列也都是由编译器生成的
[00:38:46] 然后如果比如说这里有一个跳转
[00:38:48] 打个比方
[00:38:49] 如果在这个地方尾巴上有有一个跳转
[00:38:51] 编译器
[00:38:52] 要保证这个跳转跳过去以后
[00:38:53] 不会导致动态流水线的问题
[00:38:55] 然后如果这个会导致问题的话
[00:38:57] 他就要插入一些
[00:38:57] 比如说空NOP这样的啊这样的指令
[00:39:01] 所有的事情都交给编译器
[00:39:02] 然后这个尝试就失败了
[00:39:03] 英特尔花了很大的代价
[00:39:05] 做一个叫IA64的指令集
[00:39:08] 然后就是一个very long instruction word
[00:39:10] 然后他就失败了
[00:39:11] 失败了
[00:39:12] 因为没有市场没有市场
[00:39:13] 因为呃那个时候我们指令级并行带来的
[00:39:17] 和先进制程带来的那个收益很大
[00:39:19] 而且又没有任何迁移的成本
[00:39:20] 所以呃所以英特尔就就失败了
[00:39:23] 但我觉得在大圆模型的时代
[00:39:25] 这种这种方式又复活了
[00:39:26] 因为因为这是一个真正能够让指令调度的代价
[00:39:30] 接接近于零的方案
[00:39:32] 只是在它诞生的时候
[00:39:34] 那个编译器编译器技术还有点跟不上
[00:39:38] 但今天我觉得有可能真的有可能要
[00:39:40] 要复活了
[00:39:41] 然后活下来的方案就是我刚才说的
[00:39:46] 如果我们一个大的CPU
[00:39:48] 一个复杂的CPU可以做一个复杂的动态流水线
[00:39:51] 让指令执行的很快
[00:39:53] 那我能够把这个CPU不断的变简单变简单
[00:39:56] 变简单变简单
[00:39:57] 然后我可以塞进更多的CPU
[00:40:02] 如果我的每一个CPU都是一个单周期的CPU
[00:40:06] 你们实现的那个最简单的CPU
[00:40:08] 那我就不浪费电路
[00:40:10] 我的每一个就可能这个CPU的每一个CPU
[00:40:13] 都赢得很慢
[00:40:13] 确实很慢
[00:40:14] 但是我就没有真的没有浪费任何的电路
[00:40:16] 我的每一次逻辑门的翻转
[00:40:18] 几乎都用在有意义的事情上
[00:40:20] 指令的译码
[00:40:21] 指令的执行
[00:40:22] load store这些这些上面
[00:40:25] 然后今天我们就要讲一个
[00:40:27] 特别特别有意思的思路
[00:40:30] 如果我们让CPU变得更简单更简单
[00:40:34] 那我就是一个就是一个大的CPU
[00:40:36] 我可以有一个CPU
[00:40:36] 0CPU1好
[00:40:41] 每一个就是你们做实验的时候
[00:40:43] 那个单周期的CPU最简单的CPU
[00:40:45] 当然缓存什么的
[00:40:46] 我们暂暂时先先不谈
[00:40:48] 我们今天要讲的那个KDA就是显卡里面的技术
[00:40:52] 是说它比这个做的还要再激进
[00:40:55] 他让这个CPU里面的一部分是共享的
[00:40:58] 只有让绝对需要的
[00:40:59] 比如说只有那些执行单元才会有多个副本
[00:41:03] 有一个AI
[00:41:04] 比如ARU必须是多每一个CPU有一份的
[00:41:07] 但是甚至像一码器
[00:41:08] 因为译码器指令集越复杂
[00:41:10] 译码器其实也要占电路
[00:41:11] 甚至可以让多个CPU共享同一个译码器
[00:41:14] 一个非常有意思的想法
[00:41:15] 然后这个想法其实就已直接引出了我们今天
[00:41:18] 人工智能时代的这个明星
[00:41:21] 如果要讲GPU的话
[00:41:22] 我就要讲人类改变人类命运的另外一条时间线
[00:41:25] 让我们再把时间倒回去一点
[00:41:27] 倒到1972年的时候
[00:41:29] 有一个MAGNEVOX的奥德赛的
[00:41:33] 1972年
[00:41:34] 一个极为大胆的尝试
[00:41:36] 这是世界人类世界上第一个发售的游戏主机
[00:41:39] 游戏主机
[00:41:40] 你可以看到它
[00:41:41] 它已经颇有今天游戏主机的雏形了
[00:41:45] 如果你们有这种XBOX或者PS发展的话
[00:41:48] 你们看还真的有一点那么相似
[00:41:50] 然后然后人可以有一个像手柄一样的设备
[00:41:53] 可以可以操纵它
[00:41:55] 然而然后这是一个非常早期的产品
[00:41:57] 它没有声音
[00:41:58] 没有任何的声音
[00:42:00] 画面甚至都是光点
[00:42:01] 然后光点如果画面只是光点的话
[00:42:03] 你能玩什么游戏呢
[00:42:04] 就这种乒乓球
[00:42:06] Ping pong
[00:42:06] 然后你你可以控制一个呃某一个呃挡板
[00:42:10] 然后上下上下上下
[00:42:12] 然后然后乒乓
[00:42:13] 但但这个游戏主机其实卖的卖的还可以
[00:42:17] 卖的卖卖的还可以
[00:42:19] 这个产业就就起来了
[00:42:20] 比如说到1983年的时候
[00:42:23] 有一个跨时代的产品
[00:42:25] Nintendo entertainment system
[00:42:27] 也是我们呃可能中国人
[00:42:29] 我我这个年代的人的呃童年回忆吧
[00:42:32] 真正的童年回忆
[00:42:33] 比如说在1986年的时候
[00:42:35] 有一款游戏发售了
[00:42:41] 赛达传说的第一代
[00:42:42] 然后你看他已经拥有非常精美的图形了
[00:42:45] 甚至是
[00:42:47] 平滑的动画
[00:42:51] 平滑的动画
[00:42:51] 然后有一个这样的交互的界面
[00:42:53] 当然我今天不是来
[00:42:55] 不是来来玩塞尔达的
[00:42:57] 你看到了一个非常漂亮的界面
[00:43:00] 但是它背后其实隐藏了一个计算危机
[00:43:03] 对于我自己
[00:43:04] 我学编程的时候
[00:43:05] 那个最最让我印象深刻的时刻就是我教了学
[00:43:08] 学了循环以后
[00:43:09] 我可以用打印一个星号来画任何我想画的图形
[00:43:13] 哪怕就是一个三角形
[00:43:14] 圆形正方正方形
[00:43:15] 我也感到很开心
[00:43:16] 然后本质上画图就是这样的
[00:43:18] 我是一个二重循环
[00:43:19] for每一行每一列
[00:43:21] 然后我计算一个函数
[00:43:22] 算函数
[00:43:23] 然后这个函数FXY
[00:43:25] 算出这个点上面到底要不要有一个像素
[00:43:27] 或者它的像素是什么颜色
[00:43:29] 然后把它呃把它画出来
[00:43:31] 然后这是一个embarrassingly parallel的程序
[00:43:34] 又回到我前面上课的时候
[00:43:36] 讲的一个manner broad set
[00:43:37] 你想画一个manner broad set的时候
[00:43:39] 你画一个6400×6400的时候
[00:43:40] 那不要紧
[00:43:41] 我创建一大堆线程
[00:43:42] 我甚至如果我有真正轻量级的线程的话
[00:43:45] 我可以为每一个像素点我都创建一个线程
[00:43:47] 你就去画吧
[00:43:48] 画完以后就呃再再回来呗
[00:43:51] 这是一个embarrassingly parallel的任务
[00:43:54] 但是那个时候所有的CPU都是没有
[00:43:57] 没有多多处理器
[00:43:58] 多处理器的理论实践根本就不存在
[00:44:01] 1983年的时候
[00:44:03] NES系统是一个mos6502的呃CPU
[00:44:06] 然后他的IPC是0.43
[00:44:08] 没有任何动态流水线
[00:44:09] 它是小于一的
[00:44:11] 他如果要load
[00:44:12] 他他要是要去load的话
[00:44:13] 他要他就要等到那个内存控制器
[00:44:16] 总内存总线里面这个值回来
[00:44:18] 所以他必须要等它没有没有任何的流
[00:44:21] 甚至可能都没有流水线或者一个两级的
[00:44:23] 非常简单的呃流水线
[00:44:25] IPC大约是0.43
[00:44:27] 一个load store可能叫三个周期
[00:44:29] 但是它却有一个非常漂亮的屏幕
[00:44:32] 刚才你看到这个我们模拟的
[00:44:34] 这是一个非常效果非常好的
[00:44:37] 经非常精细的界面
[00:44:40] 屏幕上一共有66万1000个像素
[00:44:43] 六十四四种颜色
[00:44:45] 而且所有的es游戏都是运行在60FPS的
[00:44:49] 非常丝滑
[00:44:50] 你你的switch
[00:44:51] 你现在switch都反而开历史的倒车哈
[00:44:53] 很多游戏都只能运行在30
[00:44:55] 这就意味着你要用1万条指令
[00:44:57] 你只有就是你60FS
[00:44:59] 你就把一秒钟吧
[00:45:00] 分成分成60分
[00:45:02] 你用1万条指令要完成6万个像素的渲染
[00:45:05] IPC小于一
[00:45:07] 这是怎么办到的
[00:45:08] 其实就是因为
[00:45:10] 我们说图形绘制是一个embarrassingly
[00:45:12] parallel的这样的一个计算
[00:45:14] 所以其实我们核心的想法是把我们要算什么
[00:45:21] 要画什么和到底怎么画分开
[00:45:24] 我们的CPU
[00:45:26] 只要做一个叫场景描述的数据结构
[00:45:30] 然后这个数据结构里面定义了
[00:45:32] 我要画出什么东西
[00:45:33] 然后相当于我可以把很多东西放在ROM里
[00:45:35] ROM里
[00:45:36] 然后对于NES这样的一个
[00:45:38] 非常早期的系统来说
[00:45:39] 所有每个ram也就是一个88的小贴块
[00:45:42] 8×8的小贴块
[00:45:43] 然后8×8的小铁块的每一块甚至都不是
[00:45:47] 比如说像你们现在有一个高清贴图
[00:45:50] 可以是就是那种彩色的贴图
[00:45:52] 它每一个小贴块都只有四种颜色
[00:45:54] 都只有四种颜色
[00:45:56] 然后都只有四种颜色
[00:45:57] 就是你在这里看到的
[00:45:58] 这里的就是很多8×8的小铁块
[00:46:00] 然后四种颜色它可以有一个
[00:46:02] 就有两种是自定义的颜色
[00:46:04] 然后然后还有一个前景
[00:46:06] 一个背景
[00:46:06] 然后它有一个可以是一个透
[00:46:08] 甚至可以是一个透明色
[00:46:09] 四个四种颜色
[00:46:10] 然后你可以为一个小铁块映射一个调色
[00:46:14] 调色板的配色
[00:46:16] 所以你们都知道那个super mario有两个
[00:46:19] 有两个角色
[00:46:20] 一个红衣服的
[00:46:21] 一个绿衣服的
[00:46:22] 那个绿衣服的就是P2那个路易吉
[00:46:25] 它和红衣服的是完全相同的铁块
[00:46:28] 但是配了不同的调色板
[00:46:30] 所以它就变绿了
[00:46:31] 这就是在那个时候
[00:46:32] 为了节省节省一点点的存储空间
[00:46:35] 它只每一个像素是四种情况
