[00:00:00] 上一节课我们讲了文件系统增删改
[00:23:26] 我呃当然是因为他的分析有错
[00:23:28] 他认为那是死代码
[00:23:29] 但它显然不是死代码
[00:23:31] 这样很有意思的
[00:23:33] 但这是一个非常powerful的机制
[00:23:35] 你你们想这个代码是我写的
[00:23:38] 然后内核里面其实暴露了各种各样的
[00:23:42] Trace point
[00:23:42] 你可以让AI帮你把内核里面暴露的trace point
[00:23:46] 全部都列出来好
[00:23:48] 那你可以用它来干什么
[00:23:50] 答案是任何事
[00:23:51] 比如说我们可以用可以Y不扣的一个EB
[00:23:55] PF的程序
[00:23:56] 实际上我们干了这件事
[00:23:58] 去捕获你所有键盘的按键和鼠标的移动
[00:24:02] 这不是一个开玩笑的功能
[00:24:05] 你可以结合其他的trace
[00:24:07] 比如说呃系统一些关键的系统调用
[00:24:09] 比如说EXECVE的的这个trace
[00:24:12] 结合你鼠标和键盘的trace
[00:24:15] 就可以基本上完整地复原出
[00:24:17] 你干的所有的事情的轨迹
[00:24:20] 至少你在这台LINUX电脑上
[00:24:22] 然后这是你一个你很好的学习的辅助
[00:24:24] 如果你真的
[00:24:25] 如果你真的想要想想
[00:24:28] 想要去改进自己学习的流程
[00:24:30] 打比方你用share的时候
[00:24:31] 你想要想让自己用share用的呃更熟练
[00:24:35] 因为WM用的更熟练
[00:24:36] 比如说比如说其实我也很想这样
[00:24:38] 但是但是我有的时候没有
[00:24:39] 那么没有那么强的动机去做这样自虐的事情
[00:24:43] 呃但你们可以这样
[00:24:44] 你把每一个带时间戳的
[00:24:45] 你按键的trace
[00:24:47] 从用BPF把把它从内核里面拉出来
[00:24:49] 然后拉完了以后你再去问大圆模型
[00:24:53] 刚才结合的
[00:24:54] 比如说你你的对
[00:24:55] 比
[00:24:56] 如WIM的这个事里面的trace
[00:24:58] 你干的事情那个buffer的
[00:25:00] WIM的buffer的
[00:25:01] 几个时间随着时间evolve的快照
[00:25:03] 你就问说我在做这件事情的时候
[00:25:05] 我是不是可以做的更好
[00:25:07] 然后大圆模型可以不断的告诉你
[00:25:09] 你这你你要做这个编辑
[00:25:11] 你应该这样做
[00:25:11] 你那个编辑应该这样做
[00:25:12] 一个很容易实现的功能
[00:25:14] 但只有有非常有自虐倾向的人才会这样
[00:25:16] 因为他给你的呃心智带来巨大的负担
[00:25:19] 但这样的东西都可以做
[00:25:21] 就是天马行空的
[00:25:22] 你你你可能从来没有想过这件事情也可以做的
[00:25:25] 但是就因为你从i notify开始想
[00:25:28] 然后开始想s trace
[00:25:29] air trace
[00:25:30] 本质上是一个操作系统内核执行的提取信息
[00:25:33] 你就可以呃可以收敛到一个非常非常有名的
[00:25:36] 也有用的
[00:25:38] 机制对
[00:25:39] 除了这个就你发明了EDPF之外
[00:25:43] 你还可以回头再想一下我们要的
[00:25:47] 就比如说我上课的时候
[00:25:48] 我先引入的时候
[00:25:49] 我讲的是这个说哎这是我们想要的
[00:25:51] 我们想要的是
[00:25:52] 在这个时间点
[00:25:53] 我先对所有的文件都把它的modify time打印出来
[00:25:56] 然后等等到一秒钟以后
[00:25:58] 我再把所有的嗯文件的modify他们都打印出来
[00:26:02] 然后我对它做一个def
[00:26:04] 如果发生了改变
[00:26:05] 我就知道文件变了
[00:26:06] 我也知道哪一个文件变了
[00:26:07] 那我就可以这个
[00:26:09] 再来呃再来做下一步的动作
[00:26:12] 比如说我是一个啊外部服务器debug mode的实现者
[00:26:16] 那我就可以借用这个机制
[00:26:18] 但是呃以前啊以前你作为一个软件开发者
[00:26:22] 比如说你作为那个web web后端的开发者
[00:26:23] 你需要知道很多的库
[00:26:25] 什么样的库
[00:26:26] 什么样的机制来实现它
[00:26:27] 但今天其实你其实你不需要今天你
[00:26:31] 所以你只需要的就是一个AI
[00:26:32] 哪怕是你看我现在是一个flash小号的一个模型
[00:26:37] 我我就假装我不知道
[00:26:39] 因为因为这是你可以知道的
[00:26:40] 这是这是简单
[00:26:41] 这是tribute的
[00:26:42] 你知道文件系统可以增删改查
[00:26:43] 所以这件事情一定可以可以干到的
[00:26:45] 然后但是呢你又想要高效地实现它
[00:26:48] 那你就直接问就行了
[00:26:50] 因为模型比你有更多的knowledge
[00:26:52] 甚至比我的knowledge还要还要多
[00:26:54] 然后他很快马上就可以收敛到各种
[00:26:57] 甚至不止一种解决方案
[00:26:59] 比如说i notify
[00:27:00] I notify
[00:27:01] 他肯定是能能够想到的
[00:27:03] 因为这是一个非常直接的i notify
[00:27:04] 然后也许他可能想一想发现
[00:27:07] 如果你的功能需求超出了
[00:27:10] 这个是也许也可以用EBPF
[00:27:12] 我看他有没有想到
[00:27:13] 有一会有没有ED篇幅对
[00:27:16] 你看他讲了第一个polling
[00:27:17] 第二个INOTIFY
[00:27:19] 如果他知道IDOTIF
[00:27:22] 那这个问题就就其实已经解决了
[00:27:24] 因为你你可以让他继续去implement一个
[00:27:27] 一个东西
[00:27:28] F a notify
[00:27:30] 你看他还知道别的
[00:27:31] 你看它可以监控整个文件系统
[00:27:33] 而无需添加目录
[00:27:35] 你再问问
[00:27:38] 用大杀器来呃来解决
[00:27:41] 同样你同样可以得到他非常有智慧的点评
[00:27:45] 对
[00:27:46] 如果如果你给他一个启发的话
[00:27:48] EBFF或者你你让他think hard
[00:27:50] 就比如说你你你不停的PU
[00:27:51] 使他让他想更多的方案的时候
[00:27:53] 他总有一天会想到这个
[00:27:54] 因为因为对于你的需求来说
[00:27:55] INOTIFY就是最好的方案
[00:27:57] 但是呃EBF肯定也是也是可以的
[00:28:01] 然后这带来了一个什么样的结论呢
[00:28:04] 结论就是DeepSeek
[00:28:05] 还记得我我给大家看过那个DeepSeek 的
[00:28:08] 招聘须知说你要有一个能力
[00:28:12] 就是在你不熟悉的东西上面
[00:28:14] 你还是能把事情搞定
[00:28:15] 然后现在就有一个前所未有的机会
[00:28:18] 就是你你需要做到什么呢
[00:28:20] 你需要做到的是对这些事情是knowledgeable的
[00:28:23] 就是这个系统能做到最底层的事情
[00:28:25] 你是非常knowledgeable的
[00:28:27] 然后并且你能够组合这些最底层的事情来
[00:28:29] 清楚的知道你想要什么
[00:28:31] 然后至于这个东西到底怎么高效地实现
[00:28:34] 这个你不用care模型能给你搞定
[00:28:38] 所以性能你就你就不重要了
[00:28:41] 这叫specification
[00:28:42] Is all you need
[00:28:43] 你可以限制
[00:28:43] 你可以用在文件系统上面搭建一个
[00:28:47] 就是一个性能奇烂无比的prototype
[00:28:50] 但是它是正确的
[00:28:51] 它能工作
[00:28:52] 你就给他一个prompt
[00:28:53] 这是我我写的一个功能性的描述
[00:28:56] 中间有很多性能很差的呃实现
[00:28:59] 但是这就是我想要的
[00:29:00] 实际上我想要的完成达成的功能
[00:29:03] 你能不能帮我
[00:29:04] 尽可能的借用操作系统里面的机制
[00:29:07] 做一个高效的实现好
[00:29:08] 剩下的事情你就不用管了
[00:29:09] 当然你还是得比如说要会
[00:29:11] 一些软件工程的知识
[00:29:13] 怎么样做质量保障
[00:29:14] 呃怎么样确保这个AI不要出太大的幻觉
[00:29:17] 呃以及出了幻觉以后
[00:29:18] 你还能救回来啊等等
[00:29:19] 然后你一旦有了这样的能力
[00:29:21] 你就发现你自己的编程能力突然暴涨
[00:29:24] 以前以前我我觉得我以前讲操系统课的时候
[00:29:27] 我甚至都没有时间来讲这些
[00:29:28] 但是你看我有AI以后
[00:29:30] 嗯我觉得这些也也不困难
[00:29:32] 就在昨天我看到一篇那个young stoica的paper
[00:29:36] 那the time is here for just in time systems
[00:29:38] 他说我们现在现在有了有了lm agent以后
[00:29:42] 我还挺挺喜欢这个这个想法的
[00:29:45] 虽然啊虽然还是这句话叫specification is all you need
[00:29:47] 他说我也许我们可以让整个系统都是
[00:29:51] Synthesize from scratch
[00:29:53] 从零开始做
[00:29:54] 然后它的性能就是特别特别好的
[00:29:57] Specialized to environment
[00:29:58] Workload and required system properties
[00:30:00] 就说我我我的需求以后未来因为我也不知道你
[00:30:04] 你是windows linux还是还是什么
[00:30:07] 我我以后就比如说我要做软件
[00:30:10] 或者说这个软件要在你的机器上运行
[00:30:13] 我就说我的软件的行为是
[00:30:14] 这个我想监控文件系统的变化
[00:30:17] 然后你帮我做一个efficient implementation好
[00:30:20] 他就可以从零开始
[00:30:22] 不停不停的根据你的运行环境去优化它的
[00:30:25] 它的系统
[00:30:26] 这是一个很有意思的
[00:30:28] 很有意思的发现对
[00:30:30] 我们操作系统的设计者走了
[00:30:33] 在花了几十年的时间
[00:30:34] 设计了各种各样的机制
[00:30:36] As trace i notify
[00:30:37] 然后到更本质的
[00:30:39] 比如说EBPF
[00:30:40] 然后到有一天可能你可能发生的事是
[00:30:43] 如果你你对现在的操作系统有点不满意
[00:30:46] 你就直接说说我现在想要在应用层上做这件事
[00:30:50] 请你帮我把这个操作系统内核改一下吧
[00:30:52] 然后他就在这个他就对
[00:30:54] 在just in time
[00:30:55] 就on the fly
[00:30:56] 把这个操作系统内核改一下
[00:30:57] 然后加入你要的功能
[00:30:59] 然后你要的那个功能就可以
[00:31:00] Efficiently implement
[00:31:02] 这是完全是可能的
[00:31:03] 在在今天这个大圆模型100万上下文的时候
[00:31:06] 你就让他自己自己propose测试
[00:31:08] 自己去自己把事情弄对啊就可以了
[00:31:11] 我我我真的觉得这件事情很快就会
[00:31:13] 就会发生好
[00:31:14] 这是从监控这个需求想到的
[00:31:17] 我们说文件系统是一个数据结构
[00:31:19] 然后竟然可以想到这么多有趣的东西
[00:31:22] 好监控之外
[00:31:24] 我们还有还有一个很也是很很常见的需求
[00:31:29] 就是呃就是快照
[00:31:31] 刚才我也讲说说random read加判only write
[00:31:34] 等于持久化的数据结构
[00:31:35] 你就可以呃
[00:31:37] 我还是把这个图再画一下
[00:31:38] 如果我有一个这样的二叉树
[00:31:40] 然后我我现在想要插入一个
[00:31:43] 插入一个节点
[00:31:44] 比如在这里插入一个节点
[00:31:46] 那我首先我可以在这标记一个说
[00:31:47] 这个叫V0
[00:31:48] 或者叫这个叫旧版本
[00:31:50] 然后我把这个从根到这个的路径都拷贝一遍
[00:31:54] 然后诶这个叫V1
[00:31:56] 然后呢比如说这里有一个子数额
[00:31:58] 那这样这个不学
[00:32:00] 比如说这有这这有子数
[00:32:02] 我因为是指针指过来的
[00:32:04] 所以OK然后比如说
[00:32:05] 比如说这里也有指数
[00:32:07] OK那这个节点没有变
[00:32:08] 所以我的指针也应该是这样指过来的
[00:32:12] 我只有我只有这些改变了的节点
[00:32:14] 我要拷贝一份好
[00:32:15] 这个就叫V1
[00:32:16] 那这时候我的旧版本和新版本就都保存下来了
[00:32:20] 我所有的历史版本都保存下来了
[00:32:23] 有一个你们非常熟悉的工具
[00:32:25] 从你们上课的第一次课开始就用的工具
[00:32:29] 就是这么干的
[00:32:30] 这个工具是git
[00:32:31] git说这个题我懂
[00:32:33] 我就是他自己就是一个persistent data structure
[00:32:36] 就是一个这样的这样这样的东西
[00:32:39] 有意思
[00:32:39] 我今年在研究生复试的时候
[00:32:42] 我问每一个在我这里的同学
[00:32:44] 什么是git
[00:32:45] 然后有摇头说不知道的
[00:32:47] 然后有说是从网上下载代码的
[00:32:51] 然后然后我问他们
[00:32:53] 就没有一个同学跟我能答出git
[00:32:55] REBASE是干什么的
[00:32:57] 最多的也就是说这是一个
[00:32:59] 那可能是管理管理代码的一个可能
[00:33:02] 快照有没有说出来
[00:33:03] 我都我都不确定
[00:33:04] 然后我当时看到雷倒了
[00:33:06] 所以我今天觉得有必要来讲一讲
[00:33:08] 讲讲讲git
[00:33:09] 然后然后git是一个persistent data
[00:33:12] 首先它是一个persistent data structure
[00:33:13] 就意味着它所有的历史都都在也
[00:33:18] 这也意味着
[00:33:18] 比如说
[00:33:19] 比如说我现在可以创建一个
[00:33:23] 好我得到了一个干净的git repository
[00:33:26] 现在没有任何的啊代码
[00:33:28] 当然当然你看到这里有一些呃呃hooks的sample
[00:33:31] 我可以把它删掉
[00:33:33] 对
[00:33:34] 我觉得我觉得这个木木比较好
[00:33:36] Ok
[00:33:37] 然后我现在就得到了一个非常干净的
[00:33:39] Git repository
[00:33:41] Get it
[00:33:42] 就是这样的
[00:33:42] 他完所有东西都在这个文件系统里
[00:33:45] 如果你把这个点git删了
[00:33:46] 就相当于你所有的历史也都也都没有了
[00:33:49] 它都是都是文件
[00:33:51] 然后现在就是一个这个空的
[00:33:53] git repository好
[00:33:54] 那我可以比如说呃我可以创建一个文件
[00:33:58] 然后我可以get tat
[00:34:00] 这是你们很熟悉的爱的A点TXT
[00:34:04] 好诶
[00:34:06] 我就得到了一个呃commit
[00:34:08] 得到一个commit
[00:34:09] 然后当然你们也知道
[00:34:10] 比如说用git log可以看到呃这个东西好
[00:34:13] 这时我们再来翻译的点多了什么呢
[00:34:16] 多了一些objects
[00:34:19] get的objects
[00:34:20] 然后这个objects每一个都它其实是个目录
[00:34:23] 也就说什么196507
[00:34:25] 什么什么什么什么什么什么什么
[00:34:27] 然后还多了一些什么这样的这样的东西
[00:34:30] OK我今天就要干一件神奇的事情
[00:34:33] 你们可能没有干过
[00:34:34] 你们知道git objects是什么吗
[00:34:36] 如果你们看呃tutorial文档或者教科书
[00:34:40] 你们他会告诉你
[00:34:41] git有三大对象都是存储在点git下的objects
[00:34:45] 当然我可以看一下
[00:34:46] 比如说对点git objects
[00:34:51] 比如说A6下的九
[00:34:54] 这个可以
[00:34:55] 你看这是一个不知道是什么好就放弃了
[00:34:58] 你你看到文档上说git有三大类的对象
[00:35:01] 一个叫blob
[00:35:02] 一个叫tree
[00:35:02] 一个叫commit
[00:35:03] 也就是说它是一个persistent data structure
[00:35:06] 每当你有一个文件的时候
[00:35:08] 就比如说树里
[00:35:09] 你要在树里放一个文件的时候
[00:35:11] 他都是创建一个新的
[00:35:12] 比如说你有如果你有两个版本的A点TXT
[00:35:15] 比如说我现在就可以就可以创建
[00:35:17] 比如说这是A这是A点TX
[00:35:19] Hello
[00:35:19] 然后把它变成hello world
[00:35:23] 它变了
[00:35:23] 然后我还你还可以走这个流程
[00:35:29] 哎这时候你看到了两个两个提交
[00:35:32] 这个时候因为他是persistent data structure
[00:35:35] 所以这个old的老版
[00:35:36] 老的A点TXT和新的A点TXT
[00:35:41] 就它们都是同时存在于这个文件系统里的
[00:35:44] 也都在这个
[00:35:45] 就是刚才我看到那个翻译的点
[00:35:47] 给大家看到这个这个objects里的
[00:35:50] 所以为了验证这一点
[00:35:52] 首先首先我就让AI给我实现一个呃叫什么呢
[00:35:57] 叫git cat cat
[00:35:59] 这是重名了哈
[00:36:01] 这些对象都是压缩存储的
[00:36:09] 我可以让他随时随地给我构建任何的工具
[00:36:12] 因为你一旦从文档上面听说
[00:36:14] git里面的这些东西是压缩存储的
[00:36:17] 他马上就可以给你一个
[00:36:19] 我可以让他再改一下
[00:36:21] 让它能够从命令行里面收到文件的路径
[00:36:25] 然后再把内容给啊可以打印出来
[00:36:30] 我可以试一下
[00:36:30] 点git下的objects下的随便
[00:36:34] 七五下的这个诶
[00:36:36] 那这时候我就可以做什么呢
[00:36:39] 可以我又可以用这种wild card的匹配去找到get
[00:36:46] 我现在当前git里面所有的objects
[00:36:50] 然后我可以
[00:36:56] 我我可以直接把它的内容给可以打印出来
[00:37:00] 然后你看到这里有两个objects
[00:37:03] 你看这是hello
[00:37:04] 这是hello word
[00:37:05] 一个旧版本
[00:37:06] 一个新版本
[00:37:08] 真的都在objects里
[00:37:10] 然后我们说有三大类型的对象
[00:37:14] 三大类型对象
[00:37:15] blob就是我刚才说的那个A点TXT
[00:37:17] 不管是什么
[00:37:18] 你的CPP
[00:37:19] 你的什么东西也好
[00:37:20] 都是以这种压缩的方式直接存进去的
[00:37:22] 然后还有一个叫tree
[00:37:23] 这就是这样的文件系统的数
[00:37:25] 你看100644
[00:37:27] 这是什么
[00:37:27] 这是文件的mod
[00:37:28] 你你这时候这个文件是可执行不可执行
[00:37:31] 它都是在在git的这个tree里的tree object
[00:37:35] 然后当然后面是这个数据结构的描述
[00:37:36] 这是一串binary
[00:37:38] 你需要再写点程序才能把它解开来
[00:37:41] 还有一个东西叫commit
[00:37:42] 然后commit也是一段文本
[00:37:44] 你看我的commit message
[00:37:46] 一个叫ADA点TXT
[00:37:48] 一个叫modify a点TXT
[00:37:51] 然后我的alter的信息时间戳
[00:37:54] 然后还有tree
[00:37:55] 你看每一个commit都有一个tree object
[00:37:58] 还有一个parent object
[00:38:00] 然后这个true object你看二
[00:38:02] 如果这是250825086
[00:38:05] 你就可以找到那个25086
[00:38:08] 在这你看25下的086A等等等
[00:38:11] 这是一个true object
[00:38:13] 所以git是一个非常非常干净
[00:38:15] 极为干净的设计
[00:38:18] 它是一个persistent data structure
[00:38:20] 它是依托文件系统实现的
[00:38:21] 然后它的append only
[00:38:23] 我们说append only加random read
[00:38:26] 等于持久化的数据结构
[00:38:28] 它的append on only就是直接往这个对象池子里面点
[00:38:32] git下的objects
[00:38:33] 下面直接丢一个
[00:38:34] 跟我们那上一次课讲那个NEX的那个一大堆
[00:38:38] nex store是是完全一样
[00:38:39] 就往里面丢一个文件
[00:38:41] 然后丢完了以后
[00:38:43] 他还会把像tree和commit这样的object也都丢进去
[00:38:47] 然后丢完了以后
[00:38:49] 这就是git的全部了
[00:38:50] 我可以到点git里
[00:38:52] 比如说比如说什么是head head
[00:38:56] 是一个指针指向了一个叫rafts下的has下的master
[00:39:00] 我可以把这个文件指向一个commit object
[00:39:04] 然后我可以干一件什么事呢
[00:39:06] 我可以干一件什么事呢
[00:39:07] 比如说这是个commit
[00:39:09] 这是一个commit
[00:39:10] 这是指向
[00:39:11] 这是指向最新的committer
[00:39:12] 我可以依葫芦画瓢在这创建一个文件叫tail
[00:39:19] 有一个head有一个tale
[00:39:20] 然后当然我也可以在tail里面有一个rap
[00:39:23] 就是一个指针指针
[00:39:25] 然后就可以D服
[00:39:26] 我可以get diff head和tail
[00:39:29] 我get Deft的就是那两个东西
[00:39:31] 所以这个世界上git没有任何神秘的
[00:39:33] 它所有东西都是刚才那三种object之一
[00:39:36] 然后你你可以剩下所有东西都是指针
[00:39:39] 以文本方式存储的指针
[00:39:40] 比如说一个什么是一个分支分支
[00:39:42] 就是一个指针指向一个某一个这个commit object
[00:39:46] 然后当然这个指针会随着分支
[00:39:48] 比如说你再次commit的时候
[00:39:49] 它指针会往后移
[00:39:50] 不停的往后往后移
[00:39:51] 比如说head也是这样的一个往后移的指针
[00:39:53] 他是个rap
[00:39:54] 但我也可以直接写这样的这样的tale
[00:39:57] 然后就可以做git diff了
[00:39:58] 没有任何任何任何神秘的呃东西
[00:40:01] 你的check out
[00:40:02] Git check out
[00:40:03] 你的git commit
[00:40:04] 都是一种非常非常
[00:40:06] 平常的文件系统里面的操作
[00:40:08] 就就是一个数据结构
[00:40:09] 刚才我们展示的都是在一个分支上面的操作
[00:40:12] 如果我现在创建一个分支呢
[00:40:14] 比如说我记get check out
[00:40:17] 我创建一个叫new的brunch
[00:40:19] 我可以再创建一个叫new new的brunch
[00:40:21] 没问题
[00:40:22] 然后就这时候我们发现
[00:40:25] objects其实是没有变化的
[00:40:26] 但是多了一些这个东西
[00:40:29] 叫references底下的heads下的new和妞妞
[00:40:33] 然后他们实际上都和
[00:40:35] 刚才我们看那个master是一样的
[00:40:39] 对他就是一个hash
[00:40:41] 就是个commit object
[00:40:43] 然后所以如果如果你看这个new new的话
[00:40:46] 它也是同一个commit object
[00:40:48] 但因为我现在是在
[00:40:50] 比如说我现在在分new这个分支上
[00:40:53] 所以如果我比如说我现在把这个GCAT啊commit
[00:40:57] 那我的has子下的妞妞就会变变成呃
[00:41:05] 就变了
[00:41:06] 然后5311D
[00:41:08] 我现在这个就是5311D
[00:41:11] 所以就是这么简单
[00:41:12] 它所有东西都是以文本铭文的形式存储在
[00:41:16] 文件系统里的
[00:41:18] 这是一个非常非常符合UNIX的设计
[00:41:20] 所以呃你们猜这个git设计者是谁
[00:41:23] 对哈
[00:41:24] 是LINUX
[00:41:25] 是是LINUX的发明人
[00:41:28] 嗯你就觉得这是一个非常非常非常漂亮的设计
[00:41:31] 在这之前大家用的是SVN
[00:41:33] 你们没有经历过那个时代
[00:41:34] 我经历过那个时代就是都要s VN check check in check out
[00:41:37] 然后那SBN难用的像什么什么一样
[00:41:41] 直到git来了以后
[00:41:42] 这个世界就就完全变了
[00:41:43] 然后get up现在就是这个事实的呃标准
[00:41:47] 它有一个非常干净的设计
[00:41:48] 但这个干这个干净的设计又能够承载
[00:41:52] 向未来更多的需求
[00:41:54] 比如说现在比如说GITHUB这个GLFS
[00:41:57] 然后有worktree
[00:41:58] 我一会会
[00:41:59] 会会讲到这些机制
[00:42:00] 解决解决这样的一个简单模型
[00:42:02] 比如说对大文件处理不好的呃这种这种问题
[00:42:05] 但这些都是呃都是小的问题
[00:42:07] 这个模型对于代码来说简直是太合适了
[00:42:10] 小的细碎的对象
[00:42:13] 这这是这是分支和提交
[00:42:15] 然后head是指针的指针
[00:42:16] 还有一个呃有一个叫git的工作区stash
[00:42:21] 你你现在有可能会有一些
[00:42:24] 你现在有一些就是ongoing in的修改
[00:42:27] 然后你可以把这些东西暂暂暂存到你的stash
[00:42:31] 如果有一些这个ongoing的修改
[00:42:34] 但是我不想把它commit到我的分支上
[00:42:37] 因为它可能是是是不对的
[00:42:39] 做到一半的
[00:42:40] 那这时候我就可以呃stash push对
[00:42:44] 我我就可以看到这个stash的零
[00:42:46] 然后我可以不断的往里面push
[00:42:47] 然后这个stash其实也是一个呃commit object
[00:42:51] 所以我我可以做的是echo
[00:42:56] 他有个work
[00:42:57] Working on
[00:42:58] Working progress on
[00:42:59] 妞妞
[00:42:59] 那可以找一个哎
[00:43:01] 找到了
[00:43:02] 你看这是一个stash object
[00:43:06] 它其实是一个commit it
[00:43:09] 看它有一个tree
[00:43:10] 然后他还有两个parent
[00:43:12] 所有的其实这就是数据结构嘛
[00:43:14] 只不过这个数据结构的指针
[00:43:17] 你们在平时实现一个什么
[00:43:19] b tree binary search stry的时候
[00:43:21] 那个指针你都是一个什么structure node新left新right
[00:43:25] 然后这里的所有的指针都是一个这个hash
[00:43:27] 一模一样的
[00:43:28] 就是一个数据结构
[00:43:29] 然后数据结构有不同类型的节点
[00:43:31] 然后节点上面有你自己想要放进去的
[00:43:35] data对
[00:43:36] 然后呃sth commit有两个parent
[00:43:39] 一个是had
[00:43:39] 一个是next stash
[00:43:41] 所以它变成了一个STACHE的step
[00:43:43] 所以它可以push和pop
[00:43:44] 那就把commit给串起来了
[00:43:45] 就这么简单
[00:43:46] 就这么简单
[00:43:47] 然后你呃也可以让AI去直接
[00:43:51] 你你任何一个比如说你们
[00:43:55] 比如说你们自己的一个commit的history
[00:43:58] 你都可以直接让AI去帮你读
[00:44:02] 直接让你把他所有的objects都给呃都给读出来
[00:44:05] 他他会自己会用正确的工具的
[00:44:08] 对然后就可以
[00:44:10] 你可以让他画
[00:44:11] 比如说那种mermaid的那种就代码的图
[00:44:14] 也可以直接让它生成SVG
[00:44:16] 总之你可以得到一个很不错的
[00:44:19] 流流程图或者原理图
[00:44:21] 帮助你去理解你的啊project到底啊到底发生了什么
[00:44:26] 对在我这我我在这就就不读了
[00:44:28] 但是你可以看到的是一个非常还不错的
[00:44:33] 对象图
[00:44:34] 还有一些关键的
[00:44:36] 关键的结构好
[00:44:39] 这是git
[00:44:40] 我相信大家都对git有兴趣
[00:44:41] 然后也应该是倒在觉得哎
[00:44:44] 这个东西是不是比较复杂
[00:44:46] 然后你看看文档又是那几个最最基本的东西
[00:44:49] 掌握了以后
[00:44:49] 你发现诶基本上又可以工作了
[00:44:51] 然后你就你就可能不会再想
[00:44:53] 深深入一步进去看一下
[00:44:55] 但是当你真的把这只脚在AI的帮助下踏进去
[00:44:58] 你会发现
[00:44:59] 这个世界其实是是如此的干净和和简单
[00:45:02] 这就是好的好的设计好
[00:45:04] 当然了
[00:45:05] git作为一个呃如果问问什么是git的话
[00:45:09] 你还是给他的定义会是更好
[00:45:13] 它是一个分布式的版本管理的一个系统
[00:45:16] 他管理了很多目录数的快照
[00:45:18] 所以呃刚才我们说他有commit
[00:45:21] 它有commit
[00:45:22] 因为我可以做分支
[00:45:24] 所以我可以在一个当知识
[00:45:25] 实际上是一个commit object
[00:45:27] Commit object
[00:45:28] 当然commit是对应了有一个train committed
[00:45:31] 对应了一个tree
[00:45:32] 那我就有可能会在一个tree上面
[00:45:34] 比如说在一台机器上发展出来A和B两个
[00:45:39] 两个commit或者两个tree
[00:45:41] 然后在另外一台机器上面
[00:45:42] 有C和D两个人开发的
[00:45:44] 那这个时候我就不再是一个线性的历史了
[00:45:48] 不再是线性历史
[00:45:49] 那git就会做做合并
[00:45:51] 然后这是一个
[00:45:53] 基本上基本上你你你用这个模型就可以理解
[00:45:56] 理解git合并的全部了
[00:45:57] 它合并有三种最基础的
[00:46:02] merge就是我添加一个E节点
[00:46:04] 所以这也是你们在比如说和我的
[00:46:07] 和我的那个代码合并的时候
[00:46:10] 你们本地已经may已经往前走了很很远了
[00:46:12] 然后我我在我我我是一个很早期的min
[00:46:16] 你们看到我是一个非常早期
[00:46:18] 我的main是一个非常早期的提交
[00:46:21] 然后我我会在这个上面做M1
[00:46:24] 一个M1的分支
[00:46:25] M1的提交
[00:46:26] M2的提交
[00:46:27] 就是这个模型
[00:46:28] 你们你们会遇到这个模型
[00:46:30] 然后你们会从远端拉取一个分支的时候
[00:46:33] 那OK你会创建一个节点E
[00:46:36] 然后E就它就会有两个parent
[00:46:38] B和D
[00:46:39] 然后这个时候他做的是一个呃三方的合并
[00:46:42] 有一个是公共的祖先是一个tree
[00:46:44] 这是一个tree
[00:46:45] B是一个TD
[00:46:47] 是一个tree
[00:46:47] 中间的这些你都可以看
[00:46:48] 无论有110万个提交还是10万个提交
[00:46:52] 他都展平了他
[00:46:53] 我只看这个common ancestor b和D
[00:46:55] 然后合出一个E来
[00:46:56] 这个是这个是比较比较直直观的情况
[00:47:00] 然后如果你的本地没有A和B
[00:47:05] 如果你的本地是长这样的
[00:47:07] 就是在在你的远端有C和D
[00:47:09] 你就可以直接把C和D拉过来诶
[00:47:12] 这两个就同步了
[00:47:13] 你本地也是也是这个
[00:47:15] 这个就叫fast forward
[00:47:16] 你们有的时候去别的git rip拉东西的时候
[00:47:19] 看到他有一个message说这是fast forward
[00:47:21] 你就相当于是我我这边的东西都没看见
[00:47:26] 我就把它翻过来
[00:47:27] 但是如果你这边有A和B
[00:47:31] 你又不想创建一个E
[00:47:33] 你有办法吗
[00:47:35] 对就标准版的做法
[00:47:36] 当然是因为因为已经打verge了
[00:47:38] 所以你要创建一个新的新的提交
[00:47:40] 不就代表它的merge
[00:47:41] 然后你merge完了以后
[00:47:42] 他会呃呃对
[00:47:45] 你其实其实我们也是可以在这里看到
[00:47:48] 看到的
[00:47:48] 比如说我我可以特别的NO fast afford
[00:47:52] 我去喝一个妞妞
[00:47:54] 然后这时候他就要求我有一个
[00:47:56] 创建一个新的commit提交的对象
[00:47:59] OK然后就merge了
[00:48:01] 然后如果看一个看到这个呃新的提交的话
[00:48:04] 诶他就有两个parent了
[00:48:07] 它就有它就有两个parent
[00:48:09] 它有一个parent是531
[00:48:11] 是这个还有一个就是啊远端的那个提交
[00:48:15] 就相当于做一个这样的这样这样的merge
[00:48:18] 当然也可我们也也是可以在在这里
[00:48:21] 就是比如说啊这里
[00:48:25] 你可以看到merge brunch new new into new的时候
[00:48:29] 你可以看到有两个parent
[00:48:30] 这就是就是我刚才说的那个
[00:48:32] 那个创建一个E的E的情况
[00:48:34] 如果你不想创建这个E也是有办法的
[00:48:37] 这里就要用到一个叫git cherry pick的功能
[00:48:42] get traffic是非常好用的功能
[00:48:44] 比如说你你有一段它可以traffic任何提交
[00:48:48] 打比方
[00:48:49] 你你现在
