[00:00:00] 今天我们继续讲并发编程里面的呃同步
[00:24:36] 你要想清楚的是
[00:24:37] 谁把这个玩具放到桌上
[00:24:41] 谁把这个玩具给给拿走
[00:24:45] 相当于我们有一个任任何一个线程
[00:24:48] 都可以执行一一个V操作
[00:24:50] 某一个呃sa for v操作就会把这个玩具放到桌上
[00:24:55] 然后直到另外一个线程执行一个P操作
[00:24:59] 当然也可能是他自己执行一个P操作
[00:25:01] 然后这个P操作就会把这个玩具给取走
[00:25:03] 取取到它它这里
[00:25:05] 那这就形成了一个happens before
[00:25:08] 这个happens before呢
[00:25:09] 就可以使得V操作之前所有的事情
[00:25:13] 都happen before p操作所有之后的之后的事情
[00:25:17] 比如说我在这里面
[00:25:18] 可以往buffer里面写一些数据
[00:25:21] 然后呃这个P操作之后
[00:25:23] 我就可以把这个数据给给读出来了
[00:25:25] 那同样的我们把线程想象成是人
[00:25:27] 或者说想象成是我们自己
[00:25:29] 然后这个玩具就是我一个握手或者交接的过程
[00:25:36] 我把这个玩具我这个线程我现在做完了
[00:25:38] 我现在我把这件事情做完了
[00:25:40] 我要轮到你做了
[00:25:41] 我就释放一个玩具
[00:25:43] 然后或者说我有一种
[00:25:45] 这个我我把这个玩具交给你的感觉
[00:25:48] 交给你的感觉
[00:25:49] 但是我是把它放到桌上
[00:25:50] 然后你你之后把它取走
[00:25:52] 就就可以了
[00:25:53] 所以这个特别容易实现的
[00:25:55] 是一次临时的happens before
[00:25:57] 你初始化的时候把这个信号量呃设置成零
[00:26:01] 你你先先做这里面vs之前做的事
[00:26:05] 做完了以后
[00:26:06] 你就释放这个token
[00:26:08] 然后你把另外一个线程模
[00:26:10] 如果要等它完成的
[00:26:12] 我就去acquire
[00:26:13] 或者去批这个这个token就可以了
[00:26:15] 所以这就是我们最开始的时候
[00:26:18] 那个很聪明的互斥锁的用法
[00:26:21] 我们说我们可以在main函数里面
[00:26:23] 把所有这个互斥锁先先都给都给也快了
[00:26:27] 先把这个玩具先都没收了
[00:26:29] 然后没收了以后
[00:26:30] 我就可以用那个互斥锁来来实现同步
[00:26:33] 那我们来看怎么样用这个
[00:26:36] 怎么怎么样来用这种happens before
[00:26:39] 来实现一个具体的同步
[00:26:41] 比如说像呃现成的join
[00:26:44] 线程join其实本质上和计算图是一样的
[00:26:46] 我的main main线程要等到呃所有的线程都执行完
[00:26:52] 它才才它才能继续
[00:26:53] 所以我可以为每一个线程的执行结束
[00:26:57] 都设置一个信号量
[00:26:59] 我T1有一张桌子
[00:27:00] 然后我结束了
[00:27:01] 我就会把这个玩具摆到桌子上
[00:27:03] 然后T2线程它结束了
[00:27:05] 他还把他的玩具摆到桌上
[00:27:06] G3结束了
[00:27:07] 他把他的玩具摆到桌上
[00:27:08] 所以我有四张桌子
[00:27:10] 然后每个桌子上都有一个一个玩具
[00:27:12] 那我线程结束以后把玩具放到桌上
[00:27:15] 然后由我有的main main函数
[00:27:16] 我也会从从第一个呃线程开始
[00:27:19] 我先PT1的那个信号量
[00:27:21] 就相当相当于我在第一张桌子上
[00:27:22] 我首先要拿走一个玩具
[00:27:23] 我才能继续
[00:27:24] 然后我在第二张桌子上可以拿走一个玩具
[00:27:26] 再继续拿走一个弯曲
[00:27:28] 再继续
[00:27:28] 等我把所有的现成的这个玩具
[00:27:30] 都收到手里的时候
[00:27:32] 我就完成了一次现成的呃join
[00:27:34] 这里面有一个呃代码对
[00:27:38] 在每一个线程结束的时候
[00:27:40] 我都对对应的那个信号量
[00:27:42] 相当于桌子上放一个玩具
[00:27:43] 然后我到这个join的时候
[00:27:45] 我就把所有的呃玩具都都都收过来
[00:27:49] 我就可以实现现成的啊join
[00:27:51] 但是呢我没有说信号量
[00:27:54] 它是可以支持多个玩具的
[00:27:57] 所以其实刚才那个过程
[00:27:58] 你完全不需要为每一个线程设置一张桌子
[00:28:02] 你只需要一张桌子就够了
[00:28:04] 一张桌子就够了
[00:28:05] 是意味着我我现在不因为我的main下
[00:28:07] 还是我main主线程知道我创建了多少个线程
[00:28:10] 所以
[00:28:11] 每一个线程它结束的时候
[00:28:13] 只要往同一张桌子上放一个玩具就可以了
[00:28:16] 我现在还不确定能不能放
[00:28:17] 放不住额
[00:28:19] 第一个线程结束了放一个
[00:28:21] 然后第二个线程结束了再放一个
[00:28:24] 第三个线程结束了再放一个
[00:28:26] 然后我的main我我的main做什么呢
[00:28:29] 我的main就是一个循环
[00:28:30] 我知道我我我创建了四个线程
[00:28:32] 那我就需要从桌上拿走四个玩具
[00:28:34] 我才能继续
[00:28:35] 所以所以放和拿我都是它都是无所谓的
[00:28:40] 直到我
[00:28:41] 但是我的线程只有我主线程
[00:28:42] 只有拿走了四个玩具
[00:28:44] 我才能继续
[00:28:44] 所以我的主线程现在可能就拿了
[00:28:46] 拿走一个
[00:28:47] 拿走两个
[00:28:48] 拿走三个
[00:28:49] 但只有第四个线程在最后一次把玩具放到桌上
[00:28:54] 执行一个V操作的时候
[00:28:56] 这个我的min才才把它拿走
[00:28:59] 所以信号量其实
[00:29:01] 最合适的应用场景就是管理这种技术
[00:29:05] 技术型的资源
[00:29:06] 像游泳池里的人不能超过N个
[00:29:09] 停车场里面只有N个车位
[00:29:10] 餐厅只有N桌
[00:29:12] 我要等N个线程
[00:29:13] 一旦是你
[00:29:14] 你你是这种数数的
[00:29:15] 你就比较方便地使用信号量呃来完成
[00:29:19] 所以如果你要用信号量来实现join的话
[00:29:22] 就还有另外一个另外一个办法
[00:29:27] 初始的时候这个信号量是是零
[00:29:29] 相当于没有没有玩具
[00:29:31] 然后我的每一个线程在结束的时候都会V
[00:29:35] 相当于把玩具放到桌上
[00:29:37] 然后我的主线程如果我想要drain的时候
[00:29:39] 我就我就知道
[00:29:41] 首先我要知道我要等多少个线程结束
[00:29:43] 然后我直接批多少次就可以了
[00:29:46] 每P1次我就要拿走一个
[00:29:47] 拿走一个
[00:29:48] 直到我把所有的玩具都拿走
[00:29:50] 我就这个就就继续
[00:29:52] 就就返回了
[00:29:53] 所以这也是一个
[00:29:55] 其实是更节省空间的实现方法
[00:29:58] 这两个代码应该是都没有都没有问题
[00:30:01] 可以
[00:30:02] 可以正确的实现join的
[00:30:05] 我们看一下main函数
[00:30:07] 麦芽数就是创建若干个worker
[00:30:09] 它会在里面sleep1秒钟
[00:30:11] 然后呃执行join
[00:30:13] 然后再再打印一个啊workers join
[00:30:16] 不过我们运行的话
[00:30:19] 你会看到确实是1234start结束
[00:30:22] 然后join
[00:30:23] 两种实现的方法都是都是正确
[00:30:26] 可以
[00:30:27] 实现现成的drain好
[00:30:30] 这是实现实就使用信号量的方式
[00:30:33] 而这样的呃方式很自然的可以扩展到
[00:30:38] 任意的呃计算图的实现上
[00:30:41] 线程join刚才我们说有两种
[00:30:42] 一种是一种是给每一个每一每一个线程的结束
[00:30:47] 这件事来设置一张桌子
[00:30:50] 那对应的就是在计算图上
[00:30:53] 我有一个计算图
[00:30:54] 有这样的
[00:30:55] 有几个节点
[00:30:57] 我可以在每一条边上设置一个信号量
[00:31:00] 相当于一个桌子
[00:31:02] 那就我这个节点什么时候可以执行呢
[00:31:06] 就是一个join
[00:31:06] 我其实是join这几个节点的执行
[00:31:09] 所以我就可以一样的
[00:31:10] 如果我我这个节点执行完了
[00:31:12] 我就就在上面放一个
[00:31:14] 放一个玩具
[00:31:15] 或者放一把钥匙
[00:31:16] 执行完了就放一把钥匙
[00:31:17] 执行完了就放一把钥匙
[00:31:18] 然后我必须要得到
[00:31:20] 集齐这三个桌子上的三把钥匙
[00:31:23] 我这个线程才能才能才能继续执行
[00:31:25] 这是这是一种呃实现的方法
[00:31:28] 还有一种方法就是我们为每一个
[00:31:31] 就去计数
[00:31:32] 我我一定要得到四个玩具才行
[00:31:35] 那这个时候我就不需要把桌子放在边上了
[00:31:39] 我现在只需要把桌子放在呃节点上就就可以了
[00:31:44] 我我相当于是呃我这个我在这个节点上面
[00:31:48] 这个线程必须要拿到三把钥匙才能继续
[00:31:52] 所以我会P3次
[00:31:54] 然后它结束的时候它会V1次
[00:31:56] 它结束的时候它会V1次
[00:31:57] 它结束的时候它会V1次
[00:31:59] 那这样呃这三个P和V配好对
[00:32:03] 我这个线程就可以就就可以
[00:32:05] 继续继续执行了
[00:32:06] 所以呃信号量其实是比较和方便
[00:32:09] 可以比较方便的实现任意的呃计算图的
[00:32:13] 我这里就给了这样的一个节点上面
[00:32:17] 有有信号量的
[00:32:19] 例子节点上面有信号量
[00:32:21] 我我初始的时候
[00:32:23] 我我会初始化这个信号量
[00:32:25] 它的count是零
[00:32:26] 初始化成零
[00:32:27] 然后我会创为每一个节点创建一个呃一个线程
[00:32:31] 那么在25行的时候
[00:32:33] 我会遍历呃所有所有它的入编
[00:32:37] 有有多少个入编
[00:32:39] 我就会批多少次
[00:32:41] 你看这这我批的是完全是同一个信号量
[00:32:43] 是我是我这个vertex sam
[00:32:46] 我这个节点呢
[00:32:46] 这个节点对应的对应的桌子
[00:32:49] 我我每一我我在计算这个节点之前
[00:32:53] 我就必须要得到对应数量的数量的钥匙
[00:32:57] 但我不在意他们是以什么样的顺序
[00:33:00] 顺序放到桌上的
[00:33:01] 然后到35行的时候
[00:33:03] 等我执行完了
[00:33:04] 那我就会对我的每一个出编
[00:33:06] 我每个出边都对应了一张桌子
[00:33:09] 我如果如果还有别的还有别的人
[00:33:13] 别人依赖我的话
[00:33:14] 我我这个线程执行完了
[00:33:16] 那我就需要把一个钥匙放到他的桌上
[00:33:19] 我执行完了就要放一把钥匙到他的桌上
[00:33:21] 这样就可以正确的实现
[00:33:23] 线程之间的同步
[00:33:26] 那我同样也可以
[00:33:28] 运运行一下可以看到012345
[00:33:33] 这样啊正确正确的
[00:33:36] 正确的同步
[00:33:36] 所以这样这么来看的话
[00:33:38] 在这个例子上
[00:33:39] 其实信号量是比条件变量更好用的
[00:33:42] 因为条件变量你要嗯你要写一个条件
[00:33:45] 然后你你会说呃什么是同步的条件诶
[00:33:48] 但我我是我
[00:33:49] 我还是觉得把这个条件写出来
[00:33:51] 会可能我我会感到更舒适一点
[00:33:53] 毕竟这是一个计算机世界里面的东西
[00:33:54] 它当你变成一个逻辑表达式的时候
[00:33:56] 它某种程度上就变得可以验证了
[00:33:58] 然后在而在这里的时候
[00:34:00] 你你必须要借助一个拟人化的方式
[00:34:03] 呃什么是什么是桌子
[00:34:05] 什么是钥匙
[00:34:06] 什么是人
[00:34:07] 这样这样来理解
[00:34:08] 但是你你如果你能够正确的
[00:34:11] 建建这个模型的话
[00:34:13] K我觉得呃至少信号量在是解决这些问题
[00:34:17] 技术性的问题上
[00:34:19] 都还是还是非常好用的
[00:34:21] 也是也是一个完全是推荐的用法
[00:34:24] 尤其你们在写写并发程序的时候是是可以用的
[00:34:27] 然后呢呃信号量真正的一个
[00:34:31] 我觉得比较killer的application
[00:34:33] 其实是优雅的实现生产者和消费者
[00:34:36] 我要建两个信号量
[00:34:38] 一个叫empty
[00:34:39] 一个叫叫feel
[00:34:41] 然后我们的有两个线程
[00:34:44] 一个叫呃t produce produce
[00:34:46] 一个t consume
[00:34:47] 生产者和呃和和消费者
[00:34:50] 那我们的生产者他需要的是什么呢
[00:34:53] 需要的是我至少要有一个空的
[00:34:57] 相当于有的缓冲区
[00:34:58] 有一个停车场里有一个空位
[00:35:01] 或者说有一个空格可以让我生产
[00:35:04] 那我才能拿到这个生产的这个这个这个玩具
[00:35:09] 然后我就可以生产一个打一个左括号
[00:35:11] 但是呢我不是VMT
[00:35:15] 因为我是生产者
[00:35:16] 当我把打印出左括号以后
[00:35:18] 就意味着别人可以消费了
[00:35:19] 别人可以消费
[00:35:20] 意味着我要把field的那个信号量里面要给它加一
[00:35:25] 要往那个袋子里面放一个桌上
[00:35:28] 放一个放一个玩具
[00:35:29] 有个什么什么感觉呢
[00:35:31] 这个这个这个代码
[00:35:32] 很优雅
[00:35:33] 特别优雅
[00:35:33] 极为对称
[00:35:35] 你可以想象它有两个桌子
[00:35:38] 一个桌子叫empty
[00:35:40] 一个桌子叫fl
[00:35:43] empty和feel
[00:35:44] 然后呢
[00:35:44] 假设我们还有一个还有个buffer
[00:35:47] 那如果我们呃生产的话
[00:35:49] 就会往buffer里面放一个东西
[00:35:51] 然后如果消费的话
[00:35:52] 就是就必须从buffer buffer里面
[00:35:55] pop一个东西好
[00:35:56] 那如果buffer的容量是四
[00:35:59] 那我们最最开始的时候
[00:36:01] 在这个empty的桌上
[00:36:03] 就有四个钥匙或者四个玩具
[00:36:05] 那这个时候谁可以谁可以
[00:36:09] 谁可以把这个玩具拿走呢
[00:36:12] 只有producer可以可以
[00:36:13] producer是p empty
[00:36:16] 他需要从这个empty的桌上拿走
[00:36:18] Empty
[00:36:19] 桌上的每一个玩具
[00:36:21] 其实都对应了这个buffer里面的一个空位
[00:36:25] 就说我这里有几个玩具
[00:36:27] 就说明我的buffer里面有几个几个空位
[00:36:30] 然后我我现在这个feel feel里面有几个球
[00:36:33] 就意味着这个buffer里面有几个几个地方是有
[00:36:37] 有数据我可以取的
[00:36:39] 但我现在feel是空的
[00:36:40] 这个桌子是初始的时候
[00:36:41] 看大家看到这个下面in in的时候是depth
[00:36:44] 是我的
[00:36:46] 且可以括号可以嵌套的深度
[00:36:47] 或者说我我这个缓冲区的其大小
[00:36:50] 所以任何我我任何线程我现在PF
[00:36:53] 我现在任何线程P费用我都是失败的
[00:36:55] 因为我我现在是零
[00:36:56] 我拿不到任何的的玩具好
[00:36:59] 那我现在
[00:37:00] 有可能是比如说有一个有一个t produce
[00:37:04] 有一个t produce
[00:37:05] 它PMT
[00:37:07] 那它是成功的
[00:37:08] 成功的那它会PMT1旦完成
[00:37:12] 他就会拿走一个球
[00:37:14] 拿走一个球
[00:37:15] 然后拿走一个球
[00:37:16] 拿走一个球
[00:37:18] 相当于这个对应就没有了
[00:37:19] 但是这时候我的系统里面
[00:37:22] 就一定有一个t produce
[00:37:24] 我的系统里就一定有一个t produce
[00:37:26] 然后他刚才执行了p empty
[00:37:30] 他返回了
[00:37:32] 因为这个球已经消失了
[00:37:34] 这个球已经被他被他拿走
[00:37:37] 玩具已经被他拿走了
[00:37:38] 这个小玩具被他被他拿走了
[00:37:40] 代表了一个Buff里面的空槽位的小玩具
[00:37:44] 被他被他拿走了
[00:37:45] 那这就意味着
[00:37:46] 我现在有一个正在生产的
[00:37:51] 一个正在生产的t producer
[00:37:54] T produce
[00:37:55] 然后这个正在生产的这个会
[00:37:58] 它你让它执行eventually
[00:38:01] 它会放一个东西到buffer里
[00:38:05] 因为这个这个他执行的代码就是print print
[00:38:08] 一个左括号走花就相当于是生产
[00:38:12] 所以这就意味着
[00:38:14] 虽然啊虽然我把这个球从世界上抹去了
[00:38:17] 这个t producer
[00:38:18] 把它把这个球球给吃掉了
[00:38:21] 吃掉了
[00:38:22] 但是他会确保的是
[00:38:23] 一定会有一天
[00:38:24] 会把这个buffer里面会放一个东西好
[00:38:28] 那那这个时候有可能有可能发生的是
[00:38:31] 比如说连续的好几个producer
[00:38:33] 都把他们自己的球给拿走了
[00:38:34] 拿走了以后
[00:38:35] 同样的他们也会进入这个状态
[00:38:36] producer都会进入这个状态
[00:38:38] 他会进入生产的状态
[00:38:39] 然后会把这个啊比如说又有一个producer
[00:38:43] 那他eventually
[00:38:45] 他会把这个buffer再放上
[00:38:47] 放上一个东西好
[00:38:49] 那么呃producer干三件事
[00:38:52] PEMT
[00:38:54] 生产也就打印一个print f
[00:38:56] 然后注意这个生产或者说打印print f是happen
[00:38:59] Before we field
[00:39:05] 我的PMT返回happen before生产生产
[00:39:09] Happen before we feel
[00:39:10] 那这就意味着我只有这个T
[00:39:14] 比如说第一个producer
[00:39:16] 他把buffer的这个格子占占占满了
[00:39:19] 写上东西了
[00:39:20] 它才会执行一个we f
[00:39:22] 然后执行一个we feel以后
[00:39:23] 它还没有执行VF的时候
[00:39:25] 这个系统还是还是这个这个状态
[00:39:27] 然后他执行一个we feel以后
[00:39:29] 这个球他就把一个玩具放到了we fid
[00:39:33] 就相当于是把这个玩具放回到field
[00:39:35] 放到另一个桌桌上
[00:39:36] 那这就意味着我的t consumer
[00:39:39] 可以把这个球拿走了
[00:39:41] 而我们说每一个feel上面的feel
[00:39:45] 这个桌子上面的玩具都对应了一个buffer
[00:39:48] 里面的空一个已经写入的数据
[00:39:52] 然后然后如果比如说我刚才我说有两个producer
[00:39:55] 都呃PMT成功了
[00:39:57] 他们把这个玩具拿走了
[00:39:58] 那第二个producer
[00:40:00] 总有一天也一定会把这个缓冲里面写上数据
[00:40:05] 然后并且在这里放上放一个球
[00:40:08] 那这两个就是就是就是对应的
[00:40:10] 然后就是因为有这种对应关系
[00:40:12] 有这种buffer里面的对应关系
[00:40:15] 以及我打印一个左跨
[00:40:16] 或者我生产完了以后
[00:40:17] 一定会we feel
[00:40:18] 就是有这种呃这种关系
[00:40:21] 保证了我可以把producer交接给consumer
[00:40:26] 然后consumer做的是完全对称的对称的过程
[00:40:29] 它会它会p file
[00:40:31] 他会从这里拿走一个玩具
[00:40:33] 然后他会把它消费
[00:40:35] 就把这个东西抹掉
[00:40:36] 然后再we empty会把会把玩具球放回来
[00:40:40] 所以其实其实是这样的一个过程
[00:40:42] 是是produce
[00:40:44] 是把empty这个桌子上拿一个球做事
[00:40:49] 在FID的这个桌上放一个球
[00:40:52] 然后这个consume是反过来的
[00:40:55] 他需要一个呃buffer里面的slot
[00:40:58] 然后他把他消消化掉了以后
[00:41:03] 再会往这个empty里面再放一个球
[00:41:05] 然后他的这个reason是和
[00:41:07] 是和我刚才说的那个是完全对称
[00:41:09] 完全对称的
[00:41:10] 你就想象是我有两个口袋
[00:41:12] 两个桌子
[00:41:12] 然后然后有一类人是不停的
[00:41:15] 这个桌子往那个桌子搬球搬一个球
[00:41:17] 他就可以打一个左括号
[00:41:18] 然后另一类人是
[00:41:20] 我要从这个桌子往那个桌子搬球搬一个
[00:41:22] 我就可以打一个右括号
[00:41:24] 然后你可以知道OK
[00:41:25] 确实是是可以正确的实现producer
[00:41:29] 和和consumer的
[00:41:30] 然后在这里面有一个全局的environment
[00:41:32] 我刚才已经已经解释了
[00:41:34] 我说呃有一个empty的数量加上field的数量
[00:41:38] 加上这两个正正在中间状态的这个
[00:41:42] 数量要等于等于这个buffer的
[00:41:45] 等于buffer的大小
[00:41:46] 这个这个environment是是一直都会都都会成立的
[00:41:50] 然后就是因为我有一个这个球
[00:41:52] 有一个求和这个的对应关系
[00:41:55] 这个算法是正确的
[00:41:57] 非常的巧妙
[00:41:58] 非常的精巧
[00:41:59] 你
[00:42:00] 以至于我觉得绝大部分人
[00:42:02] 在第一次看到这个算法的时候
[00:42:03] 觉得诶信号量很妙
[00:42:05] 他解决了一个以前因
[00:42:07] 因为之前你们你们做生产者消费者的时候
[00:42:11] 我我花了花了一点时间来翻车
[00:42:14] 翻车就是要告诉大家
[00:42:15] 你你的那个呃signal和broadcast
[00:42:19] 用起来其实还是有点困难的
[00:42:21] 你你你想清楚了
[00:42:23] 你如果你想清楚同步条件
[00:42:24] 比如说can produce
[00:42:25] Can consume
[00:42:26] 这都是没问题的
[00:42:27] 呃但是你你最好用broadcast来保证你的正确性
[00:42:29] 但是你不喜欢
[00:42:31] 你你觉得那样浪费了性能
[00:42:33] 会把一些不该唤醒的线程给给给唤醒
[00:42:36] 然后你你你还是需要一点额外的脑子
[00:42:39] 去去写一个正确的
[00:42:41] 生产者消费者的条件变量的版本
[00:42:42] 但是你你也不是很喜欢那样的写法
[00:42:44] 当你看到信号量的写法的时候
[00:42:46] 你第一反应就是哇这个太优雅了
[00:42:48] 信号量应该是一个非常有用的呃东西
[00:42:51] 确实呃信号量最大的
[00:42:54] 最大的用途就是实现这样的
[00:42:57] 呃是技术型的技术型的资源
[00:42:59] 而而这个生产者消费者
[00:43:01] 也就是他解决的就最典型
[00:43:03] 最具有代表性的呃问题
[00:43:06] 所以如果你们遇到了生产者消费者
[00:43:07] 你们完全可以啊follow这样的这样的pattern
[00:43:11] 来来用信号量来实现
[00:43:13] 我们也给大家准备了
[00:43:16] 示例的代码
[00:43:17] Producer consumer
[00:43:19] 跟刚才我们写的是是一模一样的
[00:43:22] PMT打印左括号VF
[00:43:24] 然后呃p fl打印右括号VEVEMT没问题
[00:43:30] 我可以可以运行一下
[00:43:35] 比如说我我的深度可以是二
[00:43:37] 然后我我的深度是一
[00:43:40] 深度是一
[00:43:41] 你看到他确实是是是这样的
[00:43:43] 然后额深度是二
[00:43:46] 深度是深度13
[00:43:48] 你可以看到它它实现了啊正确的同步
[00:43:51] 你们回去可以自己自自己试
[00:43:53] 我这里
[00:43:54] 我这里一共创建了八对的
[00:43:55] 这个producer和和consumer
[00:43:57] 你可以长时间的压力运行它
[00:43:59] 并且用用脚本来检测检查都是没有
[00:44:03] 都应该是对的好
[00:44:05] 这就是
[00:44:06] 呃使用信号量来实现生产者和消费者问题
[00:44:09] 我们既从互斥锁的模型出发
[00:44:13] 我们说互斥锁是一个桌子
[00:44:15] 桌子上可以放一把钥匙或者放一个玩具
[00:44:18] 你把桌上从只能放一把钥匙
[00:44:22] 扩展到能放任意多把钥匙
[00:44:26] 然后你把lock变成是拿走一个钥匙
[00:44:30] unlock变成是放放进去一个钥匙
[00:44:32] 然后你你可以在世界里面创建很多把锁
[00:44:35] 来实现啊实现同步
[00:44:37] 这就是我们从一开始的那个说
[00:44:39] 有一个很奇妙的想法
[00:44:40] 然后到我们发明了信号量好
[00:44:45] 那我们什么时候用信号量
[00:44:47] 什么时候用条件变量呢
[00:44:49] 刚才你也感觉到了
[00:44:51] 如果你的模型是符合一个桌子上放钥匙的模型
[00:44:55] 不管是就一个
[00:44:57] 比如说我happens before
[00:44:58] 我要实现join
[00:44:59] 我要实现计算图还是生产者
[00:45:01] 消费者里面
[00:45:02] 我们可以互相在两个桌子之间挪挪钥匙
[00:45:06] 这都是比较干净优雅的呃方案
[00:45:09] 而且确实也推荐用用信号量的
[00:45:11] 但是呢条件变量你在呃觉得看它不顺眼的
[00:45:16] 同时呃不要忘记它其实是一个万能的同步方法
[00:45:21] 有的时候count不总是能够很好的代表呃同步条件
[00:45:25] 比如说我马上就可以举一些
[00:45:28] 现实世界当中更复杂的例子
[00:45:31] 打个比方
[00:45:32] 单位线程分别死循环打印这个左括号
[00:45:35] 右括号和呃和下划线
[00:45:37] 那我们那天画了个状态机
[00:45:39] 一个状这样的状态机
[00:45:41] 我们在打印完一个下划线以后
[00:45:44] 或者初始状态的时候
[00:45:45] 我们在系统在这
[00:45:46] 那我可以打一个左括号
[00:45:47] 可以打一个右括号
[00:45:48] 然后呃反正继续
[00:45:50] 然后最后我再打一个下划线
[00:45:52] 我就可以退到这个初始的状态好
[00:45:55] 那我们知道什么时候可以打哪一个字符呢
[00:45:58] 啊那我就我的系统处在哪个状态
[00:46:01] 啊比如说我现在系统处在这个状态
[00:46:04] 那么就意味着我所有的T1小于号和
[00:46:07] T1大于号都是都是激活的
[00:46:09] 我的同步条件都是达成的
[00:46:11] 但是但是如果你要让你用信号量来实现它的话
[00:46:15] 就比较困比较困难了
[00:46:17] 你想在这个问题里
[00:46:19] 到底什么是桌子
[00:46:20] 什么是什么是钥匙
[00:46:23] 在在上面那个生产者消费者里面
[00:46:25] 我们的呃桌子是empty和fl
[00:46:28] 然后它里面的钥匙
[00:46:30] 每一个钥匙就代表了一个
[00:46:32] buffer里面的格子的一个状态
[00:46:33] 一个承诺
[00:46:35] 我我说我我从我empty里面有一个球
[00:46:38] 就意味着我一定可以在buffer里面
[00:46:40] 找到一个空格子
[00:46:41] 然后我的file里面有一个球
[00:46:43] 就意味着我一定可以从这个buffer里面
[00:46:46] 取出一个一个数据来
[00:46:49] 你就很难
[00:46:50] 比如说比如说我现在说说我的小于号的线程和
[00:46:55] 和大于大于号的线程
[00:46:57] 那我到底要P什么
[00:46:58] 要V什么呢
[00:47:00] 你在考虑这种不那么规则的同步条件的时候
[00:47:04] 这个同步条件里面有一个货
[00:47:05] 尤其我在这个时候我可以二选一的呃时候
[00:47:09] 你用信号量来实现
[00:47:10] 就会相对来说呃比较困难
[00:47:12] 不是不能实现
[00:47:13] 你有很多还是有很多种方式呃可以实现它
[00:47:16] 比如说我现在每一个呃每一种线程
[00:47:20] 我的小于号的线程我就P小于号
[00:47:22] 然后我的大于号的线程我就P大于号的信号量
[00:47:26] 然后下划线我就P这个
[00:47:28] 下划线的信号量
[00:47:29] 那呃就跟我们实现计算图是一样的
[00:47:32] 我我只有拿到我这个现成的许可
[00:47:35] 我才我才能能继续
[00:47:36] 然后我到我在这个状态
[00:47:38] 我每次打印完一个字符以后
[00:47:40] 我都检查一下当前的状态
[00:47:42] 然后比如说我现在当前在这个状态的时候
[00:47:44] 我就可以抛一个硬币
[00:47:45] 以1/2的概率去
[00:47:47] V1个小于号
[00:47:49] 1/2的概率
[00:47:50] V1个呃大于号
[00:47:52] 我还是可以实现
[00:47:53] 实现这样的呃呃这样的控制的
[00:47:56] 但是呃总的来说
[00:47:58] 如果你的同步条件越复杂
[00:48:00] 它涉及到一个全局状态的一个什么函数
[00:48:03] 那对于条件变量来说是无所谓的
[00:48:05] 因为你就是while那个condition
[00:48:07] 你你任何的计算
[00:48:09] 哪怕时间长一点的计算
[00:48:11] 哪怕要扫描过整个共享状态的计算
[00:48:13] 它都是可以支持的
[00:48:14] 但是呃这个信号量
[00:48:16] 它它必须要有明确的桌子和球的呃概念
[00:48:19] 你才能呃你你才能用得起来
[00:48:22] 它是一个计数器
[00:48:23] 本质上它是一个特殊的呃计数器型的条件变量
[00:48:28] 比如说这个DEXTRA就呃就提出过一个
[00:48:33] 它提出信号量
[00:48:34] 它一定程度上是为了解决这样的一个
[00:48:36] 一个困难的问题
[00:48:37] anding philosophers叫哲学家吃饭问题
[00:48:40] 他说哲学家
[00:48:41] 你就想象每一个哲学家都是一个县城
[00:48:43] 然后他们围成一圈
[00:48:45] 然后围成一圈以后
[00:48:46] 他们其实筷子是一个更合适的模型
[00:48:48] 因为你要需要凑齐一对筷子才能
[00:48:51] 才能才能吃饭呃但这个问题提出的时候
[00:48:55] 他们并不喜欢吃中餐
[00:48:58] 他们就想象的是
[00:48:59] 每一个每一个人面前都有一个一份一份饭
[00:49:03] 然后呢但是他如果要吃
[00:49:05] 他就要同时得到他手边的两个两个叉子
[00:49:09] 一共五个人
[00:49:10] 五份参五个叉子
[00:49:13] 然后他必须要每个人必须要得到
[00:49:15] 他自己左手和右手边的两个叉子
[00:49:19] 呃他才能才能吃饭
[00:49:20] 然后他就可以它每一个线程它它可以可以吃
[00:49:24] 也可以思考
[00:49:25] 然后在思考的时候就可以别人可以吃
[00:49:26] 所以他会把它把叉子放下来
[00:49:28] 所以吃完以后他会把叉子放下来
[00:49:30] 他希望能够实现这样的呃全局的一个同步
[00:49:34] synchronization
[00:49:35] 我这里有有有一个呃这样的这样的代码
[00:49:40] 大概是这样的
[00:49:41] 你可以忽略掉同步的注释掉的代码
[00:49:44] 我我系统里面有N个哲学家
[00:49:48] 哲学家
[00:49:48] 然后你们忽略掉我我这些同步的代码
[00:49:51] 我们就创建N个线程是是philosopher
[00:49:54] 然这N个philosopher
[00:49:56] 他们每一个县城都有一个左手
[00:49:59] 有一个右手
[00:50:01] left hand side
[00:50:02] right hand side好
[00:50:03] 那我就把右手右手的编号就是他自己的线程号
[00:50:07] 然后我的左手就是这个右手的叉子的编号减一
[00:50:11] 然后减一相当于是加N减一
[00:50:14] 在mod n的意义上就其实就减一
[00:50:16] 你就理解成是ID
[00:50:18] 一个是ID减一编号的叉子
[00:50:20] 一个是ID编号的叉子
[00:50:21] 然后呢每一个哲学家都是一个死循环
[00:50:24] 他们会首先会试图
[00:50:26] 他们需要插入一些同步
