[00:00:00] 上一节课的时候给大家讲了多处理器编程
[00:24:22] 但呃我可以毫无疑问地说
[00:24:24] 现在比如说LINUX内核里面还有数不清的这种锁
[00:24:27] 相关的呵呃的问题
[00:24:30] 因为这个lock和unlock都是程序员负责的
[00:24:32] 你想这和my lock free是一样的
[00:24:35] 你你记得MALLOC之后一定要配一个free
[00:24:40] 但你做不到
[00:24:41] 你记得每一个AQUI以后必须要一个release
[00:24:46] 然后你在那个代码写的好好的
[00:24:48] 在代码的函数的第一行有一个块
[00:24:51] 在函数的最后一行有个release
[00:24:53] 中间有个return
[00:24:55] 你就这个程序就错了
[00:24:56] 然后当你你说你不会犯这种错误的
[00:24:58] 那是因为你只写一个
[00:25:01] 你在一个文件里面的这个代码
[00:25:04] 但真正你有几十个文件
[00:25:06] 然后他又上几十把锁的时候
[00:25:07] 你你就你就确实就很难把它弄对了
[00:25:09] 我我举一个例子
[00:25:11] 链表
[00:25:12] 如果你要实现一个链表
[00:25:14] 你你当然可以就世界上只有一把锁
[00:25:17] 一个链表一把锁
[00:25:18] 我我把这个锁锁住了
[00:25:19] 我就可以访问整个链表
[00:25:21] 但正确的方式
[00:25:22] 如果你要实现一个并发的数据结构
[00:25:24] 我们回头教科书上
[00:25:25] 我们在在今天的reading里面有
[00:25:27] 今天教科书让你们读那个
[00:25:30] Concurrent data structure
[00:25:32] 如果你要实现一个性能还过得去的链表
[00:25:35] 你就不能用一把锁
[00:25:36] 保护链表节点里面所有的东西
[00:25:38] 你的链表的每一个节点都有一把锁
[00:25:42] 这就带来麻烦了
[00:25:43] 你想你你们的双向链表嘛
[00:25:47] 是这样的
[00:25:47] 这个概念简单
[00:25:49] 你们都都实现
[00:25:50] 它有它有previous和next好
[00:25:53] 那如果你想要便利这个列表
[00:25:58] 你应该怎么办呢
[00:26:00] 你应该一边上锁一边解锁
[00:26:03] 我在持有了这个节点的锁的时候
[00:26:05] 注意你不能把它释放掉
[00:26:07] 如果你把它释放掉就错了
[00:26:08] 我在持有这个节点的时候
[00:26:10] 我首先需要把这个这个节点的锁也得到
[00:26:13] 这样我我就把这个相信
[00:26:15] 我就把这个链接关系给锁住了
[00:26:17] 这个链接关系锁住很重要
[00:26:18] 不然就真的会错
[00:26:20] 然后我才能从这个节点到下一个节点
[00:26:23] 等到我到了下一个节点
[00:26:24] 我才能得才可以把这个锁给释放掉
[00:26:27] 我再去试图acquire下下一个节点的所
[00:26:31] 就两个一个一个一个
[00:26:32] 你要保证这个中间的链接关系
[00:26:35] 不不能发生改变
[00:26:37] 然后你看你的便利就已经这么复杂了
[00:26:39] 你还要考虑插入删除
[00:26:40] 他们都需要拿到previous current和next3把锁
[00:26:43] 还有更复杂的
[00:26:45] 最麻烦的是删除后的内存回收
[00:26:47] 你你什么时候可以把这个内存回收掉
[00:26:51] 你要确保没有人可以
[00:26:53] 只有一个指向这个节点的引用的时候
[00:26:55] 才能把它回收掉
[00:26:57] 这个这件事情比你想象的要困难
[00:26:59] 而且你们马上做lab的时候
[00:27:00] 就会就会知道知道这里面有很多微妙的地方
[00:27:04] 必须把它想想清楚
[00:27:06] 就如果这个世界上只有一把锁
[00:27:08] 说哎我需要需要这个原子性
[00:27:11] 这个叫原子性
[00:27:12] 或者说叫stop the world的时候
[00:27:14] 那我就呃lock
[00:27:15] 然后再unlock
[00:27:16] 那这个世界就是简单的
[00:27:18] 否则如果你要手工去管理复杂的锁
[00:27:20] 那就是呃麻烦了
[00:27:22] 所以你看到这个想法的含金量还在上升
[00:27:26] 你想要的是make it work
[00:27:29] 所以你你真正想要的是你写一个链表
[00:27:32] 然后你说make it work
[00:27:34] 然后你有一个好的编译器
[00:27:36] 它可以把它翻译成一个高效的事情
[00:27:38] 而不是由你手工去翻译
[00:27:39] 而且他还能保证你是对的
[00:27:41] 我觉得离这一天我们可能也不远
[00:27:43] 真的
[00:27:44] 也许我们讲的这些东西
[00:27:46] 很快就也都呃也都没有用了
[00:27:49] 然后除了我刚才说的
[00:27:50] 就这种逻辑上
[00:27:51] 你要你要你要在系统里面引入很多把锁的时候
[00:27:54] 很容易弄错以外
[00:27:56] 你还会犯各种各样的小错误
[00:27:58] 你们看出这个错误在哪里了吗
[00:28:01] 你们看起来用了同一把锁来保护SAM加加
[00:28:04] 但是一个是L
[00:28:07] 一个是I
[00:28:08] 然后那这就形同虚设的吧
[00:28:10] 我刚才说假设假设你是正确的上了锁
[00:28:14] 那他们俩就不能并发了
[00:28:15] 但是I和L两把锁是是可以并发的
[00:28:18] 不要笑你们就这叫什么叫小丑
[00:28:21] 就是你就是我自己
[00:28:22] 我也会经常犯这样的呃错误
[00:28:25] 现实中真的就是你有几十把锁
[00:28:28] 几十个文件
[00:28:28] 然后函数互相调用的时候
[00:28:30] 你搞不清楚的时候
[00:28:32] 没有人能相信自己能够呃能够能够记得
[00:28:36] 然后你经常能看到LINUX内核里的人在讨论这个锁
[00:28:39] 比如说他们有一些动态检查工具
[00:28:42] 可以在运行的时候检查你
[00:28:43] 你是不是哪里漏上锁了
[00:28:45] 他已经查出来了
[00:28:46] 然后在那边讨论到底到底什么谁出了问题
[00:28:49] 到底应该怎么修
[00:28:51] 有意思对
[00:28:52] 所以操系统课的给你们的建议是
[00:28:54] 因为你们是第一次做并发编程
[00:28:55] 在可以的时候
[00:28:57] 你就只需要一把锁就可以了
[00:28:59] 那么在你只有一把锁的时候
[00:29:02] 事情就简单了
[00:29:03] 但凡可能共享的东西都要上锁
[00:29:06] 而且都是上同一把锁
[00:29:09] 因为你只有一把锁
[00:29:10] 那你就需要把这个锁的上锁的时间要延长
[00:29:14] 延长一点
[00:29:15] 从你要干这件事开始
[00:29:16] 你就得持有这把锁
[00:29:17] 然后直到这件事全部干完
[00:29:19] 再把这这个锁释放掉
[00:29:20] 你们不要笑
[00:29:22] 看起来很蠢
[00:29:23] LINUX内核在最早期可能2000几年的时候
[00:29:27] 从单处理器迁移到多处理器的时候
[00:29:30] 他干的第一件事就引入引入一个东西
[00:29:32] 叫big kernel log
[00:29:34] 叫BKAIR
[00:29:36] 你们看这个名字就知道这叫big
[00:29:38] 是一把大锁
[00:29:39] 只要一把大锁保平安
[00:29:41] 你有这把大锁
[00:29:42] 这个实际系统就是对的
[00:29:44] 它没错
[00:29:45] 它从单处器到多处理器的时候
[00:29:47] 本来这是一个很可怕的事情
[00:29:49] 当单出去的时候
[00:29:50] 我关中断就行了
[00:29:51] 就全对
[00:29:51] 我想要我想要保护一个
[00:29:53] SAM加加我关了中断
[00:29:55] SAM加加开中断就完了
[00:29:56] 但是到两个CPU的时候
[00:29:59] 这个事情不work了
[00:30:01] 他必须要一个更好的机制
[00:30:03] 但是他又不敢一下子就写几万行代码
[00:30:07] 把锁就拆拆
[00:30:08] 像每个链表节点都拆开了
[00:30:10] 那那个如果他那样做
[00:30:12] 引入了很多bug以后
[00:30:13] 那个整个内核
[00:30:14] 内核都可能在很长的时间里都没有办法运行
[00:30:17] 都得都得修bug
[00:30:18] 所以他是从一把大锁开始
[00:30:19] 慢慢往往小里拆
[00:30:21] 先找那些对性能影响非常关键的
[00:30:24] 把那个大锁拆成几把小锁
[00:30:27] 然后要做好充足的啊压力测试
[00:30:29] 这句话来自
[00:30:30] 克努特
[00:30:31] 就是那个计算机程序设计
[00:30:33] 艺术的那个那个作者
[00:30:35] 里面里面有一句话叫
[00:30:36] premature optization is the rooftoball e流
[00:30:38] 你你们写程序的时候有可能有一种倾向诶
[00:30:42] 我这里这样写唉
[00:30:44] 我这里写X乘以二
[00:30:46] X等于X乘以二
[00:30:47] 是不是编译器会会会把它
[00:30:50] 又把它编译成一条乘法指令
[00:30:52] 所以我要把它变成一个左移两位呢
[00:30:54] 千万不要干这样的事
[00:30:55] 编译器比你想象的聪明
[00:30:57] 你在绝大部分时候你你脑子你脑子一热
[00:31:01] 做出的优化
[00:31:02] 你的优化不在那个关键的性能瓶颈上
[00:31:04] 所以你你看起来做的优化
[00:31:06] 其实可能未必没有做优化
[00:31:07] 而且还给你理解代码造
[00:31:09] 造成了麻烦
[00:31:10] 把你的代码想要做什么先准确的表达出来
[00:31:13] 比如说你现在就是想要stop the world
[00:31:16] 这是你想要的
[00:31:17] 你先表达出来
[00:31:18] 然后再慢慢优化
[00:31:19] 那个导致瓶颈的路径才是正确的途径
[00:31:23] 好这个是呃一个警告
[00:31:26] 当然这个警告我说多少遍都是没有用的
[00:31:28] 等到你们呃你们的那个my malloc
[00:31:31] 我我我后面这个星期的lab
[00:31:33] 是要你们做一个线程安全的
[00:31:36] 内存分配MALLOC和free
[00:31:38] 那好办一把大锁
[00:31:40] 然后你easy test就过了
[00:31:41] 完全正确
[00:31:42] 然后当你发现你需要把性能提上来
[00:31:45] 过hard test的时候
[00:31:47] 一旦你的锁拆开了
[00:31:48] 然后你发现你的easy test也过不去了
[00:31:51] 因为你听你在压力下非常大的压力下
[00:31:54] 你就可能会有各种各样奇怪的并发bug
[00:31:56] 就像SAM你那个SAM就好比是这个SAM
[00:31:59] 你有好几个地方要要管理所
[00:32:03] 但你并且是有数据结构
[00:32:04] 然后你你不太把它容易把它做对
[00:32:06] 并且我还要求你sum加完了以后
[00:32:08] 必须是那个对的值
[00:32:09] 你只要有一点点小错
[00:32:11] 因为我是在一个非常压力的呃负载下测试的
[00:32:14] 你们你们就有可能会会有各种各样的问题
[00:32:16] Yes
[00:32:17] 好同学们到这个时候
[00:32:21] 呃首先已经学会了应该怎么做做互斥
[00:32:25] 第二个也有一些概念
[00:32:26] 通常会有一个产生一个疑问
[00:32:28] lock和unlock和并发和并行的动机是冲突的
[00:32:34] 你想我们有多个处理器
[00:32:37] 64个
[00:32:37] 128个处理器
[00:32:38] 然后有128个处理器
[00:32:39] 我们可以同时执行程序
[00:32:42] 但是一旦你上了锁以后
[00:32:44] 它不就不能并行了吗
[00:32:46] 他就你看退回到退回到串行的
[00:32:50] 按照123的顺序来执行
[00:32:51] 而且因为有多个处理器之间
[00:32:55] 甚至比你在一个处理器上执行还要慢
[00:32:58] 所以都不并发了
[00:33:00] 我们为什么还要县城
[00:33:02] 这里有两个很有意思的呃理论结论
[00:33:05] 一个很有名
[00:33:06] 第一个第一个名气更大
[00:33:08] 第一个名气更大
[00:33:09] 叫AMD law
[00:33:11] 他说的是
[00:33:11] 如果你有一个程序
[00:33:13] 如果你有一个程序
[00:33:14] 然后这个程序里面有1/2的
[00:33:17] 1/2的方法是不能的
[00:33:19] 代码是不能并行的
[00:33:21] 比如说你要先算一个呃素数表
[00:33:23] 然后这个素数表是不能并行的
[00:33:25] 你要花一秒
[00:33:25] 然后后面后面你有有一大堆可以并行的
[00:33:29] 可以并行的代码
[00:33:31] 甚至你你你可以并行的非常好
[00:33:33] 你可以几乎完美的并行这段代码
[00:33:36] 那么无论你的这里的并行度有多高
[00:33:39] 哪怕这个可并行的部分的时消耗的时间是零
[00:33:43] 假设这里面也是一秒可并行的部分
[00:33:45] 是一秒不可并行的
[00:33:46] 按顺序执行的时候
[00:33:47] 有50%是不可并行的
[00:33:49] 50%是可并行的
[00:33:50] 那你哪怕有1万个CPU
[00:33:52] 在1万个CPU上跑完美的并行
[00:33:54] 这个部分你都只能加速一倍
[00:33:57] 因为这个有一秒钟的串行的部分
[00:34:00] 有剩下一秒钟是B型的部分
[00:34:03] 这是对的
[00:34:03] 就这个首先首先这个分析是对的
[00:34:06] 但是实际不完全是这样的
[00:34:09] 我们还有另外一个good sapence law
[00:34:12] 它是一个更细致的版本
[00:34:14] 他是说如果你的不能并行的部分是非常少的
[00:34:20] 如果是零
[00:34:21] 并且你可并行的部分是非常非常可并行的
[00:34:25] 那么这就他他告诉你
[00:34:27] 这个这个结论的证明还挺有意思的
[00:34:29] 需要呃你们可以跟AI对话一下
[00:34:32] 如果有兴趣的话
[00:34:33] 那么你你基本上基本上你在有多少个处理器
[00:34:38] 你就可以得到多少倍的加速比
[00:34:40] 所以这个乐观的结论其实对我们来说呃更有用
[00:34:44] 这这个乐观结论我们应该怎么解读呢
[00:34:47] 如果你要算一个很大的很大的东西
[00:34:51] 能够并行的部分是绝大多数
[00:34:54] 你只需要有很少的很少的地方用lock和unlock
[00:35:00] 剩下的都是可以并行的代码
[00:35:02] 我们怎么理解这一点呢
[00:35:04] 我们的物理世界是有局部性的
[00:35:06] 我们一直说
[00:35:08] 我们一直说我们把自己想象成是线程
[00:35:12] 把物理空间想象成是呃shared memory
[00:35:15] 那我们每一个人都只占据自己的物理空间
[00:35:21] 然后如果我们要想要访问别的物理空间的话
[00:35:25] 那我们只能访问相邻的物理空间
[00:35:26] 我不能瞬间去访问太阳系任何一个地方的空间
[00:35:30] 不然我们就不需要发射火箭去探索月球了
[00:35:32] 我直接伸手把把月球上的月壤拉过来就可以了
[00:35:36] 这件事情我们做不到
[00:35:37] 我们的物理世界是有额是有局部性的
[00:35:42] 那么这意味着什么呢
[00:35:44] 如果比如说如果我们要模拟一个物理系统
[00:35:47] 打个比方
[00:35:48] 实际上比如说你们做看到的
[00:35:49] 今天做天气预报或者做神经网络
[00:35:51] 或者做做各种各样的东西
[00:35:53] 都是这样的
[00:35:53] 他做的第一件事就是把一个很大的网格
[00:35:57] 物理世界要模拟切切
[00:36:00] 然后切了以后
[00:36:02] 这里面不就是一块一块的计算吗
[00:36:05] 计算任务
[00:36:06] 然后这一块一块的计算任务
[00:36:07] 会用到他自己的数据
[00:36:09] 这块一块的计算
[00:36:10] 用任务也可能会用到它边界上的数据
[00:36:12] 那边界上的数据是需要可能要和别人交互的
[00:36:17] 但是绝大部分都是都是自己的
[00:36:20] 所以这里的计算量
[00:36:23] 这一块里面的计算量是远远要大于
[00:36:25] 它需要和别人交互的
[00:36:27] 那个需要上锁的那部分的计算量
[00:36:29] 也就是说我我对于一个
[00:36:31] 比如说我要模拟你一个真实的物理世界里
[00:36:34] 物理世界某一个过程
[00:36:36] 那么我可以把这个任务切分成好多好多块
[00:36:40] 比较均匀的部分
[00:36:41] 然后绝大部分的计算都是独立完成的
[00:36:44] 而独立完成就意味着我独写的这个内存
[00:36:47] 别人不会读不会写
[00:36:48] 别人不会读不会写
[00:36:49] 就意味着我这是完全可以变形
[00:36:51] 我不需要上一把锁
[00:36:52] 而这样的例子其实不只是
[00:36:55] 在物理世界模拟有
[00:36:57] 比如说我们的图书馆
[00:36:59] 一本一本的书
[00:36:59] 它天生就是一个
[00:37:01] 天生就是独立的
[00:37:03] 每个同学可以去拿一本书来读
[00:37:05] 那拿书的时候
[00:37:06] 你们会共享那个书架
[00:37:09] 你我必须要上好锁
[00:37:10] 我需要一个数据结构来维护那个书架
[00:37:13] 你们两两个同学看到那本漫画书
[00:37:16] 就想去抢的时候
[00:37:17] 在同一时间你想萨执行SAM加加的时候
[00:37:20] 相当于你同时想要从图书馆那个数据结构里面
[00:37:23] pop一个一个东西出来的时候
[00:37:25] 你必须要上锁
[00:37:26] 这个过程是需要上锁的
[00:37:28] 但是一旦的书拿到我手上以后
[00:37:30] 剩下这个书就变成我的private memory了
[00:37:32] 没有人能访问他了
[00:37:34] 虽然他还在这个地址空间里
[00:37:36] 但是世界上就只有我现在能访问它
[00:37:39] 我就不需要再上那把锁了
[00:37:40] 我就可以看书
[00:37:41] 所以所以看书的过程是呃可以可以并行的
[00:37:46] 呃而且不需要上锁的
[00:37:47] 以及呃推推进到推广
[00:37:51] 比如说你要索引整个互联网上所有的页面
[00:37:53] 要训练呃深度神经网络
[00:37:56] 我们的大脑也是并行的
[00:37:57] 神经网络的训练也是并行的
[00:37:59] 然后复杂的问题的搜索
[00:38:01] 像如果你要下棋
[00:38:02] 下围棋的那种搜索
[00:38:04] 一层一层搜索
[00:38:04] 我们做过一个forkbs base的DFS
[00:38:07] 每次每次都fork一个
[00:38:09] 在DFS要创建几个分支的时候
[00:38:12] 我为每一个分支都创建一个进程
[00:38:14] 那很快搜索不用几层
[00:38:16] 可能几层以后我就可以有几万个进程
[00:38:20] 可以同时向前执行了
[00:38:22] 那他们这个时候又是可以可以并行的
[00:38:24] 同样的我也可以用现成的模型来啊建模这一点
[00:38:27] 所以呃这是不矛盾的
[00:38:30] 我们在做并发控制的时候
[00:38:32] 我们控制的只是那些关键的数据结构
[00:38:34] 我们可以在那个关键的数据结构里面放一些
[00:38:38] 需要执行很长时间的任务
[00:38:40] 然后这个任务本身是不需要上锁的
[00:38:43] 那么我依然可以用多个线程来实现很高的
[00:38:47] 变形度
[00:38:48] 所以这是大家可能产生的一个疑问
[00:38:50] 虽然我们确实在并发控制时候退回到了呃串行
[00:38:53] 但是程序里面实际的并发和并行程序里面
[00:38:57] 真正需要串行的部分是非常非常少的
[00:39:00] OK好
[00:39:02] 这就是互斥的概念和使用
[00:39:06] 那我们来下面就来看一看在计算机的历史上
[00:39:10] 我们的这个lock和unlock
[00:39:12] the qu和release到底是怎么实现的
[00:39:14] 这个图上次给大家呃看过一次
[00:39:17] 早在1965年的时候
[00:39:19] 我们有了第一个第一个正确的
[00:39:23] 或者说publicly公开的正确的算法
[00:39:26] 他说呃一个process p
[00:39:29] 那个时候还你看他还用的还不是线程
[00:39:31] 它还是进程
[00:39:32] 就像我今天说的是操作系统
[00:39:34] 你每一个进程在操作系统里面
[00:39:37] 都有一份共享内存的线程在执行
[00:39:40] 那是它这是process的一部分
[00:39:42] 那个时候thread还没有在操作系统里面出现
[00:39:45] 一个进程
[00:39:45] 能够enter critical section
[00:39:48] If the other does not want to enter
[00:39:49] 别人不想进
[00:39:50] 否则it may enter only
[00:39:54] If it is its turn
[00:39:55] 听不懂绕口令是确实是
[00:39:59] 绕口令
[00:40:00] 我这里有一个链接
[00:40:02] 链接链接详细的解释了
[00:40:06] 这个算法是怎么怎么工作的
[00:40:13] 然后开幕雷击
[00:40:14] 你开幕就看到一个这样的这样的图
[00:40:17] 是它整个这个协议的所有可能的状态
[00:40:21] 当然这里
[00:40:22] 这里解释了DECKER的算法是怎么怎么工作的
[00:40:28] 有一段看起来很奇怪的代码
[00:40:30] 一般操作系统书上呃都会讲
[00:40:33] 在这里这里有一个呃状态空间
[00:40:35] 那我我不打算我我不打算讲讲这个
[00:40:38] 因为人类花了很长的时间在脑力
[00:40:43] 在头脑风暴当中想到各种各样奇妙的哈
[00:40:47] 呃奇妙的算法
[00:40:48] 直到1981年的时候
[00:40:49] 我们才有了一个
[00:40:50] 可能大家真的觉得比较满意的呃算法
[00:40:53] 虽然它还是绕口令
[00:40:55] 他说一个process p can enter the critical section
[00:40:59] If the other is not
[00:41:00] 如果别人不想进
[00:41:01] 或者it has indicated desire
[00:41:04] 他他声称自己想尽
[00:41:06] And has given the other process the turn
[00:41:10] 完全不知道他在说什么
[00:41:12] 哪怕你看到那一小段非常短的代码
[00:41:15] 我这边有有有这段代码
[00:41:17] 这个代码实现和所有经典的教科书上都是
[00:41:21] 都是一样的
[00:41:23] 忽略忽略这个右边的berry哈
[00:41:25] A等于一
[00:41:26] 但如果是A这个这个它term是进程A等于一
[00:41:31] turn等于B然后它就会会不断的等待
[00:41:36] 如果not b就break就可以进
[00:41:38] 如果tan不等于B也可以进
[00:41:41] 然后他就可以进入这个critical section
[00:41:42] 然后如果要出去的时候
[00:41:44] 就就A等于零
[00:41:46] 有点有点费解
[00:41:48] 有点费解
[00:41:50] 没问题
[00:41:51] 我们给大家今天给大家讲解一下
[00:41:55] 让大家看看那个时代的人
[00:41:56] 是在是在怎么怎么解决并发问题的
[00:41:59] 你们熟悉的仙林校区的宿舍的卫生间
[00:42:02] 应该还是长这样的吧
[00:42:04] PETERSON算法
[00:42:05] 他做了一个协议
[00:42:07] 我现在需要两个同学来做我的帮手
[00:42:10] 我需要一个需要一位ALICE
[00:42:12] 需要一位bob
[00:42:13] 爱丽丝拿着bob的名字
[00:42:15] bob拿着ALICE的名字
[00:42:17] 这个操作暂时不知道是为什么
[00:42:20] 那我们可以先呃先看一下
[00:42:22] 如果你想要进入这个房间的话
[00:42:24] 呃你的协议是什么
[00:42:25] 所以我们请ALICE首先要举起自己的手
[00:42:29] 如果他想要只有一个人的时候
[00:42:30] 想要进入房间时候
[00:42:31] 举起他的手
[00:42:32] 然后再不管任何事情的前提下
[00:42:36] 把呃手上的那个名字贴贴到门上好
[00:42:41] 这个时候呃门上有一个名字
[00:42:44] 手也举起来了
[00:42:45] 那他对整个世界的状态的修改就已经完成了
[00:42:48] 这个时候他就要开始观察这个世界的状态
[00:42:50] 所以他会先看对方鲍勃有没有举起他的手
[00:42:53] 然后如果鲍勃没有举起手
[00:42:55] 他就可以直接进入房间了
[00:42:56] 然后如果这个bob举着手的话
[00:43:00] 他就要额外的去看呃门上的字
[00:43:02] 如果字是呃自己的话
[00:43:04] 他还是可以进去好
[00:43:05] 那么现在他要出去的话
[00:43:07] 就把手放下来
[00:43:08] 然后那个门上的字就留在那没有关系
[00:43:11] 反正门上字字它出去的时候是什么都不重要
[00:43:14] 然后我们来看比较有趣的情况是好
[00:43:16] 可以把它对比较有趣的情况是
[00:43:19] ALICE和bob同时想要进入的情况
[00:43:22] 那么他们都会举起手
[00:43:25] 两个人都会举起手
[00:43:26] 然后两个人都会举起手的时候
[00:43:28] 这个时候他们会进入下一步操作
[00:43:32] 是把自己手上的名字贴到厕所的门上
[00:43:36] 测到房间的门上
[00:43:37] 好好这次后贴的
[00:43:41] 后贴的人会把先贴的人的名字给覆盖掉好
[00:43:44] 这个时候他们会互相观察
[00:43:48] 如果观察到对方的手是举起来的
[00:43:51] 那么这时候对双方的手都是举起来的
[00:43:54] 观察门上的字
[00:43:56] 观察门上的字
[00:43:57] 然后门上的字
[00:43:58] 如果是如果是自己就可以进入
[00:44:02] 所以这次爱丽丝可以进入
[00:44:03] 然后爱丽丝进入了之后
[00:44:05] 这个他把手放下
[00:44:07] 那bob看到爱丽丝的手放下以后
[00:44:09] bob也可以进入
[00:44:09] 然后他会把手放下
[00:44:10] 这样就完成了这个协议
[00:44:12] 好谢谢
[00:44:14] 有一点费解
[00:44:16] 有一点费解
[00:44:17] 为什么不是把自己的名字贴在厕所上
[00:44:21] 厕所门上
[00:44:21] 而是要把对方的名字呃贴在呃厕所上
[00:44:25] 这是一个这是一个很神奇的协议
[00:44:27] 它有一个有一个直观的解释
[00:44:30] 就是如果只有一个人举手
[00:44:31] 那他就可以直接进
[00:44:33] 但如果两个人举手的时候
[00:44:35] 就要由门上的标签来决定
[00:44:37] 这是一个看似谦让
[00:44:39] 但实际上它会覆盖的一个协议
[00:44:42] 然后这里有很多的细节
[00:44:43] 有非常非常多细节
[00:44:44] 让你你们花一点时间去研究
[00:44:48] 教科书
[00:44:49] 可以把这个呃协议看懂
[00:44:50] 你会觉得这是个非常有趣的有趣的协
[00:44:53] 而是一个非常设计的非常好的呃好的协议
[00:44:56] 但是我们在课上不想呃用这种方式来呃来理解
[00:45:02] 因为那当然讲直觉肯定是很重要的
[00:45:04] 这是一个有趣的算法
[00:45:05] 但这不是算法课
[00:45:06] 这是操作系统课
[00:45:07] 操作系统课想要做的是
[00:45:09] 用一个正确的机制
[00:45:11] 去直接解决这样的这样的问题
[00:45:14] 所以我在最早的时候
[00:45:16] 我从第一年开始上操系统课的时候
[00:45:18] 我就会人肉来模拟整个pc on算法的呃过程
[00:45:23] 所以我我整个如果你把整个人包括举手的状态
[00:45:27] 包括那个门上的字
[00:45:29] 包括他的现在进行到哪一步
[00:45:31] 可以写成是一个状态的话
[00:45:33] 那就是XY
[00:45:34] 它有一个XY和turn
[00:45:36] turn是门上的字
[00:45:37] 然后有一个PC1PC2好
[00:45:40] 那么初始的时候PC1等于零
[00:45:42] PC1等于零
[00:45:43] PC2也等于零
[00:45:45] 那我比如说啊如果我ALICE要走一步
[00:45:48] ALICE要走一步
[00:45:49] 那我就会变成X等于他会首先举起自己的手
[00:45:53] 所以是变成一
[00:45:55] 比如说零零
[00:45:57] 或者是button吧
[00:45:58] 没有空
[00:45:59] 然后零呃一零
[00:46:02] 然后如果是bob的话
[00:46:03] 他就会把自己的手举起来
[00:46:05] 会变成零一
[00:46:06] bottom01等等
[00:46:09] 然后我这样就要讲20分钟
[00:46:11] 我我会一边讲一边讲这个算法背后的呃直觉
[00:46:16] 但是后来呃我们很快就想通了一件事儿
[00:46:19] 既然我可以在黑板上模拟这个程序
[00:46:23] 刚才我们是是一个协议
[00:46:24] 我们在物理空间中可以模拟它
[00:46:26] 同学们能够听懂我的指令
[00:46:28] 按照这个指令来执行
[00:46:30] 就意味着我可以把它变成一个代码
[00:46:32] 当然本身这就本身就是个代码
[00:46:34] 这个代码我也可以在黑板上执行
[00:46:36] 那如果我可以在黑板上执行
[00:46:37] 我可以也可以在电脑上执行
[00:46:41] 因为我的程电脑是可以执行程序的
[00:46:44] 我完全可以在电脑上把这个状态给表示出来
[00:46:48] 在电脑上把这个状态表示出来以后
[00:46:50] 我可以实现一个解释器
[00:46:52] 说我现在我我这无非是实现一个函数
[00:46:54] FSA就到S撇
[00:46:59] SB等于从当前的状态让ALICE执行一步到s s prime
[00:47:05] 从当前的状态到让bob执行一步到第二个状态
[00:47:09] 诶就是这样的
[00:47:12] 那么我们完全就可以实现一个这样的所谓的
[00:47:17] model check模型检查器
[00:47:18] 我往年一般都会都会讲一讲
[00:47:20] 但嗯我也就不讲了
[00:47:23] 我就直接给大家演示一下
[00:47:24] 我们可以做到什么
[00:47:26] 做到什么
[00:47:27] 我这里有很多的例子
[00:47:29] 很多例子
[00:47:29] 整个操作系统里面的各种各样的概念
[00:47:31] 都可以用模型检查器来来检查
[00:47:34] 然后比如说我这里写了一个呃啊peace的算法
[00:47:38] 大家可以忽略这个cis get
[00:47:40] 这个就代表
[00:47:41] 在这个时候可以切换到另外一个线程
[00:47:43] 执行X先举起来
[00:47:46] 然后把字把手上的字条贴到门上
[00:47:50] 然后开始开始观察
[00:47:51] 这样的一个过程
[00:47:52] 就是一个真正的可以执行的
[00:47:55] Python代码
[00:47:55] 然后我可以在命令行里面
[00:47:58] 我可以直接在命令行里执执行它
[00:48:00] 然后执行它以后就会得到一个状态图
[00:48:05] 状态图
[00:48:05] 你看各种各样的状态图
[00:48:07] 状态里面有有程序的输出
[00:48:10] 有共享内存的状态
[00:48:12] 有有局部变量的状态
[00:48:13] 做的就是这件事
[00:48:14] 就是我在黑板上
[00:48:15] 我可以把从一个状态开始
[00:48:17] ALICE执行一步到哪一哪一步
[00:48:19] 用程序把它执行出来
[00:48:21] 然后我一方面我可以把呃把它真的画出来
[00:48:26] 我往年的时候
[00:48:26] 我甚至都会把这个状态的迁移图给画出来
[00:48:29] 就像我以前在上课的时候
[00:48:30] 要证明PC的算法是正确的一样
[00:48:32] 我刚才那份代码我有一个小细节没有讲
[00:48:34] 谁在谁进入了临界区
[00:48:36] 我会把它以字符串的形式给给标记出来
[00:48:39] 所以你看到现在要么一在critical session里
[00:48:42] 要么二在critical section里
[00:48:44] 没有他们同时进去的
[00:48:46] 至少没有他们同时进去的情况好
[00:48:48] 那我们可以把这个算法稍微小改一下
[00:48:52] 比如说你们肯定会好奇
[00:48:55] 如果我们不是先不是先举旗字再贴名字
[00:49:03] 这还对不对诶
[00:49:05] 我后面我期期中考试
[00:49:07] 就期末考试就出这种题哈
[00:49:09] 我我你看我P的算法有多少种变体
[00:49:11] 这个就他就错了
[00:49:12] 为什么错了
[00:49:13] 你们需要花很长的时间才能想清楚它
[00:49:16] 他为什么错了
[00:49:18] 先贴标签再举旗
[00:49:19] 不对一秒钟我就知道了
[00:49:21] 如果放下旗子之后
[00:49:23] 把门上的字条撕掉
[00:49:25] 还对不对
[00:49:27] 观察举旗和名字的顺序交换还对不对
[00:49:30] 是不是会存在一种两个人都没有办法进入
[00:49:34] Critical section
[00:49:35] 或者是对某一方不公平的行为
[00:49:38] 我们可以问很多这样的问题
