[00:00:00] 啊今天我们来讲一讲大家很熟悉的
[00:25:59] 所以他被迫的把它编编码成了一个escape code
[00:26:03] 所以我可以送escape code给终端
[00:26:07] 也可以从终端收到escape code
[00:26:09] 因为它编码不了了
[00:26:11] 就像我说阿斯克码里面没有编码
[00:26:14] 这个颜色是什么
[00:26:15] 那我就需要用escape code告诉他
[00:26:18] 这个呃颜色是什么什么什么什么
[00:26:21] 然后然后同样的
[00:26:22] 如果呃我按了一个键
[00:26:24] 这个键是阿斯科码里没有的
[00:26:25] 他也会编码成这个键对应的escape code给我
[00:26:28] 比如上下左右
[00:26:29] 你看正好是41424443
[00:26:33] K对
[00:26:35] 所以这样你就完全清楚地知道了
[00:26:40] 知道了终端的终端和
[00:26:44] 操作系统之间的关系
[00:26:46] 它就是一个非常傻的东西
[00:26:47] 就像打字机一样
[00:26:49] 甚至有意思的是
[00:26:51] 我在这儿
[00:26:52] 你看我CTRL加C已经退出不了了
[00:26:53] 我CTRL加Z也退出不了了
[00:26:56] 幸好我我在写代码的时候留了一个留了留了一个backdoor
[00:27:01] 是我按Q可以退出
[00:27:02] 如果我把这行代码注释掉
[00:27:04] 那你就真的退出不了了
[00:27:05] 你就没有办法再就这个程序
[00:27:07] 如果我不做这个press cute to exit的话
[00:27:11] 我所有的你看你你CTRL加反斜杠
[00:27:14] CTRL加Z
[00:27:15] CTRL加C
[00:27:15] 他都接受不了
[00:27:17] 你只能我再开一个终端去把这个进程给KO掉
[00:27:20] 我才能把它退出
[00:27:21] 当然我留了一个一个Q诶
[00:27:24] 所以一会我会回到CTRL加C的
[00:27:26] 问题上
[00:27:27] 这这这个很有意思
[00:27:28] 也就是说终端这就是终端
[00:27:30] 就是终端
[00:27:31] 当然因为我的操作系统
[00:27:33] 理论上说在收到这些案件以后
[00:27:35] 我可以模拟出一些额外的行为
[00:27:38] 所以就实现了CONJC
[00:27:39] 我今天会
[00:27:41] 一会儿会说
[00:27:41] 那我再还要再讲一点
[00:27:44] 关于关于终端的
[00:27:46] 呃有趣的有有趣的地方
[00:27:49] 那VT100是一个真正的终端
[00:27:51] 它它就是我刚才说的那种
[00:27:53] 你可以你可以向他写字符
[00:27:55] 写escape code
[00:27:56] 你也可以从他那读字符读到e escape code
[00:27:59] 但是在我们现在的计算机系统里面
[00:28:01] 我现我终端想要多少就有多少
[00:28:04] 你看我我每我每摁一下
[00:28:07] 它就会有一个终端
[00:28:08] 然后这每一个终端都是不一样的
[00:28:15] 每一个终端都是不一样
[00:28:16] 它有都有杠DV杠杠PTS
[00:28:19] 也就是说我们现在的操作系统有一个非常有趣的能力
[00:28:23] 它可以无限制的分配
[00:28:25] 像VT100那样的虚拟终端
[00:28:28] 你要一个你问操作系统要一个
[00:28:29] 他就给你变一个出来
[00:28:30] 要一个就可以变一个出来
[00:28:32] 然后等到结束的时候
[00:28:33] 他又可以把这个终端给给给销毁掉
[00:28:35] 下一个人还可以再重复用这个
[00:28:37] 用这个名字
[00:28:38] 这就叫修do terminal
[00:28:39] 想要多少就有多少
[00:28:41] 这叫伪终端
[00:28:42] 或者是说是模拟出来的
[00:28:45] 模模拟出来的终端
[00:28:46] 我在这个这个demo里面也直接web code了一个非常有意思的呃程序
[00:28:51] 你们认为过tmux吗
[00:28:54] tmux tmux里面我可以通过在tmux里面可以分屏
[00:28:58] 可以分屏
[00:28:59] 可以分出多个多个终端来
[00:29:03] 每一个终端都是不一样的
[00:29:06] 我我再我再分屏
[00:29:07] 我可以在456
[00:29:09] 这些每每一个终端都是不一样的
[00:29:13] 你们有没有好奇过
[00:29:14] 如果让你们实现一个TM你们能能做到吗
[00:29:17] 然后我就直接web code了一个
[00:29:20] 叫mini t t y
[00:29:24] 哎这不就是TMX吗
[00:29:26] 我故意让它在我当前的终端里面再创建一个低维PTS下的这个
[00:29:35] 你我可以在这里执行执行TTY
[00:29:37] OK我先把他退出去
[00:29:40] 你看我外面的这个终端是杠D为PTS的三
[00:29:43] 但是如果我运行它
[00:29:47] 我再看TTY
[00:29:48] 他就会认为自己是TTY的四
[00:29:50] 所以我创建了一个相当于我在问操作系统要了一个新的VT100
[00:29:54] 然后我把这个VT100的呃大小配置成就只有这么大
[00:29:58] 比我的屏幕还要小一点
[00:30:00] 然后并且我把它画出来
[00:30:01] 然后然后这里你我可以干任何任何事
[00:30:04] 都是都是都是正正常
[00:30:06] 那这是怎么办到的呢
[00:30:07] 对吧你你们可以在AI的帮助下
[00:30:10] 直接读我的读过的代码
[00:30:14] 我甚至没有我甚至没有没有没有检查它
[00:30:17] 我因为我我测试过它功能
[00:30:18] OK以后啊就可以
[00:30:21] 我们想要实现的功能
[00:30:22] 刚才那个mini t t y的功能是在中间放一个窗口
[00:30:26] 然后有一个呃PTY的设备在那里面
[00:30:30] 然后我在外我外面的程序可以收到这些这这个terminal里面的呃输出
[00:30:35] 并且我可以把输入推到推到这个这个terminal里面
[00:30:39] 因为我刚才那个应用程序是运行在呃PTI
[00:30:44] PTY3上面的
[00:30:45] 然后我希望把这个三的这个输入要转发到PTY4里面
[00:30:49] 然后把PI4里面的输入输出再拿出来
[00:30:51] 然后再再放到我的pd i3里面
[00:30:54] 那这里面其实涉及到了一系列的操作系统的API
[00:30:57] 我我最终我还是在讲
[00:30:59] 在讲操作系统课
[00:31:00] 这是因为我们的操作系统里面
[00:31:03] 有一个设特殊的设备叫杠D为杠PTMX
[00:31:08] 所以我我我上次课讲说UNIX事件里面
[00:31:11] Everything is a fire
[00:31:12] 所有东西都是都呃都是fire
[00:31:15] 那我们的终端也是一个fire
[00:31:17] 你要创建一个终端
[00:31:19] 怎么创建呢
[00:31:20] 你也是创建一个新文件
[00:31:21] 但是你不能直接像创建文本文件一样去创建这个文件
[00:31:25] 所以你就需要像这个杠D为PTMX这个特殊的文件里面去请求请求
[00:31:32] 操作系统说你能不能给我分配一个新的终端
[00:31:34] 好诶
[00:31:35] 这里就有了
[00:31:36] 他告诉你了
[00:31:36] 我们是怎么分配PTY的呢
[00:31:38] 在呃p t y master open上
[00:31:40] 我们首先要打开一个叫p t y master的设备
[00:31:44] 他用的是open
[00:31:45] DEV
[00:31:47] P t m x
[00:31:48] 然后你你你有一个叫你再用一个叫grant p t的呃操作
[00:31:53] 然后再unlock pt t
[00:31:54] 最后得到这个路径和文件描述符等等
[00:31:57] 然后一旦你有一个这个呃PTY
[00:32:01] 你持有你作为master持有这个PTY以后
[00:32:03] 你就可以去去读写里面的里里面的数据了
[00:32:06] 当然那还是一个完整的
[00:32:08] 就是它就是一个完整的终端终端设备
[00:32:10] 我可以在上面做
[00:32:12] 做任何事情
[00:32:14] 这里面其实还有很多的细节
[00:32:15] 你们可以啊慢慢一点一点
[00:32:18] 和和AI去去去交流
[00:32:20] 然后就是因为我们可以随便的
[00:32:23] 你看我刚才刚才做了一个终端中的终端
[00:32:26] 终端中的终端
[00:32:28] 就是因为我可以随便的申请一个
[00:32:30] 实际上它它背后有一个TTY行吧
[00:32:33] so do terminal
[00:32:35] 我就可以干很多
[00:32:36] 有趣的事
[00:32:36] 比如说有个命令行工具叫TTYRC
[00:32:39] 你们用过这个工具吗
[00:32:40] 比如说嗯比如说我现在想要
[00:32:46] 嗯好我我现在就就开始开始录制
[00:32:54] 我t t i rec
[00:32:55] 然后我直接开一个cloud
[00:32:56] 然后我可以问他
[00:32:58] 比如说我可以说hi
[00:32:59] 然后他他可能会给我
[00:33:01] 很快给我一个结果
[00:33:02] 可能可能也没有
[00:33:03] 这不重要
[00:33:05] 好在我运行这个t t y rec以后
[00:33:10] 好像没有发生任何事
[00:33:12] 但是他已经帮我偷梁换柱了
[00:33:15] 他已经偷偷创建了一个新的sudo terminal这样的东西
[00:33:20] 然后他他把这个
[00:33:22] 是他把我可以把数据像像刚才那样模拟模拟的这个terminal一样
[00:33:29] 把把它把我所有终端的输入和输出都劫持了
[00:33:34] 然后劫持以后我就可以可以做这个t t vary
[00:33:38] play
[00:33:41] G t y play
[00:33:43] 然后你看到这是刚才他呃显示的消息
[00:33:48] 然后我做的每一个操作
[00:33:50] 他只要把时间戳记下来
[00:33:52] 就我现在没有动
[00:33:53] 我的手是手是没有动的
[00:33:55] 每一个字符
[00:33:56] 因为刚才我们说终端是一个非常简单的设备
[00:34:00] 它和终端
[00:34:01] 终端和操作系统之间的接口就是我可以放可以送字符进去
[00:34:07] 送字符出来
[00:34:08] 所以我只需要知道它
[00:34:09] 比如说出来字符的每一个字符的时间戳是什么
[00:34:13] 我就可以完整的恢复一次终端的呃这个命题
[00:34:18] 所以你们会看到在网上有很多
[00:34:20] 有很多工具它可以把把这个终端的trace
[00:34:23] 甚至是渲染成一个呃HTML上面的一个一个小的SVG
[00:34:27] 然后你你你在那个网
[00:34:29] 你可以直接嵌入到你的网页上
[00:34:30] 然后你点那个网页
[00:34:32] 点那个网页上就可以看到在终端里面整个呃发生的事情
[00:34:36] 所以我觉得这样就是因为我们的人类
[00:34:38] 呃从
[00:34:39] 从那个钢琴开始
[00:34:41] 它构建了很多有趣的基础设施
[00:34:43] 然后这些基础设施一点演一点演化
[00:34:45] 1.1点演化
[00:34:46] 我觉得最终这个设施就是一个替代老师
[00:34:49] 就是把我干掉了
[00:34:50] 一个非常好的基础设施
[00:34:52] 因为我可以让AI帮我去生成呃演示的脚本
[00:34:55] 然后生成去想好这个演示的一个剧本
[00:34:58] 然后演示剧本以后
[00:34:59] 它它就可以在真实的环境里面去执行它
[00:35:01] 执行它以后
[00:35:02] 你们就会看到一个真正的呃程序是怎么运行的
[00:35:05] 并且一边运行AI老师就一边在讲解
[00:35:08] 然后然后然后最最终你看到的是一个这样的
[00:35:11] 就他记下来的是一个这样t t y record的呃格式的文件
[00:35:15] 你看到里面的字符
[00:35:16] 比如说你们HII应该是有的
[00:35:18] 对你看接下来的这个high是有的
[00:35:20] 然后color code的的各种它打印出来的东西也也都是在
[00:35:25] 也都是在这个日志的文件里的
[00:35:29] 把它们加起来就就会有呃非常不一样的呃效果对好
[00:35:36] 然后如果啊如果呃我们不满足于一个能够打印字符的终端
[00:35:45] 你看我我我的我的终端模拟器是可以显示图片的
[00:35:50] 这可是货真价实的彩色图片
[00:35:53] 为什么一个终端模拟器可以显示彩色图片呢
[00:35:58] 这也是一个我觉得大家会觉得非常自然也合理的呃需求
[00:36:06] 因为大家都想在终端里面显示图片
[00:36:08] 随着集成电路技术的发展
[00:36:11] 它的终端本来是只能显示24×80个字符
[00:36:15] 他要想要做的更先进
[00:36:16] 那我可以做的更大
[00:36:17] 我可以可以48×160的一个大号的四倍大的终端
[00:36:22] 但是你再大再大再大
[00:36:24] 这还是一个字符终端
[00:36:25] 你慢慢的你的人的脖子就不够用了
[00:36:27] 那如果他想要推出更好的产品
[00:36:31] 它的芯片进步了
[00:36:33] 它可以显示更细粒度的图片了
[00:36:36] 诶那我们能不能就真的在这个终端上面也显示图片呢
[00:36:40] 诶很有意思
[00:36:41] 我们就可以在这个呃escape code上面做一个小小的呃扩展
[00:36:52] 然后这个扩展其实在DEC早在VT200的时候就已经做了
[00:36:56] 它有一个叫six cel的呃编码的方式
[00:36:59] 也就是说我可以在
[00:37:02] 我可以在终端上面显示一个高度是六的
[00:37:05] 很有意思
[00:37:08] 一个高度是六的单色的
[00:37:14] 一个块块
[00:37:15] 比如说你有很多这样的六的块块
[00:37:18] 你不就可以拼出一个拼出一个什么样的图形了吗
[00:37:21] 就像这样
[00:37:22] 我就可以拼出一个格子
[00:37:26] 我只要能够打印一个高度16的任意的像素
[00:37:29] 然后我有好多这样的像素块把它拼起来
[00:37:31] 哎那我不就真的能够拼出一个图像吗
[00:37:34] 然后因为呃六
[00:37:37] 二的六次方正好可以被所有可显示的阿斯克字符呃给cover
[00:37:42] 所以他就他就做了一个这样的编码
[00:37:44] 你看问号是全全部全白的
[00:37:47] 然后艾特是一个黑的ABCDEFGHIJK这样诶
[00:37:52] 这样我就可以可以在这个终端上面输出图形了
[00:37:56] 然后来这个标准被扩展了six cel
[00:37:59] 我可以通过加一个调色板
[00:38:01] 我可以改一个调色板
[00:38:02] 然后我改一个调色板
[00:38:03] 然后呃第一块的颜色是什么
[00:38:05] 第二块颜色是什么
[00:38:06] 第三块
[00:38:06] 第四块
[00:38:06] 第五块
[00:38:07] 第六块
[00:38:07] 然后然后这时候有没有的话
[00:38:09] 我就可以选一个这个
[00:38:11] 呃就这就变成了一个mask
[00:38:13] 这就变成一个mask
[00:38:15] 然后今天的终端很多的现代的终端
[00:38:18] 呃我平时用的kitty
[00:38:20] 然后我现在用的foot
[00:38:21] 包括你们更新以后的windows terminal
[00:38:23] 我不记得从哪一个版本开始
[00:38:25] windows terminal也支持在终端中显示XXCEL的呃图像
[00:38:29] 所以理论上说我的这一系列的代码都是可以在在这个
[00:38:34] windows包括windows的环境下面能够呃能够正常运行的
[00:38:38] 我这里也有一个小例子
[00:38:41] 不过不是特别的清楚
[00:38:42] 我就让AI帮我随便随便做一个
[00:38:47] 随便做一个
[00:38:49] 这个我我这个终端是不支持的
[00:38:51] 这个不行
[00:38:51] 我要换一个对
[00:38:54] 你看到在不支持的终端上
[00:38:56] 不支持终端上
[00:38:56] 我就什么也看不见
[00:39:01] 对啊我可以我可以把它丢到A点TXT里
[00:39:04] 然后这A点TX就是涨长这样的
[00:39:06] 我我我也不知道它是它它是什么
[00:39:08] 但是在支持SIXCEL的啊终端里
[00:39:15] 诶
[00:39:17] 你就确实看到了一个非常小块的patch
[00:39:19] 这个这个图像好像不是很正常
[00:39:21] 但他只有一个一个patch
[00:39:22] 但你可以确信的是
[00:39:23] 他确实生成了一些像素像素的呃图像对
[00:39:28] 所以这样的话就随着历史的发展
[00:39:30] 终端就变成了一个无所不能
[00:39:32] 尤其是在今天有UNICODE
[00:39:34] UNICODE帮了我这个编码
[00:39:36] 给我们编码了很多奇形怪状的东西
[00:39:39] 使我们能够画出各种各样有趣的呃图形
[00:39:43] 然后就有了我们今天看到的呃这个终端的世界
[00:39:47] OK这是这是终端
[00:39:49] 大家要记得的是
[00:39:50] 无论你看到的是什么
[00:39:52] 你你是在终端上面CTRL加C
[00:39:54] CTRL加D还是你在终端上面甚至看到的图像
[00:39:57] 它的接口都是这样的
[00:39:59] 一个非常非常原始的接口
[00:40:02] 我可以送一个字字节流
[00:40:04] 而且甚至一个字节一个字节
[00:40:06] 一个字节流送给终端
[00:40:07] 然后这个终端可以把字节流送回给操作系统
[00:40:11] 或者送给给呃应用程序
[00:40:14] 但是这个不是你们平时感受到的终端
[00:40:18] 你们感受到的终端还是长这样的
[00:40:21] 还是长这样的
[00:40:22] 你你你不是
[00:40:23] 就如果你你现在比如说你有一个C程序
[00:40:26] 我我现在在这点杠一点out
[00:40:29] 或者我现在呃比如说啊我有个cat
[00:40:32] cat你知道cat
[00:40:34] 如果我现在在在终端里面就运行这个cat
[00:40:37] 那cat会执行这样的一个呃system call
[00:40:40] 它会大概是re
[00:40:42] 他要从s CD in
[00:40:45] 从s t in里面读一个buffer
[00:40:47] 读一个size
[00:40:50] read刚才我们说的模型是我们的
[00:40:56] terminal和计算机之间它就是纯粹的字符交换
[00:41:01] 一个一个字符的交换
[00:41:02] 那么那这个时候如果我read cat
[00:41:07] 如果read到字符
[00:41:08] 你就会直接把他write出来了
[00:41:12] 这是cat的实现
[00:41:14] 所以那为什么我按AAAAAAA
[00:41:18] 这时候他没有
[00:41:19] 他read还没返回呢
[00:41:21] read没有返回
[00:41:22] 所以我可以我现在可以这样可以s trace开
[00:41:24] 你看我现在这个read还没有返回
[00:41:27] 然后这是我A哎
[00:41:29] 我错了
[00:41:29] 我可以把它退格退掉
[00:41:31] 再再打我BBBBB
[00:41:33] 然后只有当我按下回车键的时候
[00:41:35] 这个read才会返回
[00:41:36] 才能读到数据
[00:41:37] 这不就和我的这个模型矛盾了吗
[00:41:40] 对吧矛盾吗不矛盾
[00:41:43] 因为呃你的终端实际上是会把字符送给操作系统
[00:41:50] 而不是送给这个直接送给应用程序
[00:41:53] 虽然我刚才那个刚才那个演示例程序的时候
[00:41:55] 我可以选择直接
[00:41:56] 如果我现在有个中单
[00:41:57] 我可以直接从里面读到字符不
[00:42:00] 请操作系统不要帮我处理
[00:42:02] 像刚才那样
[00:42:03] 呃那么除此之外
[00:42:07] 操作系统会给你提供一个行编辑的模式
[00:42:10] 终端模拟器
[00:42:11] 所以你看到的我们现在的foot
[00:42:13] 你们可能用的比如说kitty item
[00:42:15] 这样的所谓的终端模拟器都叫terminal emulator
[00:42:18] 它模拟了一个呃一个终端设备
[00:42:21] 它的功能
[00:42:24] 和操作系统在一起
[00:42:26] 完成你看到的这种带编辑的canonic ical mode
[00:42:31] 这叫这个叫canon canonio mode
[00:42:34] 那我们就来走一下这个
[00:42:36] 这个流程带大家看一下你们所不知道的
[00:42:41] 终端到底发生了什么
[00:42:43] 首先终端是人机交互的第一个设备
[00:42:46] 他也就你看从1970年代的时候
[00:42:48] 从VT100的时代
[00:42:49] 他就是那个最重要的和人打交道的IO设备
[00:42:53] 最重要的设备
[00:42:54] 你那个设备坏了
[00:42:54] 你就别想用电脑了
[00:42:56] 呃所以一直以来这个设备也是在系统期启动的时候就必须要照看好的
[00:43:03] 所以在操作系统启动的时候
[00:43:04] 最早的时候我们说former2开始运行固件在运行
[00:43:07] 然后运行由操作系统代码开始运行
[00:43:09] 等到操作系统代码完成了一定的初始化以后
[00:43:13] 它就会把终端的设备扫描好
[00:43:15] 初始化好
[00:43:16] 然后初始化好以后
[00:43:18] 这个INIT进程会调用一个叫这个GETTY
[00:43:24] 他说叫哦呃他说这个这个程序它opens a t t y port
[00:43:29] 它打开一个terminal
[00:43:31] 然后prompt for a logging name and invokes the login command
[00:43:35] 它会打开一个终端
[00:43:37] 然后调用一个呃login的程序
[00:43:42] 然后所谓打开终端最早的时候在在整个系统刚启动的时候
[00:43:48] 你的第一个进程
[00:43:49] 你可以想象
[00:43:50] 如果你要实现一个呃呃操作系统的话
[00:43:53] 你的第一个进程刚刚加载的时候
[00:43:55] 文件描述符012是都没什么都没有的
[00:44:01] 什么都没有的
[00:44:01] 然后你你inner其实一直也不知道自己是处于哪里哪一个终端终端上
[00:44:07] 因为系统可能有五六个终端
[00:44:09] 所以就是这个GETTY的程序
[00:44:13] 这个程序会负责他INIT说
[00:44:15] 我要在一上面它它就会有一定的命令行参数
[00:44:18] 我要我要我要在第一个终端上面启动一个这个程序
[00:44:21] 然后我要在第二个终端上
[00:44:23] 第三个终端上都启动这个程序
[00:44:24] 所以所以你会看到LINUX里面
[00:44:26] 如果你按比如说Ctrl alt加F1的话
[00:44:29] 你看到这这是他打印日志的
[00:44:34] 控制台打印纸terminal诶
[00:44:36] Ctrl f1
[00:44:36] CTRLF2F三
[00:44:38] 你每一个啊我用我材料一些
[00:44:40] 对你每一个都可以看到一个提示用户登录的
[00:44:45] 这样的一个一个程实际上是一个程序
[00:44:47] 是由这个GTTY
[00:44:49] 我现在CTRLF7
[00:44:51] 我在我在第七个屏屏屏幕上
[00:44:53] 在TTY7
[00:44:54] 我现在的用户界面
[00:44:55] 就我的这个图形用户界面运行在TTY7的上面
[00:44:58] 你可以这么呃呃这么这么理解我
[00:45:02] 我可以在这些这些设备上这个这个term
[00:45:05] 嗯应该是要带一个设备
[00:45:10] 带一个设备上
[00:45:11] 七启动一个login的login的程序
[00:45:15] 然后在这个程序它就会打真正打开对应的这个终端DEVTTY1
[00:45:20] 比如说这样的一个设备
[00:45:21] 然后打开这个终端以后
[00:45:22] 他会把012的文件描述符都指向这个终端
[00:45:26] 并且做一些配置和初始化
[00:45:27] 所以你看到这里有一个这里有一个有意思的选项叫bard rate
[00:45:32] 波特率是你的接口真实传输的速率
[00:45:36] 如果你呃如果你真的是一个VT100这样的终端的话
[00:45:39] 你需要给他一个有意义的数值
[00:45:41] 它才能正确的
[00:45:42] 你的操系统才能正确的和终端握手
[00:45:45] 然后如果呃当然现在是模拟出来的
[00:45:47] 所以其实这个这个数值并不是那么的重重要
[00:45:49] 但是你依然可以在现在
[00:45:52] 比如说你你在现在在呃查看当前的pursue terminal的时候
[00:45:57] 它依然模拟出来一个38400的呃bd rate
[00:46:00] 这代表这个终端传输数据的呃速率
[00:46:06] 所以在这个时候我们才把终端和呃操作系统里面的进程联系起来
[00:46:13] 然后它会创建一个login
[00:46:17] 然后如果你是一个远程的登录
[00:46:20] 那就又有点不一样
[00:46:21] 我的SS是D这个这个程序他会去分配一个pursuo terminal
[00:46:26] exceo terminal
[00:46:28] 一个伪终端
[00:46:29] 然后伪终端SHD它会fork一个自己的程序SHD
[00:46:33] 然后然后fork以后它会创建一个伪终端
[00:46:35] 并且呃完成初始化
[00:46:37] 然后再呃呃再执行一个login
[00:46:42] 它不是login
[00:46:43] 它可能是一个自己权限的切换
[00:46:45] 因为SSD本身它是运行在高权限
[00:46:47] 它可以把它变成另外一个呃一个程序对
[00:46:51] 然后所谓的logging program used to exception
[00:46:54] New session with the system
[00:46:55] 然后这个终端就是你最初始的时候
[00:46:58] 就好像是你坐下来坐在这个终端面前
[00:47:02] 有一个叫controlling terminal
[00:47:05] 你的一个session
[00:47:06] 一个绘画
[00:47:06] 这里面都有一个都有session
[00:47:09] 一会儿我们会回到这个这个概念
[00:47:11] 虽然虽然login里面这个这个session和login手册里面
[00:47:17] 我们看到那个login
[00:47:20] 如果我们看login的话
[00:47:22] 他说begin session on the system
[00:47:24] 他的手册里面说到了这句话
[00:47:26] 他要启动一个EXCESSION
[00:47:28] 这个term有点有点混乱
[00:47:31] 但我们知道的是
[00:47:35] 无论是你用哪种方式登录
[00:47:38] 都会有一个终端啊
[00:47:41] 都都会有一个终端和你的呃当前的session呃是关联起来的
[00:47:46] 然后你就相当于坐在这个终端前面
[00:47:48] 你所有的操作都是和和这个终端去呃终端去交互的
[00:47:53] 然后这个终端就真正刚才我们说它还是一个还是这个最简单的模型
[00:47:59] 你的一个终端就是去交换字符
[00:48:02] 但是因为呃操作系统会把它
[00:48:06] 呃你的操系统会对终端的收收到的字符呃做一个加工
[00:48:14] 以及比如说像现在我们的terminal emulator
[00:48:16] 它可以可以像刚才说的可以处理UNICODE字符
[00:48:19] 可以呃可以出ly escape sequence
[00:48:22] 所以我们可以在终端上面构建一整个用户交互的世界
[00:48:29] 我在这里向大家推荐一个Python的库
[00:48:31] 这个AI用的也很好
[00:48:32] 你们你们可能用我叫叫text tro
[00:48:35] 注意
[00:48:36] 我这是一个命令行
[00:48:37] 这是一个完全的命令行终端
[00:48:39] 这是一个命令行中断
[00:48:40] 而且我没有用six cel那种那种显示图片的方式
[00:48:43] 但是你却看到我像得到了一个呃windows窗口一样
[00:48:47] 你看他是现在是版本是8.0.1
[00:48:49] 有多少个GITHUB
[00:48:50] 然后我甚至可以用鼠标的滚轮来控制它
[00:48:53] 我现在用滚轮滚动滚动
[00:48:56] 你看他用了很多这个UNICODE的emoji的字符
[00:49:00] 甚至甚至啊比如说我我按W它真的可以像我们的窗口一样
[00:49:07] 你看我可以选中
[00:49:09] 我可以选中
[00:49:10] 甚至还有你看这是checkbox
[00:49:13] 这是radio button
[00:49:14] 然后我还可以更换主题
[00:49:17] 更换主题主题可能在下面对这是一个表格
[00:49:20] 还有滚动条可以拉来拉去
[00:49:22] 这和我们现在的现在的就在
[00:49:26] 比如说在你们的
[00:49:30] 在你们的windows上面看到的界面没有任何本质上的区别
[00:49:34] 只不过我是用呃机
[00:49:36] 用一个一个的字符和UNICO的啊拼起来的
[00:49:41] 这里有很多
[00:49:42] 甚至这里面还可以做动画哈哈用unique来做的话
[00:49:47] 我可以换一个
[00:49:48] 我可以换一个主题
[00:49:50] 换一个主题它就它就变了
[00:49:52] 然后我甚至还可以玩它里面自带的游戏
[00:49:58] 这是一个拼版的游戏
[00:49:59] 当然我就不玩了
[00:50:02] 他把一段Python的代码渲染好的代码
[00:50:05] shuffle shuffle以后你可以把它
[00:50:08] 要你要要求是把它把它拼拼回来
[00:50:11] 要拼回来
[00:50:11] 你们可以回去写一个算法
[00:50:13] 把一个任意的N乘以N的这个呃华容道去
[00:50:17] 里面有一个空白的去去复原
[00:50:19] 这是由你可以在多项式时间里面完成完成这件事
[00:50:23] 对这个我就我就不展示了
[00:50:26] 你可以在就你用一个terminal
[00:50:29] 当你和操系统和人联系起来以后
[00:50:31] 你就可以干任何事了
[00:50:34] 因为你你本质上你你只需要只需要可以在这个屏幕上面画字符
[00:50:39] 就就可以
[00:50:42] 但是但是你们头上始终有一朵乌云没有想清楚
[00:50:48] 甚至你想得更不清楚了
[00:50:50] 那就是我们在操作系统课刚开始的时候抛出的一个问题
[00:50:53] 在你按下CTRL加C的时候
[00:50:56] 到底发生了什么
[00:50:58] 而且这个问题在我讲今天讲了终端以后
[00:51:01] 你们觉得更更费解了
[00:51:02] 因为你你可以你甚至可以可以把我就像我一开始的时候
[00:51:08] 那个mini t t y在展示的时候可以向跟操作系统说
[00:51:12] 请你直接把终端里面收到的所有字符全都给我
[00:51:15] 这时候你按CTRL加C就没有任何反应了
[00:51:18] CTRL加C就给我这样CTRL加C就变成了一个字符
[00:51:21] 所以你们有的时候会会在有些程序在运行的时候
[00:51:25] 你你按下CTRL加C
[00:51:26] 然后你会看到一个这个见过吗
[00:51:29] 看到一个这个他其实就是我刚才说的那个CTRL加C对应的字符
[00:51:33] 它被送到了送从终端设备送到了我的应用程序里面
[00:51:36] 我应用程序看到他了
[00:51:37] 然后我应用程序没有把它解读成一个你们熟悉的艾特
[00:51:41] 我应该退出的CTRL加C对
[00:51:44] 你们可能听说过说说按下CTRL加C以后
[00:51:47] 我们会操作系统会给这个程序发送一个信号
[00:51:51] 但是经过你看过我的我今天的demo以后
[00:51:54] 你就更费解了
[00:51:56] 所以这一切其实都是操作系统搞的鬼
[00:51:58] 操作系统搞的鬼
[00:51:59] 呃这个模型是是是正确的
[00:52:01] 至于每一个字符
[00:52:03] 比如说CTRL加C应该怎么解读
[00:52:06] 这就是因为我们的操作系统里面有一个驱动
[00:52:09] 不管是真正的像VT100的一个驱动
[00:52:12] 还是你我就模拟出来的一个终端
[00:52:15] 那我本身就是一段软软件驱动的
[00:52:18] 当我按下任何一个字符的时候
[00:52:20] 收到任何一个字符的时候
[00:52:21] 对于键盘我按下CTRL加C
[00:52:23] 他的行为就是送一个这个送一个CTRL加C对应的字符
[00:52:27] 如果我按shift
[00:52:28] 如果是shift
[00:52:29] 我的设备不会做出任何
[00:52:31] 任不会发送任何的数据给给我的驱动或者给我的操作系统
[00:52:35] 直到我比如说按下A以后
[00:52:38] 那我会shift a我会发送
[00:52:40] 我会发送一个大写的A
[00:52:43] 给我的驱动
[00:52:44] 然后我的驱动会会根据应用程序对终端的配置来决定他的行为
[00:52:52] 所以在默认的时候
[00:52:53] 就像我刚才说在cat的时候
[00:52:55] 我们的终端是在一个叫canonic ical mode
[00:52:57] Colonial mode
[00:52:58] conneo mode
[00:52:59] 在这个卡onic mode底下
[00:53:01] 我们的操作系统的驱动程序会模拟出一个呃行编辑的状态
[00:53:07] 内部会有一个buffer
[00:53:08] 然后在你按下退格的
[00:53:10] 在你按下A的时候
[00:53:11] 他不会马上把这个东西对我
[00:53:13] 我可以有一个进程
[00:53:14] 然后我进程可以read
[00:53:16] read杠第一为杠
[00:53:20] PTY下的
[00:53:21] 比如说四我read的时候
[00:53:24] 当我按下这些字符的时候
[00:53:26] 按下A的时候
[00:53:27] 摁下A的时候
[00:53:30] 那这个A会到驱动的一个缓冲区里
[00:53:33] AB这时候还没有到进程
[00:53:36] 当我按下backspace的时候
[00:53:37] 这个驱动会把这个币给去掉
[00:53:40] 就完全是它模拟出来的
[00:53:42] 然后以及这个驱动还可以再送一些字符给终端回血
[00:53:48] 所以我我可以打开回显或者关闭回显
[00:53:52] 你们呃你们都知道
