[00:00:00] 我我干了什么呢
[00:25:16] 这样你们在上课的时候可以看得更清楚
[00:25:20] 然后我还做了一些
[00:25:22] 比如说
[00:25:23] 你们你们都喜欢用top这个命令
[00:25:25] 来查看系统里的进程
[00:25:28] 如果你不做定制
[00:25:30] 你看到的就是一个比较土的top
[00:25:33] 但是我但是我我显然我这有一个更更fancy的top
[00:25:36] 你能看到我的OBS在
[00:25:38] OBS还在吗
[00:25:39] 在好OBS还在浪费我的呃算力
[00:25:43] 然后我的内存还有还有还有多少多少这样
[00:25:46] 然后我把它配置成了一个
[00:25:47] 相对来说比较现代的终端
[00:25:49] 比如说你们看到你们看到我在LS的时候
[00:25:55] 我掉的不是ls s
[00:25:59] 这个细节大家刚才有没有有没有注意到
[00:26:01] 我在LS的时候自动把ls s换成了
[00:26:05] EZA这个命令
[00:26:07] 然后当当我要find的时候
[00:26:08] 它也自动帮我换成了FD
[00:26:10] FD的行为和find稍微有点呃有点不一样
[00:26:13] 然后你看到YLS的这个输出里面又有哎
[00:26:16] 这还是很fancy的
[00:26:18] 没
[00:26:18] 这是一个目录
[00:26:19] 这是一个markdown
[00:26:20] 这是一个make范
[00:26:22] 还有这特殊显示的效果
[00:26:25] 然后我所有的这些配置都是用agent的
[00:26:28] 都是用agent的配置的
[00:26:30] 我只有一个prompt说
[00:26:31] 你你能不能帮我把我现在的命令行终端
[00:26:34] 帮我把我的系统思维都配置成这个
[00:26:38] 现代的样子比较好用的样子
[00:26:40] 结束了DeepSeek with flash没有更好的模型
[00:26:45] 所以所以在今天就是有了react这种类型的agent时
[00:26:49] 他就不停的去conversion里面去改改
[00:26:51] 他也他错了以后
[00:26:52] 他会去试是别的方法
[00:26:54] 然后最后他把任务能呃能能完成
[00:26:57] 所以就在大概去年的时候
[00:27:00] 我我前一就我去年的时候上呃操作系统的时候
[00:27:06] 那个agent还不怎么能用
[00:27:07] 就各种各种出错
[00:27:08] 然后任务完成不了
[00:27:09] 他就停下来了
[00:27:10] 但是到今年我上操作系统课的时候
[00:27:12] 这个A阵就非常非常能用
[00:27:14] 到到现在你看到A证产品爆发
[00:27:16] 到处铺天盖地都是work body的广告
[00:27:18] 对吧哈
[00:27:19] 呃想模管理豆包的那个agent
[00:27:22] 就是啊这样的react类型的agent
[00:27:26] 嗯但这其实也就你们这当然这这个好像岔开了
[00:27:32] 岔开了这个呃话题了
[00:27:35] 这个故事其实远远没有结束
[00:27:37] 今天你们已经感受到A真的非常强了
[00:27:40] 但是我认为agent的能力还远远没有被释放出来
[00:27:47] 我们next token prediction
[00:27:50] 其实是一个我觉得是个效率很低的呃模型
[00:27:54] 比如说这里有一个呃diffusion model
[00:27:58] 一个diffusion model
[00:28:00] 我比如说我可以说
[00:28:04] rider AI is love NO哈
[00:28:08] 我可以让他给我写一个什么样的
[00:28:10] Ai is love
[00:28:11] 你观看他的过程
[00:28:14] 你看他是一个从一个随机的噪声开始
[00:28:17] 就像就像defuse那个图片一样
[00:28:19] 1.1.1.1点就生成了一个很长的东西
[00:28:25] 它可以生成一个很长
[00:28:26] 就像人做梦一样
[00:28:27] 就你在你的梦境当中
[00:28:28] 1.1点把一个东西想的看的越来越清楚
[00:28:31] 越来越清楚
[00:28:32] 越来越来越清楚
[00:28:33] 我们有很多
[00:28:37] 我们有很多可未来的未来的可能性
[00:28:40] 这种diffusion类型的语言模型
[00:28:43] 然后甚至是我不是predict
[00:28:45] Predict next token
[00:28:47] 我可以把上下文回过去改
[00:28:49] 随时可以把持一个很长的上下文裁短
[00:28:52] 这些都是今天
[00:28:54] 很多很多人在研究的研究的东西诶
[00:28:58] 现在的模型已经非常强了
[00:29:00] 如果我们三个月以后又有一个新的突破
[00:29:04] 模型变得更强了
[00:29:06] 一年以后模型又突破了
[00:29:07] 又变得更强了
[00:29:09] 整个AI的research大家都在赌这件事情要发生
[00:29:14] 摩尔定律还在那我我现在很难想
[00:29:18] 就是未来会变成什么
[00:29:20] 我我不能预测
[00:29:21] 未来到底哪一条路线会会胜出
[00:29:24] 是哪一种模型会胜出
[00:29:25] 但是你可以预见的是
[00:29:27] 这个世界肯定会变得非常的不一样
[00:29:31] 那在这个世界上
[00:29:33] 我们应该呃应该怎么办
[00:29:36] 是每一个同学
[00:29:37] 我觉得都都值得好好考虑一下的
[00:29:41] 好好考虑一下的问题
[00:29:43] 好吓唬人的事情
[00:29:46] 说完了
[00:29:46] 我们可以吸一口气
[00:29:49] 我可以真的告诉大家应该怎么样
[00:29:56] 怎么样来实际操作我们的agent呢
[00:30:00] 这还是这门课主要要要讲的
[00:30:03] 所以我首先站在普通人的视角
[00:30:05] 来给大家科普一下
[00:30:08] 这我先假设大家其实不会用agent
[00:30:11] 不太会用A认证
[00:30:12] 就就除了什么帮我把这个作业做了以外
[00:30:14] 从我我上个学期看
[00:30:16] 改大家那个期末考试题的感觉
[00:30:17] 好像就是因为我期末的题最后考了一个
[00:30:21] 如果你要用agent给给我的课
[00:30:23] 出期末考试出一个卷子
[00:30:26] 这个应该应该怎么办
[00:30:28] 然后我发现大家用agent特的哈
[00:30:30] 呃方式可能可能需要我来稍微解锁
[00:30:33] 解锁一下
[00:30:33] 也可以跟大家一起探讨
[00:30:35] 有如果大家有特别好的想法
[00:30:37] 就可以随时打断我来说
[00:30:41] 首先
[00:30:43] 作为AI AI native的一代人
[00:30:46] 你们要知道就是给他一个合适的呃指令
[00:30:53] OK呃我我我在课上选的是啊派是吧
[00:30:59] 派
[00:31:00] 你只要跟他说就可以了
[00:31:03] 然后并且你可以写一些配置文件
[00:31:05] 比如说agh agents
[00:31:06] 点MD
[00:31:10] 你可以问他
[00:31:10] 你是谁
[00:31:11] 然后你看他
[00:31:12] 他还说他是生成式软件工程的教学辅助围城
[00:31:16] 那你可以问他
[00:31:17] 你不就是个模型吗
[00:31:19] 为什么还知道生成是软件工程
[00:31:26] 你可以你可以自由任意的
[00:31:32] 啊他回答不
[00:31:34] 对他回答了
[00:31:35] 你看他现在看到的是
[00:31:37] 之所以知道这门课
[00:31:38] 这个仓仓库agent次点MD的配置
[00:31:41] 这部分是临时的基因
[00:31:43] 所以使用agent的第一个原则
[00:31:48] 开始现在就开始用第二个原则随时问他OK
[00:31:53] 这是最小的第一个原则好
[00:31:56] 然后在这个意义上
[00:31:58] 其实是你的想象力限制了你的agent的呃上限
[00:32:05] 所以呃正好一会课间的时候
[00:32:09] 大家可以想一想
[00:32:09] 你没有A阵子做的最酷的一件事情啊是什么
[00:32:14] 想象力是你们的上限
[00:32:16] 我的第一个例子是我咳
[00:32:19] 我今天上课的这个系统
[00:32:22] 刚才我给大家展示了
[00:32:23] 我也说了
[00:32:24] 所有的配置安装都是由AI完成的
[00:32:27] 我要在U盘上
[00:32:29] 这一直以来是我上操作系统课的一个特色
[00:32:31] 我会带一个U盘
[00:32:33] 然后这个U盘里面装一个LINUX操作系统
[00:32:35] 然后这个LINUX操作系统
[00:32:36] 可以直接插在教室的电脑上就启动
[00:32:38] 所以你看到我
[00:32:39] 我现在OK在这
[00:32:42] 我是你可以看到我
[00:32:43] 这是我的U盘
[00:32:44] 然后这是呃电脑的硬盘
[00:32:47] 我我在有一年的操作系统课上
[00:32:49] 把这个硬盘给抹掉了
[00:32:50] 然后抹掉以后
[00:32:51] 下一个上课老师就教学事故了
[00:32:53] 这个是的对对
[00:32:57] 就教学数
[00:32:57] 然后为用
[00:32:58] 为此我来展示这个操作系统的啊原理
[00:33:02] 装机是个很痛苦的事情
[00:33:04] 我我曾经是装机仙人
[00:33:07] 这里这里有个知乎链接
[00:33:09] 这个是PRLM的时代
[00:33:12] 你看2021年7月
[00:33:14] prim m的时代
[00:33:15] 我我各种各种定制
[00:33:17] 各种定制系统
[00:33:18] 装机装机仙人
[00:33:19] 嗯咳咳
[00:33:21] 装机仙人现在已经
[00:33:25] 呃彻底被哎
[00:33:27] 不好意思
[00:33:28] 张继先生已经彻底被AAI取代了
[00:33:31] 因为我只用了一句话
[00:33:33] 我说你去mirrors点NGU
[00:33:36] 点EEDU
[00:33:36] 点CN上
[00:33:37] 找一个deb13的镜像
[00:33:39] 把它装到我的U盘上
[00:33:41] 这时候U盘插在里面
[00:33:42] 然后确保这个U盘可以启动
[00:33:45] 然后用模拟器验证
[00:33:49] 点睛之笔是这个用模拟器验证他
[00:33:52] 就我我当然我是有knowledge
[00:33:54] 所以我知道他是怎么完成这个安装的
[00:33:57] 他装完了装完了以后
[00:33:59] 他真的在q email里面启动
[00:34:01] 然后去去看到的那个登录界面
[00:34:04] 告诉我确实可以登录了
[00:34:06] 他登录成功了
[00:34:08] 我我刚才我要创建一个用户
[00:34:10] 用户用户名是什么
[00:34:11] 密码是什么
[00:34:12] 他全部都做好验证完成给我
[00:34:16] 然后然后然后完了以后我就就进
[00:34:19] 我就启动了这个USB的镜像
[00:34:22] 然后启启动了以后
[00:34:23] 我说我要装一个这个tile based的window manager
[00:34:26] 就说你就就你看到我
[00:34:28] 我现在操作是是很顺滑的
[00:34:30] 比如说我按这个windows加回车
[00:34:32] 它就产生了一个新的窗口
[00:34:34] 在在右边是吧
[00:34:35] 和你们用窗口的方式不太一样
[00:34:37] 但是我可以比如说windows加空格
[00:34:38] 把它看
[00:34:39] 把它给挪出来好不会用怎么办
[00:34:43] 你可能听说过在某一个呃B站的直播间里面
[00:34:48] 看到有一个同学
[00:34:50] 他用的很酷的东西
[00:34:51] 不会用怎么办
[00:34:52] 我直接让deep sk v4flash给我生成了一个呃文档
[00:34:59] 说哎你能不能看一下我系统现在的设置里面
[00:35:03] 我要做各种事情怎么办
[00:35:06] 他告诉我
[00:35:06] super加enter是打开terminal
[00:35:09] super加D是打开一个app launcher
[00:35:12] 所以比如说关掉
[00:35:18] 啊比如说我啊windows加D
[00:35:21] 我就可以打开一个OBS或者chrome browser
[00:35:25] 所有的文档
[00:35:27] 包括你看到的终端
[00:35:28] new wave的现代配置
[00:35:30] 我没有看过任何一眼配置文件
[00:35:32] 所有的一切都是由自然人员完成的
[00:35:35] 我只支持让他保交付
[00:35:37] 我要什么
[00:35:38] 你帮我再检查一下
[00:35:39] 就全部都完成了
[00:35:41] 所以我觉得我我毕生的修炼
[00:35:43] 我我作为一个呃教commerr science的老师
[00:35:49] 我我我记得我大四的时候
[00:35:50] 就跟你可能跟你们一样
[00:35:51] 大的时候
[00:35:52] 就在看那个英特尔的那个几千页的
[00:35:54] 那个CPU的specification
[00:35:56] 然后去去看那个每一个CPU的feature是干什么用的
[00:35:59] 然后我就突然觉得在这个时间点
[00:36:02] 有一个人他可以跟我沟通
[00:36:04] 他把这些东西全看了都懂能做对
[00:36:08] 而我现在需要的是解锁他的能力
[00:36:10] 所以你看到我们在今天你学习知识的方式变了
[00:36:16] 你更多的时候你需要知道他能做什么
[00:36:19] 你感知到他能做什么
[00:36:21] 能做到什么程度
[00:36:22] 然后你带着他去做一件更大的他做不到的事情
[00:36:26] 所以人现在唯一的功能就是带着AI做
[00:36:31] AI现在做不到的事情
[00:36:33] 一旦如果你没有这个能力
[00:36:36] 你就立即已经被淘汰了
[00:36:38] 所以你没有token
[00:36:39] 你就可以立即退休了
[00:36:40] 这个这是我自己的
[00:36:42] 自己的观点
[00:36:43] 首先agent彻底颠覆了计算机
[00:36:46] computer science里面学习曲线太久不想用的瓶颈
[00:36:48] 你想想你们都配置过那个漂亮的终端吧
[00:36:51] 你们看那个终端花里胡哨的那个人
[00:36:53] B站上面那些人用的花里胡哨的终端
[00:36:55] 你就想搞一个
[00:36:56] 搞一个以后你改一点点
[00:36:58] 他就给你出错
[00:37:00] 改个配置文件ZESHRC1改就出错
[00:37:03] 一改就出错
[00:37:04] 非常的痛苦
[00:37:06] 有agent了一点也不痛苦
[00:37:09] 它不仅可以给你改
[00:37:10] 还能事无巨细的解释为什么要这样改
[00:37:13] 你有什么新的想法
[00:37:14] 一提他就说好好好
[00:37:15] 还可以给你提供情绪价值
[00:37:18] 我我前前几天在小红书上发一个帖
[00:37:21] 说
[00:37:21] 为什么token比学生好用
[00:37:23] 是因为可以骂他
[00:37:24] 他不会还嘴
[00:37:25] 这个我就就就是因为我我
[00:37:27] 我肯定不能骂学生嘛
[00:37:28] 但是但是我可以骂这个呃这个agent
[00:37:32] 所以谁掌握了AI agent
[00:37:35] 谁就掌握了暴增的学习效率
[00:37:37] 你现在现在的学习方式
[00:37:39] 你先用好它
[00:37:40] 先把东西搞出来
[00:37:42] 再回头去复盘理解
[00:37:44] 这个效率会比你从零开始一点一点搭积木
[00:37:47] 要要高很多
[00:37:48] 但这里面有个危险
[00:37:49] 是你你你的理解可能和那个比较好的理解
[00:37:51] 会有会有差距
[00:37:53] 梅东呢我们不知道
[00:37:54] 但是呃但是这是一个非常不一样的事情
[00:38:00] 第二个收发邮件写草稿
[00:38:05] 我有一个自己的skill
[00:38:07] 当然我我就我就不展示了
[00:38:09] 他我的我的数据库里面有
[00:38:12] 我历史上回过的所有的邮件
[00:38:14] 所以每当我收到一封邮件的时候
[00:38:17] 它会自动把它变成一个已读的状态
[00:38:19] 然后自动自动帮我写好回复的草稿
[00:38:22] 用我的口吻
[00:38:23] 虽然我现在觉得他做的还不够好
[00:38:25] 除了一些简单的routine性质的东西
[00:38:27] 可以直接用它的回复以外
[00:38:29] 大部分时候我还得呃呃还得还得去改
[00:38:32] 但是我得到了一个AI的bot
[00:38:35] 然后他会把重要的就是比如说邮件里面
[00:38:39] 的附件
[00:38:40] 比如说呃如果我要我
[00:38:43] 我我收到一张发票
[00:38:44] 他就会把我的发票
[00:38:46] 自动保存到一个指定的归档的位置
[00:38:49] 当然这都是我写好的instructions
[00:38:52] 我我可以干点什么事呢
[00:38:54] 我我可以像跟你们的那个open cloud或者ARMUS一样
[00:38:58] 但我用的是我自己apple的reminders
[00:39:00] 我可以我可以找到我的手机
[00:39:02] 在我的备忘录里加一个
[00:39:03] 说帮我把今天的发票打印出来
[00:39:09] 我我觉得我现在就可以做这件事
[00:39:11] 也就是打印也就是浪费一张打印机的这个值
[00:39:16] 我在我在一个叫bot的
[00:39:18] 现在你看现在是空的
[00:39:19] 我在这个bot的地方加一个
[00:39:25] 把我收到的上一个发票打印出来
[00:39:30] 好我我只要点勾他就commit
[00:39:33] 我就多了一个to do的事项
[00:39:34] 就跟你们在telegram里跟你的那个bot
[00:39:36] 聊天是是一样的
[00:39:38] 然后只要等就行了
[00:39:39] 他后在后台会会处理
[00:39:41] 等到弄好了以后
[00:39:42] 他会重新给我一个呃推送的通知
[00:39:45] 那这个通知会会通过我的手表送到我的
[00:39:49] 就就通过reminder
[00:39:50] 然后送到我的手表上
[00:39:51] 然后我的手表会知道他会告诉我
[00:39:52] 我可以打印码了
[00:39:53] 然后我所有的日常的事物都可以交给他了
[00:39:56] 他来处理
[00:39:57] 前提是我我放心的
[00:40:00] 放放心的事情
[00:40:02] yes
[00:40:03] 我觉得是比telegram聊天框要好
[00:40:05] 而且这个流程会不断的进步
[00:40:07] 你就在open cloud之前
[00:40:09] 我就这样了
[00:40:09] 然后在open cloud
[00:40:12] 我觉得open cow或者arms
[00:40:13] 是不是那个呃个人agent的产品的
[00:40:17] 个人agent的产品的终极形态
[00:40:20] 这个产品还可以做得更好
[00:40:22] 所以未来还有很多的啊空间
[00:40:27] 还有呃你们还还在读书吗
[00:40:33] 你们还看书吗
[00:40:35] 看你还看论文吗
[00:40:37] 看看论文痛苦吗
[00:40:39] 痛苦痛苦吗
[00:40:41] 不痛苦
[00:40:44] 大家在笑
[00:40:45] 我我我是一个很喜欢看书的人
[00:40:47] 我我我在我在你们这么大的时候
[00:40:50] 每年都教科书就要看几十本
[00:40:52] 还会看很多闲书
[00:40:53] 嗯嗯那我今天已经呃不看书了
[00:40:58] 我现在已经不看书了
[00:41:00] 呃但是我还是买了一本
[00:41:03] 因为我要上这个呃生成式软件工程的课
[00:41:05] 所以我又买了一些
[00:41:06] 我带了几本来
[00:41:08] 就我我就这都是我读书的时候就仔细仔细看过
[00:41:11] 甚至看过不止一遍的一遍的书
[00:41:13] 这个是那个咳咳咳
[00:41:16] 这个fred fred brooks的那个mystical man month
[00:41:19] 人月神话这个标题起的就非常misleading
[00:41:23] 首先什么是人乐
[00:41:24] 你们想到的是就你想到是那个人和月亮吗
[00:41:28] 就是每每到月亮出来的时候
[00:41:30] 就会变成狼的人吗
[00:41:31] 这呃这就这个呃my mouth
[00:41:36] 这这是一个MAMOTH
[00:41:37] 就很很好理解了
[00:41:38] 就是像人力
[00:41:40] 人力神话
[00:41:41] 然后这神话也不对
[00:41:42] 神话你们想到神话什么是什么
[00:41:44] 盘古开天地
[00:41:46] 是有这种美好的这种意思
[00:41:48] 这种这种神话
[00:41:49] 其实这个书应该叫人越鬼话
[00:41:51] 这人越是一个对他这是一个是一个鬼话
[00:41:55] music呃呃the music mamo
[00:41:57] 还有些像这个
[00:42:01] 对这个john nasra的的这个the the philosopher of software design
[00:42:06] 这个这个书非常的紧凑
[00:42:08] 感觉比我当年看的英文版要要紧凑一些
[00:42:11] 里面有很多软件工程的
[00:42:13] 真正的软件工程的智慧
[00:42:15] 非常好那个然后然后我就读了
[00:42:19] 我又重温了一下当年读书的感觉
[00:42:23] 读了第一章
[00:42:24] 然后我读完了第一章以后
[00:42:25] agent的启动
[00:42:28] 我我会怎么样读书呢
[00:42:31] 对吧我我会怎么样读书呢
[00:42:32] 呃我比GPT-5.6售的
[00:42:36] 做的要更好一点
[00:42:39] 大概在这个skill里的这个部分
[00:42:42] 我当我的
[00:42:44] 我的那个AI梗同学会比会比他更强一点
[00:42:47] 会比他更harsh1些
[00:42:49] 呃我我在这里为了为了做每一页slides
[00:42:53] 我都会让GPT-5.6
[00:42:55] 首先去回看人类的历史
[00:42:59] 人类历史和我这些相关的这些案例里面
[00:43:01] 有没有一些license
[00:43:03] 一些重要的案例
[00:43:05] 能够得到启发和印证的
[00:43:07] 第二个根据我我我的这个讲的这这这个东西
[00:43:16] 能不能找一些相关工作
[00:43:17] 不仅是在computer science
[00:43:19] 然后我会让他prefer这些very recognized
[00:43:21] High impact of resource
[00:43:22] 当然这是因为是我要上课
[00:43:24] 所以我我会希望跟大家讲一个经典的东西
[00:43:27] 还有一个比如说thinking first principle
[00:43:29] 在我的AI梗同学里面
[00:43:30] 我有更多的这样的personality
[00:43:32] 然后还有随机性会抽卡
[00:43:34] 然后抽完了以后
[00:43:35] 他们会讨论他们会有分歧的观点
[00:43:37] 讨论以后
[00:43:38] 我的主A证呢
[00:43:38] 会再把这个分歧的观点再送给他们回来讨论
[00:43:41] 直到收敛为止
[00:43:42] 所以我我有一个算力换智力的路
[00:43:46] 然后这样我就可以去审稿那些论文
[00:43:48] 我会明确的要知道
[00:43:50] 我大概是这样读的
[00:43:51] 就如果我要review1篇论文
[00:43:53] 或者读一篇论文
[00:43:54] 我会说你从人类已有的知识开始
[00:43:58] 假设人类已有的所有的东西
[00:44:00] 都已经是固定下来的
[00:44:01] 都是trivial的
[00:44:02] 都不都都不能说trivial
[00:44:03] 就是说都是已知的
[00:44:05] 然后我要把这篇论文里面新的东西
[00:44:09] 最少的东西一给剥离出来
[00:44:13] 然后这个时候一篇12页的论文
[00:44:14] 基本上就没有剩下多少了
[00:44:16] 就就会变得非常非常短
[00:44:17] 所以我现在读论文的效率非常高
[00:44:20] 我而且我会跟他chat
[00:44:22] 我会拿着论文的原文
[00:44:23] 拿着这个总结
[00:44:24] 拿着深层次的总结
[00:44:25] 我跟他chat
[00:44:26] 所以我现在读一篇论文的效率会比我以前
[00:44:29] 高得多
[00:44:29] 我我仍然是读论文的
[00:44:31] 所以我不是那种呃只看微信公众号的老登
[00:44:34] 我我现claim
[00:44:35] 我不是我不是看微信公众号学习的那种
[00:44:38] 哎呃我的我的发票已经已经打印好了
[00:44:41] 这个呃就看到我有一个收到一条通知
[00:44:45] 叫发票发票一一打印
[00:44:47] 然后我只要回去到那个打印机上
[00:44:49] 就就拿走就可以了
[00:44:51] 所以他可以干任何事
[00:44:52] Literally
[00:44:52] 就我那台电脑能干的事情
[00:44:54] 所有的都能干
[00:44:55] 我我很想如果我有时间的话就
[00:44:58] 如果我就就大学倒闭了
[00:45:00] 我就我就弄一个机械手
[00:45:01] 让他能够做更多的事情
[00:45:03] 我现在现在还还做不到
[00:45:05] 但他可以操纵我的
[00:45:07] 我的打印机
[00:45:10] AIAI耿同学在这里
[00:45:12] 然后我不仅用AI读书读论文
[00:45:18] 我还用AI上B站
[00:45:21] 那当然这个剥夺了你们娱乐的
[00:45:24] 如果你是这样娱乐
[00:45:25] 看一个什么华强买瓜的这个衍生视频
[00:45:28] 那就不要用AI图了
[00:45:32] 我是怎么读的
[00:45:35] 我我可以就一个BVID给我一个BVID
[00:45:39] 比如说这是我我上上学期的课程
[00:45:42] 给一个BVID一个小时27分钟
[00:45:45] 一般来说我会读什么呢
[00:45:46] 就读这个podcast
[00:45:47] 比如说这个Macbook cup又又发了一个什么
[00:45:50] 他的什么软件工程实践
[00:45:52] 其实我觉得他也挺神棍的
[00:45:54] 这个有有些有有些经验可能不太完
[00:45:56] 不完全适合我们的
[00:45:58] 我们的课程
[00:45:59] 然后我会把它总结成一个自动的图文的时间轴
[00:46:06] 然后你看这是整理过的
[00:46:07] 就是呃整理过了
[00:46:09] 这个这个文本的质量还是可以的
[00:46:11] 比字幕的比比字幕的质量要要高一些
[00:46:15] 这就是全文
[00:46:17] 这个图文版的图片会稍微少一些
[00:46:20] 实际上我的截图的密度会更大一些
[00:46:22] 就是当我两帧图片之间的
[00:46:25] 间隔大到一定程度的时候
[00:46:26] 我就会截图
[00:46:27] 我就得到了这个视频说的ground truth
[00:46:30] 这个时候AI等同学就可以上线了
[00:46:35] AI耿同学会去消化
[00:46:37] 会为我消化这一个连一个多小时的视频把
[00:46:42] 因为他有我的记忆
[00:46:44] 把我认为不需要看就trivial的东西
[00:46:47] 比如说这里面所有东西都是我
[00:46:48] 我非常清楚的东西
[00:46:50] 那么呃我我就我就不需要看它
[00:46:52] 那么呃去掉
[00:46:55] 我就可以在几分钟的时间里面
[00:46:57] 看完一个两个小时的视频
[00:46:59] 而且我基本上确信
[00:47:02] 我我还是很好的知道了那里面不一样的啊东西
[00:47:06] 所以这是一个非常可怕的事情
[00:47:08] 在AI agent的时代
[00:47:10] 会用agent学习的人和不会用agent的学习的人
[00:47:14] 他学习的效率差距是十倍100倍
[00:47:16] 那么你你们你们坐在这
[00:47:18] 你们怎么和一个十倍100倍的
[00:47:23] 怎么和一个十倍100倍的人竞争
[00:47:26] 你你你就就就回到我一开始的那个问题
[00:47:28] 那个简历
[00:47:29] 如果所有的人的简历都是一一样的
[00:47:32] 那你接下来会想那个没有给你看到的
[00:47:35] 那个是学习效率是你100倍的人
[00:47:37] 他的简历是长什么样的
[00:47:41] 这是一个呃非常可怕的呃事情
[00:47:45] 而更可怕的还在下一节课
[00:47:47] 所以我们课间休息一会儿
[00:47:48] 你们你们可以想一想
[00:47:50] 啊是因为我我还没有公公开这个
[00:47:52] 我我下面的内容还还要给大家留一点惊喜
[00:47:55] 呃下一节课
[00:47:57] 我再来讲更可怕的
[00:47:59] 比刚才更可怕的
[00:48:01] 所以为什么我要说这个大蛇丸
[00:48:03] 这个人类完了对吧
[00:48:05] 因为你们总觉得我神棍这个
[00:48:07] 但我我就是我就是这样想的
[00:48:10] 而且我非常确信的是
[00:48:11] 世界上肯定有人做的比我更好
[00:48:15] 因为我我只是一个上有老下有小的人
[00:48:17] 我没办法
[00:48:17] 我就是没办法
[00:48:18] 我上学讲下我
[00:48:20] 我比如我
[00:48:21] 我上个学期我为了上操作系统课
[00:48:22] 我就花出很多的时间
[00:48:24] 那那些时间本来如果我我不上这个课
[00:48:27] 我就可以用来探索这个我应该怎么怎么搞好
[00:48:29] 去
[00:48:33] 嗯我们回来刚才有一个非常好的案例
[00:48:38] 在直播的时候
[00:48:38] 我的USB的摄像头卡了
[00:48:40] 他教室里面大概是这样的
[00:48:42] 他有一个采集卡
[00:48:43] 然后那个视频的采集卡
[00:48:45] 会可能是从网络或者什么
[00:48:46] 因为这边还有好几台机器
[00:48:49] 我不知道为什么
[00:48:50] 学校里面用了一个成本那么大的方案
[00:48:53] 我觉得我可能用500~1000块
[00:48:55] 应该就能解决解决整整个问题了
[00:48:58] 这个呃一个成本很高的方案
[00:48:59] 然后他有一个采集卡进来
[00:49:01] 但是那个采集卡的USB断开了
[00:49:03] 所以所以大家看到现在我用左边这个我挥挥手
[00:49:06] 他是在在动的
[00:49:07] 但是呃USB就就断断掉了
[00:49:12] 不知道为什么断掉了
[00:49:13] 然后断掉了以后
[00:49:14] 我刚才就立即让agent呃修了一下
[00:49:20] 对吧对
[00:49:24] 刚才我是让A证的帮我修的
[00:49:28] 我直接一就就是一个prompt
[00:49:31] 在在这里
[00:49:35] 呃他说我先看看系统的USB设备的情况
[00:49:39] 找出设备
[00:49:40] 呃对
[00:49:41] 在这里说我的呃u s video有问题
[00:49:45] 能不能
[00:49:46] Reconnect
[00:49:47] 这是deep sk v4flash
[00:49:49] 他用你们前所未见的LINUX命令
[00:49:55] 就有些其实我有概念
[00:49:57] 但是我也不知道他具体是怎么工作的
[00:49:59] 反正就是他呃用软件的方式
[00:50:03] 把那个UUSB的采集卡拔出来
[00:50:06] 又插进去了
[00:50:07] 因为我我是碰不到那个接口
[00:50:09] 那个接口在机器的后面
[00:50:10] 我我我碰不到
[00:50:12] 然后他帮我拔了一下
[00:50:13] 插了一下
[00:50:14] 然后就就好了
[00:50:16] 呃OK现在现在这个视频还是呃没有
[00:50:20] 没有问题的
[00:50:21] 如果如果视频再有问题的话
[00:50:22] 就请大家打断我
[00:50:24] 我我再来再来重置一下
[00:50:28] 我刚才说了还不是AI的真正的形态
[00:50:32] 作为普通人
[00:50:33] 刚才刚才我给大家展示的是一个白板的派
[00:50:37] 什么也没有
[00:50:38] 就是你你在那个pad
[00:50:39] 那个那个官方网站上把它安装下来
[00:50:41] 你配置一个d pk v4flash的APIP
[00:50:44] 你立即就可以得到刚才所有的那些那些东西
[00:50:48] 多么可怕的一件事
[00:50:50] 但是agent远不止于此
[00:50:53] A证能拥有一个完整的生态系统
[00:50:56] 所以当你有一个领域特定的任务的时候
[00:51:01] 根据计算机科学的定律
[00:51:03] 我上课的时候一直会说这commerr science的定律
[00:51:06] 如果有一件事情它是合理的
[00:51:08] 并且你想做
[00:51:09] 那么百分之百一定也有别人会想做
[00:51:12] 那在这个PREAI的时代
[00:51:15] 那么开源社区
[00:51:17] 多多少少就会呃来公开一些脚本
[00:51:21] 哎我今天又发布了新的脚本
[00:51:22] 可以干这件事到GITHUB上
[00:51:24] 然后你把他拉下来
[00:51:25] 可以做自己的事
[00:51:26] 在AI时代做这件事情
[00:51:28] 复用别人的能力变得前所未有的轻松
[00:51:33] 我可以往skill hub上面发一个skill
[00:51:36] 然后你可以在pad插件生态上面找到一个
[00:51:41] 插件生态
[00:51:42] 所以你们想到应该下一步作为一个普通人
[00:51:46] 你应该做什么
[00:51:50] 应该用插件把浏览器管控起来
[00:51:54] 用应该用插件把电脑管控起来
[00:51:57] 浏览器是一个非常好的工程产品
[00:52:01] 我们我们用的是呃是是chrome
[00:52:04] 那其实是个非常好的呃工程产品
[00:52:06] 它呃可以说是人类软件工程史上的奇迹之一
[00:52:12] 非常的复杂
[00:52:13] 看起来就是个浏览器
[00:52:14] 显示网页的
[00:52:15] 它的代码量甚至远超操作系统内核
[00:52:19] 因为他要和用户打交道
[00:52:21] 他有大量的
[00:52:21] 比如说图形站
[00:52:23] 还有这个显示相关的东西
[00:52:25] 性能优化等等
[00:52:27] 嗯而浏览器是为开发
[00:52:31] 其实就是一个软件工程奇迹
[00:52:32] 所以它是有一个接口是专为开发者设计的
[00:52:36] 叫chrome dev tools
[00:52:38] Combas
