[00:00:00] 好我我们前面已经讲了virtualization和concurrency
[00:23:02] 让你设计一个打印机
[00:23:04] 你会怎么样呢
[00:23:05] 你也会得到这样的设计
[00:23:07] 你可以用一个卷纸筒来提供Y轴的自由度
[00:23:12] 卷纸筒可以往上卷
[00:23:13] 可以往下卷
[00:23:14] 然后你有一个机械臂
[00:23:16] 中间那个小的机械臂可以提供X轴的自由度
[00:23:19] 然后你你你只需要你只需要告诉打印机
[00:23:23] 你现在应该把这个笔放下去
[00:23:26] 然后还是把这个笔提起来
[00:23:28] 以及如果放下去以后
[00:23:30] 你可以说哈向X以什么样的速度移动多少
[00:23:33] 向Y以什么样的速度移动多少
[00:23:35] 你就可以画直线
[00:23:37] 任意的直线
[00:23:38] 你都是可以分解成X方向的速度
[00:23:40] 和Y方向的速度的
[00:23:43] 位移
[00:23:43] 所以你可以画直线画线段
[00:23:45] 然后你通过提笔和放笔
[00:23:47] 你就可以画出
[00:23:47] 理论上说就可以画出呃任何的呃图形
[00:23:51] 然后恭喜你就发明了这样的呃这样的打印机
[00:23:55] 这个手册
[00:23:55] 我真的也是非常建议大家呃花一点时间去读对
[00:24:01] 只要找一个你你很难想象
[00:24:04] 就是这样的一个模型
[00:24:07] 它是真的可以画出任何的图形呢
[00:24:11] 因为只要你能划线嘛划线
[00:24:12] 然后他有内置一些字母
[00:24:14] 比如说ABCDE这些字母
[00:24:16] 所以本质上本质上一台打印机
[00:24:19] 它其实是一个程序的解释器
[00:24:22] 你需要在CPU上面生成一个程序program
[00:24:25] 当然比如说对于这个来说
[00:24:27] 这个program就是由一些具体的指令
[00:24:30] 比如说划线的指令
[00:24:31] 它它可以是非常底层的
[00:24:33] 有点像机器代码的
[00:24:34] 比如说呃拉起放下移动这些
[00:24:38] 然后也可以有一些甚至是更高级一点的
[00:24:40] 比如说line x1Y一X2Y2
[00:24:45] 或者我也可以一个string x y
[00:24:48] 然后什么什么什么
[00:24:50] 这是一个这是一个高级语言
[00:24:52] 相当于是高级语言的程序
[00:24:54] 然后这个高级语言的程序
[00:24:55] 可以编译成一个更低级语言的程序
[00:24:57] 这个程序就是这个打印机的控制控制序列
[00:25:00] 提笔放比XY轴的移动好
[00:25:04] 然后就就是这样的一套系统
[00:25:06] 你就和计算机联系起来了
[00:25:08] 计算机可以
[00:25:08] 计算机上可以有个编译器
[00:25:09] 把这些高级的语言转变成D级的语言
[00:25:13] 然后再把低级语言的程序通过这个data的
[00:25:16] 它可以通过data的寄存器送给打印机
[00:25:19] 打印机里面有一个缓存
[00:25:20] 然后打印机也是一个小的计算机
[00:25:22] OK它变复杂了
[00:25:24] 但是它的功能变大了
[00:25:26] 一个小的计算机收到这个低级的程序以后
[00:25:29] 他就执行这个指令序列就可以打印出
[00:25:32] 这就是真正打印出来的
[00:25:33] 打印出来的东西
[00:25:34] 理论上说任何的图形它都是可以
[00:25:37] 可以打印
[00:25:39] 非常非常简单的想法
[00:25:41] 但是非常的powerful
[00:25:43] 然后就是这样的一个想法
[00:25:45] 一个特别简单的想法
[00:25:47] 最后就变成了今天你看到的呃打印机的样子
[00:25:52] 最开始的时候我们的打印机或者这种绘图仪
[00:25:56] 都是划线画字符
[00:25:58] 简单的功能
[00:26:00] 但是随着你的打印机越变越强的时候
[00:26:03] CPU会进步
[00:26:04] 在计算机被发明以后
[00:26:07] 我们的计算机的能力就一直在增长
[00:26:09] 然后就是因为这样的进步
[00:26:10] 我们打印机里可以执行的程序也越来越复杂
[00:26:12] 这时候我们就需要一个更强大的编程语言
[00:26:15] 来描述我到底要把什么样的东西打到纸上
[00:26:18] 所以就很自然的会有像PCL
[00:26:21] 有postscript啊这样的呃语言被发明出来
[00:26:24] 你们你们如果装过打印机的话
[00:26:26] 比如说呃你们的实验室的打印机
[00:26:27] 比如说我们的实验室的打印机
[00:26:29] 就是一个叫叫PCL6兼容的打印机
[00:26:32] 然后在PCL6之前
[00:26:33] 比如说PCL5
[00:26:34] 或者之前它的打印的命令
[00:26:36] 就是长左边这个样子的
[00:26:37] 他每一次都就相当于
[00:26:39] 你可以往这个data的寄存器里面送一个程序
[00:26:42] 然后这个程序每次都是什么escape
[00:26:44] 一个ESC
[00:26:45] 然后啊一个命令
[00:26:47] 然后你你有
[00:26:48] 然后打印机支持各种各样的命令
[00:26:50] 比如说设置打印的呃resolution
[00:26:53] 然后设置打印的模式
[00:26:55] 设置这个打印的宽度
[00:26:57] 然后各种各种配置
[00:26:58] 然后你可以把图图像一个binary的图像送送过去
[00:27:03] 然后binary图像收
[00:27:04] 他收到以后他就可以
[00:27:06] 可以直接打印了
[00:27:07] 然后为了方便大家
[00:27:09] 更好的交换这种可以打印的文件
[00:27:11] 我们就有了postscript
[00:27:12] 我这里也有一个
[00:27:14] 这个postscript跟今天的这个SVG很像
[00:27:18] 你们都呃你们现在有大模型了
[00:27:20] 所以大模型最好的用法当然中单里面很好
[00:27:25] 如果你想要在普通的时候
[00:27:27] 平时你自己用的时候
[00:27:29] 你其实可以让它生成HTML或者SVG
[00:27:32] 然后这样你会得到一个更好阅读的
[00:27:34] 阅读的东西
[00:27:35] 比如说呃你们用不用AI给你们写文章
[00:27:40] 你今天行形势政策课要交作业
[00:27:42] 让AI帮你写一个
[00:27:44] 然后你又觉得那个AI帮你写的那个味道
[00:27:46] AI味比较重
[00:27:48] 然后AR味比较重呢
[00:27:49] 哎你但你头硬着头皮也你也就交了
[00:27:52] 然后我教给大家一个我的prompt
[00:27:54] 我的prompt会这样
[00:27:55] 这是这是因为我经常要改论文嘛
[00:27:57] 我给学生要改论文
[00:27:58] 我有这样的一个prompt
[00:27:59] 我希望他在输出的时候
[00:28:01] 给每一个重要的动词和名词一些额外的选项
[00:28:05] 也就是比如说我我我
[00:28:06] 我会让他输出一个这样的东西
[00:28:08] 比如说this is
[00:28:11] 然后我让他所有的有多个选项的时候
[00:28:13] 都用都用一个这样的语法把它表述出来
[00:28:17] 这样你就可以去选择你的风格
[00:28:21] 在一个prop里面就可以得到多种多种风格
[00:28:23] 然后你可以让它有多个句句子选对
[00:28:25] 是这个是可以next的
[00:28:26] 然后你现在只要给今天的reasoning model
[00:28:28] 他这件事情做的非常好
[00:28:29] 然后你可以用它来生成一个HTML卡片
[00:28:33] NHML卡片
[00:28:34] 所以这就是编程语言的力量
[00:28:36] 你看起来你看起来在1950年代的时候
[00:28:38] 你说我要做个打印机
[00:28:40] 就是一个你要设计一个这样的语言
[00:28:41] 但是你就一小步一小步一小步往前走
[00:28:44] 你就走到今天
[00:28:44] 你看我们有HTML
[00:28:46] 有SVG
[00:28:46] 我们就可以做很疯狂的事情
[00:28:48] 比如说postscript
[00:28:49] 它就是一个编程语言
[00:28:51] 甚至它是一个图灵完备的编程语言
[00:28:53] 它可以循环
[00:28:54] 它可以
[00:28:55] 它可以设置
[00:28:56] 它有一个基于stack的一个machine
[00:28:58] 但是它的本质
[00:28:59] 它的本质是用图形的状态机去构造一些路径
[00:29:04] 就跟这个一样
[00:29:05] 我有line
[00:29:06] 然后你的每一个postscript里面
[00:29:09] 它也可以描述一个路径
[00:29:10] 任何一个路径
[00:29:11] 但这个路径它可以是不是像这样都是直线的
[00:29:14] 它可以是二次的呃曲线
[00:29:16] 然后他有一个曲线
[00:29:17] 它有一个曲线
[00:29:18] 然后这个曲线它可以描述一个路径
[00:29:21] 然后它甚至可以给这个路径做一个填充
[00:29:23] 这些都是啊这个语言里面呃支持的啊东西
[00:29:28] 然后比如说设置字体
[00:29:30] 打印文字
[00:29:31] 反正这是一个一个程序
[00:29:33] 今天今天早上我我才让
[00:29:36] DeepSeek帮我帮我生成这个deep deep seek的结果
[00:29:38] 我就说说好
[00:29:39] 我现在要在上课的时候给大家讲
[00:29:42] 讲postscript
[00:29:43] 当然这个跟SBG很像
[00:29:44] Postscript
[00:29:45] 然后你能不能给我一个比较fancy的
[00:29:47] postscript
[00:29:48] 我在上课的时候可以可以做演示
[00:29:50] 我就这个prompt
[00:29:51] 然后他就给了我这个呃一个配置点P好
[00:29:55] 大家猜猜这是什么呢
[00:29:56] 呃大家不需要猜
[00:29:58] 我们有有很多工具
[00:30:00] 比如说我可以用p s to Pdf
[00:30:02] 把这个PS变成一个PDF
[00:30:05] 然后我就可以可以打开它
[00:30:07] 诶是他帮我生成了一个
[00:30:11] 确实还是很不错的
[00:30:13] Postscript
[00:30:14] 它有文字
[00:30:15] 它有文字
[00:30:16] 然后他有
[00:30:17] 它有图形
[00:30:18] 它可以精确地描述一个矢量的
[00:30:20] 可以无限放大
[00:30:21] 并且依然精确的图形
[00:30:23] 这样就可以极高的质量
[00:30:26] 做印刷
[00:30:27] postscript在很长的时间里面都是
[00:30:30] 都是打印界的标准
[00:30:32] word对你看它打印这个这个文字的时候
[00:30:36] 它就有一些命令
[00:30:37] 你看我可以指定一个字体
[00:30:38] 然后字号是28号
[00:30:40] 然后set font完了以后
[00:30:42] 我会移到把这个打印头移到某一个位置上
[00:30:44] 然后打印头移到这个位置上
[00:30:46] 你你用某一个字体啊去打印一个title
[00:30:50] 对一个postscript的字
[00:30:53] 在很长一段时间里面
[00:30:55] postscript都是打印界的事实事实标准
[00:31:01] PDFPDF的兼容性更好
[00:31:04] 而且去掉了这个postscript里面图灵完备的部分
[00:31:07] 它是一个更安全的一个container的格式
[00:31:09] 但是留下了很多这个postscript里面
[00:31:12] 这个比如说呃描述一个形状的啊这种功能
[00:31:18] 然后现现在现在我们有很多的
[00:31:20] 更多的编译器
[00:31:21] 比如说a tag
[00:31:22] 你用markdown
[00:31:23] 你都可以用一个编译器把它编译成PDF
[00:31:26] 然后这个PDF就可以送到打印机里面
[00:31:28] 现在很多的打印机也都支持直接打印PDF文件
[00:31:31] 你可以把一个PDF直接送进打印机里
[00:31:34] OK然后在早期的时候
[00:31:36] 甚至我们的系统里面我看有没有
[00:31:39] 系统里面都有LP或者LPR的命令
[00:31:42] 去直接把文件送到打印机里
[00:31:45] 所以在UNIX时代
[00:31:47] 甚至是我们还没有这么漂亮的图形界面的时候
[00:31:51] 我们其实就已经有这种东西了
[00:31:53] 一切都是用编程语言做的
[00:31:55] 然后用编程语言做
[00:31:56] 你可以写一个雷TAC
[00:31:57] 就甚至你在写雷tax的时候也没有图形界面
[00:32:00] 但就是这样程序的一层一层一层的编译
[00:32:02] 最终编译成一个啊我们的
[00:32:05] 底层的打印机可以理解的语言
[00:32:06] 这个打印机就可以帮你生成高质量的打印稿件
[00:32:11] 这是一件非常神奇的事情
[00:32:13] 你用一个命令就可以
[00:32:15] 就可以打印东西好
[00:32:17] 然后除了打印机以外
[00:32:19] 还有一个比较有意思的设备是摄像头
[00:32:23] 今天你买到的所有的摄像头
[00:32:24] 像这这个这也是一个摄像头
[00:32:26] 虽然它是一个显微镜
[00:32:28] 刚才刚才我们看到就就是我把它放的比较大
[00:32:31] 所有你买到这种USB的摄像头都是免驱的
[00:32:35] 然后你基本上你买到的所有的摄像头
[00:32:37] 应该也都是USB的
[00:32:38] 就是因为USB的它底下有一个标准叫做UVC
[00:32:43] 叫USB video class
[00:32:44] 它已经标准化了
[00:32:45] 然后这个标准化的协议
[00:32:47] 它规定了你怎么样枚举这个系统里面的呃U
[00:32:51] 这个USB的打印机设备
[00:32:53] 然后像LINUX里面
[00:32:54] LINUX里面你也会看到一个像video0
[00:32:56] video1这样的一个一个设备
[00:32:59] 然后你你的呃这样的一个摄像头
[00:33:02] 会和你的操作系统
[00:33:03] 或者说你的应用程序协商不抓捕图像的格式
[00:33:07] 分辨率
[00:33:08] 帧率
[00:33:08] 压缩方式等等
[00:33:09] 像刚才我就觉得应该是是我的这个摄像头
[00:33:13] 和它的树莓派之间呃协商的某一个参数弄错了
[00:33:17] 然后就就说他可能用了一个山寨的山寨的软件
[00:33:20] 然后这个软件没有没有实现好
[00:33:22] 它实现的不是这种完全标符合标准的
[00:33:25] U v c
[00:33:25] 然后然后我我我可能得到的像素颜色
[00:33:28] 就发生一些一些问题
[00:33:29] 然后完了以后他的传输就可以
[00:33:31] 可以开始可以逐帧
[00:33:34] 这个UVC给我们一个逐帧读取数据的功能
[00:33:38] 然后它就是一帧一帧一帧一张一张图片来读取
[00:33:41] 可以是一个未压缩的图像
[00:33:43] 也可以是一个压缩的
[00:33:44] 像motion jpeg或者H264的一帧一帧的呃图像
[00:33:48] 但仍然是字节流的交换
[00:33:50] 虽然虽然它经过了这个USB
[00:33:52] USB我一会也会讲到
[00:33:53] 虽然经过了USB
[00:33:54] 但是呃它的数据的交换是
[00:33:57] 依然是和这个寄存器的模式是啊模式是一样的
[00:34:01] 你看到的像今天的行车记录仪
[00:34:04] 显微镜内窥镜
[00:34:06] 平板扫描仪
[00:34:07] 什么眼球鼠标这些
[00:34:08] 这些本质上它都是一个UVC的设备
[00:34:10] 这样大家开发起来就很容易
[00:34:12] 他只要买一个呃UVC兼容的摄像头
[00:34:15] 然后在windows上面
[00:34:16] windows上面开发一个软件
[00:34:18] 那个东西就可以
[00:34:19] 就就啊这些都是比较有趣的设备
[00:34:21] 所以你看到虽然啊理论上这个东西很简单
[00:34:25] 就是交换数据的寄存器
[00:34:27] 但是因为我们可以有程序
[00:34:30] 可以有协议
[00:34:32] 所以我可以在这个上面
[00:34:34] 交换一些非常有趣的数据
[00:34:36] 这样就可以造出非常有趣的设备
[00:34:37] 对它我们的打印机和摄像头
[00:34:39] 这两个算是比较有趣的设备
[00:34:41] 当然呃有趣光有趣肯定是啊肯定是不够的
[00:34:46] 如果我们想要用借助这个IO的机制
[00:34:49] 来完成一些更复杂的任务
[00:34:53] 想要因为本质上IO设备
[00:34:55] 我们说是呃CPU的手和脚
[00:34:58] 他是CPU的延伸
[00:34:59] 他要做一些CPU完成不了的事情
[00:35:02] 除了除了我们说可以和另外一个设备交换数据
[00:35:06] 一个协议之外
[00:35:08] 我们还可以干一件非常有趣的事
[00:35:10] 我我希望的是我的一个设备device
[00:35:14] 可以和我的CPU共享内存
[00:35:17] 也就是我的device
[00:35:19] 能不能也和CPU接在同一个内存上
[00:35:23] 这当然是可以的
[00:35:24] 这称为协处理器了
[00:35:26] 当然协处理器未必一定是是这样
[00:35:28] 以共享内存的方式来来介入的
[00:35:30] 比如说早期的时候
[00:35:31] 我们CPU里面是没有浮点浮点数指令的
[00:35:34] 比如说80386是没有浮点指令的
[00:35:36] 然后他有一个80387的浮点指令
[00:35:39] 然后你的那个浮点的协处理器上面有些寄存器
[00:35:42] 然后你可以用CPU去去访问它
[00:35:44] 当然现在比如说今天
[00:35:46] 我们绝大部分的协协协处理器都会更复杂一些
[00:35:49] 然后它以共享内存的方式接到接到内存里
[00:35:53] 然后这个呃早期的一个这样的设备就是DMA
[00:35:57] DMA叫direct memory access
[00:36:00] 你可以把它理解成DMA就理解成是一个
[00:36:03] 就是一个CPU
[00:36:04] 它就是一个CPU
[00:36:06] 但是呢这个CPU它不像我们的CPU一样
[00:36:09] 可以执行任何指令
[00:36:11] 它的指令集非常的受限
[00:36:13] 或者说它甚至都没有指令集
[00:36:15] 它只能做一件事
[00:36:16] 比如说这个叫英特尔的8237的DMA
[00:36:19] 它一共有四个通道
[00:36:20] 然后有四个通道
[00:36:22] 它每一次都会去挨个通道来看
[00:36:25] 如果有任何一个通道
[00:36:27] 它的它要带拷贝的字符的字节的数量还大于零
[00:36:32] 它就会呃拷贝一个字节
[00:36:34] 然后因为我们的DMA和CPU是共享内存的
[00:36:38] 甚至我们的DMA还可以共享
[00:36:40] IO端口的这个地址空间
[00:36:43] D m a
[00:36:44] 所以所以它就可以实现
[00:36:46] 因为这是一个就是一个CPU嘛
[00:36:48] 跟你们学过多线程多处理器编程以后
[00:36:50] 这就非常好理解了
[00:36:51] 它就是一个CPU
[00:36:52] 然后这个CPU不停的执行memory copy
[00:36:54] 然后这个memory copy可以是内存到内存的
[00:36:56] 可以是内存到端口的
[00:36:58] 可以是端口到内存的
[00:36:59] 然后这样你就把CPU从比较麻烦的
[00:37:03] 比较长时间的IO里面解放出来的
[00:37:05] 比如说刚才我看到那个ATAATA里面
[00:37:07] 有一个从某一个IO端口里面读数据的过程
[00:37:11] 我们呃磁盘准备好了以后
[00:37:13] 他会把数据送过来
[00:37:15] 所以送到磁盘自己有个缓冲
[00:37:16] 然后他会把数据送到那个磁盘的缓冲里
[00:37:19] 然后我们可以从这个端口里面四个字节
[00:37:21] 四个字节
[00:37:21] 一个字节
[00:37:22] 四个字节里面读
[00:37:23] 但这样CPU不就占用在里面
[00:37:24] 如果我要读一兆的数据
[00:37:25] 那我CPU就会有一个很大
[00:37:27] 就会要等一个很大的循环才能执行完
[00:37:29] 为了把CPU从这个呃繁重的任务里面解解脱出来
[00:37:34] 我们就有一个更小的CPU
[00:37:36] 它只能执行memory copy
[00:37:37] 然后相当于CPU会依然
[00:37:40] 这个DA看起来仍然是一些寄存器
[00:37:42] CPU可以读写这些寄存器
[00:37:44] 然后这些寄存器用来控制
[00:37:46] 比如说呃我我memory copy的地址是什么
[00:37:49] 端口是什么
[00:37:49] 我要拷贝多少个字节
[00:37:51] 这些
[00:37:51] 以及
[00:37:52] 还可以通过这些寄存器来控制
[00:37:54] DMV的开始和结束
[00:37:55] 我可能可以取消一个正在进行的啊DA任务
[00:37:59] 然后一旦开始DMA就会开始在CPU内存
[00:38:04] 内存或者是IO设备之间啊传送数据
[00:38:08] 我CPU就就算力就就就释放出来了
[00:38:11] 所以一旦啊你发现你的你的一个IO设备
[00:38:15] 不仅可以是一组这样的寄存器的协议
[00:38:20] 还可以访问内存的时候
[00:38:22] 你就可以用
[00:38:23] 你就可以实现很多更复杂的功能了
[00:38:26] 比如说异构的加速器GPU和和NPU
[00:38:30] 我们前面前面一次课
[00:38:31] 讲了GPU里面的的编程
[00:38:33] 你你是一个C程序
[00:38:35] 你再扩大一个点CEO
[00:38:37] 你可以理解成它就是一个C程序
[00:38:38] 但是C程序里面呢有一些有一些kernel
[00:38:42] 这些kernel是运行在在GPU上的代码
[00:38:45] 然后当然你你是在这里用这个
[00:38:47] 比如说这个来来启动一个kernel
[00:38:49] 然后以及你有一些像KDA
[00:38:51] memory copy这样的这样的命令
[00:38:55] 然后这个时候我们的CPU和GPU又有意思了
[00:39:00] 在我们的GPU里面是有显存的
[00:39:03] 我们的GPU显CPU的内存太慢
[00:39:06] 他不想跟他
[00:39:07] 他觉得共享内存没有意义
[00:39:08] 但实际上是可以共享内存的
[00:39:09] 就是现在你是有一个
[00:39:11] 这个可以在KDA的host上面做memory allocation
[00:39:14] 然后分配一个内存和和GPU是是共享的
[00:39:17] 但是呃速度会慢一些
[00:39:19] 然后但嗯大部分时候GPU会认为它自己的显存
[00:39:23] 比金子还贵的显存
[00:39:24] 是更快的
[00:39:25] 所以他想要用用这个呃这样的啊显存
[00:39:29] 然后那那不就变成最后就会变成什么呢
[00:39:32] 我们的CPU会通过GPU的一些寄存器和他通信
[00:39:37] 告诉他要做什么
[00:39:38] 做一些配置
[00:39:39] 然后他会把像我们编译好的这个点
[00:39:43] 这个这个GPU上面的kernel也就是代码
[00:39:46] 然后以及ka memory copy的这些数据都通过DMA
[00:39:50] 因为本质上这些这些数据一开始是在内存里的
[00:39:53] 然后通过DMA送到显存里
[00:39:56] 相当于还有另外一个处理器是DMA
[00:39:59] DA会d ma会完成
[00:40:02] 扩大关
[00:40:02] ary copy kernel的copy
[00:40:03] 然后完了以后等它全部都拷贝好了
[00:40:06] CPU再跟GPU说
[00:40:07] 请你运行这个显存里面的
[00:40:09] 比如说有一个address
[00:40:10] 就有点像是像是启动一个程序一样
[00:40:14] GPU就是一个电脑
[00:40:15] 也是一台一台电脑
[00:40:16] 但是呃它和我们的CPU不太一样
[00:40:19] 它它它需要受到CPU的控制
[00:40:21] 来启动一个啊一个一个kernel的执行
[00:40:24] 然后一个然后很多很多这样的t worker的线程
[00:40:27] 它就呃它就启动起来了
[00:40:28] 然后其实其他的呃处理器加速器
[00:40:31] 比如说NPU
[00:40:32] 你们的手机
[00:40:33] 高通的处理器上都有一个NPU的引擎
[00:40:37] 像像高通的这样的
[00:40:39] NBU它是共享内存
[00:40:40] 它没有
[00:40:41] 不像欧欧米亚的这GPU里面它有独立的显存
[00:40:44] 它共享的内存
[00:40:45] 然后你只需要你只需要
[00:40:47] 告诉NPU执行什么样的程序
[00:40:53] 刚才讲了那么多的设备呢
[00:40:55] 其实呃你们也意识到有一个有一个问题了
[00:40:59] 每一个设备它都暴露了这样的一组
[00:41:02] 寄存器的接口
[00:41:03] 在IBMPC的时代
[00:41:05] 比如说你们的每一个端口它都是写死的
[00:41:08] 比如说3F8是什么
[00:41:11] 6364是什么
[00:41:12] 它每一个端口都绑定到了一个具体的设备
[00:41:15] 那是因为在那个时候他要做标准化
[00:41:17] 然后他呃他写死了
[00:41:19] 那个时候还没有那么多的设备吧
[00:41:21] 他没有想到在未来会有各式各样的设备出现
[00:41:25] 那如果想要兼容无线的设备
[00:41:29] 有没有可能呢
[00:41:30] 也就是说你看我们的每一个每一个呃设备
[00:41:34] 它都是一组寄存器
[00:41:36] 那我们有没有可能做一个像虚拟地址空间
[00:41:40] 一样的东西
[00:41:40] 对
[00:41:41] 我不再是原来的那个IO端口
[00:41:43] 而是我有一个像地址空间01234
[00:41:46] 然后他就是像它就可以memory map到这一组计算器
[00:41:49] 就可以memory map到进程的地址空间里
[00:41:52] 然后我如果把一个D组寄存器插插进来
[00:41:56] 插到一个设备
[00:41:57] 比如说一个打印机插到这里
[00:42:00] 它就是234
[00:42:01] 然后插到这里就是678
[00:42:03] 有没有这个可能呢
[00:42:05] 当然有
[00:42:06] 其实你这就是你们每天都用的叫总线
[00:42:10] 总线
[00:42:10] 其实也是一个特殊的IO设备
[00:42:12] 你可以这样理解
[00:42:14] 它也是一个一堆一组寄存器
[00:42:17] 但是它的寄存器会比一个
[00:42:19] 像一个具体的设备来说
[00:42:20] 比如说一个这样的摄像头来说要要要多一些
[00:42:23] 然后它的寄存器就是可以动态分配的
[00:42:26] 然后他有一组协议
[00:42:28] 可以只要CPU
[00:42:29] 只要和总线相当于CPU
[00:42:31] 只要和总线说话
[00:42:32] 只要只要他可以问总线上有哪些设备
[00:42:35] 可以轮询这个总线总线上面有哪些设备
[00:42:37] 然后这个总线有没有设备的变化
[00:42:39] 总线也可以给CPU发送中断
[00:42:41] 甚至总线上也有自带一个DMA
[00:42:44] 它只要配置好CPU
[00:42:45] 只要跟它跟我的总线上面的DA说好
[00:42:48] 从哪一个端口开始
[00:42:50] 把哪一些内存搬到内存的哪里
[00:42:53] 这就可以完成了
[00:42:54] 所以总线就是这样的一个
[00:42:55] IO设备的管理器
[00:42:57] 所以只有建设了这样的生态
[00:43:00] 这个硬件厂商才会不断的可以生产兼容的设备
[00:43:04] 这样这个生态就会越滚越大
[00:43:06] 然后现在最知名的呃几个几个总线
[00:43:10] 那比如说呃我插这个显卡的PCIE总线
[00:43:14] 我先把这个显卡拔下来
[00:43:17] 对PCIE总线
[00:43:18] 你们的CPU其实就有一些
[00:43:20] 这个PCIE的lengths
[00:43:21] 你看到
[00:43:22] 这是英特尔的CPU
[00:43:23] 是这样的
[00:43:23] 英特尔的CPU是是有一些呃PCIE的LINS的
[00:43:27] 这就是PCIE总线的插槽
[00:43:29] 如果你有一个显卡
[00:43:31] 你有一个显卡
[00:43:32] 然后你就可以正对着它把它插进去插到底
[00:43:37] 然后插到底以后
[00:43:38] 实际上就是完成了这个过程
[00:43:40] 完成了这个上面的寄存器和总线
[00:43:45] 上面的一些寄存器的对齐
[00:43:47] 然后总线啊相当于你一旦把它插进去以后
[00:43:50] 当然它会和总线再有一些齿轮的通信
[00:43:52] 然后总线会把这个设备管好
[00:43:54] 管好
[00:43:55] 管好以后
[00:43:55] 它就可以在CPU里面以内存
[00:43:58] memory map的IO的方式去访问我的啊这个设备
[00:44:01] 所以不管你插进去的是一个显卡还是一个网卡
[00:44:05] 它都构建了一个这样的IO
[00:44:08] 数据的寄存器上的通路
[00:44:10] 这就是总线的呃功能
[00:44:13] 然后总线会把你CPU上那边
[00:44:15] 实际上的数据就会发到转发到相应的设备上
[00:44:19] 其实其实本质上我们刚才说的那个那个port I/O
[00:44:23] port base的IO那个访问磁盘
[00:44:25] 访问p s two的那个IO
[00:44:26] 它也是一个总线
[00:44:27] 总线是计算机非常非常重要的一个呃一个设计
[00:44:33] 然后你们用的更多的是这样的
[00:44:36] USB总线上面的设备
[00:44:38] 就是USB总线上面
[00:44:39] 然后你有一个这USB的呃的口
[00:44:42] 然后你直接把这个USB的接口插进去
[00:44:45] 插插好了以后也是同样的完成了这个过程
[00:44:49] 然后CPU可以询问这个总线
[00:44:51] 这个总线上面有有什么样的设备
[00:44:53] 比如说我们可以用LSPCI
[00:44:56] 可以list PCI
[00:44:57] 你们也可以在在你们的系统上list PCI
[00:45:00] 现在我的树莓派上它的
[00:45:03] 拓扑会和你们不太一样
[00:45:04] 比如说我说在在X86的系统上面
[00:45:07] 我们的USB的总线是挂在PCI总线上的
[00:45:11] 它有相当于PCI总线
[00:45:12] 有一部分接了一个USB总线的控制器
[00:45:14] 然后USB还可以再接
[00:45:16] 再接一层一层一层啊啊往后接
[00:45:18] 然后我们也同样可以
[00:45:20] 比如说啊LSUSB杠T
[00:45:22] 那你可以得到一个树状的呃USB的列表
[00:45:27] 然后我现在把这个摄像头打开以后
[00:45:29] 打开以后应该就可以看到这个对
[00:45:32] 看到一个
[00:45:33] 你看我的port001上
[00:45:35] 我确实插在最右边的那个接口上
[00:45:37] 我在最右边的接口上插了
[00:45:39] 插了这个摄像头
[00:45:40] 然后并且我把它打开打开以后
[00:45:43] 就有了这样的一个啊设备
[00:45:45] class等于video driver等于u v c video
[00:45:48] 然后有480兆的
[00:45:51] 传输传输速率对
[00:45:53] 这是总线总线
[00:45:54] 它支持设备的发现
[00:45:56] 呃也可以有一些名字
[00:45:59] 比如说你扫描PCIE总线的时候
[00:46:00] 你可以从那个设备上面得到一个设备号
[00:46:03] 然后那个设备你可以通过那个设备号
[00:46:05] 知道他是哪一个厂商生产的
[00:46:06] 然后你可以加载相应的驱动
[00:46:08] 你就可以可以把这个设备给
[00:46:10] 给正确的运行起来了
[00:46:12] 然后当然了
[00:46:13] 总线其实是一个非常复杂的东西
[00:46:15] 也有了不少的名场面
[00:46:34] 对啊这是这是名场人标
[00:46:37] gets打了一个非常好的圆场
[00:46:39] 这个标GE思说
[00:46:40] 这就是为什么我们现在还没有
[00:46:42] 还没有发布正式的
[00:46:44] 正式的发布发布他
[00:46:46] 那这这这就是这总监就是很复杂
[00:46:49] 因为你看他刚才展示的功能
[00:46:50] 是在插入这个设备以后
[00:46:53] 当然操作系统
[00:46:54] 你的应用程序是不会不会看这个总线的
[00:46:57] 然后然后操作系统会收到一个中断
[00:46:59] 然后说到这个中断以后
[00:47:00] 他就会去轮询这个总线
[00:47:02] 会会轮询这个总线
[00:47:03] 然后去找找到总线里面哪一个设备是新的
[00:47:05] 然后刚才他还说他会去加载
[00:47:08] 自动加载一个驱动程序
[00:47:09] 自动安装一个驱动程序
[00:47:11] 然后那个地方很有可能有一个驱动程序
[00:47:13] 里面有个bug或者或者别的原因
[00:47:15] 时序上的问题
[00:47:17] 然后然后整个系统
[00:47:18] 因为是在内核的代码里面运行
[00:47:19] 所以它就它就它就crash了
[00:47:21] 所以一直到windows7的时候
[00:47:23] 这个windows整个driver的子系统都都重构了
[00:47:27] 对经历了很大的呃很大的很大的变化
[00:47:30] 各种各样的总线是吧
[00:47:31] PCI
[00:47:33] Uu s b
[00:47:34] 然后今天呃实际上就是在你们的PC机
[00:47:37] 包括呃包括其他的设设备上
[00:47:40] 比如说像像一个
[00:47:41] 能够AI盒子这样的设备上
[00:47:44] PCIE都是受到特殊优待的一个一个设备
[00:47:47] 因为它的速度很快
