[00:00:00] 今天我们来讲并发算法和并发的数据结构
[00:23:27] 然后等到多到一定程度的时候
[00:23:29] 你又可以切成三份123
[00:23:33] 因为本质上你只要算完这一层
[00:23:36] 你只要算完这一层
[00:23:37] 你就可以算下一层
[00:23:38] 只要算完这一层就可以算下一层
[00:23:40] 所以你不是一定要按照原来的这个问题
[00:23:42] 这个问题可能是这样写的
[00:23:44] DPIIJ等于DPI减一
[00:23:46] J加加什么什么什么
[00:23:47] 或者一个max加一
[00:23:48] 但是你在切分问题的时候其实是灵活的
[00:23:51] 你可以切成一块一块
[00:23:53] 然后块和块之间有这个依赖关系
[00:23:56] 快和快之间依赖关系
[00:23:57] 那这个时候我们其实就就满足了
[00:24:01] 这样的一个可以scale up
[00:24:03] 甚至是Scout的一个呃模式
[00:24:06] 就是我们同步上锁的时间是很小的
[00:24:11] 但绝大部分的时间我们都是在做一个
[00:24:13] 自己的
[00:24:15] 自己本地的一个运算好
[00:24:19] 然后这就引引出了一个其实是一个领域吧
[00:24:22] 一整个领域叫高性能计算
[00:24:25] 根据定义
[00:24:26] 根据定义
[00:24:26] 高性能计算是a technology that harnesses
[00:24:29] The power of supercomputers or computer clusters
[00:24:32] 超级计算机或者是计算机集群
[00:24:34] To solve compact problems
[00:24:36] Require massive competition
[00:24:37] 我们需要massive competition的各种各样的案例
[00:24:41] 这个高性能计算其实就是源于各种各样的
[00:24:44] 数值密集型的科学计算任务
[00:24:46] 比如说比如说啊我们知道这个大到宇宙
[00:24:51] 小到量子
[00:24:52] 只要你有模型
[00:24:53] 你就能模拟
[00:24:54] 你你有牛牛顿力学
[00:24:55] 你就可以模拟任何粒子系统
[00:24:57] 你只要把它拆的更小
[00:24:59] 更够细腻
[00:25:00] 你就你就你就可以模拟
[00:25:01] 然后只要你有这个物理系统的公理
[00:25:03] 不管你是天上的气流还是核武器的爆炸
[00:25:07] 还是水水
[00:25:08] 你都可以模拟
[00:25:10] 所以你再也不需要去真的去做地下核试验了
[00:25:14] 你只要建模
[00:25:16] 因为因为原子的模型我们已经搞得很清楚了
[00:25:18] 而且我们做了很多的实验
[00:25:20] 确实可以验证
[00:25:21] 我们建的那个物理的模型还是比较比较准确的
[00:25:24] 比如说我我以前合作过一些
[00:25:25] 这个和和化学的人做
[00:25:27] 他们在模拟这个有机物反应的时候
[00:25:29] 他们就会考虑到量子化学的特性
[00:25:30] 然后他无非就是你你投入多少计算量
[00:25:34] 你就可以获得多大的精度
[00:25:36] 你算得越慢
[00:25:37] 你你精度就越你
[00:25:38] 你最后那个结果就离真实的结果越准
[00:25:40] 所以这就是一个非常典型的require
[00:25:42] massive computation的这样的任务
[00:25:45] 所以所以你就你可以理解
[00:25:47] 像科学计算这种大规模的高性能计算
[00:25:50] 会在天气预报
[00:25:51] 航天
[00:25:52] 制造
[00:25:53] 能源
[00:25:53] 制啊这些一切领域都是呃毁灭性的战斗力
[00:25:57] 直到AI
[00:25:58] 当然这是AI之前
[00:25:59] 因为在AI之前我们只能硬模拟
[00:26:00] 然后在AI有了以后
[00:26:02] 在硬模拟的基础上
[00:26:03] 好像又有一些像阿尔法fold这样的
[00:26:05] 很有趣的
[00:26:06] 很有趣的东西
[00:26:07] 这一直以来都是给高性能计算买单的
[00:26:10] 最大的客户
[00:26:11] 然后随着高性能计算继续往前发展的时候
[00:26:15] 又有了两个算是比较近的新力量
[00:26:18] 第一个是矿场
[00:26:20] 你们知道那个你们有有同学
[00:26:22] 持有大量的比特币吗
[00:26:23] 呵呵本质上BLOCKCHAIN就是比特币
[00:26:26] 它是一个呃就是一个pn only的list
[00:26:29] 你可以理成它就是一个数据结构
[00:26:31] 它是一个PANDON的list
[00:26:32] 但是这个list是分布式的
[00:26:34] 由由地球上的所有所有参与者维护的
[00:26:36] 然后这个时候那你你如果有任何一个同学
[00:26:40] 你想他这个分一个账本
[00:26:42] 如果这个账本落入了一个恶意的同学手里
[00:26:44] 这个同学就可以随意篡改这个账本
[00:26:47] 或者就故意不把一些不把这个记录的
[00:26:50] 要该记账的东西记到这个账本上
[00:26:52] 然后这个账本就不可信了
[00:26:53] 那怎么样做一个可信的账本呢
[00:26:56] 我们让所有的同学都来做期末考试
[00:26:58] 都来做考试题
[00:27:00] 然后谁先做出来
[00:27:01] 随机随机
[00:27:03] 你们像上面每一个都是随机的
[00:27:04] 然后就要做个考试题
[00:27:05] 做个考试题
[00:27:06] 谁先做出来
[00:27:07] 哎我这次就让他记账
[00:27:09] 然后这样我就可以实现一个强制的分布
[00:27:12] 所有的参与的玩家
[00:27:13] 你们都有机会来记账
[00:27:15] 这样然后来来来实现一个分布式的账本
[00:27:18] 大概是这样
[00:27:20] 然后这就这就催生了一个
[00:27:21] 如果你想要想要想要记账的话
[00:27:23] 你需要proof of work
[00:27:24] 你要你要你要你要证明自己有这么多算力
[00:27:26] 那你要证明自己有这么多算力的话
[00:27:28] 你就会需要很多的呃GPU
[00:27:31] 矿卡嗯
[00:27:32] 嗯这样的广场
[00:27:34] 然后以及呃呃现在的现在最热门的啊AI推理
[00:27:39] 最最近XAA就今天的消息XAI才解散
[00:27:43] 然后他要把所有的算力都给这个ANTHROPIC
[00:27:45] 跑这个cloud系列的啊系列的模型
[00:27:48] 我我今年会有两节课来专门讲
[00:27:50] 讲这个GPU相关的相关的内容
[00:27:53] 诶
[00:27:53] 这是经典的高性能计算
[00:27:55] 然后我们再看看高性能计算是怎么样
[00:27:57] 一路走来的
[00:27:59] 1976年的时候
[00:28:00] 这叫the world's most expensive love seat
[00:28:03] 世界上最贵的沙发
[00:28:05] 为什么沙发
[00:28:06] 那是因为它这个系统在设计的时候
[00:28:09] 因为有一个底座
[00:28:10] 底座里面应该是走线的
[00:28:11] 我们那个那个呃论文里面有一张图
[00:28:15] 那里面有张图
[00:28:16] 我们可以把这个论文打开来
[00:28:17] 然然后他这个地方是真的可以做人的
[00:28:20] 这这个就是create他的他的发明者
[00:28:23] 这是1976年时候的words
[00:28:24] moi can pensive love seat
[00:28:27] 138
[00:28:28] 赵flops
[00:28:29] 13810的六次方flops
[00:28:32] 然后它的功耗是115千瓦
[00:28:35] 115千瓦
[00:28:37] 注意是千瓦
[00:28:38] 我们对比一下
[00:28:39] 今天如果你有一个M4的ipad pro的话
[00:28:42] 它的峰值算力是3.8TFLOS
[00:28:45] 注意是t flops
[00:28:47] 这个是M中间还隔了还隔了一个单位
[00:28:52] M是十的六次方
[00:28:53] G是十的九次方
[00:28:54] T是十的12次方
[00:28:56] 没有100万倍
[00:28:57] 但是是这个数量级已经来到了100万的差距
[00:29:01] 就是一个apple m4的ipad pro
[00:29:02] 然后呃最近很火的
[00:29:05] 很火的一个恰吉米打的AI大家试过吗
[00:29:10] 好诶恰恰清明那试完一个能够跑1万5000
[00:29:16] token per second的一个ASIC
[00:29:18] 它把呃大圆模型
[00:29:20] 一个8P的模型烧到一个电路上
[00:29:22] 就是硬是以门电路的形式烧进电路里
[00:29:25] 然后我们可以看一下
[00:29:33] 试一试
[00:29:37] 网不太好
[00:29:40] 但就这你看你们在你们在用用AI的时候
[00:29:45] 没有过这种速度的体验
[00:29:47] 在网好的时候
[00:29:48] 你们你们试一下
[00:29:49] 这是一个非常离谱的体验
[00:29:51] 就就这种你按下回车
[00:29:53] 你看就
[00:29:56] 啪叽这个头token就就出来了
[00:29:59] 可以
[00:30:02] 就你们从来从来没有用过一个大圆模型
[00:30:05] 是是这个这样体验的
[00:30:07] 哪怕他只是一个8B的模型
[00:30:08] 其实8B的模型它质地其实已经还还相当可以
[00:30:10] 像做一些做一些翻译啊之类的任务
[00:30:13] 他当然他因为经过了过度量化
[00:30:15] 所以模型的质量并不能说是非常好
[00:30:17] 但是总之这是一个非常离谱的事情
[00:30:20] 然后我们测大概算了一下
[00:30:22] 他这块芯片基本上得有300t office
[00:30:26] 那就是那就真的来到了这个相当于200万台
[00:30:30] ky one的计算能力
[00:30:31] 而它那个芯片大概只有20几瓦
[00:30:33] 芯片20几瓦
[00:30:34] 然后在达到了115千瓦的
[00:30:37] 115千瓦的这个呃200万倍的算力
[00:30:41] 然后以及我们今天的呃超级计算机
[00:30:44] 对
[00:30:45] 这个是中国超算top1202025
[00:30:50] 每年都会有一个呃排名的
[00:30:53] 不过这个排名的榜单也有很久
[00:30:57] 霸榜呢还已经很久
[00:30:58] 没有没有没有人再去建一个更大的超算
[00:31:01] 或者没有公开的这种啊这种超算了
[00:31:03] 而且你看有些安装地点都都不公开
[00:31:08] 你看啊网络公司网络公司
[00:31:10] 然后这个是啊2016年的时候
[00:31:13] 当时拿到世界第一的
[00:31:14] 10年以前拿到世界第一的
[00:31:16] 超算这个神威太湖之光
[00:31:18] 在在这个江南计算所呃的设备
[00:31:23] 他有这么多个CPU
[00:31:25] 数不过来了
[00:31:26] 然后你们看到现在的超级相机
[00:31:29] 它是用p flops算的
[00:31:31] 它不是t flops
[00:31:33] 又多了一个十的三次方
[00:31:35] 所以说这是一个多么可怕的算力
[00:31:38] 就是因为有这些算力
[00:31:40] 有AI
[00:31:41] AI才能走到今天
[00:31:43] 今天这样的
[00:31:45] 今天的这样的时代
[00:31:46] 不过我强烈的建议
[00:31:48] 虽然我现在打不开
[00:31:48] 我不知道为什么
[00:31:49] 我强烈建议大家花一点时间去读一下这个
[00:31:52] The world's most expensive levy
[00:31:54] 他的论文里面有那个整个create wine的设计图
[00:31:57] 整个科曼的设计图包括指令集
[00:31:59] 包括整个系统的
[00:32:01] 硬件的物理设计非常推荐
[00:32:04] 可以玩好
[00:32:05] 那么到底是什么样的
[00:32:07] 你们马上就有问题
[00:32:09] 我今天主题是scale up和scale out
[00:32:11] 到底什么样的程序
[00:32:13] 可以跑在一个有那么多CPU的
[00:32:17] 那么多CPU的一个计算机上
[00:32:19] 甚至是一个计算机群上
[00:32:21] 因为你们到现在为止
[00:32:22] 可能绝大部多数同学摸过的都是一个呃16核
[00:32:25] 32核的啊计算机
[00:32:27] 那么对于这样的模型来说
[00:32:28] 用我们课上的线程库
[00:32:30] 12点HSTRSINK点H那都是非常够用的
[00:32:33] 你你创建32个线程
[00:32:34] 然后做一个生产者
[00:32:35] 消费者把任务
[00:32:37] 像将任务分解了就行了
[00:32:38] 但是如果我们真的真的给你100万1000万个
[00:32:42] 没有1000万100万个核心
[00:32:44] 你你到底是你到底该怎么用它呢
[00:32:47] 所以最早的驱动我们超高性能计算的
[00:32:50] 这些科学计算问题
[00:32:53] 他就利用了
[00:32:54] 他就利用了一个一个特点
[00:32:56] 就是我们总是可以把物理的世界切分成网格的
[00:33:01] 只要我们去模拟的那个物理系统足够大
[00:33:04] 比如说我
[00:33:05] 我我不是想要模拟这南京大学这个顶上的天气
[00:33:08] 而是我要模拟全世界顶上的天气好
[00:33:10] 那你想切出100万份
[00:33:12] 1000万份
[00:33:13] 那就轻轻松松
[00:33:15] 只要你的这这个系统够大
[00:33:16] 你你就可以轻松的把它切成几几千万份
[00:33:19] 然后切完了以后呢
[00:33:20] 每一份都可以独立计算
[00:33:22] 当然每两份之间是会有会有这个边
[00:33:26] 边界上的值的
[00:33:27] 边界上的值
[00:33:28] 因为边上的值既受我左边影响
[00:33:30] 也受我右边影响
[00:33:30] 那么那当然也有可能
[00:33:32] 比如说我如果分分解成它
[00:33:33] 不未必是分解成这样的网格
[00:33:35] 它可以分解成一个六边形的网格
[00:33:37] 这样我每一个就有就有六个相邻的呃格子
[00:33:42] 这呃这样这样会更科学一些
[00:33:44] 比如说这假设我分解成这样的
[00:33:47] 这样的网格
[00:33:47] 那么我只是我只需要在算这条边上面的
[00:33:53] 少量的点的时候
[00:33:54] 我需要同步
[00:33:55] 那那其实他们也研究了很多算法
[00:33:57] 来解决这个问题
[00:33:58] 来来同步
[00:33:59] 那每一个块块里面
[00:34:02] 它的计算基本上就是可以并行的
[00:34:04] 而可以并行就意味着是
[00:34:07] 就像我们刚开始提到的这样
[00:34:09] 我只需要在很少的一部分是上锁的
[00:34:12] 需要同步的
[00:34:13] 而绝大部分都是我在本地计算的
[00:34:15] 那么我的整个呃高性能计算的集群或者算法
[00:34:19] 我就可以可以借助好
[00:34:21] 这样的这样的计算计算任务
[00:34:24] 能把能scale up
[00:34:25] 能能够scale out
[00:34:27] 然后如果你们刚才留意到一个细节的话
[00:34:29] hp c china100使用的就评估hp c使用的是LINPACK
[00:34:35] 零派是一个基准程序
[00:34:37] 你们你马上回去就可以问AI说零派是是什么
[00:34:40] 另外简单来讲
[00:34:41] 就是求解一个求幂矩阵的线性方程组
[00:34:45] ax等于B就这个
[00:34:47] 当然这个矩阵可以很大
[00:34:48] 非常呃非常非常大
[00:34:50] 然后这也是一个可以分块计算的任务
[00:34:51] 所以它可以运行在呃操系统
[00:34:54] 不是操作系统
[00:34:54] 可以可以运行在这个呃超级计算机上
[00:34:58] 那为什么线性方程组这么重要呢
[00:35:00] 是因为所有的非线性系统
[00:35:03] 那种用微分方程来定义的系统
[00:35:05] 你都可以用牛顿法把它变成一个线性的系统
[00:35:07] 嗯你就像有限元
[00:35:09] 就像呃对各种各样的
[00:35:11] 我不是这方面的专家
[00:35:13] 但总总体来说
[00:35:16] 你几乎总是可以用求解线性方程组
[00:35:19] 方程组的方式来求解非线性的问题
[00:35:21] 然后好那呃这个问题就解决了
[00:35:25] 你只需要做一个很大的
[00:35:27] 巨大无比的线性线性方程组
[00:35:28] 然后去去求解它就呃就可以
[00:35:31] 哪怕是比如说稀疏的
[00:35:32] 它的局部也也会
[00:35:33] 最后会分解成很多稠密的这个呃线性方程组
[00:35:37] 然后稠密的线性方程组在
[00:35:39] 再再来再来求解
[00:35:41] 就可以了
[00:35:42] 这个是科学计算里面的绝大部分问题
[00:35:45] 满足的啊特性
[00:35:46] 但是还有一赖
[00:35:48] 除了除此之外
[00:35:49] 这其实是比较复杂的
[00:35:51] 超级算机上的程序
[00:35:52] 还有一类问题
[00:35:54] 有一个词语叫做embarrassingly parallel
[00:35:57] 这个名字不是特别好
[00:35:59] embarrassingly parallel令人尴尬的并行
[00:36:02] 这种并行意味着你的整个计算图
[00:36:05] 几乎不需要什么同步和通信
[00:36:08] 就说如果你说
[00:36:09] 就比如说我的物理系统的模拟的话
[00:36:11] 比如说我是T等于零
[00:36:13] 然后我有一个T等于一
[00:36:15] 我要算T等于零和T等于一的网格
[00:36:17] 那我T等于一
[00:36:18] 如果我把这个这个网格做一个计算任务的话
[00:36:20] 那它就可能会
[00:36:23] 可能会和它相邻的网格有一些依赖关系
[00:36:26] 所以它是一层一层的
[00:36:28] 我先算T等于零
[00:36:29] 然后再算T等于一
[00:36:31] 一再算T等于二
[00:36:32] 一层一层的这样的一个依赖图
[00:36:34] 这个图已经够可以并行化了
[00:36:36] 然后所谓的embarrassing parallel呢
[00:36:38] 大概这个图就会计算图就会长成这个样子
[00:36:41] 我我的一个东西
[00:36:42] 我就可以是可以放出无穷多个
[00:36:45] 几百万几千万个计算任务
[00:36:47] 然后计算任务完了以后
[00:36:48] 最后我说一个结果就行了是吧
[00:36:50] 一个embarrassingly parallel任务
[00:36:53] 然后那它天生就是可以可以很容易并行的
[00:36:55] 你只需要把这个部分先把任务切好
[00:36:58] 切好以后
[00:36:58] 你就把它放到第一个计算机上
[00:37:00] 或者第一个线程上
[00:37:01] 然后再把它放到第二个计算机上
[00:37:03] 或者第二个线程上
[00:37:04] 第三个计算机或者第三个线程上
[00:37:06] 然后你就scale up and scale
[00:37:08] Scout
[00:37:09] 然后这样的例子其实很多
[00:37:11] 我们在课上都展示过不少
[00:37:13] 比如说research
[00:37:15] 你要下围棋
[00:37:16] 你要下围棋的时候
[00:37:17] 你你你第一次可能有第一部可能有十种下法
[00:37:22] 第二部有嗯十种想法
[00:37:25] 那你有100种
[00:37:26] 1000种
[00:37:26] 1万种
[00:37:27] 那你只需要在一个县城里面
[00:37:30] 或者哪怕你有几个线程
[00:37:31] 你先去搜索十层
[00:37:35] 你就有了好多好多个搜索的指数
[00:37:38] 可能几本
[00:37:39] 你可以找到几百万或者几千万个搜索的指数
[00:37:41] 然后你再把这几百万
[00:37:42] 几千万的搜索指数去分配到机器上
[00:37:46] 相当于前面有一个比较复杂的计算统
[00:37:49] 然后呃但之后就是一个embarrassingly parallel
[00:37:52] 这个啊这个过程
[00:37:54] 我我们实现过这个fork base base的DFS
[00:37:57] 你们其实是可以直接啊直接抄答案
[00:37:59] 以及其实你们现在直接就让AI你
[00:38:01] 你你有这个概念
[00:38:03] 你知道你知道搜索是可以搜索的
[00:38:06] 指数是可以并行的
[00:38:06] 所以你可以可以要求
[00:38:08] 如果你你不要求的话
[00:38:09] 你如果让AI写一个Python程序
[00:38:11] 帮我搜索什么什么什么
[00:38:12] 他会给你一个顺序的Python程序
[00:38:14] 但如果你告诉他
[00:38:15] 你你你可以用这种for babase的DF
[00:38:18] 他就会给你一个并行化的
[00:38:19] 你可以用好你自己的CPU的
[00:38:22] 至少十几个线程
[00:38:23] 你这真的可以快十几倍
[00:38:25] 而快十几倍
[00:38:26] 十几倍十几倍其实不是一个小数目
[00:38:29] 如果你你你的你的CPU比如说有20个核的话
[00:38:32] 你嗯你能快十倍
[00:38:34] 那就意味着本来是一分钟的任务
[00:38:36] 你只要六秒钟
[00:38:37] 一分钟到六秒钟
[00:38:39] 你一分钟
[00:38:40] 如果如果你等了几五六秒钟没有出来的时候
[00:38:43] 你肯定去摸鱼了
[00:38:45] 就像你你你打开col code
[00:38:47] 你让他干事的时候
[00:38:48] 那我就一定会去干另一件事
[00:38:50] 因为我不想等它
[00:38:51] 而且我我自己做了一个hook
[00:38:53] 我的办公我我我没有在这台机器上做
[00:38:54] 我办公室机器
[00:38:56] 有一个hook
[00:38:57] 然后当那个每当coco的trap到用户输入的时候
[00:39:01] 他都会叮放一个声音
[00:39:02] 然后我就知道他他干完了
[00:39:03] 然后可以接我去看
[00:39:05] 这样我就可以完全放到后面
[00:39:06] 然后现在你看
[00:39:07] GPT也有也有也有有pet了
[00:39:09] codex有那个pet
[00:39:10] 你可以你可以选一个pet
[00:39:11] 然后再在你的那个桌面上面
[00:39:14] 那它它它运行完了
[00:39:15] 他会他会他会他会告诉你
[00:39:17] 但是如果你这个任务能从一分钟降到五秒钟
[00:39:21] 他就可以不打断你的思路
[00:39:23] 你就可以在五秒钟之内再去做下一件事
[00:39:25] 再改一改
[00:39:25] 再做下一件事
[00:39:26] 所以嗯哪怕是十几倍的加速
[00:39:28] 都是都是非常值得的
[00:39:30] 然后以及呃啊tracer只是一种
[00:39:32] 还有一种叫monte color算法
[00:39:34] mont color算法
[00:39:35] 就是如果你要去呃逼近一个概率分布
[00:39:38] 就要要拟合一个概率分布
[00:39:39] 就不停的在这个概率分布里面采样
[00:39:41] 然后采样完了以后
[00:39:42] 你就你就大概你就知道
[00:39:44] 比如说哎这个概率分布的均值是多少
[00:39:46] 打个比方
[00:39:47] 你有一个未知的概率分布
[00:39:48] 你要知道这个随机变量的均值
[00:39:50] 然后那你就去采样1000万份
[00:39:52] 然后把它们加起来
[00:39:53] 然后呃
[00:39:55] 除一下那呵
[00:39:56] 那这就是个embarrassing sily parallel的任务
[00:39:59] 因为你每一次采样都是独立的
[00:40:01] 蒙特卡罗独立的采样
[00:40:03] 然后那你每一次采样都独立的
[00:40:04] 你你就可以分配的
[00:40:06] 你在第一个计算机上采用100万次
[00:40:08] 第二个采用100万次
[00:40:09] 第三个采用100万次
[00:40:10] 就scale up and scale out了
[00:40:13] 再比如说你们要要编码或者解码一个视频
[00:40:16] 那视频如果你关键帧切好了以后
[00:40:18] 这个关键帧呃和关键帧之间的
[00:40:22] 一段视频它就完全是独立的
[00:40:25] 你可以分给两个线程或者两个机器啊来处理
[00:40:29] 这些都是高性能计算里面常见的啊常见的模式
[00:40:33] 然后我今天也给大家准备了一个例子
[00:40:35] 叫呃mander brother set
[00:40:37] 我来先给大家介绍一下
[00:40:40] Manner brother set
[00:40:41] 虽然看起来这个不是我们操作系统课
[00:40:44] 上面的内容
[00:40:45] 但是我依然非常我非常想想要呃来介绍一下
[00:40:53] 有一个WALKTHROUGH
[00:40:55] 他这个分型首先啊让我们以递归的公式
[00:40:59] XN等于XN减一平方为例
[00:41:01] 它不断的递归
[00:41:02] 然后把这个递归划在数值上
[00:41:04] 然后这时候我就可以更改X0的数值
[00:41:07] 然后我我我每一次比如说
[00:41:09] 我如果是1/2的话
[00:41:11] 那我就是1/2
[00:41:12] 16/4分之一呃
[00:41:15] 就1/256
[00:41:16] 这样越来越小
[00:41:17] 越来越小
[00:41:17] 所以你看到的是他不停的往左跳
[00:41:20] 然后越跳越小
[00:41:21] 越跳越小
[00:41:21] 越越跳越小
[00:41:22] 那如果我到一的时候也是类似的
[00:41:25] 我第一次会跳到正的
[00:41:26] 比如说我一
[00:41:27] 我我接近一的时候
[00:41:28] 我第一次会跳到一个接近一呃
[00:41:31] 我到一的时候才会到一接近一的地方
[00:41:33] 然后他再会往往零的地方跳
[00:41:35] 然但是如果我往其他地方走的话
[00:41:37] 它就是啊就是发散
[00:41:40] 所以如果X0大于一
[00:41:42] 序列是发散的
[00:41:43] 然后如果X0在一和一之间
[00:41:46] 他就是收敛的
[00:41:47] 如果呃X小于一
[00:41:49] 序列也是也是发散的
[00:41:53] 然后这样就定义了一个神奇的东西
[00:41:54] 叫做julia set
[00:41:56] julia set我们完全是和刚才一样的序列
[00:41:59] XN等于XN减一的平方
[00:42:02] X呃零的平方还是零
[00:42:03] 然后一的平方就一来回跳
[00:42:06] 但是我这次不再是不再是在实数轴上
[00:42:10] 而是在负负平面上
[00:42:12] 如果在复平面上
[00:42:15] 哎因为负数负数是带旋转的
[00:42:20] 负数的它乘法一部分是是标量
[00:42:23] 一部分是旋转
[00:42:24] 注意这XN等于X减一的平方
[00:42:26] 它一部分是是标量计算
[00:42:27] 一部分是旋转
[00:42:28] 然后这时候我也可以画出轨迹
[00:42:31] 走到某一个地方以后
[00:42:32] 你看他就这就回来了
[00:42:35] 诶你们猜在什么时候它会收敛
[00:42:38] 什么时候它会发散呢
[00:42:39] 这个好像已经非常明显了
[00:42:42] 只要X0位于单位圆里
[00:42:45] 也就是半径为一的圆里面
[00:42:47] 该序列就是啊收敛的
[00:42:50] 但是如果我们再给它加一个常数
[00:42:52] 加一个C
[00:42:53] 如果再加一个C
[00:42:54] 你认为还会收敛吗
[00:42:56] 还会收敛吗
[00:42:57] 就我就把收敛的区域给画出来
[00:42:59] 这就好玩了
[00:43:08] 每当我改变这个C的时候
[00:43:12] 在复平面上改变这个C的时候
[00:43:13] 我就看到了很不一样的图形
[00:43:17] 非常非常不一样的途径
[00:43:18] 我我改变不同的C
[00:43:25] 我就会得到非常非常不一样的
[00:43:30] 非常非常不一样的图形对
[00:43:33] 然后我们就得到了
[00:43:34] julia set有各种各样的
[00:43:37] Julia set
[00:43:38] 然后以及呃在创建这个julia set时候
[00:43:43] 有一个设设一个固定的
[00:43:50] X0等于零
[00:43:51] 而不是改变C的值
[00:43:53] 然后我们又可以得到另外一个另外一个图形
[00:43:59] 另外一个图形诶
[00:44:02] 这个图形好像有点有点感觉了
[00:44:08] 一个这有一大块是有一大块是收敛的
[00:44:14] 然后又有一些有一些地方是发散的
[00:44:18] 但是在边界上有非常复杂的情况
[00:44:23] OK然后这种分型就是manner broth set
[00:44:26] 一个一个长成这样的这样的图形
[00:44:30] 然后这样的图形就和我就和我们说的这种
[00:44:34] EMBMBRISONREPARLE是类似的
[00:44:37] 他我可以把这个网格
[00:44:39] 如果我要画一个这个MAD bro set的话
[00:44:41] 画一个这样的man manor broset的话
[00:44:43] 我可以我可以把它切分成
[00:44:45] 甚至不是切分成网格
[00:44:47] 我是可以把它切分成每一个像素
[00:44:50] 然后每一个像素都是一个独立的计算
[00:44:53] 我甚至可以把每一个像素都分配给同
[00:44:56] 某一个线程来来执行
[00:44:57] 当然了
[00:44:58] 我我也不需要这样
[00:44:59] 我可以比如说分成一块一块一块一块一块一块
[00:45:03] 然后每由每一个线程来处理
[00:45:06] 其中一部分的啊像素
[00:45:08] 这是呃兰德bro set
[00:45:10] 在这里我们可以看到他逐渐放大的样子
[00:45:17] 你可以看到在它的边界上有非常精细的
[00:45:21] 这样的图案
[00:45:23] 随着它不断的不断的放大这个分型的
[00:45:28] 你可以
[00:45:30] 这已经已经放大了非常非常多倍了
[00:45:32] 放大非常非常多倍了
[00:45:36] OK你还在还在看到它里面有这种无穷精细的
[00:45:40] 图案
[00:45:42] 它每一个像素的计算都是完全独立
[00:45:45] 这是我操作系统课上讲的内容
[00:45:46] 然后但是我又花了一点时间
[00:45:48] 讲了一些我不该在操作系统课上讲的内容
[00:45:50] 然后我觉得大学要完蛋了
[00:45:52] 为什么要完蛋呢
[00:45:52] 因为你看这个我我不该在操系统课讲讲的内容
[00:45:57] 讲的比我在操作系统课上讲的还要好
[00:46:00] 你你学任何一个东西
[00:46:01] 都是从就像我今天讲期中考试的时候
[00:46:04] 说
[00:46:04] 说
[00:46:04] 你是站在操作系统的设计者的角度去发现
[00:46:07] 重走这些系统调用的行为的
[00:46:09] 发现的同样你也可以重走这个每一个数学家
[00:46:12] 发现每一个数学概念的呃心路历程
[00:46:15] 同时你可以有可视化的方式
[00:46:17] 随时随地帮你呃生成
[00:46:20] 再同时因为你有ChatGPT5.5x tra high
[00:46:25] 你可以随时随地让他为你生成
[00:46:28] 适合你的这样的demo
[00:46:30] 他有这个能力
[00:46:32] Ok
[00:46:32] 所以
[00:46:32] 所以
[00:46:33] 所以这是一件非常非常非常可怕的
[00:46:35] 可怕的事情是吧
[00:46:36] 他他那个教学辅助做做得是如此之好
[00:46:39] 使得你学数学的时候
[00:46:40] 完全可以不用那么不用那么困难
[00:46:42] 你可以先很好地理解每一个数学概念
[00:46:45] 背后的直观含义
[00:46:46] 然后再去做计算
[00:46:47] 然后再去用
[00:46:49] 符号计算或者数值计算的工具去解决
[00:46:51] 直接解决实际中呃需要的问题
[00:46:55] 那么我们也给大家呃准备了一个程序
[00:46:58] 来来计算这个manner broth set
[00:47:00] 当然对于这种embarrassingly parallel的问题
[00:47:03] 首先我们可以用我们的线程库
[00:47:06] 把它变成生产者消费者
[00:47:07] 那我们可以把把它分成比如说100万
[00:47:10] 1000万甚至更多的任务
[00:47:11] 然后每一个块块里面可能有
[00:47:13] 比如说几万或者几百万个像素点
[00:47:15] 然后呢你就用生产者
[00:47:16] 每次每次你的消费者都会取出
[00:47:19] 取出一个从队列里面取出一个任务
[00:47:21] 然后把这些像素给给填上一个巨大的数组
[00:47:25] 这这就OK了
[00:47:26] 这就这就是一个investment parallel可以做的例子
[00:47:29] 你完全可以用之前我们学过的信号量
[00:47:31] 条件变量这样的机制来来实现
[00:47:34] 但是呢如果你给那些比如说不是曾经
[00:47:37] 在在PREAI时代
[00:47:39] 曾经呃像学物理
[00:47:42] 学化学
[00:47:42] 那些理科专业的同学
[00:47:44] 他们的编程经验是很少的
[00:47:46] 所以它也不会像我们计算机一样
[00:47:49] 你们会
[00:47:50] 先学数字逻辑电路
[00:47:51] 然后去做计算机系统基础
[00:47:53] 做那个模拟器
[00:47:53] 做的死去活来
[00:47:54] 那都没有AI
[00:47:55] 那都是史前时代
[00:47:56] 没有AI的时代
[00:47:57] 你要写那个模拟器
[00:47:58] 并且把那个模拟器写对
[00:47:59] 是一个极为糟糕的体验
[00:48:01] 但是当你浴火重生的时候
[00:48:03] 你就A觉得自己变成了一个牛逼的computer
[00:48:06] science的从业人员
[00:48:07] 嗯然后你可以开始写代码
[00:48:09] 可以驾驭的了更复杂的代码
[00:48:10] 但是呢如果一个大学生
[00:48:12] 他都没有写过什么并发的程序
[00:48:15] 也没有吃过苦
[00:48:16] 那就知道像data race啊这种bug就绝对
[00:48:18] 如果让他自己写synchronization
[00:48:19] 他一定会错到怀疑人生
