[00:00:00] 今天我们来讲应用视角的操作系统
[00:24:36] 比如说你现在在这个状态下
[00:24:38] 比如说哎刚才那个程序已经没有了
[00:24:40] 如果你在这个状态下调用了一个负
[00:24:43] 如果PC当前的就top most frame的
[00:24:46] PC当前指向的那个正在执行的语句是函数调用
[00:24:51] 函数调用的行为是创建一个新的战争
[00:24:55] 在它的顶上
[00:24:58] 所以旧的所有旧的都保留
[00:25:00] 无论它有多少旧的都都保留
[00:25:02] 然后这个PC
[00:25:06] 这个函数入口的地方
[00:25:09] 入口然后旧的PC是next p c
[00:25:13] 这个就叫函数调用
[00:25:14] 我我讲完了
[00:25:16] 你们可能有点诶有点没有
[00:25:19] 没有完全反应过来
[00:25:20] 这个很正常
[00:25:21] 你们可能需要呃回去再呃花一点时间看一下
[00:25:26] 如果你们看到这样的一个非递归汉诺塔的时候
[00:25:29] 你们就可以嗯你去调一下这个程序
[00:25:32] 你就真正知道我所说的
[00:25:35] 所有的计算机世界里
[00:25:37] 你看到的东西都是没有魔法的
[00:25:39] 计算机世界没有任何魔法
[00:25:40] 它都是数学
[00:25:41] 都是你用离散数学里可以定义出来的
[00:25:43] 呃的东西
[00:25:45] 什么叫靠
[00:25:47] 你看靠所谓的靠
[00:25:48] 就是我往这个站上面push一个push一个frame
[00:25:55] Frame
[00:25:55] PC是零
[00:25:56] PC是PC是零
[00:25:57] 然后我我push什么值就是什么值
[00:26:00] 然后我的return就是pop一个pop pop pop一个值
[00:26:04] 然后我的一个C程序
[00:26:06] 比如说我要做一个非递归的汉诺塔
[00:26:08] 我就先靠我要把N个盘子从AB经过C
[00:26:13] 然后我我这个call注意调用的是我这个红
[00:26:16] 这个宏就是把一个战争压上去
[00:26:18] 然后然后接下来我的程序的
[00:26:21] 模拟器就就相当于我的C的模拟器
[00:26:23] 就开始执行了
[00:26:24] C的模拟器就从这样的一个状态上
[00:26:27] 每次机械地遵循我说所谓的什么
[00:26:29] 是执行一条cc语句
[00:26:31] 从PC上面取一条语句出来
[00:26:34] 取条语句出来以后
[00:26:35] 它是什么就执行什么
[00:26:36] 如果是函数调用就执行这个
[00:26:38] 如果是是什么就执行什么
[00:26:40] 所以你看到我写出了一个和递归的汉诺塔
[00:26:43] 长得一模一样的非递归的汉诺塔
[00:26:45] 如果当前的PC是零
[00:26:47] 说明我在函数的入口的地方
[00:26:49] 那我就做入口要做的事情
[00:26:51] 如果如果N是一
[00:26:52] 我就return
[00:26:53] 然后如果如果我到下一条语句
[00:26:55] 第二行到第二行的话
[00:26:56] 我就直接调用N减一把N减一个盘子
[00:26:59] 从一个柱子移到中间那个柱子上
[00:27:01] 然后我再
[00:27:03] 我这我这还你看我还可以还可以做加法
[00:27:06] 我还最后加出
[00:27:08] 最后还可以加出
[00:27:10] 我总共一共有多少步
[00:27:12] 我这是带返回值的
[00:27:14] 我我的top of hanoi
[00:27:16] 它有一个integer的呃返回类型
[00:27:19] 然后我会在第一次调用的时候
[00:27:22] 把递归的调用的值就步数存下来
[00:27:27] 然后到第二次也存下来
[00:27:29] 然后返回C1加C21
[00:27:32] 然后注意C1和C2是在这个站上面的
[00:27:35] 是在是在这个frame里的
[00:27:37] 在这个local frame里的C1和C2是在
[00:27:40] 你看main里面有r c c arc v
[00:27:42] 这也是main的局部变量
[00:27:43] 所以是属于这是属于它它局部变量的
[00:27:46] 所以每一个stack frame里面
[00:27:48] 你可以在非递归的版本里面
[00:27:49] 会看到我的frame的定义
[00:27:52] frame里面有一个PC
[00:27:55] 然后有所有的参数参数也是局部变量
[00:27:57] 还有我我的局部变量
[00:28:00] 这样你就真正知道
[00:28:02] 为什么C语言是一个高级的汇编语言
[00:28:06] 因为你真的可以这样解释执行C语言
[00:28:08] 你你想你
[00:28:09] 理论上说所有的编程语言都可以这样这样解释
[00:28:12] 执行
[00:28:12] 但是呃最容易把它翻译成机器指令的
[00:28:16] 还是还就真的只有只有C对
[00:28:19] 所以C给了我们一种呃非常好的掌控感
[00:28:23] 使得你可以呃彻底的掌控计算机
[00:28:28] 整个完整的呃计算机的行为
[00:28:30] 对
[00:28:31] 希望这个这个小例子啊对对
[00:28:34] 大家理解什么是计算机系统
[00:28:37] 理解什么是程序
[00:28:39] 有一有一有一点帮助
[00:28:41] 刚才那个程序我那样写
[00:28:42] 因为你知道把它写成是一个C语言
[00:28:45] 的模拟器以后
[00:28:46] 那我其实就无所谓F和G了
[00:28:48] 我只要我的PC可以是指向F的
[00:28:51] 可以是指向G的那个
[00:28:52] 那我F调G和G调F我就自然而然的解决了
[00:28:55] 因为我根本就无所谓这PC是什么
[00:28:57] 我我模拟的时候
[00:28:59] 我遵循的唯一的一件事就是从top most frame的PC取
[00:29:02] 取出一条语句来执行
[00:29:04] 你只要严格遵循这个呃C语言的
[00:29:07] 这叫形式语义
[00:29:09] OK你你可以不不用这个
[00:29:10] 不用知道这个term
[00:29:11] 但是你可以只要严格遵循C语言的形
[00:29:13] 式语义去执行
[00:29:14] 那就呃所有东西都应该是对的
[00:29:17] 呃那既然啊我们讲清楚了什么是程序
[00:29:21] 当然我没有百分之百讲清楚
[00:29:23] 我还稍微呃留了一点比较有意意思的东西
[00:29:28] 既然我们讲清楚了什么是程序
[00:29:30] 那我们就可以说什么是编译器了
[00:29:33] 什么是编译器
[00:29:34] 诶
[00:29:34] 什么是编译器呢
[00:29:38] 什么是编译器
[00:29:40] 编译器是把一个点C翻译成一个
[00:29:46] 可能是一个A点out之类的任何一种
[00:29:48] 当然A点out
[00:29:50] 这就是广义的编译器
[00:29:52] 它包括汇编器
[00:29:53] 包括链接器
[00:29:53] 它会把一个点C变成呃变成A点out
[00:29:56] 但不管怎么样
[00:29:57] A点out
[00:29:58] 它的执行模型是我们计算机系统基础课上面
[00:30:02] 那个memory和register的指令执行的模型
[00:30:08] 哎你马上就有感觉了
[00:30:10] 这是在上面
[00:30:11] 这是语句
[00:30:12] 在最早的时候
[00:30:14] 我们的C语言的编译器不是像今天这么复杂的
[00:30:16] 今天如果有人说哎
[00:30:17] 你去看看GCC的源代码的话
[00:30:19] 你肯定不要不要不要
[00:30:20] 那个时候在那个时候的编译器
[00:30:22] 和今天的这种TRANSPER是很像的
[00:30:25] 你们在呃有有同学用JAVASCRIPT吗
[00:30:27] 但JASCRIPT满地都是TRANSPER
[00:30:29] 他把呃他就是说做一些简单的语法变化
[00:30:32] 就可以把一个语言可能是新版本的JAVASCRIPT
[00:30:36] CRIPT变成旧版本的JAVASCRIPT好
[00:30:38] 那这个语句最早期的编译器
[00:30:42] 它就是把语句原样翻译成指令的
[00:30:44] 一条一条翻译成指令的
[00:30:46] 这没问题
[00:30:47] 但后来大家发现
[00:30:48] 编译器是可以可以改变这个程序的行为了
[00:30:53] 它不一定需要原样吧
[00:30:56] 每一条语句就就在最早期最早的时候
[00:30:59] 70年代甚至更早
[00:31:00] 60年代时候做编译器的时候
[00:31:02] 大家还没有意识到这一点
[00:31:03] 没有意识到哎我这个编译器
[00:31:06] 所谓编译器不就是把一个语句
[00:31:08] 原样翻译成指令吗
[00:31:09] 翻译完了以后哎这个我就一定是等价的
[00:31:11] 只要我的程序没有bug是吧
[00:31:13] 我我的那个解释器
[00:31:15] 相当于写写解释器的那个模拟器没有没有bug
[00:31:17] 像你们AI没有
[00:31:18] 只要只要假设你能使它没有bug
[00:31:21] 这就对了
[00:31:22] 那就所有的事情就做完了
[00:31:23] 但不完全是这样的
[00:31:25] 我们发现我们的编译器是可以改变这个程序的
[00:31:30] 比如说我写了一个X等于12加三
[00:31:35] 然后我这个X我就不用了
[00:31:37] 这就是一个死代码
[00:31:39] 死代码我是可以把它删掉的
[00:31:42] 诶那下一篇下面有个很有意思的问题
[00:31:45] 到底编译器可以做什么样的优化
[00:31:48] 什么样的优化不能做
[00:31:49] 也就是说我们今天你你你上完上完这节课以后
[00:31:53] 你可以回答这样的一个问题
[00:31:55] 我有一个点C可以吧
[00:31:56] 我有一个A点C好
[00:31:58] 然后我呃理论上说这件事情理理论
[00:32:02] 理论上说说可以
[00:32:03] 呃能定义出来
[00:32:05] 但是你你实际上也不会去找他
[00:32:08] 我我能不能有一个集合是世界上所有的A点out
[00:32:11] 可以吧
[00:32:12] 可以吧
[00:32:12] 世界上所有可能的呃A点out你们可能不敢想
[00:32:17] 但是但这完全是可以的
[00:32:18] 就所有可能的binary的集合
[00:32:20] 那我就有好多好多好多
[00:32:23] 无穷的无穷的或者有穷的
[00:32:25] 就是我说我说在某个大小之内的所有的A点
[00:32:28] 好那我问你一个编译器
[00:32:30] 肯定比如说GCC杠O0
[00:32:33] 肯定会编译成某一个A点out
[00:32:35] 假设它是对的
[00:32:36] 然后如果我比如说GCC杠O2
[00:32:39] 我也可以编译成某一个A点out
[00:32:41] 它可它OK它也它也是对的
[00:32:43] 那那我问啊问我能不能定义所有A点out
[00:32:47] 一个子集就是哪些你哪些指令序列
[00:32:51] 那就我我举一些具体的例子
[00:32:53] 你们嗯这个问题很抽象
[00:32:56] 你看到这些examples你就有有感觉了
[00:32:58] 比如说这里有五个
[00:33:00] 五个函数
[00:33:01] 你人手写也可以写写写出
[00:33:05] 比如说呃F1F1
[00:33:07] 你肯定可以像像我说的这样语句级的
[00:33:10] 第一个语句你可以写成
[00:33:12] 2×3
[00:33:13] T1等于23
[00:33:14] 然后你可以有好几条指令
[00:33:16] 先漏的把把二装到一个寄存器里
[00:33:19] 三装到一个寄存器里做一个乘法
[00:33:21] 然后再把它写到写到一个寄存器里
[00:33:22] 你可以做这样很笨的
[00:33:24] 但是你你作为一个人
[00:33:25] 你看到这个代码
[00:33:26] 你肯定有一种不由自主的冲动
[00:33:29] 会把它写成是return
[00:33:31] 232 15
[00:33:33] 如果我没有没有把这个D级对东西算错了
[00:33:37] 你有一个非常强的冲动
[00:33:39] 是你不需要写那么多复杂的代码
[00:33:41] 所以所以这个时候这个代码如果你写一个
[00:33:44] 比如说呃move什么25
[00:33:47] 然后return这就应该是你预期的
[00:33:51] 在这个正确的集合里
[00:33:53] 但是如果你写一个return24
[00:33:55] 他就不在这个集合里
[00:33:58] 不在这个集合里
[00:33:59] 那到底到底编译器允许做什么
[00:34:02] 不允许做什么
[00:34:03] 诶你们有没有想过这个问题
[00:34:07] 其实其实呃当然我我可以先看一下
[00:34:10] 呃实际的编译器会会会怎么样
[00:34:13] 我已经给大家准备好
[00:34:16] 我有一个O0的版本
[00:34:17] 我有个O0的版本
[00:34:19] 然后然后你你看到欧零的版本
[00:34:22] 已经开始做优化了
[00:34:24] O0版本已经开始做优化了
[00:34:27] 常数所有的常数表达式
[00:34:29] 它都会直接呃直接计算出来
[00:34:32] 然后但是呢你你又会看到后面的有一些
[00:34:34] 比如说打比方
[00:34:36] 我们看F4
[00:34:41] 好F4
[00:34:42] 没没关系
[00:34:43] 你们不需要看懂它
[00:34:45] 你大概大概看一下就行了
[00:34:47] F4说的是X等于一
[00:34:50] 所以他就先把一移给we1计算器
[00:34:53] 然后再把we1store写给
[00:34:56] 写给反正X吧
[00:34:57] 就X
[00:34:58] 他就他这个做了两次
[00:35:00] 但如果我们看它经过了编译优化的版本
[00:35:04] 哎store只有一条了
[00:35:07] 所以你看编译器就知道编译器就知道
[00:35:11] 如果你对XX等于一赋值两次
[00:35:14] 我可以把一次消掉
[00:35:15] 它的效果是效果是不变的
[00:35:18] 当然了
[00:35:18] 现在是AI时代
[00:35:19] 所以再也不需要像以前那样
[00:35:22] 你直接让他给你呃解释一下就可以了
[00:35:29] 啊他就是一个活生生的人
[00:35:31] 你看他会先先去列一下文件
[00:35:34] 然后把每一个文件都都读一下
[00:35:36] 就跟我刚才
[00:35:37] 你看他就在重复我刚才呃所做的事情
[00:35:41] 刚才你看O0的时候
[00:35:43] 他做的是先是24
[00:35:45] 就那一个常量是24
[00:35:46] 但是那个加一被表达出被保留下来了
[00:35:50] 但是在O2的时候
[00:35:51] 他就直接嗯算出了25
[00:35:54] 所以八条指令对两条指令
[00:35:56] 也就是说你看我我我今天
[00:35:59] 我这次这次上课用的是这样的一个树莓派
[00:36:02] 是一个
[00:36:03] 你们以前你们肯定没有听说过什么小霸王
[00:36:06] 学习机这种东西吧
[00:36:07] 那是我的童年回忆
[00:36:09] 他就是长得和这个几乎一模一样
[00:36:11] 但比它大很多
[00:36:12] 那你们可能有这个
[00:36:14] 任天堂的switch有吗
[00:36:16] 有很多同学可能有
[00:36:17] 然后用那个switch现在会插一个卡带
[00:36:19] 然后就可以玩了
[00:36:19] 我家小朋友也玩
[00:36:21] 然后那个时候
[00:36:22] 我在我小的时候就是一个这样的呃学习机
[00:36:24] 因为他不能卖游戏机
[00:36:26] 他必须卖一个学习机
[00:36:27] 然后它里面内置了很多学习的软件
[00:36:29] 比如说你可以打字之类的
[00:36:31] 然后basic编程
[00:36:32] 然后他也是插一个卡带
[00:36:33] 然后就可以可以额可以玩游戏了
[00:36:35] 这个树莓派是arm64的系统
[00:36:39] 和你们的手机
[00:36:40] 包括我的
[00:36:41] 包括我现在这台在直播推流的
[00:36:44] 苹果的电脑
[00:36:45] 包括我的手机
[00:36:46] 和你们每一个同学
[00:36:47] 应该是每一个同学的的手机
[00:36:48] 都是同样的arm的架构
[00:36:50] 然后这个架构
[00:36:51] 他的汇编指令和你们学过的
[00:36:55] 我不知道你们学的计算机系统基础
[00:36:57] 是RESEARFIVE还是X86
[00:36:58] X86
[00:36:59] OK你你们有reset five的火箭课吗
[00:37:02] 我们应该把那个呃计算机系统技术
[00:37:04] 全部改成reset fier anyway
[00:37:06] 然后然后这个汇编你们很不熟悉
[00:37:08] 比如说什么l DP load store
[00:37:11] 但这都不重要了
[00:37:12] 在在今天你只要你只要学过任何一个体系结构
[00:37:16] 你知道每条指令大概有哪些类型
[00:37:18] 比如说move
[00:37:19] 它有些move是可以仿存的
[00:37:20] 有些move是做数据移动的
[00:37:22] 然后有些是做算术的
[00:37:23] 有些是做系统的
[00:37:24] 那你所有的概念
[00:37:25] 你在呃X86或者RESFY里面
[00:37:27] 你学过一次
[00:37:28] 你碰到这个arm的
[00:37:29] 你可以让他用X86的方式来解释一下
[00:37:32] 我马上我就不演示了
[00:37:33] 但我直接问AI说
[00:37:35] 你能不能把这几个
[00:37:36] 刚才的那个汇编用X86的我能理解的方式
[00:37:39] 给我解释一下
[00:37:40] 基本上他就可以可以给你解释的非常好
[00:37:42] 所以什么是编译器呢
[00:37:44] 又回来
[00:37:45] 到底到底什么是编译器
[00:37:48] 编译器就是你的状态机的执行
[00:37:52] 所有状态机的执行都是内部的变量的执行
[00:37:57] 内部变量的数据
[00:37:58] 也就是说如果你们想想象这样想象
[00:38:01] 如果你不打印任何的数数据
[00:38:05] 并且你假设你的程序会终止的话
[00:38:09] 你的程序
[00:38:10] 你的编译器应该把你的程序优化成什么
[00:38:13] 优化成一个空程序
[00:38:15] 无论你做多少事情
[00:38:17] 你写一个多么复杂的程序
[00:38:19] 只要你这个程序永远不会往外输出任何东西
[00:38:23] 编译器理论上说可以把它直接全部都优化掉
[00:38:26] 也是应该的
[00:38:28] 所以在这个呃编译器里
[00:38:32] 唯一不能优化的东西
[00:38:34] 唯一不能优化的东西是一些比较特殊的语句
[00:38:38] 也就是说相当于是编译器看不到的语句
[00:38:42] 向外界调用的
[00:38:44] 当然这这是对于今天的编译器来说的
[00:38:46] 如果假设你在这个这个编译的时候
[00:38:49] 比如说我就要编译这段代码
[00:38:51] 但这段代码会有一个这条语句
[00:38:53] 是调用一个外部的函数
[00:38:54] 比如说QUANTYF
[00:38:56] 然后这个函数是后之后链接的
[00:38:59] 那你就不知道这个函数的行为是什么
[00:39:01] 他可能是用汇编语言写的
[00:39:03] 那它就有可能你执行这个这个函数
[00:39:06] 整个世界毁灭了
[00:39:08] 就好像执行一个行动
[00:39:09] 这个核弹就
[00:39:10] 我把这个电瓶当我把一个电瓶
[00:39:12] 一个数据电信号
[00:39:13] 真的从计算机送到计算机的外面的时候
[00:39:16] 你就不知道它到底会发生什么后果了
[00:39:18] 他可能那个核的核武器就就飞出去了
[00:39:20] 因为这真的只要一个电信号
[00:39:22] 我就可以驱动这个物理世界里面的变化
[00:39:24] 所以所有的不能优化的东西就是向外部的调用
[00:39:29] 就我不知道他的行为是什么的
[00:39:31] 所以我知道他行为是什么的
[00:39:33] 我都必须要原样
[00:39:34] 就是我我原则上可以
[00:39:37] 可以去可以去改动它
[00:39:38] 但是对外界是不能改的
[00:39:39] 比如说我print台F的时候
[00:39:41] 比如说我平台FX
[00:39:42] 我把我
[00:39:43] 我把我现在这里面的一个X电量作为参数
[00:39:47] 传给print type了
[00:39:49] 那这个X如果在这次运行的时候等于一
[00:39:51] 我调用了到Y的时候
[00:39:52] 必须就必须等于一
[00:39:54] 我向向外输出这个电瓶
[00:39:56] 我的程序按照这样的写法解释执行的写法
[00:40:00] 它输出的都是低电平
[00:40:01] 那我编译优化完了以后
[00:40:03] 它也要必须输出低电平
[00:40:05] 所以什么叫编译
[00:40:06] 编译正确
[00:40:07] 所谓的编译正确就是在任何的输入下
[00:40:10] 在任何的输入下
[00:40:11] 它的输出序列都完全相同
[00:40:13] 这叫编译正确
[00:40:14] 当然这个这句话的这个呃含义比较丰富
[00:40:19] 我我说的也不是很严谨
[00:40:20] 你们呃真正到到这个
[00:40:22] 你们学这个编程语言的形式语义的时候
[00:40:25] 就会呃就会再学一次的
[00:40:26] 所以如果你们刚才那句话没有没有反应过来
[00:40:29] 也也也不要紧
[00:40:30] 完全不要紧
[00:40:31] 但你有一个感觉是
[00:40:32] 好像好像是这么好像是这么个道理就行了
[00:40:35] 所以所以你可以看到
[00:40:37] 为什么我们要用状态机这个视角
[00:40:38] 去理解操作系统
[00:40:39] 去理解不仅是理解操作系统
[00:40:41] 这其实状态机视角是编程语言里面
[00:40:44] 从这个学科诞生一开始
[00:40:46] 大家就就一直在用的一个呃一个视角
[00:40:50] 我甚至觉得不应该在我的课上面
[00:40:52] 第一个被被被提出来
[00:40:54] 因为他就就是在所有的整个语言
[00:40:56] 也是这样构建的
[00:40:57] 机器也是这样构建
[00:40:58] 它天生就有这样的映射
[00:40:59] 但是你只要稍微往前多想一点
[00:41:01] 你就可以想到更多更有趣的东西
[00:41:04] 当然这个这个什么是编译正确性
[00:41:05] 我是不会考的
[00:41:06] 所以你们啊你们就当
[00:41:08] 就当我我什么也没有说好
[00:41:13] OK那我们讲完了程序
[00:41:16] 讲完了程序我们就可以开始编程序了
[00:41:18] 编程序
[00:41:19] 下面我们再玩一个有意思的有意思的问题
[00:41:23] 呃你们都是从这个print f开始的
[00:41:28] print f开始的
[00:41:28] 那你们也知道
[00:41:30] 如果你们试图去调试这个print f的话
[00:41:33] 在main函数执行之前
[00:41:35] 我们的机器其实已经已经执行了
[00:41:42] 机器已经执行了很多很多很多别的指令了
[00:41:46] 在库函数里
[00:41:47] 那你能不能写一个最小的程序
[00:41:50] 它能打印hello world出来呢
[00:41:53] 如果我这个程序现在可能
[00:41:57] 这个就现在现在的GCC已经会会把它
[00:42:01] 把他拒绝掉
[00:42:04] 呃如果我杠
[00:42:06] 如果我那个什么标准的VC89可能可以好
[00:42:09] 比如我这样直c c hello点C
[00:42:11] 这是最小的hello点C吗
[00:42:12] hello吗
[00:42:13] hello world吗
[00:42:14] 当然它是可以正常工作的
[00:42:15] 它可以输出hello world
[00:42:17] 但是这肯定不是最小的
[00:42:20] 你看它这个文件就有就有七十七十KB
[00:42:25] 然后如果我用o b j dump去看的话
[00:42:28] 你看它里面有好多好多东西
[00:42:30] 这些这些代码你都不知道是干什么的
[00:42:32] 当然呃你也可以直接把这个这个呃你你打开cloud
[00:42:38] 问他里面有什么好
[00:42:39] 我我不干这事
[00:42:40] 但你可以确信的是
[00:42:42] 这不是一个最小的hello world
[00:42:44] 那你们有没有想我能不能这样
[00:42:49] 我直接c hello点C
[00:42:55] 哎这个时候如果我用杠C选项
[00:42:58] 我编译这个hello点C
[00:43:00] 它不就变成一个目标文件了吗
[00:43:01] 哎这这不就小了吗
[00:43:04] 然后我直接你们在学计算机系统基础的时候
[00:43:07] 肯定想过这件事
[00:43:08] 如果我直接用LD链接
[00:43:09] 它会发生什么呢
[00:43:11] 唉对不起他
[00:43:13] 他拒绝了你
[00:43:14] 因为他说hello
[00:43:17] 点C有有一个叫undefined reference to puts
[00:43:20] 他还把print f优化成puts了
[00:43:22] 这这也不重要
[00:43:26] 你是没有办法链接它的
[00:43:28] 那如果你真的想要写一个最小的程序
[00:43:32] 并且能让这个程序在你的机器上运行起来
[00:43:35] 这可以吗
[00:43:38] 应该可以
[00:43:39] 你们会想应该可以
[00:43:41] 所以如果你想写一个程序
[00:43:44] 那这个程序我是不是可以这样啊
[00:43:50] 你们你们你们知道在C里面
[00:43:53] 也不知道你们可能有一个印象
[00:43:55] 说约定俗成的这个杠start就是整个程序的入口
[00:43:58] 所以理论上说你是可以
[00:44:02] LD然后A点out的诶
[00:44:06] 成功了
[00:44:08] 甚至我可以调试它
[00:44:11] GDBA点out
[00:44:17] 我是可以控制我写的代码的
[00:44:19] 这个代码真的是最小的
[00:44:21] 我可以确定的是我呃我用了一个叫SI
[00:44:25] 它可以从第一条指令开始执行这个程序
[00:44:27] 然后我我的程序的第一条指令就停在了hello
[00:44:30] 点C的第二行
[00:44:33] 然后第二行就是我的这个跳转跳转指令
[00:44:35] 然后我就我就死循环了
[00:44:37] 但是如果你想要把这个程序返回
[00:44:42] 如果想做一个空的GSTART
[00:44:45] 会发生什么呢
[00:44:47] 如果我希望这个程序返回
[00:44:49] 它会正常返回吗
[00:44:53] 他不会他会crash
[00:44:55] 为什么
[00:44:56] 如如果你从你从这个上面的定义来看
[00:45:00] 你看我们的我们的C程序
[00:45:03] 是从一个main函数开始的
[00:45:05] 从main函数开始的
[00:45:06] 从main函数开始
[00:45:09] 每一次都执行top most frame
[00:45:12] 上面最站顶上那个frame的PC上的语句
[00:45:16] 那如果这个main函数返回了我
[00:45:19] 我如果有一天
[00:45:20] 比如说main函数返回了我这个状态不就空了吗
[00:45:24] 我就不存在
[00:45:25] 我就不存在这个top most frame了
[00:45:30] 那我自然取不出PC了
[00:45:32] 这就进入一个未定义
[00:45:33] 就我们没有定义过他的下一个状态是什么
[00:45:37] 他的下一个状态是什么
[00:45:39] 当然我们肯定是得有一个定义的
[00:45:42] 有一个定义的
[00:45:43] 实际上对于这样的这个呃呃呃C
[00:45:48] 你如果你要做一个数学化的表达的话
[00:45:50] 你可以允许它这个完了以后他就终止
[00:45:52] 这个就就叫终止
[00:45:53] 但实际上在呃我们编译器把它翻译成
[00:45:58] 直接在硬件上执行的程序的状态机的时候
[00:46:02] 这个初始状态并不是这样的
[00:46:05] 实际上每一个程序
[00:46:08] 每一个进程在加载的时候
[00:46:11] 它都有一个加载时候的初始状态
[00:46:15] 所以这个程序一个点C
[00:46:19] 它有一个对应的register和memory的呃初始状态
[00:46:23] 然后它每次执行一条指令
[00:46:26] 每次执行一条指令
[00:46:28] 然后那么如果我们要函数返回的话
[00:46:30] 它其实就执行执行一条pop指令
[00:46:33] 他会把把那个当前栈顶上面保存的一个PC
[00:46:37] load到PC上
[00:46:40] 所以实际上在初始化这个进程的时候
[00:46:45] 它也是有一个站的
[00:46:47] 它是也是个step point
[00:46:49] 比如说ISP
[00:46:50] 你们熟悉的ISP
[00:46:52] 它的进程在初始化的时候也是有一个站的
[00:46:55] 那么每一条指令就会机械的做他要做的事
[00:47:00] 所以这一条这这个你看这个A样子
[00:47:03] 它就是一个NP
[00:47:05] 一个什么也不做
[00:47:06] 然后直接return
[00:47:07] 然后这个return的语义就是从站上面把p c pop出来
[00:47:11] 然那么初始的ISP是几呢
[00:47:18] 嗯我可以调试一下
[00:47:24] NP可以执行完
[00:47:27] 它是有值的
[00:47:28] 它是有值的
[00:47:29] 然后但是这个上面的值是多少呢
[00:47:34] 我可以再执行一条指令
[00:47:38] 我们的PC变成了零
[00:47:39] 它从站上面pop出来的值是零
[00:47:42] 然后他的相当于我在
[00:47:45] 我在我我这个star上面执行的
[00:47:50] 执行一条return指令以后
[00:47:52] 状态就是PC
[00:47:56] 然后PC等于零那一页是是就这是非法的内存
[00:47:59] 所以这个程序就发生了crash
[00:48:01] 发生了segmentation fault
[00:48:02] 就是刚才你们看到的
[00:48:04] 预期的行为的一个呃解释
[00:48:07] 他确实会
[00:48:08] 确实会crash好
[00:48:09] 那这意味着什么呢
[00:48:11] 这意味着什么呢
[00:48:12] 这意味着我们实际在把程序我们真实的编译器
[00:48:16] 或者说整个编译器工具链
[00:48:18] 在处理我们程序的时候
[00:48:20] 它不是从main函数开始的
[00:48:24] 这个system five的ABI
[00:48:27] 它会规定呃整个整个进程的初始状态会是什么
[00:48:30] 那我会专门在一节课上面讲
[00:48:32] 我今天肯定是没有时间来讲这个初始的
[00:48:36] 进进程
[00:48:37] 整个进程完整的在二进制意义上的呃状态
[00:48:41] 但是你们可以知道的是
[00:48:44] 它一定会跳转到一个PC
[00:48:48] 是一个初始化的初始化的代码
[00:48:50] 然后这个代码会把所有的事情做好
[00:48:52] 做好以后
[00:48:53] 这个代码会调用它
[00:48:54] 会它会靠卖
[00:48:58] 它会调用main
[00:48:59] 然后调用main main
[00:49:01] 总有一天它会返回
[00:49:03] 返回以后
[00:49:04] 这个代码还会继续执行
[00:49:06] 然后这个代码是不能返回的
[00:49:08] 那它会干什么呢
[00:49:10] 它会执行一个系统调用
[00:49:11] 所以呃这就引入了我们今天今天上课
[00:49:15] 其实我主要要讲的
[00:49:19] 花了那么那么远的路
[00:49:21] 如果你想要写一个最小的hello world
[00:49:26] 你你不是这样写的
[00:49:28] 我可以直接写一段汇编
[00:49:30] 当然我准备了X8664的版本
[00:49:32] 也准备了arm的版本
[00:49:34] 因为我的我的机器需要
[00:49:36] 需要arm的版本
[00:49:37] 当然我可以
[00:49:38] 我现在可以讲一下你们更熟悉的X8664
[00:49:40] 如果你真的想要做一个能够打印好的word
[00:49:43] 并且能够正常退出的呃程序
[00:49:46] 那么C语言本身是不是没有退出这件事的
[00:49:50] 你只有请求操作系统
[00:49:52] 你的程序才能才能退出
[00:49:54] 然后在操作系统和C之间
[00:49:57] 我们约定了一条指令
[00:49:58] 让我我上节课讲说操作系统
[00:50:00] 从应用程序来看
[00:50:01] 操作系统就是一组API
[00:50:03] 然后这个API就是用一个系统调用的指令
[00:50:06] 来实现的
[00:50:07] 对于X86来说
[00:50:08] 是cs call
[00:50:09] 或者你们可能做实验的时候用的是INT80
[00:50:11] 八零的中断32bit特是64bit特的
[00:50:14] 系统我们都用cs call
[00:50:16] 如果你想要调用系统调用
[00:50:19] 你就把呃正确的参数放到正确的寄存器里
[00:50:23] 比如说对于呃X8664来说
[00:50:25] 你需要把系统调用的编号一个编号
[00:50:27] 我要执行哪一个系统调用放到RAX寄存器里
[00:50:30] 然后把呃剩下的系统调用的参数
[00:50:34] 一个一个放到其他的寄存器里
[00:50:36] 比如说第二个参数放到RDI
[00:50:38] 第三个参数放到ISIS
[00:50:39] 第四个参数放到RDX执行CISCC就可以
[00:50:44] 然后这个时候成这个CISCO相当于一个很长的跳转
[00:50:47] 它会跳转到操作系统代码开始执行
[00:50:51] 然后操作系统干什么
[00:50:52] 你就不受你控制了
[00:50:53] 他可以往外面去写数据
[00:50:55] 等你等cs call回来以后
[00:50:57] 这个呃你的程序就继续继续往后往后执行
[00:51:00] 但操作系统有可能会改变你程序内部的状态
[00:51:02] 甚至直接把这个程序给干掉
[00:51:04] 如果你想要这个程序能退出
[00:51:06] 你就直接CSS exit
[00:51:08] 然后呃这个一是程序的返回值
[00:51:12] arm也是一样的
[00:51:13] arm也是一样的
[00:51:14] 我要把额
[00:51:17] 把文件描把第一个参数放到X0
[00:51:19] 第二个参数放到X1
[00:51:21] 第三个参数放到X2额
[00:51:23] 分别是
