[00:00:00] 我们上周讲了一点版本管理
[00:24:17] 比如说B在这儿加了一行呃
[00:24:20] 在这个可能还能还还能追溯到比
[00:24:22] 就如果发生冲突
[00:24:23] 比如说发生冲突时候
[00:24:24] 在resolve的时候呃
[00:24:26] 那冲突完了以后
[00:24:27] 这个称职就是由这是由A完成的
[00:24:29] 这是A完成的
[00:24:30] 那这个这B改的代码
[00:24:33] 最后ownership又归到了A
[00:24:35] 所以这会带来一些呃
[00:24:37] 相对来说有一点小小的小麻烦
[00:24:39] 然后瑞贝斯解决了这个问题
[00:24:41] 瑞贝斯哎
[00:24:42] 我还是横过来画
[00:24:43] 这个是不是第一排的同学有点看不到
[00:24:48] 如果我现在有两个历史
[00:24:50] 那比如说呃我现在我我现我现在改了呃
[00:24:55] 这是这是A同学A同学改了
[00:24:58] 改了两份啊
[00:24:59] 做了两次的提交
[00:25:00] 得到两个两个快照
[00:25:02] OK德尔塔一德尔塔二好
[00:25:04] 然后我这个时候另外一个同学开始改好
[00:25:09] 那瑞贝斯做了一件什么事呢
[00:25:12] 瑞贝斯说的是呃
[00:25:15] 比如说A先先改了文档
[00:25:18] 然后再加了测试
[00:25:22] 然后然后我B加了一个feature
[00:25:25] 然后又加了一个
[00:25:27] 加了一个测试
[00:25:28] 那这个时候我不是直接把他们两个东西
[00:25:33] 创合成一个呃
[00:25:35] 说把这两条线路并起来的提交
[00:25:38] 而是我试图先把这个feature能不能在
[00:25:44] 我先要试一试
[00:25:45] 有没有可能在这个A的这个后面
[00:25:49] 把这个feature加上
[00:25:52] 如果加上了
[00:25:53] OK那就成功了
[00:25:54] 这就成功了好但是这是有一个很大的风险的
[00:25:59] 就是因为我可能在这个里面
[00:26:02] 加入了一个测试用例
[00:26:04] 然后这个测试用例和这个feature就是不兼容的
[00:26:07] 对吧
[00:26:08] 这是这是有可能的
[00:26:09] 或者甚至就是他们就改了同一个地方
[00:26:10] 我就做了两个完全不兼容的东西
[00:26:12] 那这个时候呃他是有可能可能失败的
[00:26:15] 如果成功
[00:26:16] 这就比较好对吧
[00:26:17] 那我再把test放过来
[00:26:20] 如果成功
[00:26:21] 那么呃呃他就一路相当于
[00:26:23] 如果就也就是说这两条线上那边的修改
[00:26:26] 完全没有任何冲突
[00:26:27] 那我就可以一路把它合并过去
[00:26:29] 变成一个线性的历史
[00:26:30] 但是一旦发生冲突
[00:26:32] 这是非常危险了
[00:26:33] 为什么呢
[00:26:34] 一旦冲突
[00:26:35] 你就需要resolve对吧
[00:26:37] 你会进入一个REBASE的模式
[00:26:38] 你你你们如果如果进入过这个模式
[00:26:40] 你会发现瞬间自己就不知道应该怎么办了
[00:26:43] 然后这时候你就打开你的agent的说
[00:26:45] 哎我我现在在我先我我我发生了什么对吧
[00:26:49] 然后然后然后然后A证会细心的解释啊
[00:26:52] 解释给你
[00:26:53] 更麻烦的是
[00:26:54] 你就算是把这个东西搬过来了
[00:26:56] feature搬过来了
[00:26:58] 你可能搬test的时候又要失败
[00:27:02] 然后你还需要再把test这个再再再搬过来
[00:27:06] 而且每一次你都会创建一个新的提交
[00:27:08] 也就是说这是一个这是一个commit
[00:27:11] 他有一个id
[00:27:12] 这commit有id
[00:27:13] 每个commit都有id
[00:27:15] 那如果你是一个这样的两路的merge
[00:27:19] 那所有的这些id都保留了
[00:27:21] 你会创建一个新的id
[00:27:23] 但是因为你是REBASE的REBASE
[00:27:26] 每次这样的瑞贝斯就会创建一个新的commit
[00:27:29] 因为他这个快照
[00:27:31] 本来这个快照的base在这这个对吧
[00:27:35] 这个commit的base在这所谓的re base你就知道哦
[00:27:38] REBASEREBASE它的base要改掉
[00:27:43] 要把这个base改到这里来
[00:27:45] REBASE那你会创建一个新的id
[00:27:50] 每次会创建一个新的id
[00:27:51] 然后然后这个历史就就就变了
[00:27:54] 然后你会感觉到这里呃有一点点轻微的呃
[00:28:00] 不一致对吧
[00:28:01] 就就觉得你好像不想
[00:28:03] 不是完全要想想这样去去啊
[00:28:06] 管理软件
[00:28:07] 因为我们关心的是修改
[00:28:11] 也就是我希望的是把这个修改搬过来
[00:28:15] 把这个修改搬过来
[00:28:17] 然后在git里面修改是用commit来替代的对吧
[00:28:20] 说好我现在有一个commit
[00:28:22] 然后这个commit和他的parent之间的关系
[00:28:25] 就叫一个修改
[00:28:27] 他没有一个专门的叫change的这个对象
[00:28:31] 所以它它它这用commit it来代替修改
[00:28:33] 那可能绝大部分的情况都都还能满足
[00:28:36] 但是如果我们把change也变成first class citizen
[00:28:42] 会会发生什么呢
[00:28:44] 你就发明了这个下一代更好用的啊
[00:28:48] 版本版本控制系统啊对吧
[00:28:51] 就是说你你我我不仅可以有这个呃
[00:28:55] 有commit的ID
[00:28:57] 甚至甚至这个呃机器组
[00:28:59] 它是和git底层完全兼容的
[00:29:02] 你你你可以直接把当git用呃
[00:29:05] 然后但是在它增加了呃
[00:29:07] 增加了一个叫做change的概念
[00:29:10] 也就是呃每一个这个东西
[00:29:13] 每一个这样的东西change
[00:29:18] 他都可以sin一个这个呃一个change
[00:29:22] 然后呃他可以把好多的change
[00:29:26] 比如REBASE的时候
[00:29:27] 他会把change直接把change搬过来
[00:29:29] 然后change还是有可能就冲突是冲突是解决不了的
[00:29:33] 就如果我在REBASE的时候
[00:29:34] 我要我要冲冲突
[00:29:36] 这是解决不了的
[00:29:37] 但是因为它有这个change的object
[00:29:39] 就change这个概念
[00:29:40] 所以他可以把这些change值一路带下来
[00:29:43] 生成一个直接REBASE到这里
[00:29:45] 但是里面引入了好多冲突
[00:29:47] 就你他还是运用了git的那个冲突
[00:29:49] 冲突那个记录
[00:29:50] 但你看他的里面有一套自己的记录方式
[00:29:52] 把所有这些change的冲突也也都塞进去
[00:29:56] 然后你可以在这里相当于把它们搬过来
[00:29:58] 然后在这里再resolve它的底层的模型没有变
[00:30:01] 但是你用起来会会舒服很多
[00:30:05] 然后他有一个呃很好的特点
[00:30:08] 它不需要staging area
[00:30:10] 就是你你你在呃呃你在git里面呃
[00:30:16] 最讨厌的是什么呢
[00:30:18] 呃啊我上我上操讯课的时候会讲
[00:30:21] 会讲这个例子啊
[00:30:22] 呃最讨厌的是你现在有个工作区对吧
[00:30:25] 你你现在有有个你现在有个report
[00:30:27] 然后你现在改了
[00:30:28] 比如说你有一个hello点C
[00:30:30] 然后现在把它改了改改改改改到一半
[00:30:34] 然后这个时候项目还不能编译
[00:30:37] 也不能运行
[00:30:38] 测试也通不过
[00:30:38] 就你改到一半
[00:30:39] 突然导师给你打电话
[00:30:42] 哎呀我现在有一个很很高很高优先级的项目
[00:30:46] 这个你就有个bug
[00:30:48] 马上客户就这个项目就要交不了差了
[00:30:50] 这个赶快把这个bug给我一分钟修了好
[00:30:53] 那你怎么办
[00:30:55] 你不应该commit对吧
[00:30:57] 就就是你需要你需要的是你
[00:31:00] 你现在把它加到你的这个index里
[00:31:01] 然后get sth
[00:31:02] 然后他会压榨压榨
[00:31:04] 然后呃这其实是一个比较讨厌的操作
[00:31:08] 因为你你STATCH是一个东西对吧
[00:31:10] st是一个东西
[00:31:11] 然后STCH一个东西呃
[00:31:12] 你去把原来那个bug开始修
[00:31:14] 你刚修了一半
[00:31:16] 你的导师又给你打电话
[00:31:18] 哎呀你这个bug别修了
[00:31:19] 这个我还有一个更优先级更高的bug
[00:31:21] 你去把它修了好
[00:31:23] 你这时候要再把它STH
[00:31:24] 然后那get it statch是一个站
[00:31:25] 然后它里面就会有好访问
[00:31:27] 好多好多个提交
[00:31:28] 然后你你你去你需要去管理那个那个stack
[00:31:32] 然后如果你想想想象
[00:31:36] 如如果你想象在任何时候
[00:31:38] 也就是你随时随地都在编辑这个report
[00:31:41] 这不就是一个change吗
[00:31:45] 对吧
[00:31:45] 这就是一个change
[00:31:47] 你你现在把hello点C改一改
[00:31:49] 加一行减一行
[00:31:51] 他都是change
[00:31:52] 所以你你呃
[00:31:53] 所以这个JJS他他好像是在干一件什么事呢
[00:31:56] 好像是你你但凡改了一个字节
[00:32:00] 他都会立即做一个git commit
[00:32:02] 当然这个commit不会产生这个好多
[00:32:05] 这个线性的历史
[00:32:06] 而是先把上一次的那个就上一次
[00:32:09] 那肯定得给抹掉
[00:32:11] 然后他上一次的commit就你改了一个字节
[00:32:14] 那上一次的那个提交就被抹掉了
[00:32:16] 抹掉了
[00:32:17] 然后你你重新用当前这个修改去替代这个提交
[00:32:20] 也就是说你你永远是把因为现在有个change
[00:32:25] 这现在有个当前的snap shot
[00:32:28] 它永远是提处于一个提交的状态
[00:32:30] 一个change提交的状态啊
[00:32:32] 那你就很舒服了
[00:32:33] 你你你你
[00:32:34] 你连这个这个seating error也也也也不需要了啊
[00:32:39] 这就是一个非常好的啊对吧
[00:32:41] 它几个你从
[00:32:45] 你从我要把change作为first class citizen开始
[00:32:48] 你再往后推
[00:32:49] 你就可以发明自己的版版本管理系统
[00:32:52] 当然这个不是它的全部
[00:32:53] 然后它还有一些这个别的呃
[00:32:56] 呃有别的路线可以可以推导出来
[00:32:58] 但是呃你们适当的时候可以质疑一下
[00:33:02] 比如说git呃
[00:33:04] 就get it有没有哪里做的不够好对吧
[00:33:06] get it哪里做的不够好
[00:33:07] 然后如果如果可以做的更好的话
[00:33:09] 还能做怎么样的呃设计
[00:33:12] 所以我觉得这是这是很有趣的
[00:33:13] 一些非常有趣的设计
[00:33:15] 你们可以在agent的呃带领下
[00:33:17] 或者说我开了一个头对吧
[00:33:19] 我说我给你们一些motivation
[00:33:20] 你们可以把呃这些最重要的prompt交给agent
[00:33:24] 说我如果要学句句词
[00:33:25] 然后我想呃我想我想从change开始理解对吧
[00:33:29] 然后如果如果你看他的TUTR的话
[00:33:30] 他其实也是一上来就会告诉你
[00:33:32] 他他没有没有staging啊
[00:33:35] area啊等等等等等等
[00:33:37] 这样的呃
[00:33:38] 你你管你管理这个版本是更自然
[00:33:40] 它对人类首先对人类更友好
[00:33:43] 然后实际上它可能会对agent也稍微更友好一点
[00:33:46] 呃呃呃友友好一点
[00:33:48] 对友好一点
[00:33:49] 所以这我觉得为什么你们作为AI native的人类
[00:33:52] 能够淘汰掉这个我们这这一代人
[00:33:55] 就是因为我已经形成了git的肌肉记忆了
[00:33:58] 然后比我更老的一代人
[00:34:00] 他已经形成SVN的肌肉记忆了
[00:34:02] 然后当一旦人形成一个肌肉记忆以后
[00:34:05] 要把这个习惯掰过来就就很很困难了对吧
[00:34:08] 就比如说我现在对git是有肌肉记忆的
[00:34:09] 但是我即便是能够理解这个呃GG词的概念
[00:34:13] 甚至我可能理解的会比会比你们
[00:34:15] 可能作为初学者还要更更好一些
[00:34:18] 呃我我还是可以从我的first principle去思考它啊
[00:34:21] 自己相当于virtually reimplement这个呃系统
[00:34:24] 但是我即便能够理解
[00:34:25] 我也没有足够的时间再去训练另外一个呃
[00:34:29] 肌肉记忆
[00:34:30] 所以所以你们你们是反过来的
[00:34:32] 你们这跟我正好是反过来的
[00:34:33] 你们应该在你们现在还没有形成记忆
[00:34:36] 有记忆的时候就直接去用那个对的东西
[00:34:39] 就人类历史都是积累的嘛对吧
[00:34:41] 他他SVN大实际用不下去了才用才用git
[00:34:45] 然后git他发现了git的缺点以后有了GG子
[00:34:49] 所以你们可以的是先用肌肉记忆
[00:34:53] 记住一个最正确的设计
[00:34:55] 然后再去理解这个设计是怎么样
[00:34:57] 就你再回去想的时候哦
[00:34:58] 原来git这么蠢对吧
[00:35:00] 在git出现的时候
[00:35:01] 你大家会想哦
[00:35:02] git这么先进
[00:35:03] 它是一个persistent data加structure
[00:35:05] 这是SVN就是SPN
[00:35:07] 从一开始他他从走从纯纯DF那条线就走错了
[00:35:11] 到git的时候
[00:35:12] 大家觉得很先进
[00:35:12] 然后到到现在的时候
[00:35:13] 你再回去看的时候哦
[00:35:14] 原来git也犯了一个对吧
[00:35:16] 犯了一些呃
[00:35:18] 设计上
[00:35:18] 它当然这是这是因为他最早的时候他没有呃
[00:35:22] 没有想想过瑞贝斯会会会有这么大的Impact对吧
[00:35:25] 他他他有有merge就已经很好了
[00:35:28] 呃就能解决他手上的问题了
[00:35:30] 所以他可能没有把这个概念模型想的呃
[00:35:32] 想得更加更加的清楚
[00:35:34] 这个这是一些有意思的
[00:35:37] 这个呃
[00:35:38] 这个comments也是你们学习
[00:35:40] 可以告告诉你们一些学习的建议
[00:35:42] 你们呃在学东西的时候
[00:35:45] 其实呃尤其在AI的辅助下
[00:35:47] 可以不断的往前走往前走往前走
[00:35:49] 对啊
[00:35:50] 这是这个对好
[00:35:54] 但这门课不是是软件工程
[00:35:57] 这门课是生成式软件工程
[00:35:59] 所以我们要真正要做的事是
[00:36:02] 在agent的时代再次重新设计版本管理管理系统
[00:36:06] 也就是说你当然可以让这个agent的去用用git
[00:36:10] 然后让agent的去用JUJS
[00:36:11] 那啊这这对人类来说
[00:36:14] JUSS是一个很大的进步
[00:36:16] 但对agent来说可能可能进步来说相对会小一些
[00:36:19] 因为他他好像很很会很会REBASE这些呃
[00:36:23] 那这个时候你看我我们一路走过来
[00:36:27] SVN有局限
[00:36:28] get it有局限
[00:36:30] 那在agent的时代
[00:36:33] 我们的局限和我们要做的破掉的改进是什么
[00:36:37] 刚才所有的这个version control system它都有一个假设
[00:36:42] 这个假设就是这version control system的使用者是人类人
[00:36:47] 人类有什么特点呢
[00:36:48] 人类是这个singles ready的生物
[00:36:51] 我我一直上上操作系统课的时候讲并发程序
[00:36:54] 然后并发程序我打什么
[00:36:55] 比方呢
[00:36:56] 你就把线程想象成是一个人
[00:36:58] 然后你的线程可以访问共享内存
[00:37:00] 那访问共享内存的时候
[00:37:02] 两个基本的操作是load和store
[00:37:04] 或者说read和write对吧
[00:37:06] 我可以从一个变量里读一个值对吧
[00:37:08] 我把X读到我的临时变量里
[00:37:10] 或者我可以写X等于一
[00:37:12] 然后这个操作是不能同时进行的
[00:37:15] 就是我不能说既读一个又写一个
[00:37:17] 你这样就需要一个原子指令了
[00:37:19] 然后绝大部分的这个share memory access
[00:37:21] 你能想象成人是什么呢
[00:37:22] 我如果想要观察这个世界
[00:37:24] 想要观察这个世界
[00:37:26] 那我对不起
[00:37:26] 我手要抱抱在抱在后面
[00:37:28] 我只能看
[00:37:29] 然后等我看完了
[00:37:30] 比如说我看到这个同学在这
[00:37:32] 我想要对他施加一个效果
[00:37:33] 比如说我想用这个粉笔导弹射击他
[00:37:36] 那当我想要真正要write就写一个变量的时候
[00:37:40] 我必须要把眼睛闭起来
[00:37:42] 而我把眼睛闭起来扔的时候
[00:37:45] 注意我读到的那个值其实已经失效了对吧
[00:37:48] 那个值已经是旧的值
[00:37:49] 就是我上一个时刻读的
[00:37:51] 那在上一个时刻到这个时刻之间
[00:37:52] 可能经历了很多的事情
[00:37:54] 可能我被换CPU换下去了对吧
[00:37:57] 我被中断打断了
[00:37:58] 然后换了另外一个线程上来执行
[00:38:00] 然后执行了
[00:38:01] 可能执行了一秒钟以后我才恢复过来
[00:38:04] 但我我恢复过来以后
[00:38:05] 我看到的我在寄存器里面看到那个X值
[00:38:07] 我上次读X等于一
[00:38:08] 然后这个时候我就把那个粉笔扔出去了
[00:38:10] 那很有可能就扔的就是就是错的对吧
[00:38:13] 就是single spread
[00:38:14] 然后当多线程的时候
[00:38:15] 带来带来这多线程共享内存
[00:38:17] 就带来了呃无穷的问题
[00:38:20] 其实人类也是的
[00:38:21] 人类
[00:38:21] 人和人之间是有这个无法逾越的物理屏障的
[00:38:27] 对吧
[00:38:27] 你不能理解我的思想
[00:38:28] 我也不能理解我的思想
[00:38:30] 我就是一个独立的个体
[00:38:32] 由分子对吧
[00:38:33] 把我很强的连在一起
[00:38:37] OK所以我们只有一份L设备
[00:38:39] 我们就一双一一双手
[00:38:41] 一张嘴
[00:38:41] 一对眼睛
[00:38:42] 然后那么我们我们在
[00:38:45] 比如说在编辑这个代码库的时候啊
[00:38:47] 以这种方式编辑代码库产生change
[00:38:50] 那就是以小时为单位的对吧
[00:38:54] 小时为单位的
[00:38:55] 然后呢
[00:38:56] 一个软件公司可能比如说负责一个模块的开发
[00:39:00] 可能多也就十几个人
[00:39:01] 十几个人已经是一个不小的团队了
[00:39:03] 那十几个人每个人以小时为单位开发
[00:39:07] 那最多这个也就是以10分钟这样的对吧
[00:39:11] 10分钟这样的单位产生一个提交
[00:39:16] 好那10分钟为单位产生一个提交
[00:39:20] 意味着这个速度会比人和人之间沟通的速度
[00:39:24] 要慢很多对吧
[00:39:25] 因为尤其是一个team
[00:39:26] 他工位都在一起
[00:39:27] 你们你们研究生的工位都在一起
[00:39:29] 你马上对吧
[00:39:30] 你再写
[00:39:31] 你你要写一个东西要一两个小时
[00:39:33] 你在写写之前你肯定跟师兄说一声
[00:39:35] 哎师兄我要干个这个行不行对吧
[00:39:38] 十二十秒钟
[00:39:39] 30秒钟
[00:39:40] 师兄说行
[00:39:41] 你去你去改吧
[00:39:41] 我们现在不再改对吧
[00:39:43] 或者你们你们如果去厂里面打工了
[00:39:46] 厂里面可能每天早上都要开会对吧
[00:39:48] 每天早上的leader都会把任务分享出来
[00:39:51] 今天我们要干什么事情
[00:39:52] 然后你你做什么
[00:39:53] 你做什么
[00:39:53] 你做什么
[00:39:54] 你就提前在对吧
[00:39:55] 什么半小时的时间里
[00:39:57] 你就划分了一个scope
[00:39:59] 你就把这个项目切开了
[00:40:00] 你领了其中一部分走
[00:40:01] 然后你就去产生垂直
[00:40:03] 当然这是古法呃
[00:40:05] 古法编程
[00:40:06] 古法编程
[00:40:07] 那在古法编程的时代
[00:40:09] 你就看到比如说stash是一个合理的对吧
[00:40:14] 是一个合理的设计
[00:40:15] 因为你不你你我刚才说的那个情况
[00:40:18] 你导师给你打电话
[00:40:20] 导师给你打电话
[00:40:21] 这件事情是是可能发生的
[00:40:23] 但是在你修到一半的时候
[00:40:26] 导师再给你打电话
[00:40:27] 这件事情是不太可能发生的对吧
[00:40:29] 发生概率是很低的
[00:40:30] 绝大部分时候你的这个STH也就是SSTACK
[00:40:34] 里面就一层
[00:40:34] 如果你有好多层
[00:40:35] 你关起来其实其实挺麻烦的对
[00:40:37] 还有一点麻烦
[00:40:38] 你还你就需要去REBASESTHSTH
[00:40:41] 所以你你会你会尽可能的保证这个STH呃
[00:40:44] 不要太深
[00:40:45] 因为你可以拒绝一个工作
[00:40:46] 或者你会说我手上有一个更高优先级的工作
[00:40:48] 我现在对不起
[00:40:49] 我不能干这个事
[00:40:50] 然后等你干完了以后
[00:40:51] 你你自己可以可以排一个开
[00:40:53] 排一个队列对吧
[00:40:54] 所以get是给人用的
[00:40:56] 但是在agent的时代
[00:40:58] 这件事情变了
[00:41:02] 如果是一个agent team
[00:41:04] 单个agent
[00:41:05] 它首先生产这个AISLOFT的速度就远远快于人
[00:41:09] 它对吧
[00:41:10] 它生成a s lap就以分钟级为单位
[00:41:12] 甚至更快
[00:41:13] 它有时候你让他fix一个东西
[00:41:15] 它在上下文是热的时候可能就极几十秒钟对啊
[00:41:19] 讲DPCV4flash
[00:41:20] 他干活的时候就几秒钟就就就就做了
[00:41:23] 那以秒级当agent工作时候
[00:41:26] 以秒即可以产生一个原子提交
[00:41:29] 并且你可以轻易的得到一个十倍100倍的agent
[00:41:33] team的时候
[00:41:34] git或者GG是这样的对吧
[00:41:36] 他举起来是跟git兼容的
[00:41:38] 这样的一个为人设计的模型
[00:41:40] 就有点跟不上对吧
[00:41:42] 确实是有一点呃
[00:41:45] 跟不上这个这个速度
[00:41:46] 就算是可能大型的项目
[00:41:48] 它有一些门控
[00:41:49] 就是你你当我写完了以后对吧
[00:41:51] 改完这个部分以后
[00:41:52] 他必须要经历一个测试的流水线
[00:41:53] 那这个测试可能本身就要运行几分钟
[00:41:56] 那那可以放缓agent的提交的呃速度
[00:41:59] 但是呃毫无疑问的
[00:42:02] agent加速了这个软件开发的过程
[00:42:05] 那如果agent加速的软件开发的过程
[00:42:07] 我们应该怎么样为agent的设计这个版本管理的啊
[00:42:12] 系统对吧
[00:42:14] 那首先我们可以让agent沿用人的模型
[00:42:18] 每个agent你就想想
[00:42:20] 每个agent都有一个呃自己的开发计算机对吧
[00:42:24] A这有个自己的开发计算机
[00:42:25] 那那就你就把single studi的人类和agent
[00:42:29] 就做一个严格一一对应的类比
[00:42:31] 你就让它有一个独立的电脑
[00:42:33] 可能是个容器
[00:42:34] 然后你你就把它放到什么git点NHU
[00:42:37] 点E点点CN上
[00:42:38] 然后你就跟你就直接instruct agent
[00:42:40] 说好
[00:42:40] 我的这个remote仓库是在git的
[00:42:43] 你现在就是一个单人开发者
[00:42:45] 然后你你现在可以从t max里面收到呃命令
[00:42:50] 然后呃如果你收到命令就可以开干
[00:42:53] 所以这件事情其实是其实是非常容易实现的啊
[00:42:57] 比如说啊比如说呃fancy project
[00:43:02] 好U
[00:43:06] 好啊
[00:43:08] 我可以这样啊
[00:43:15] 嘶啊这样也可以啊
[00:43:23] 好我就直接让A正在开干
[00:43:26] 然后我我现在就是就A镇时代有点什么好呢
[00:43:32] 每个人都是领导
[00:43:34] 你就是这个领导好
[00:43:38] 公投
[00:43:38] 然后现在由两个t max session啊
[00:43:44] 你可以想象就是呃
[00:43:45] 我我实际在你们实际开发的时候
[00:43:48] 这两个tm session都是位于两台不同的机器
[00:43:50] 或者不同的容器
[00:43:51] 他物理上隔离开的
[00:43:52] 他看不到
[00:43:52] 看不到世界上面其他其其他的人啊
[00:44:00] 对吧
[00:44:01] 还故故意用一个这个可能在中国现在还能用的
[00:44:04] 用的词对吧
[00:44:05] Master
[00:44:06] 然后我我现在就是就是master
[00:44:09] 好呃
[00:44:10] 哎你看你这个名字改过来了对吧
[00:44:12] Slav
[00:44:12] 好好
[00:44:15] 好我可以给他每一个都起一个派
[00:44:20] 哎好
[00:44:26] 啊coding agent好
[00:44:29] 那我我可以让他干什么呢
[00:44:48] Okay
[00:44:49] Anyway
[00:44:49] It doesn't matter
[00:44:52] Uh
[00:44:58] 啊你看他们两个就开始工作了
[00:45:01] 开始工作了
[00:45:02] 好好他们
[00:45:06] 啊这个A啊
[00:45:14] 对吧
[00:45:15] 我让我让他
[00:45:16] 所以你看当AI agent变快的时候
[00:45:21] 这个好他他他开始写写斯拉夫克的
[00:45:28] 呃对吧
[00:45:30] 当当AI开始变快的时候
[00:45:32] 你你想一想
[00:45:36] 如果你的指挥发生一点点差错
[00:45:39] 或者哪怕甚就甚至指挥
[00:45:41] 就是就现在一个流行的PARADIM
[00:45:43] 就是你有一个监工的agent
[00:45:45] 然后你你有好多个这个子AENT
[00:45:47] 有些比如说
[00:45:50] 比如说为了最大化模型的智力
[00:45:53] 防止AI生成你不想要的东西
[00:45:56] 你会放两个比较强的模型
[00:45:58] 比如说由这个codex来设计
[00:46:00] 然后让cloud来review
[00:46:02] 然后让他们互相打架
[00:46:03] 然后达成达成一致
[00:46:04] 你只要开两个t max就行了
[00:46:06] 呃然后你你你的主位制呢就负责协调
[00:46:09] 就观看他们的输出和或者总结报告
[00:46:12] 然后往里面inject prompt啊
[00:46:14] 然后这个一个多agent就呃嗯就这样转起来了
[00:46:20] 然后我看一下这个report status
[00:46:29] 哎然后你就发现
[00:46:31] 如果大家工作在同一个git仓库上
[00:46:34] 就会有一些麻烦
[00:46:36] 但如果他们工作在不同的rap上
[00:46:37] 就是呃完全完全可以的
[00:46:40] 他们可以合到对吧
[00:46:41] 他们可以合呃去去远端拉取别人的提交
[00:46:45] 然后冲突了
[00:46:46] 如果冲突了就会自己修复呃
[00:46:48] 然后在必要的时候
[00:46:49] 他甚至还可以给这个呃master agent呃
[00:46:52] 发消息
[00:46:53] 你们立即就可以构建出一个这样呃多agent的系统
[00:46:58] 那么相应的这个我们今天也有一些work around的
[00:47:02] 比如说git就有呃work tree这样的功能
[00:47:05] 所以所以你看我可以问他呃
[00:47:08] 我的老师说呃
[00:47:10] git work tree可以改进这样并行的啊工作方式
[00:47:15] 那么能为让这两个体Mark sessions都工
[00:47:22] 都工作在WORKT吗
[00:47:26] 对吧
[00:47:28] 提问其实是是关键的
[00:47:30] 你们可以在各种信息
[00:47:32] 就你们甚至比如说你今天早上走到教室的时候
[00:47:35] 在看微信公众号
[00:47:37] 然后这个微信公众号上面说来也get it work tree
[00:47:39] 或者他提了一个什么样的sandbox container
[00:47:42] 你就可以立即让呃agent来帮你帮你试一试
[00:47:46] 然后我来看一看他呃他在做什么
[00:47:53] 诶这不是一个相对来说比较容易的任务吗
[00:47:57] OK他确实是在写嗯
[00:48:00] 写脚本哎
[00:48:01] 你看他把pad退出来了
[00:48:05] 哦应该OK了嗯
[00:48:24] 这是当前的啊
[00:48:28] Get it work tree
[00:48:29] 我们的get it允许我们创建一个工作数
[00:48:33] 然后这个工作数就是一个呃
[00:48:35] 你可以想象成就是呃连接到了一个remote
[00:48:38] 就是一个git ripple
[00:48:39] 然后我可以在这里面做独立的提交呃
[00:48:42] 在一个隔离的环境里面做独立的提交
[00:48:44] 然后大家都知道点git是什么
[00:48:46] 点get是一个目录对吧
[00:48:49] 点get it
[00:48:50] 比如说我现在呃我的JS1
[00:49:03] 对吧
[00:49:03] 大家都知道我的点get的是一个目录
[00:49:05] 然后他有里面有一些
[00:49:06] 比如说啊呃这个logs
[00:49:10] 还有objects对吧
[00:49:11] 三种类型的呃对象
[00:49:13] 那WALKTHROUGH里面的点get的是什么呢
[00:49:18] 呃点开就是一个普通的文件
[00:49:23] 是一个文本文件
[00:49:26] 然后你你如果如果你你继续追问agent的话
[00:49:30] agent会告诉你
[00:49:31] 这个也是我我我才知道的
[00:49:32] 就是呃除了get it
[00:49:35] 除了点get it
[00:49:36] 除了是可以是一个目录以外
[00:49:39] 它还可以是一个这样的
[00:49:41] 只有只有这个格式的文件
[00:49:44] 然后这个文件说GDIR
[00:49:46] 然后好
[00:49:47] 你看它指向了一个VTREE
[00:49:49] 然后这个是什么呢
[00:49:50] 这就是文件系统里面的一个啊文件
[00:49:54] 所以你你看到呃
[00:49:55] Get it
[00:49:56] 最大程度上
[00:50:03] get it最大程度上复用了操作系统里面的机制
[00:50:07] 这个tree就是一个这样的
[00:50:10] 它是一个小型的git目录对吧
[00:50:13] 他是个小型的点
[00:50:15] get它依然有是head index locks这些对吧
[00:50:18] 一个微型的git的目录
[00:50:20] 但是它还是依附于原有的那个git目录
[00:50:24] 而而而生的这样一个一个一个特性啊
[00:50:28] 这个特性就在AI时代突然间变得诶好像呃对吧
[00:50:34] 有点有用
[00:50:34] 我们可以在在这个呃呃提交
[00:50:37] 直接在本地互相可见
[00:50:39] 不需要互相的铺和push
[00:50:40] 就如果你像刚才我说的
[00:50:42] 我我开了好几台虚拟机
[00:50:43] 然后在每台虚拟机里面放一个agent
[00:50:45] 然后我直接往那个t max里面注入
[00:50:47] 那当然是可以的对吧
[00:50:49] 这是完全可以完成的呃
[00:50:50] 但是WORKTI提供了一个更清亮的这个呃
[00:50:54] 合作的合作的方式
[00:50:55] 但是但是就是如果有比如说有冲突的修改
[00:50:59] 它仍然需要merge和REBASE才能才能合
[00:51:01] 才能合并
[00:51:02] 这样啊性能性啊
[00:51:04] 性能会更高一点好那我们回到这个agent team
[00:51:09] 如果我们有agent team或者agent呃
[00:51:11] Swarm
[00:51:12] 除了今天的walk around
[00:51:13] 比如说work tree这样的呃机制以外
[00:51:17] 还要回头来想
[00:51:18] 为什么我们需要版本控制
[00:51:20] 为什么需要呃版本管理
[00:51:23] 也就是说我们人类的限制
[00:51:25] 就是人类对这个呃
[00:51:27] 就我刚才说10分钟对吧
[00:51:29] 一个小的team
[00:51:30] 哪怕是一个团队都要10分钟产生一个一个commit
[00:51:35] 所以是因为人的限制塑造了这个这个工具
[00:51:38] 人之间的这个communication呃
[00:51:42] 导致了你每天早上都要开一次会议
[00:51:45] 同步一下各各个人的进展
