[00:00:00] 上一节课我们讲了虚拟化的最后一次课
[00:24:44] 是不是我我刚随口提了
[00:24:46] 好像随口提了一句
[00:24:48] 在指令的意义上
[00:24:49] 这个地址空间是平的
[00:24:51] 程序从线程和进程的意义上
[00:24:53] 地址空间就是从零开始到一个最很大
[00:24:56] 很大数字的一个字节的数组
[00:24:58] 那所有的一切都是由寄存器里的地址控制的
[00:25:03] 占有个占领的指针代码
[00:25:05] 我也可以对main取地址
[00:25:08] 甚至可以把这个地址给呃打印出来
[00:25:10] 然后然后如果要做这些证明
[00:25:13] 我们就可以自己自己写程序
[00:25:16] 可以自己写
[00:25:17] 写程序
[00:25:18] 比如说如果你想要证明
[00:25:21] 我的线程确实是共享内存的
[00:25:24] 我在这里做了两个线程
[00:25:26] 一个是X加加的
[00:25:27] 一个是Y加加的
[00:25:28] 然后X加加的线程
[00:25:30] 我X每次X加一
[00:25:32] 然后我sleep1秒钟
[00:25:34] 然后我我Y加加的线程
[00:25:36] 每次Y加加以后
[00:25:37] 我sleep两秒钟
[00:25:38] 我是在main函数里面读X和Y的
[00:25:42] 我每隔一小段时间我就会去读X和Y
[00:25:48] 然后把它打印出来
[00:25:50] 那我在一个县城里面写
[00:25:53] 在另外一个县城里面读
[00:25:54] 如果我能读到
[00:25:55] 就说明确实是共享内存的
[00:25:57] 是这个道理
[00:25:58] 那我运行这个程序
[00:26:04] 你可以确实看到诶X走的是比Y快的
[00:26:07] 那你就非常确信的知道
[00:26:09] 我的呃至少数据的部分它是共享的
[00:26:12] 类似的你也可以证明呃代码的部分是共享的
[00:26:16] 然后你也可以知道
[00:26:17] 线程的站也是位于同一个地址空间里的
[00:26:20] 为什么呢
[00:26:21] 你可以在你可以在这里
[00:26:23] 比如说可以在这里打印一个
[00:26:25] 你可以定义一个全局变量
[00:26:26] 局部变量x local
[00:26:28] 你可以取它的地址
[00:26:30] 你取它地址
[00:26:31] 你会发现
[00:26:32] 所有东西也都是在同一个地址空间里
[00:26:33] 你甚至可以把
[00:26:35] 一个指向局部变量的指针传递给另外一个线程
[00:26:39] 然后另外一个线程就可以访问这个
[00:26:41] 另外一个线程的局部变量
[00:26:43] 这都是可以的
[00:26:44] 因为它们都在同一个地址空间里
[00:26:45] 通过这些实验的程序
[00:26:47] 你对呃县城就可以有一个比较好的理解
[00:26:51] 以及县城是否具有独立的占它的占有多大
[00:26:56] 如果你想要知道县城的占有多大
[00:26:59] 你们有什么办法呢
[00:27:00] 当然你可以直接问AI说线程占有多大
[00:27:02] 他马上就马上就能告诉你了
[00:27:04] 那你能写一个程序来验证这点确实是真的吗
[00:27:08] 也可以的
[00:27:09] 我这儿给大家准备了一个test stack点C
[00:27:13] 它是这样工作的
[00:27:15] 我有一个无穷递归
[00:27:17] 我有无穷的一个这个这个叫叫prob
[00:27:20] 然后我prob是一个不断网
[00:27:23] 往后你看我会定义定义一个
[00:27:26] scratch就无所谓
[00:27:27] 你我也不用的
[00:27:29] 每次战争都会有一个64字节的
[00:27:31] 这样的一个不用的
[00:27:33] 数组被分配
[00:27:34] 然后我就无穷递归
[00:27:35] 总有一天这个stack会overflow
[00:27:37] 然后这个系统就crash了
[00:27:39] 县城就呃就crash了
[00:27:41] 但是呢我一边我一边在这个递归的时候
[00:27:46] 我都会把我局部变量
[00:27:48] 这个我当前的这个局部变量的
[00:27:52] 这个范围更新到一个high和low里
[00:27:55] 你看一个叫我
[00:27:56] 我有两个指针
[00:27:57] 一个叫还有一个叫low
[00:27:58] 然后这个update range就会把我看到的
[00:28:01] 我看到的最小的和最大的地址都给
[00:28:04] 都给更新了
[00:28:04] 所以我我干了件什么事呢
[00:28:06] 我现在在上课的时候
[00:28:09] 老师声称这个线程站是在地质空间里的好
[00:28:15] 那我现在也不知道它它在哪
[00:28:17] 但是呢我知道的是
[00:28:18] 在我这个函数刚刚调用的时候
[00:28:21] 它应该占是在一个可用空间
[00:28:23] 比较还比较就没有浪费掉绝大部分的空间
[00:28:27] 他只用了一点点
[00:28:28] 然后这个站会从高地址往低地址生长或者低
[00:28:32] 也可能是低低脂肪高低值生长
[00:28:34] 这实际上是高低脂肪低地址使用量的
[00:28:36] 然后每次函数调用呢
[00:28:37] 我都会加一个新的战争
[00:28:39] 这里面就有一些
[00:28:39] 比如说64字节的一个局部变量
[00:28:41] 64字节的局部变量
[00:28:43] 然后我直到走走
[00:28:44] 总有一天的时候它会overflow
[00:28:46] 然后我不断的在overflow之前
[00:28:48] 把我知道的最小和最大的地址给打印出来
[00:28:51] 诶那我不就
[00:28:53] 那我不就可以实现观察到我的站的大小的嘛
[00:28:57] 所以我也可以test stack诶
[00:29:02] 你确实看到了这个占越长越大
[00:29:06] 越长越大的过程
[00:29:08] 你看呃STC2T一T2T3
[00:29:11] 我们通过不断的去探测试探这个站
[00:29:16] 我们发现了T1的stack
[00:29:19] 最后打印的是T1的stack
[00:29:21] 大于等于8183
[00:29:22] 所以你们认为这个占有多大
[00:29:25] 这是一个离某一个整的数字非常近的
[00:29:28] 它离8192非常近
[00:29:30] 它有8192KB
[00:29:32] 就意味着每一个线程我创建出来的线程
[00:29:36] 都有一个八兆的堆栈
[00:29:37] 这个和你们呃平时就在你启动线程的时候
[00:29:41] 就跟你平时比如说用程序的时候
[00:29:44] 它已可以有一个几乎无限的对站
[00:29:46] 就不一样了
[00:29:48] 你们在LINUX里面默认的时候
[00:29:50] 程序可以用的站是几乎无限的
[00:29:52] 它可以一直往后用
[00:29:53] 但是因为我们的每一个线程
[00:29:56] 我们说每个线程的站都在地址空间里
[00:29:58] 所以你必须在创建线程的时候
[00:30:01] 就决定好它的占有多大
[00:30:03] 因为它必须在地址空间里面分配分配一段
[00:30:07] 一段内存好
[00:30:08] 至少你现在知道他是
[00:30:10] 它是八兆的
[00:30:12] 然后我也可以让这个AI来帮我运运行一下
[00:30:19] 那我可以让他帮我运行
[00:30:22] 然后他可以他可以读这个代码
[00:30:24] 然后他理解这个代码以后
[00:30:26] 他还可以帮我呃去解读这个结果是
[00:30:30] 为什么我今天换到gm5.1了
[00:30:34] 在非高峰的时段
[00:30:35] 它还是运行的很好的
[00:30:38] 出token的速度也很快
[00:30:39] 但是到现在比如说码农们都开始上班了
[00:30:42] 10.45正好是这个时间
[00:30:44] 他的你看他的这个token per second就非常非常的慢
[00:30:49] 他已经serving serving不过来了
[00:30:52] 所以往某种程意义上
[00:30:53] 我是翻这部分就翻车了
[00:30:54] 因为他的这个SURI速度
[00:30:55] 已经已经完全没有办法办法容忍了
[00:30:58] 我我昨天在试的时候其实还可以的
[00:31:00] 我知道了
[00:31:01] 我今天今天我今天就不在这个地方做
[00:31:03] 来啊啊live coding了
[00:31:06] 但至少我们刚才看到的那些那些结果
[00:31:09] 都是都是正正确的
[00:31:11] 好以及啊刚才我们说
[00:31:15] 我们至少可以很便宜的写一些程序
[00:31:18] 或者让AI写一些程序
[00:31:19] 来帮我们验证关于共享内存
[00:31:22] 多线程的这样的模型
[00:31:24] 与此同时
[00:31:26] 我们也可以问自己
[00:31:29] 多线程的程序能不能用GDP调试呢
[00:31:31] 诶答案肯定也是也是肯定的
[00:31:34] 我就直接展示一下
[00:31:36] 比如说啊我加一个GG的编译选项
[00:31:44] 好诶
[00:31:46] 直接运行这个GDP
[00:31:49] 他就说啊全部都全部都结束了
[00:31:51] Accident
[00:31:52] 如果你想要调试一个呃多线程的程序
[00:31:58] 首先我可以打断点
[00:32:02] 我可以在两个县城的呃入口的地方
[00:32:06] 比如说啊都呃都都打上断点
[00:32:08] 然后我可以就这些AI都可以告诉你
[00:32:11] 因为以前我们上这个课的时候
[00:32:14] 我的第一句话就是哈
[00:32:15] 你去read the friendly manual吧
[00:32:17] 啊这是GDP的文档
[00:32:19] 你看GDP里面的threats
[00:32:20] 它告诉你怎么调试多线程的程序去读吧
[00:32:23] 呃但现在AI帮你读过了
[00:32:24] 所以你你你相对来说我就就展示一下就可以了
[00:32:28] 这个时候我可以看GDP
[00:32:32] 还有一个功能叫info threats
[00:32:34] 你们可能没有用过这个功能
[00:32:35] info里面可以看好多好多东西的啊
[00:32:39] 你看我info tab补全一下
[00:32:41] 可以看到好多有用的信息
[00:32:43] 有些你你知道
[00:32:44] 有些你可能不太知道
[00:32:46] 你花点时间呃去呃学一下还是很有好处的
[00:32:53] Info rets
[00:32:53] 你现在可以看到
[00:32:55] 现在的线程只有一个
[00:32:58] id是是一
[00:33:02] 然后呢一般来说如果我们要调试多线程的程序
[00:33:07] 我们会用这样的一个叫set schedule locking on
[00:33:10] 他做的是什么呢
[00:33:11] 我们刚才说县城有两种模型
[00:33:13] 一种是你可以选一个T1
[00:33:15] 选一个T2选一个T3
[00:33:16] 执行一步
[00:33:17] 相当于是我选T1的时候
[00:33:19] 所有其他的线程都是呃不执行的
[00:33:22] 都被暂停了
[00:33:23] 还有一种就是我说我
[00:33:24] 我每次所有的线程都是往前推进的
[00:33:27] 然后如果我我默认的时候
[00:33:29] 他的这个schedule locking是off的时候
[00:33:31] 那我线程一执行一步的时候
[00:33:33] 线程二和线程三还在往前执行
[00:33:35] 那可能会影响我们调试
[00:33:37] 所以我这个set schedule locking on
[00:33:39] 是把我们的调试器退回到这个这个模式
[00:33:43] 我们每一次比如说
[00:33:44] 我现在可以正常调试它
[00:33:46] 我可以正常调试它SPA
[00:33:48] s SPA
[00:33:49] 但是如果我continue的话
[00:33:52] 你让我continue的话
[00:33:53] 我的main函数是在实际上是在join的main函数后面
[00:33:58] 返回的是它有一个join
[00:33:59] join会等待所有的呃其他的线程结束
[00:34:03] 但是其他线程它都卡住了
[00:34:05] 它不会执行的
[00:34:06] 所以我现在我要打断它
[00:34:08] 打断它
[00:34:09] 然后呃我可以
[00:34:13] 我可以info stress
[00:34:14] 这个时候你就可以看到三个线程了
[00:34:16] 那我可以到THRIDER希尔达尔上
[00:34:20] 我到12代二上continue
[00:34:22] 我就在TA
[00:34:24] 我到13上continue
[00:34:27] 他就在tb哎
[00:34:30] 我可以在线程之间切换
[00:34:32] 这样我就完美的把我们一个实际的程序
[00:34:36] 这是一个真正的程序
[00:34:37] 你看我可以可以看assembly的
[00:34:40] 它是它是由assembly的
[00:34:42] 一个真实的在CPU上运行的程序
[00:34:45] 对应到了这个模型上
[00:34:46] 我们有多多个线程
[00:34:48] 然后每个县城都有自己的站
[00:34:50] 有他的PC
[00:34:51] 然后每一次我都可以在GDP里面选一个线程
[00:34:55] 执行一个单步
[00:34:56] 我可以rider1就选T1S2选T2
[00:34:58] SR3选选T3
[00:35:00] 最终你就可以把这个多线程的模型给调试好
[00:35:04] 理解好
[00:35:04] 当然调试多线程的程序是一个很大的麻烦
[00:35:08] 你会花很多的时间在线程之间切来切去
[00:35:11] 切来切去
[00:35:12] 切来切去
[00:35:13] 现在AI做的还不是特别好
[00:35:15] 但是我们可以期待一下
[00:35:16] 也许明年的时候AI就可以很好的帮你调试
[00:35:20] 这个并发程序了
[00:35:22] OK好这就是多处理器编程的入门入门
[00:35:27] 你已经入门了
[00:35:28] 入门了
[00:35:29] 而且而且你用了这个线程库
[00:35:31] 写出了一些有趣的代码
[00:35:33] 确保你对多处理器编程是有还是比较好的
[00:35:38] 理解的OK很好
[00:35:41] 那就该到放弃的部分了
[00:35:45] 我们放弃讲多处理器编程
[00:35:47] 放弃你们第一个放弃的是状态迁移的
[00:35:51] 确定性也就是这个魔鬼来自这个模型
[00:35:54] 说到你们要放弃什么呢
[00:35:56] 就要说一说一个概念叫做确定性
[00:36:00] 这个词有点
[00:36:02] 有有点拗口
[00:36:03] 你们你们有接触过这个概念吗
[00:36:04] 有没有说过什么
[00:36:06] 你们在哪一门课学哪一个概念的时候
[00:36:09] 学过这个确定性这个词
[00:36:10] 算法计算复杂性很OK
[00:36:13] 你学会计算复杂性
[00:36:15] 确定性
[00:36:15] 所谓的确定性
[00:36:17] 这个字字面的含义还是我很喜欢的数学
[00:36:20] 就是一种确定性
[00:36:21] 绝绝对明确
[00:36:22] 没有没有分歧
[00:36:25] 没有别的可能性
[00:36:26] 只有一种可能性
[00:36:28] 这叫确定性
[00:36:30] 所以数学的确定性来自什么呢
[00:36:31] 数学确定性来自于函数的定义
[00:36:33] 你们在学离散数学的时候
[00:36:35] 都觉得函数的定义是一个
[00:36:37] 为什么要这样定义
[00:36:38] 你们花了至少花了一些时间去适应函数的定义
[00:36:42] 然后你回头想数学里面的函数这个
[00:36:44] FX等于X平方加一
[00:36:47] 这个东西就是有确定性的
[00:36:49] 它就是一个存existence
[00:36:51] 它存在在哪
[00:36:52] 然后它确定下来了
[00:36:54] 你你给一个F1
[00:36:56] 它永远是同样的值
[00:36:58] 这个就是确定的
[00:36:59] 你不管在什么时间什么地点调用这个函数
[00:37:02] F它总是一定产生唯一的
[00:37:06] 而且是确定的输出
[00:37:08] 这就是数学的呃确定性
[00:37:11] 然后这个确定性呃使得我们研究数值
[00:37:14] 全世界的人研究数学的时候
[00:37:16] 可以都说同样的数学语言
[00:37:18] 大家达成共识
[00:37:19] 这个数学才能发展
[00:37:20] 计算机科学才能发展
[00:37:22] 然后程序的确定性和数学的确定性
[00:37:24] 其实是呃是类似的
[00:37:26] 不管我们是说symbol c是吧
[00:37:28] 是一个C程序还是一个
[00:37:31] 比如说NEMU的模拟器
[00:37:33] 一旦程序的状态确定了
[00:37:36] 我们说simple c
[00:37:38] 我们有汉诺塔
[00:37:39] 一旦程序的状态确定了
[00:37:41] 那我们的迁移
[00:37:45] 它也确定了迁移是什么
[00:37:47] 迁移是一个函数
[00:37:48] 迁移是一个F
[00:37:49] 你们你们有没有想过
[00:37:50] 你们实现的NEMU本质上实现了一个函数
[00:37:53] FS等于SP对于一个状态
[00:37:57] 对于S的一个状态
[00:37:59] 你可以确定的算出他的下一个状态
[00:38:01] 虽然你可能会从外面
[00:38:03] 比如说从外面再读一个随机数什么的
[00:38:05] 那也是状态的一部分
[00:38:07] 也是状态的一部分
[00:38:08] 它是一个确定的
[00:38:09] 至少绝大部分确定的数学意义上的函数
[00:38:12] 它可以把一个状态变成下一个下一个状态好
[00:38:15] 这意味着什么呢
[00:38:17] 这意味着给定相同的初始状态
[00:38:20] 也就是说给定相同的初始状态
[00:38:23] 你这个程序无运行多少次
[00:38:25] 无论运行多少次
[00:38:26] 它的输出一定是一样的
[00:38:28] 因为你的每一步都是确定的
[00:38:30] 你的每一个单步是确定的
[00:38:32] 根据数学归纳法
[00:38:34] 你的整个程序的执行也是确定的
[00:38:36] 就假设假设这是假设这是确定啊确定的
[00:38:40] 所以虽然我把这个数学视角的
[00:38:41] 这个操作系统砍掉了
[00:38:42] 但是你你在理解并发程序的时候
[00:38:44] 你去回到这个视角
[00:38:46] 我觉得有的时候还呃还很很有用
[00:38:49] 然后确定性就给了我们一种可控的感觉
[00:38:52] 这个程序你不会今天运行
[00:38:53] 它是对的
[00:38:54] 明天它就不对了
[00:38:55] 至少这个测试用例
[00:38:57] 你这代码不改
[00:38:58] 你今天是pass的
[00:38:59] 你明天这个作业交上去
[00:39:01] 它还是pass的
[00:39:02] 总是总是可以重复的
[00:39:04] 其实这也是我们喜欢functional program的原因
[00:39:07] 如果你们学过SICP的话
[00:39:08] Functional programming
[00:39:09] 它它就要求你把所有的东西都写成是function
[00:39:12] 是这样的
[00:39:13] 数学意义上的function
[00:39:15] Pure function
[00:39:16] A pure function
[00:39:17] 就就他就是一个绝对的DETERMINISTICALLY
[00:39:21] reproducible的东西
[00:39:22] 这是我们喜欢的原因
[00:39:24] 但是引入了并发
[00:39:26] 彻底摧毁了这一点
[00:39:29] 我觉得完全是引入了一个魔鬼
[00:39:32] 完全引入了魔鬼
[00:39:33] 在实际上
[00:39:34] 刚才我我再补充一下实际的程序
[00:39:37] 实际上也是某种程度上确定的
[00:39:39] 因为假设你不调用什么随机数什么的
[00:39:42] 程序所有的不确定性都来自于系统调用
[00:39:45] 当这个程序执行EXTCVE的时候
[00:39:48] 它的初始状态里面确实有一些东西
[00:39:50] 比如说啊比如说它地址空间是随机的
[00:39:53] 比如说这个main函数的地址是随机的
[00:39:55] 然后它里面有AUXV有一些系统的信息
[00:39:59] 我们在讲链接和加载的时候
[00:40:01] 加载器
[00:40:02] 可以操作系统内核里的加载器
[00:40:04] 会把站上面放上一些
[00:40:05] 比如说甚至是随机数种子
[00:40:07] 这样的信息在在这个地方
[00:40:09] 但是一旦你的进程的初始状态确定了
[00:40:13] 实际上这个含迁移的函数也是确定的
[00:40:17] 除了系统调用
[00:40:19] read是不确定的
[00:40:20] 你不知道我这次键盘按的是A还是B
[00:40:22] read是不确定的
[00:40:24] 但是程序的执行是确定的
[00:40:25] 程序是可以可以理解的
[00:40:28] 但是共享内存的并发其实打破了这一点
[00:40:31] 因为线程执行的速度是没有保证的
[00:40:34] 刚才刚才我有个例子
[00:40:35] 我有两个线程
[00:40:37] 一个在执行X加加
[00:40:38] 一个线程在执行Y加加
[00:40:39] 还有第三个线程在读X和Y
[00:40:41] 那我每一次X读的时候
[00:40:45] 我们回到回到这个程序
[00:40:47] 你们还没有在看到那个程序的时候
[00:40:50] 你们还没有理解这件事情的可怕之处
[00:40:53] 你们在看到这个看到这个例子的时候
[00:40:57] 感觉到我们很好证明了
[00:40:59] 确实线程之间是共享内存的
[00:41:02] 没有意识到它带来的可怕之处
[00:41:07] 我们中间使用的sleep
[00:41:08] 使用的系统
[00:41:09] 调用线程执行的速度是没有任何保证的
[00:41:12] 哪怕我是哪怕我就是X等于X加一
[00:41:16] X等于X加一
[00:41:17] 我的处两个处理器
[00:41:18] 它的频率可能不一样
[00:41:20] 它执行的他当时的缓存也不一样
[00:41:22] 它执行的速度就是不一样的
[00:41:24] 这意味着我的每一次读
[00:41:26] 都可能读到其他线程的store
[00:41:28] 这是共享内存
[00:41:29] 我因为是共享内存
[00:41:30] 所以我的读才能读到别人写的
[00:41:33] 那这是我们想要的
[00:41:34] 但这意味着我既可能读到
[00:41:36] 也可能没读到
[00:41:37] 我有次读可能错过
[00:41:39] 我下一次读就得到了
[00:41:40] 这就导致了这导致了实际上我们程序的模型
[00:41:44] 执行的模型
[00:41:46] 如果我有两个线程的话
[00:41:48] 它不再是取一个线程
[00:41:51] 取当前的进程执行一条语句
[00:41:54] 而是我既可能选T1
[00:41:56] 也可能选T2
[00:41:57] 然后我到了这个状态以后
[00:41:59] 又可能选T1
[00:42:00] 又可能选T2
[00:42:01] 我到这个状态时候也可能选T1
[00:42:03] 也可能选T2
[00:42:05] 这是一个指数级的爆炸
[00:42:07] 你每每每选一步
[00:42:09] 你都要选一个
[00:42:10] 你可以选一一
[00:42:11] 可以选一二
[00:42:12] 可以选二一
[00:42:12] 可以选二二
[00:42:13] 这是指数级的可能性
[00:42:16] 也就是说你今天你的测试通过了
[00:42:19] 你测试了100万次通都通过了
[00:42:21] 不代表你交到online judge上就能过
[00:42:24] 你们马上就会在编程作业上
[00:42:26] 我的mini lab上面体会到不确定性
[00:42:29] 什么也没有
[00:42:30] 就是就是一个最简单的线程
[00:42:32] 你在线程库上就能做的一个不确定性
[00:42:35] 给你带来的巨大的麻烦
[00:42:37] 这个例子看起来还挺简单的
[00:42:39] 我们现在创建两个线程
[00:42:42] 两个啊一模一样的线程
[00:42:45] 执行同样的代码
[00:42:46] 同样代码都是什么
[00:42:47] 都是转100块钱
[00:42:48] 就你这样想
[00:42:50] 在第三行的时候
[00:42:51] 我现在账户里面只剩下100块钱了
[00:42:53] 那只剩下100块钱呢
[00:42:54] 我现在要执行转钱
[00:42:56] 我也转100块
[00:42:57] 我也转100块
[00:42:58] 那如果如果我我身上的钱还够
[00:43:01] 如果我的余额还够这个转账的钱
[00:43:04] 我就把这个转账的钱给扣掉
[00:43:05] 那当然我可能把另外一个账号的钱
[00:43:08] 加上好
[00:43:09] 那我们来看如果有两个有两个这样的线程
[00:43:13] 那第一个线程发现余额还够
[00:43:16] 100块还够
[00:43:16] 就把100块扣掉了
[00:43:18] 然后如果第二个线程发现100块
[00:43:20] 这个不够了
[00:43:21] 那他就会走这个else的分支就就不扣
[00:43:24] 那实际上实际上会怎么样呢
[00:43:27] 哎余额是零挺好的
[00:43:30] 没有问题
[00:43:31] 余额是零没有问题
[00:43:33] 但如果
[00:43:37] 稍微多一点
[00:43:38] 如果在程序执行的过程当中
[00:43:42] 程序运行的快慢发生了变化
[00:43:44] 会发生什么
[00:43:45] 我现在有两个线程
[00:43:46] 这时候你脑袋里面就一下要装两个线程了
[00:43:50] 装两个线程
[00:43:51] 两个线程同时做第五第六行的判断
[00:43:54] 两个线如果他们运行的一样快
[00:43:57] 它们同时做判断
[00:43:58] 他们会发现OK余额都是够的
[00:44:02] 有两个线程
[00:44:03] 我现在账户里只有100块
[00:44:04] 我两个线程都要扣100块
[00:44:06] 但是他们都认为余额是够的
[00:44:07] 所以他会两个100块都扣掉
[00:44:12] 然后等于我的钱不就变成负数了吗
[00:44:15] 我的钱不就被扣成负的了吗
[00:44:17] 诶课程负的的后果是什么
[00:44:20] 这是一个unsigned的integer
[00:44:24] 然后我的账户里就多出了无穷的钱
[00:44:27] 我记得这样的bug不可能未必是并发导致的
[00:44:32] 应该是无处不在的
[00:44:32] 我记得有有一段时间
[00:44:35] 那应该你们还没有入学的时候
[00:44:36] 食堂附近有一个打印还是做什么的机器
[00:44:40] 你就可以用类似的方式把他的钱变成负的
[00:44:43] 然后一旦他的钱变成负的以后
[00:44:45] 你就可以永远无限制的继续往下往下
[00:44:47] 往下往下往下
[00:44:49] 我不记得那个具体的bug了
[00:44:50] 但这件事情应该是是我们re
[00:44:53] reproduce过的
[00:44:54] 而这样的bug不仅仅是在就是在理论当中存在
[00:45:00] 在实际上呃也也有类似的就并发的系统
[00:45:06] 而不是并行的系统
[00:45:07] 会会有的这样有意思的bug
[00:45:10] 跟刚才那个那个check和检查和写入分开
[00:45:15] 是是很像的
[00:45:26] 它是一个复制物品的bug
[00:45:28] 我再我们再看一遍
[00:45:31] 他说先打开包裹
[00:45:32] 分离出一块钱一块钱
[00:45:35] 然后把要复制的物品丢在地上
[00:45:38] 然后把包裹关掉好
[00:45:40] 就相当于地上有一堆东西
[00:45:42] 有一堆东西
[00:45:43] 然后这个时候你鼠标点击地上的物品
[00:45:46] 然后人就会走过去把那个物品捡起来
[00:45:50] 然后这时候注意你手上有有一个一块钱
[00:45:53] 有一个一块钱
[00:45:54] 然后有一个一块钱
[00:45:56] 当你点击这个一块钱的时候
[00:45:58] 他收到了这个鼠标的事件
[00:46:00] 它是不是要把这个一块钱
[00:46:02] 这个对象放到你的一个变量里
[00:46:06] 要把这个一块钱对应的这一块钱对应的变量
[00:46:08] 放到一个叫做你拿起来的这个变量里
[00:46:13] 但是因为你在人物马上要捡起以上物品的瞬间
[00:46:17] 你点起这个点起那一块钱
[00:46:20] 你你刚才写入的那个你拿起的东西
[00:46:23] 等于等于那个一块钱
[00:46:25] 就被地上那个物品给覆盖了
[00:46:28] 应该是一个全局变量给覆盖了
[00:46:29] 然后覆盖完了以后
[00:46:31] 你的物品就被复制两份
[00:46:33] 相当于你用一块钱变成了两份物品
[00:46:35] 你看现在现在有198块钱了
[00:46:38] 你100块钱分出去一块钱
[00:46:40] 然后变成两个99块钱
[00:46:41] 最后变成198块钱
[00:46:42] 你可以无限的复制
[00:46:44] 复制物品这样的
[00:46:46] 因为这种非确定性
[00:46:48] 刚才那个例子是一个事件上的并发
[00:46:51] 以及这个知法
[00:46:52] 例子是我真实在多处理器上的并行
[00:46:55] 都会带来很毁灭性的后果
[00:46:59] 而这个毁灭性的后果就是当你有了线程库以后
[00:47:03] 你发现你连1+1都不会求了
[00:47:05] 你真的连1+1都不会求了
[00:47:07] 你想想这个程序
[00:47:09] 我现在创建两个线程
[00:47:11] 然后两个线程都执行N次sum加加
[00:47:14] 最后你还能得到2N吗
[00:47:16] 你得不到了
[00:47:17] 我现在就把这个代码找出来
[00:47:21] 就这样一份sum加加sum加加
[00:47:24] 我直接编译运行它
[00:47:28] 我运行这个程序是非确定的
[00:47:33] 我运行若干次
[00:47:35] 它的结果都不一样
[00:47:36] 发现了
[00:47:37] 发现了
[00:47:38] 因为每一个线程它执行的顺序都不一样
[00:47:41] 它按照12121212的顺序走
[00:47:44] 那我我的一个sum加加是三个操作
[00:47:48] sum加加是首先要load
[00:47:50] 把sum读到一个寄存器里
[00:47:52] 然后在寄存器加加
[00:47:54] 然后再把这个寄存器写回去
[00:47:56] 但是我在写回去之前又有别人执行了SAM加加
[00:48:00] 我就把别人写的值给覆盖了
[00:48:02] 对我就把别人写的字给盖掉了
[00:48:04] 别人比如说已经我现在我现在读到了1000
[00:48:07] 然后我要把1001写进去
[00:48:09] 然后结果别人第二个线程已经读到1001
[00:48:13] 1000 041千零五
[00:48:15] 他已经写到2000了
[00:48:16] 然后我那个1001啪又把那个2000给盖掉了
[00:48:19] 然后我们就两个线程之间互相读
[00:48:21] 互相覆盖
[00:48:22] 互相读互相覆盖
[00:48:23] 最后就得到了
[00:48:23] 你看加了没加没加多少
[00:48:25] 这是一个呃很有意思的问题
[00:48:28] 然后你马上发现你没有一个手段能把它写对
[00:48:32] 而它带来更可怕的后果是
[00:48:35] 你连最简单的程序都理解不了了
[00:48:37] 这曾经是我某一年的期中考试题
[00:48:41] 期中考试题
[00:48:42] 期中考试题
[00:48:43] 我我把它做成一个教OJ的题
[00:48:45] 就说你我现在我现在金融
[00:48:47] 其这这就有可能是你们的
[00:48:50] 期中或者期末测验的一个一个题目
[00:48:54] 考察你对概念理解的是不是非常到位
[00:48:57] 我就说我要创建三个线程
[00:48:59] 三个线程
[00:48:59] 然后三个线程每个都执行sum加加SAM加加
[00:49:03] 相当于是先做一次load
[00:49:04] 把sum读到
[00:49:05] 然后把这个临时变量加一
[00:49:06] 再把它写回去
[00:49:07] 那我们假设这个一行程序执行的模型是
[00:49:12] 每次执行一行语句
[00:49:13] 每次都可以执行一项语句
[00:49:14] 相当于是我现在有有有T1T2T三
[00:49:18] 然后我可以执行T1的一条语句
[00:49:21] 可以执行T2的一条语句
[00:49:24] 可以执行T3的一条语句
[00:49:27] 就问sum的最小值是多少
[00:49:31] 你们觉得是多少
[00:49:33] 你们第一反应肯定是三
[00:49:35] 大家第一反应都是三
[00:49:37] 然后当时我就做了一个OJ奇
[00:49:38] 让他教一个咳执行的顺序
[00:49:40] 123412就T1T2T1T2
[00:49:42] 这样执行一个交错的顺序
[00:49:44] 能够得到sum的最小值
[00:49:46] 然后这个这个题他就做的也是惨不忍睹
[00:49:49] 惨不忍睹
[00:49:50] 在2025年的时候
[00:49:52] deep seek r1和O3mini
[00:49:53] 两个最强的可以做推理的模型就全军覆没了
[00:49:57] 在去年的时候
[00:49:58] 我可以比较安全的宣布
[00:49:59] 还没有人工智能能够直接在它的文本推理里面
[00:50:03] 解决这个问题
[00:50:03] 不调用第三方的工具的话
[00:50:05] 但到2026年的时候
[00:50:06] 你看我们的国产模型都能做对了
[00:50:08] 那个现在还在灰度测试的DP p k expert
[00:50:11] 千问3.5的max和gm5.1
[00:50:13] 我都不允许他们调用工具
[00:50:15] 都他们都做对了
[00:50:16] 但是再稍微小一号的模型上
[00:50:18] DeepSeek instant和3.6的plus都都还做不对
[00:50:21] 他的智力还还不够
[00:50:23] 这个难度在在哪里呢
[00:50:26] 呃我做了一个小游戏
[00:50:27] 我web code的一个小游戏
[00:50:30] 九游戏是这样玩的
[00:50:31] 我有好几个线程
[00:50:32] 比如说绿色的是线程二
[00:50:34] 蓝色的是线程一
[00:50:35] 红色的是线程零
[00:50:37] 那么线程一个县城里面执行的事件
[00:50:42] 或者说执行的代码是顺序的
[00:50:44] 它不能改
[00:50:45] 比如说我不能把线程T0的第一个事件移到
[00:50:49] T0的第二个事件后面
[00:50:50] 但是呢这几个县城之间的顺序是可以任意排的
